solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.829114,0.718354,0.844937,0.797468,0.870253,0.825949,0.870253,0.892405,0.905063,0.917722,0.911392,0.689873,0.588608,0.731013,0.784810,0.810127,0.882911,0.892405,0.724684,0.753165,0.860759,0.825949,0.892405,0.898734,0.892405,0.582278,0.582278,0.582278,0.582278,0.677215,0.829114,0.781646,0.870253,0.803797,0.854430,0.895570,0.895570
Qwen3-1.7B-Base,0.949367,0.914557,0.914557,0.924051,0.933544,0.911392,0.930380,0.936709,0.936709,0.936709,0.943038,0.943038,0.870253,0.914557,0.920886,0.901899,0.920886,0.936709,0.901899,0.927215,0.901899,0.920886,0.930380,0.936709,0.939873,0.863924,0.863924,0.863924,0.863924,0.876582,0.939873,0.911392,0.924051,0.914557,0.927215,0.936709,0.939873
Qwen3-4B-Base,0.556962,0.563291,0.639241,0.632911,0.740506,0.661392,0.686709,0.750000,0.762658,0.775316,0.794304,0.575949,0.382911,0.518987,0.667722,0.617089,0.731013,0.737342,0.506329,0.607595,0.674051,0.705696,0.734177,0.734177,0.705696,0.367089,0.367089,0.367089,0.367089,0.443038,0.636076,0.689873,0.750000,0.658228,0.750000,0.756329,0.740506
Qwen3-8B-Base,0.832278,0.784810,0.781646,0.800633,0.844937,0.800633,0.857595,0.854430,0.844937,0.882911,0.882911,0.772152,0.632911,0.787975,0.825949,0.813291,0.860759,0.848101,0.743671,0.794304,0.810127,0.848101,0.829114,0.854430,0.851266,0.613924,0.613924,0.613924,0.617089,0.674051,0.803797,0.806962,0.829114,0.816456,0.838608,0.857595,0.854430
Qwen3-14B-Base,0.452532,0.411392,0.579114,0.582278,0.629747,0.604430,0.661392,0.677215,0.683544,0.693038,0.715190,0.354430,0.082278,0.376582,0.484177,0.357595,0.645570,0.623418,0.325949,0.433544,0.601266,0.639241,0.642405,0.661392,0.689873,0.082278,0.082278,0.082278,0.082278,0.164557,0.518987,0.493671,0.661392,0.534810,0.639241,0.661392,0.680380
Qwen3-0.6B,0.351266,0.281646,0.344937,0.322785,0.474684,0.547468,0.563291,0.601266,0.658228,0.762658,0.784810,0.240506,0.072785,0.405063,0.522152,0.487342,0.705696,0.677215,0.306962,0.518987,0.639241,0.642405,0.718354,0.787975,0.781646,0.056962,0.056962,0.056962,0.056962,0.151899,0.658228,0.626582,0.699367,0.534810,0.636076,0.718354,0.702532
Qwen3-1.7B,0.208861,0.170886,0.221519,0.202532,0.405063,0.674051,0.569620,0.629747,0.604430,0.806962,0.813291,0.167722,0.060127,0.256329,0.484177,0.392405,0.803797,0.797468,0.151899,0.582278,0.781646,0.806962,0.803797,0.810127,0.813291,0.056962,0.056962,0.056962,0.056962,0.139241,0.712025,0.693038,0.816456,0.481013,0.705696,0.822785,0.806962
Qwen3-4B,0.123418,0.123418,0.167722,0.177215,0.424051,0.677215,0.560127,0.642405,0.642405,0.844937,0.863924,0.142405,0.028481,0.246835,0.512658,0.430380,0.816456,0.835443,0.174051,0.623418,0.784810,0.819620,0.854430,0.848101,0.860759,0.022152,0.022152,0.022152,0.022152,0.110759,0.778481,0.791139,0.860759,0.481013,0.746835,0.851266,0.867089
Qwen3-8B,0.110759,0.079114,0.117089,0.126582,0.433544,0.667722,0.550633,0.651899,0.648734,0.873418,0.905063,0.110759,0.031646,0.250000,0.487342,0.319620,0.867089,0.867089,0.155063,0.617089,0.848101,0.863924,0.895570,0.892405,0.901899,0.018987,0.018987,0.018987,0.018987,0.104430,0.797468,0.829114,0.898734,0.452532,0.712025,0.882911,0.892405
Qwen3-14B,0.148734,0.094937,0.113924,0.142405,0.468354,0.658228,0.541139,0.667722,0.670886,0.844937,0.901899,0.120253,0.037975,0.246835,0.528481,0.351266,0.857595,0.857595,0.167722,0.569620,0.835443,0.844937,0.876582,0.889241,0.895570,0.034810,0.034810,0.034810,0.034810,0.132911,0.832278,0.844937,0.892405,0.430380,0.737342,0.863924,0.889241
Qwen3-32B,0.107595,0.079114,0.110759,0.164557,0.446203,0.667722,0.522152,0.667722,0.680380,0.854430,0.908228,0.082278,0.012658,0.281646,0.537975,0.379747,0.886076,0.863924,0.164557,0.579114,0.838608,0.851266,0.892405,0.895570,0.895570,0.012658,0.012658,0.012658,0.012658,0.098101,0.822785,0.860759,0.895570,0.465190,0.750000,0.873418,0.898734
Qwen2.5-0.5B-Base,0.987342,0.958861,0.974684,0.974684,0.990506,0.981013,0.981013,0.987342,0.984177,0.984177,0.993671,0.971519,0.917722,0.958861,0.974684,0.977848,0.984177,0.987342,0.962025,0.968354,0.981013,0.984177,0.977848,0.993671,0.987342,0.917722,0.917722,0.917722,0.917722,0.930380,0.987342,0.962025,0.984177,0.981013,0.984177,0.984177,0.987342
Qwen2.5-1.5B-Base,0.987342,0.968354,0.981013,0.984177,0.993671,0.984177,0.990506,0.984177,0.987342,0.990506,0.990506,0.968354,0.962025,0.981013,0.984177,0.981013,0.993671,0.987342,0.977848,0.981013,0.984177,0.987342,0.993671,0.993671,0.990506,0.958861,0.958861,0.958861,0.958861,0.962025,0.984177,0.984177,0.993671,0.990506,0.996835,0.984177,0.990506
Qwen2.5-3B-Base,0.917722,0.841772,0.835443,0.832278,0.838608,0.813291,0.841772,0.854430,0.851266,0.848101,0.854430,0.854430,0.712025,0.832278,0.832278,0.822785,0.844937,0.832278,0.825949,0.825949,0.806962,0.838608,0.844937,0.844937,0.854430,0.712025,0.712025,0.712025,0.712025,0.737342,0.857595,0.816456,0.829114,0.832278,0.838608,0.857595,0.844937
Qwen2.5-7B-Base,0.756329,0.712025,0.778481,0.784810,0.787975,0.794304,0.813291,0.832278,0.819620,0.838608,0.835443,0.686709,0.541139,0.705696,0.715190,0.708861,0.835443,0.800633,0.658228,0.734177,0.753165,0.794304,0.800633,0.803797,0.810127,0.522152,0.522152,0.522152,0.522152,0.563291,0.791139,0.724684,0.797468,0.750000,0.810127,0.810127,0.816456
