solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.078125,0.092593,0.043011,0.100000,0.150000,0.112903,0.185185,0.400000,0.625000,0.571429,0.600000,0.060606,0.000000,0.000000,0.087379,0.046512,0.079365,0.075630,0.016667,0.071749,0.070064,0.086957,0.112676,0.146789,0.109375,0.000000,0.000000,0.000000,0.000000,0.037037,0.028986,0.128000,0.085366,0.421053,0.378378,0.487805,0.425532
Qwen3-1.7B-Base,0.062893,0.235294,0.251599,0.237354,0.275109,0.290323,0.591133,0.802548,0.843537,0.840000,0.840000,0.109589,0.229508,0.180180,0.245833,0.279302,0.298578,0.211356,0.163934,0.194726,0.196248,0.203898,0.289474,0.313084,0.339332,0.000000,0.000000,0.000000,0.000000,0.162162,0.203704,0.251799,0.291262,0.621951,0.726190,0.700565,0.777778
Qwen3-4B-Base,0.442935,0.441261,0.449438,0.509485,0.505632,0.563467,0.725838,0.879464,0.882759,0.897959,0.856531,0.295181,0.307692,0.074074,0.445070,0.451923,0.510638,0.463362,0.128655,0.418410,0.419817,0.452229,0.501784,0.519900,0.493088,0.000000,0.000000,0.000000,0.000000,0.303571,0.376068,0.452080,0.513228,0.677596,0.763103,0.829268,0.815416
Qwen3-8B-Base,0.119601,0.420420,0.530159,0.583051,0.581281,0.543919,0.767494,0.889412,0.890511,0.915423,0.896714,0.102326,0.388060,0.212766,0.472266,0.561886,0.583480,0.531977,0.248485,0.441558,0.453271,0.521031,0.590504,0.583082,0.569678,0.000000,0.000000,0.000000,0.000000,0.198347,0.360731,0.453333,0.525526,0.693767,0.813793,0.855814,0.867580
Qwen3-14B-Base,0.131234,0.511628,0.557807,0.626360,0.639053,0.636245,0.771987,0.894558,0.919658,0.905009,0.909390,0.091873,0.296296,0.347107,0.560411,0.622905,0.635417,0.573484,0.242424,0.498645,0.514706,0.558594,0.630262,0.625422,0.621868,0.000000,0.000000,0.000000,0.000000,0.174757,0.400673,0.484848,0.594470,0.699620,0.820847,0.856230,0.862069
Qwen3-0.6B,0.375000,0.163265,0.040816,0.557377,0.530303,0.718266,0.646526,0.719807,0.689655,0.755448,0.760976,0.496000,0.571429,0.160000,0.577406,0.322981,0.758270,0.731707,0.127660,0.716667,0.710784,0.729412,0.744076,0.746479,0.742857,0.000000,0.000000,0.000000,0.000000,0.426230,0.729927,0.729114,0.734597,0.645614,0.664879,0.738095,0.747045
Qwen3-1.7B,0.425856,0.206186,0.086667,0.712154,0.706994,0.947977,0.800000,0.955090,0.893819,0.965116,0.969521,0.654206,0.651163,0.180064,0.583333,0.179775,0.955224,0.954545,0.152249,0.919804,0.948148,0.956012,0.959184,0.968023,0.965015,0.000000,0.000000,0.000000,0.000000,0.666667,0.958702,0.920188,0.964912,0.798206,0.932127,0.961877,0.968023
Qwen3-4B,0.432099,0.160000,0.102564,0.767480,0.753709,0.953150,0.850214,0.974545,0.923469,0.988038,0.986889,0.635036,0.556522,0.206388,0.657194,0.200608,0.983133,0.975490,0.142857,0.930988,0.965347,0.984431,0.990476,0.988095,0.988095,0.000000,0.000000,0.000000,0.000000,0.696429,0.981640,0.962500,0.988095,0.854641,0.951792,0.986795,0.986889
Qwen3-8B,0.484663,0.188341,0.093168,0.761029,0.748322,0.953237,0.862992,0.972452,0.910405,0.989276,0.987952,0.653226,0.629630,0.306878,0.633065,0.166113,0.979480,0.986450,0.147239,0.940252,0.967123,0.987952,0.987952,0.989305,0.989305,0.000000,0.000000,0.000000,0.000000,0.758621,0.987788,0.964187,0.986595,0.807157,0.953846,0.986595,0.989305
Qwen3-14B,0.491713,0.207692,0.083551,0.790625,0.775106,0.957447,0.846473,0.974118,0.940317,0.989643,0.990805,0.691781,0.583333,0.224390,0.683502,0.225434,0.979882,0.984505,0.157609,0.943495,0.969267,0.986143,0.989643,0.990805,0.990805,0.000000,0.000000,0.000000,0.000000,0.828402,0.987165,0.957882,0.989619,0.811009,0.957245,0.990719,0.989643
Qwen3-32B,0.447236,0.244755,0.095455,0.767475,0.787261,0.967568,0.856436,0.978541,0.926174,0.993711,0.993711,0.683386,0.615385,0.279167,0.670866,0.254453,0.985011,0.988335,0.166271,0.952497,0.970874,0.989474,0.991614,0.992670,0.992670,0.000000,0.000000,0.000000,0.000000,0.750000,0.985075,0.973970,0.991614,0.816641,0.956332,0.992655,0.993711
