solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.083333,0.000000,0.272727,0.105263,0.580645,0.583333,0.375000,0.769231,0.666667,0.744186,0.863636,0.307692,0.000000,0.142857,0.516129,0.000000,0.518519,0.611111,0.000000,0.095238,0.240000,0.580645,0.800000,0.765957,0.837209,0.000000,0.000000,0.000000,0.000000,0.400000,0.166667,0.529412,0.808511,0.444444,0.595745,0.800000,0.775510
Qwen3-1.7B-Base,0.000000,0.750000,0.285714,0.800000,0.750000,0.600000,0.750000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.666667,0.000000,0.500000,0.750000,0.666667,0.000000,0.000000,0.750000,0.666667,0.750000,0.857143,0.857143,0.000000,0.000000,0.000000,0.000000,0.000000,0.333333,0.500000,0.857143,0.666667,0.500000,0.750000,0.857143
Qwen3-4B-Base,0.430189,0.331429,0.739130,0.732861,0.804878,0.759843,0.757937,0.838462,0.839552,0.848837,0.861004,0.297872,0.000000,0.062992,0.588889,0.388626,0.796574,0.698163,0.355556,0.406375,0.568475,0.801572,0.826255,0.816794,0.814090,0.000000,0.000000,0.000000,0.000000,0.430769,0.510145,0.693267,0.819417,0.764092,0.765714,0.807339,0.830601
Qwen3-8B-Base,0.126050,0.395604,0.781395,0.779006,0.811060,0.815451,0.843424,0.808036,0.836134,0.829596,0.862745,0.460000,0.666667,0.174419,0.715847,0.633028,0.787440,0.729659,0.500000,0.479452,0.789116,0.823009,0.827740,0.832579,0.857749,0.000000,0.000000,0.000000,0.000000,0.324324,0.492013,0.784416,0.852814,0.789474,0.848739,0.849372,0.849785
Qwen3-14B-Base,0.053333,0.577963,0.855225,0.878731,0.887406,0.884615,0.896717,0.891122,0.907482,0.894825,0.913540,0.444023,0.000000,0.250681,0.450742,0.677871,0.879599,0.852113,0.440945,0.532609,0.851419,0.889621,0.897394,0.893964,0.908367,0.000000,0.000000,0.000000,0.000000,0.429630,0.539759,0.801706,0.892003,0.817360,0.881410,0.902303,0.904000
Qwen3-0.6B,0.347107,0.029851,0.040650,0.075055,0.495379,0.688640,0.582034,0.378549,0.739295,0.772063,0.804925,0.152505,0.689655,0.254491,0.600639,0.230885,0.699507,0.737778,0.629096,0.566210,0.689445,0.731884,0.789607,0.817333,0.812540,0.000000,0.000000,0.000000,0.000000,0.500000,0.669498,0.712695,0.758497,0.615167,0.670902,0.742206,0.748650
Qwen3-1.7B,0.177719,0.042017,0.114022,0.072340,0.664911,0.820166,0.655452,0.546982,0.819188,0.837500,0.864296,0.197938,0.909091,0.220888,0.665217,0.230688,0.836134,0.832729,0.521739,0.702326,0.819979,0.837162,0.866667,0.865938,0.877387,0.000000,0.000000,0.000000,0.000000,0.487395,0.805571,0.827133,0.856158,0.713745,0.798226,0.847201,0.860848
Qwen3-4B,0.097561,0.048880,0.114114,0.073643,0.713609,0.835010,0.688928,0.577653,0.848574,0.869817,0.891254,0.133333,0.000000,0.244809,0.703015,0.280075,0.866059,0.849975,0.577181,0.733238,0.848748,0.872693,0.890531,0.891867,0.889713,0.000000,0.000000,0.000000,0.000000,0.585635,0.837306,0.866667,0.886029,0.735659,0.830957,0.875472,0.886522
Qwen3-8B,0.077320,0.062378,0.094815,0.085770,0.725684,0.858135,0.705950,0.609499,0.863047,0.851619,0.905215,0.198312,0.000000,0.269547,0.687705,0.340890,0.890436,0.871599,0.467967,0.761571,0.868283,0.890233,0.906137,0.906377,0.904957,0.000000,0.000000,0.000000,0.000000,0.568528,0.851107,0.872798,0.904246,0.751971,0.819806,0.888478,0.904719
Qwen3-14B,0.097619,0.025052,0.108401,0.075614,0.753456,0.857730,0.713620,0.591879,0.878505,0.882468,0.915730,0.081331,1.000000,0.253829,0.713178,0.287029,0.898716,0.884615,0.600000,0.791937,0.867387,0.890504,0.915539,0.912232,0.915063,0.000000,0.000000,0.000000,0.000000,0.625767,0.876258,0.885396,0.909939,0.760000,0.850394,0.894737,0.910789
Qwen3-32B,0.098964,0.047516,0.110169,0.090592,0.741321,0.861493,0.703134,0.613978,0.878889,0.872780,0.917341,0.073090,0.000000,0.261538,0.669202,0.307305,0.912007,0.895327,0.632054,0.812950,0.874410,0.895688,0.919065,0.917753,0.920018,0.000000,0.000000,0.000000,0.000000,0.521739,0.898017,0.893925,0.916517,0.755924,0.847153,0.902930,0.914903
Qwen2.5-0.5B-Base,0.000000,0.000000,0.000000,0.666667,1.000000,0.571429,1.000000,0.666667,0.666667,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.666667,0.000000,0.500000,1.000000,1.000000,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.333333,1.000000,0.500000,0.333333,0.800000,0.800000
Qwen2.5-1.5B-Base,0.000000,0.000000,0.333333,0.500000,0.666667,0.400000,0.545455,0.666667,0.666667,0.750000,0.750000,0.500000,0.000000,0.000000,0.666667,0.666667,0.571429,0.400000,0.000000,0.363636,0.666667,0.666667,0.666667,0.750000,0.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.333333,0.400000,0.888889,0.444444,0.400000,0.600000,0.800000
Qwen2.5-3B-Base,0.177778,0.533333,0.750000,0.773333,0.833333,0.747253,0.764045,0.794872,0.827586,0.835443,0.843373,0.375000,0.000000,0.372093,0.535714,0.666667,0.750000,0.805556,0.521739,0.571429,0.717949,0.795181,0.833333,0.804878,0.795455,0.000000,0.000000,0.000000,0.000000,0.000000,0.571429,0.774194,0.761905,0.691358,0.739130,0.777778,0.804598
Qwen2.5-7B-Base,0.076412,0.395238,0.792384,0.811069,0.863140,0.849961,0.876190,0.859546,0.889248,0.880068,0.908197,0.212644,0.600000,0.183623,0.346667,0.579387,0.821942,0.792627,0.280702,0.602958,0.812756,0.858529,0.865041,0.872638,0.886984,0.000000,0.000000,0.000000,0.000000,0.412698,0.558411,0.785714,0.862936,0.780710,0.849961,0.866824,0.871713
Qwen2.5-14B-Base,0.062500,0.508108,0.777448,0.731034,0.845938,0.840000,0.867168,0.840108,0.861619,0.866841,0.883249,0.494949,0.000000,0.354430,0.579926,0.732601,0.758410,0.734426,0.600000,0.648829,0.774929,0.849315,0.838196,0.835165,0.880597,0.000000,0.000000,0.000000,0.000000,0.344828,0.207547,0.744186,0.875318,0.755418,0.852130,0.859296,0.865285
Qwen2.5-32B-Base,0.074576,0.556622,0.768769,0.752520,0.851613,0.858340,0.867003,0.834520,0.860326,0.870855,0.872852,0.354545,0.428571,0.436059,0.553476,0.690391,0.801932,0.772819,0.573363,0.686987,0.761364,0.825339,0.845415,0.844601,0.871925,0.000000,0.000000,0.000000,0.000000,0.298507,0.308824,0.729490,0.862882,0.786818,0.844068,0.863406,0.868601
Qwen2.5-72B-Base,0.108434,0.507389,0.841866,0.840194,0.896034,0.892678,0.901804,0.890985,0.909645,0.897622,0.914286,0.236842,0.000000,0.234604,0.461017,0.613208,0.872611,0.868709,0.338462,0.610169,0.854701,0.892562,0.890966,0.893485,0.914513,0.000000,0.000000,0.000000,0.000000,0.318584,0.617564,0.834875,0.910204,0.817768,0.895643,0.908184,0.905966
Qwen2.5-0.5B,0.012579,0.371429,0.534653,0.530612,0.614815,0.543779,0.668539,0.726619,0.764286,0.750000,0.816901,0.104167,0.000000,0.096154,0.238095,0.413793,0.290698,0.553957,0.210526,0.345455,0.536364,0.662207,0.681159,0.685039,0.736842,0.000000,0.000000,0.000000,0.000000,0.210526,0.440678,0.493274,0.718310,0.511057,0.587601,0.710526,0.700680
Qwen2.5-1.5B,0.050505,0.466321,0.691358,0.729805,0.713542,0.712788,0.782998,0.832905,0.835000,0.829396,0.838875,0.261682,0.000000,0.223684,0.373444,0.516129,0.688235,0.743935,0.301075,0.405904,0.713987,0.759124,0.794118,0.785530,0.839329,0.000000,0.000000,0.000000,0.000000,0.363636,0.570492,0.664615,0.813299,0.626168,0.734783,0.792711,0.799043
Qwen2.5-3B,0.085714,0.459677,0.772308,0.814241,0.820513,0.819843,0.843501,0.862411,0.863510,0.861813,0.867153,0.280992,0.000000,0.136170,0.399015,0.541667,0.821637,0.795858,0.181818,0.427230,0.788694,0.823856,0.847795,0.860759,0.872077,0.000000,0.000000,0.000000,0.000000,0.389381,0.649819,0.800664,0.842697,0.771982,0.814136,0.852503,0.860274
Qwen2.5-7B,0.070818,0.414791,0.842105,0.883067,0.874548,0.885343,0.892216,0.893669,0.897174,0.897022,0.911408,0.384025,0.000000,0.087137,0.378142,0.590909,0.886213,0.871111,0.113879,0.264000,0.846483,0.888225,0.897543,0.895397,0.895260,0.000000,0.000000,0.000000,0.000000,0.306569,0.760379,0.843819,0.904275,0.838384,0.884049,0.894675,0.892308
Qwen2.5-14B,0.077393,0.532637,0.843387,0.873921,0.882353,0.878145,0.887463,0.882828,0.897677,0.901902,0.908189,0.341693,0.000000,0.263566,0.431933,0.581064,0.874044,0.855586,0.515432,0.663812,0.852745,0.884211,0.896852,0.894789,0.902169,0.000000,0.000000,0.000000,0.000000,0.356436,0.589504,0.792376,0.887574,0.818334,0.875617,0.893411,0.901942
Qwen2.5-32B,0.092827,0.493421,0.873171,0.899485,0.910088,0.908316,0.920803,0.906696,0.917548,0.927568,0.923404,0.254181,0.000000,0.174216,0.357853,0.675214,0.910064,0.890160,0.400000,0.632075,0.868508,0.917471,0.921109,0.921794,0.926577,0.000000,0.000000,0.000000,0.000000,0.369748,0.690042,0.873786,0.927445,0.827014,0.918172,0.914826,0.916754
Qwen2.5-72B,0.079063,0.473684,0.862342,0.901013,0.889060,0.899214,0.904422,0.909224,0.912356,0.906296,0.916547,0.161725,0.000000,0.134454,0.478155,0.756098,0.905579,0.883426,0.083721,0.451053,0.874725,0.910778,0.917261,0.912181,0.915088,0.000000,0.000000,0.000000,0.000000,0.383234,0.711834,0.866253,0.917379,0.821287,0.913074,0.914245,0.914245
Llama3-1B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.666667,0.400000,0.000000,0.666667,1.000000
Llama3-3B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.153846,0.000000,0.000000,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.000000,0.000000,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.166667,0.000000,0.000000,0.200000,0.000000
Llama3-8B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.428571,0.400000,0.000000,0.500000,0.500000,0.444444,0.500000,0.000000,0.285714,0.285714,0.000000,0.000000,0.000000,1.000000,0.200000,0.000000,0.285714,0.250000,0.500000,0.181818,0.000000,0.000000,0.000000,0.000000,0.000000,0.285714,0.333333,0.400000,0.153846,0.307692,0.500000,0.200000
Llama3-70B-Base,0.000000,0.000000,0.000000,0.400000,0.250000,0.363636,0.272727,0.720000,0.750000,0.750000,0.800000,0.307692,0.000000,0.285714,0.363636,0.000000,0.352941,0.375000,0.000000,0.285714,0.375000,0.571429,0.375000,0.480000,0.615385,0.000000,0.000000,0.000000,0.000000,0.666667,0.285714,0.352941,0.482759,0.454545,0.551724,0.750000,0.687500
Llama3-1B,0.112903,0.433333,0.641026,0.710900,0.717131,0.601824,0.693603,0.801724,0.822511,0.790698,0.825112,0.081081,0.000000,0.096386,0.293706,0.465116,0.568182,0.673171,0.343750,0.406417,0.614379,0.676806,0.800000,0.794643,0.811715,0.000000,0.000000,0.000000,0.000000,0.400000,0.464088,0.564356,0.786325,0.591549,0.597403,0.761194,0.785714
Llama3-3B,0.068692,0.237197,0.783013,0.793882,0.803178,0.794521,0.815466,0.858268,0.864010,0.872270,0.888308,0.281853,0.000000,0.145833,0.250323,0.436242,0.802503,0.757506,0.335878,0.461832,0.744275,0.824519,0.863464,0.862091,0.876933,0.000000,0.000000,0.000000,0.000000,0.432161,0.582011,0.751592,0.851461,0.748120,0.809329,0.845411,0.851038
Llama3-8B,0.070404,0.430063,0.793388,0.833455,0.848030,0.833729,0.848305,0.866365,0.882243,0.883268,0.904548,0.330709,0.000000,0.132797,0.347725,0.536443,0.839867,0.824268,0.362283,0.472279,0.795165,0.856093,0.875387,0.871375,0.878732,0.000000,0.000000,0.000000,0.000000,0.364486,0.580588,0.793676,0.872928,0.799739,0.837627,0.860085,0.873703
Llama3-70B,0.068426,0.354610,0.856377,0.876223,0.895764,0.882824,0.895970,0.892114,0.901794,0.903632,0.901182,0.396899,0.000000,0.174727,0.366782,0.568266,0.878359,0.859640,0.342733,0.547529,0.871401,0.900000,0.896454,0.898305,0.901018,0.000000,0.000000,0.000000,0.000000,0.465649,0.667121,0.841840,0.893735,0.819895,0.890969,0.900558,0.893876
DeepSeek-1.5B,0.000000,0.500000,0.666667,0.666667,0.800000,0.600000,0.769231,0.818182,0.857143,0.736842,0.818182,0.400000,0.000000,0.545455,0.555556,0.444444,0.625000,0.695652,0.363636,0.666667,0.666667,0.857143,0.727273,0.842105,0.888889,0.000000,0.000000,0.000000,0.000000,0.000000,0.588235,0.761905,0.800000,0.363636,0.642857,0.750000,0.727273
DeepSeek-7B,0.000000,0.571429,0.740741,0.592593,0.689655,0.709677,0.666667,0.758621,0.785714,0.785714,0.733333,0.400000,0.000000,0.333333,0.692308,0.181818,0.720000,0.785714,0.727273,0.600000,0.666667,0.733333,0.785714,0.827586,0.785714,0.000000,0.000000,0.000000,0.000000,0.000000,0.642857,0.692308,0.733333,0.592593,0.687500,0.750000,0.687500
