solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.285714,0.000000,0.000000,0.250000,0.235294,0.242424,0.300000,0.421053,0.272727,0.500000,0.526316,0.222222,0.000000,0.000000,0.000000,0.000000,0.000000,0.272727,0.000000,0.190476,0.090909,0.200000,0.181818,0.421053,0.384615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.166667,0.230769,0.272727,0.416667,0.444444,0.307692
Qwen3-1.7B-Base,0.285714,0.500000,0.000000,0.000000,0.500000,0.153846,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.285714,0.153846,0.142857,0.000000,0.285714,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen3-4B-Base,0.219512,0.258065,0.270833,0.205882,0.358974,0.369748,0.333333,0.329412,0.329114,0.405797,0.400000,0.333333,0.444444,0.074074,0.320000,0.258065,0.337079,0.355932,0.421053,0.272727,0.247423,0.320000,0.315789,0.379310,0.346457,0.000000,0.000000,0.000000,0.000000,0.307692,0.277778,0.264151,0.313725,0.329412,0.330275,0.436782,0.418605
Qwen3-8B-Base,0.000000,0.476190,0.372881,0.428571,0.473684,0.327273,0.333333,0.378378,0.400000,0.358974,0.372093,0.117647,0.333333,0.400000,0.340426,0.258065,0.380952,0.368421,0.352941,0.285714,0.379310,0.431373,0.285714,0.382979,0.363636,0.000000,0.000000,0.000000,0.000000,0.000000,0.363636,0.484848,0.385965,0.322581,0.333333,0.340426,0.360000
Qwen3-14B-Base,0.108108,0.260870,0.295775,0.333333,0.320000,0.333333,0.304000,0.385321,0.431373,0.415094,0.433962,0.270270,0.000000,0.177778,0.272727,0.246914,0.323529,0.347826,0.277778,0.173077,0.313253,0.324675,0.335570,0.366197,0.355263,0.000000,0.000000,0.000000,0.000000,0.380952,0.240964,0.333333,0.348485,0.241379,0.328125,0.382609,0.347107
Qwen3-0.6B,0.318182,0.095238,0.114286,0.064516,0.160000,0.413333,0.320755,0.419580,0.444444,0.422764,0.347107,0.258065,0.000000,0.230769,0.400000,0.153846,0.361446,0.406780,0.277778,0.346939,0.400000,0.476190,0.459016,0.407080,0.446281,0.000000,0.000000,0.000000,0.000000,0.000000,0.312500,0.288889,0.467153,0.432432,0.409836,0.392857,0.500000
Qwen3-1.7B,0.193548,0.076923,0.062500,0.057143,0.200000,0.678261,0.527473,0.690265,0.568421,0.689655,0.666667,0.454545,0.000000,0.204082,0.363636,0.097561,0.645833,0.660550,0.352941,0.615385,0.678899,0.683761,0.706897,0.700855,0.689076,0.000000,0.000000,0.000000,0.000000,0.285714,0.679612,0.600000,0.650000,0.593407,0.634615,0.683761,0.690265
Qwen3-4B,0.285714,0.114286,0.037736,0.178571,0.489796,0.771429,0.550459,0.783217,0.666667,0.794702,0.797386,0.444444,0.750000,0.171429,0.511628,0.181818,0.763889,0.816327,0.192308,0.761062,0.763889,0.777778,0.828947,0.807947,0.800000,0.000000,0.000000,0.000000,0.000000,0.714286,0.751880,0.759690,0.810458,0.672269,0.751880,0.786667,0.792208
Qwen3-8B,0.291667,0.107143,0.067797,0.163934,0.380000,0.770370,0.630769,0.845638,0.625000,0.862275,0.882353,0.611111,0.800000,0.246914,0.574257,0.083333,0.825806,0.869565,0.266667,0.761905,0.848101,0.860759,0.869048,0.880952,0.869048,0.000000,0.000000,0.000000,0.000000,0.909091,0.871795,0.867925,0.887574,0.709677,0.829932,0.886228,0.875740
Qwen3-14B,0.137931,0.181818,0.032787,0.205128,0.592593,0.767296,0.598540,0.822857,0.705882,0.877005,0.870466,0.550000,0.285714,0.204545,0.527273,0.179487,0.840909,0.846154,0.340426,0.698630,0.810811,0.828729,0.844920,0.860104,0.849741,0.000000,0.000000,0.000000,0.000000,0.600000,0.818182,0.778443,0.873684,0.676259,0.783133,0.852459,0.855670
