solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.275000,0.532020,0.621701,0.655052,0.660436,0.732468,0.736842,0.733945,0.788235,0.759878,0.780781,0.233129,0.333333,0.327273,0.520833,0.618182,0.660377,0.660494,0.488095,0.587879,0.680519,0.654762,0.709677,0.739884,0.719033,0.000000,0.000000,0.000000,0.000000,0.485714,0.411523,0.578313,0.724551,0.732782,0.698795,0.752239,0.790831
Qwen3-1.7B-Base,0.132110,0.777610,0.909263,0.909461,0.916832,0.917536,0.939130,0.967099,0.975124,0.976977,0.982072,0.183445,0.769231,0.837274,0.691839,0.908342,0.927308,0.917874,0.796748,0.897275,0.907424,0.913165,0.946860,0.943689,0.955166,0.000000,0.000000,0.000000,0.000000,0.502793,0.571827,0.800546,0.955577,0.936759,0.956778,0.970588,0.970530
Qwen3-4B-Base,0.715125,0.790932,0.924559,0.937878,0.917829,0.942899,0.954700,0.974914,0.971963,0.975802,0.977843,0.284722,0.642857,0.290288,0.683627,0.803751,0.945565,0.953454,0.543779,0.899387,0.904594,0.948177,0.955094,0.963610,0.949304,0.000000,0.000000,0.000000,0.000000,0.563003,0.679562,0.821308,0.960120,0.948207,0.962421,0.967397,0.970760
Qwen3-8B-Base,0.166008,0.814371,0.934166,0.936854,0.935641,0.942105,0.953439,0.963356,0.966719,0.969280,0.970884,0.265425,0.708333,0.772401,0.750000,0.927882,0.944924,0.951374,0.677608,0.919079,0.942037,0.948140,0.958617,0.955068,0.957672,0.000000,0.000000,0.000000,0.000000,0.636364,0.551334,0.809865,0.947368,0.942765,0.954138,0.961680,0.968487
Qwen3-14B-Base,0.149038,0.822657,0.965426,0.955294,0.946498,0.957746,0.962015,0.975214,0.971915,0.976923,0.976982,0.282609,0.872727,0.832685,0.792831,0.939338,0.958406,0.963597,0.764706,0.951659,0.957663,0.962743,0.963937,0.967442,0.969749,0.000000,0.000000,0.000000,0.000000,0.590000,0.615861,0.824679,0.960725,0.944444,0.966780,0.974533,0.974120
Qwen3-0.6B,0.268390,0.199181,0.038981,0.376682,0.557534,0.885412,0.795929,0.761072,0.840336,0.910320,0.917117,0.402614,0.470588,0.530750,0.800000,0.796193,0.904698,0.892969,0.555411,0.868802,0.897742,0.898193,0.902942,0.906843,0.923630,0.000000,1.000000,0.000000,0.000000,0.819715,0.882056,0.882765,0.905778,0.792473,0.773348,0.920018,0.922107
Qwen3-1.7B,0.183267,0.190476,0.053892,0.295331,0.528069,0.954962,0.858711,0.792899,0.830014,0.956911,0.961740,0.529471,0.600000,0.503292,0.796646,0.862287,0.960912,0.953985,0.514215,0.922866,0.954158,0.958199,0.959102,0.960321,0.962219,0.000000,0.000000,0.000000,0.000000,0.864461,0.946716,0.941919,0.960611,0.829245,0.781373,0.957507,0.963739
Qwen3-4B,0.200378,0.254585,0.047337,0.288325,0.582176,0.967427,0.864816,0.796323,0.849955,0.972310,0.976854,0.542339,0.690909,0.535643,0.823529,0.885291,0.977479,0.972586,0.512224,0.941593,0.971112,0.975265,0.976489,0.976471,0.976107,0.000000,0.000000,0.000000,0.000000,0.844765,0.967951,0.958657,0.976107,0.833870,0.796786,0.973249,0.976471
Qwen3-8B,0.169145,0.196987,0.044313,0.317703,0.547506,0.970457,0.857399,0.802517,0.843821,0.975861,0.981532,0.605485,0.677966,0.538978,0.838903,0.854976,0.981804,0.978469,0.368065,0.956637,0.973810,0.979929,0.979576,0.979592,0.981162,0.000000,0.000000,0.000000,0.000000,0.891046,0.964927,0.967899,0.980008,0.837739,0.812909,0.976359,0.979976
Qwen3-14B,0.257563,0.170160,0.038781,0.459184,0.607920,0.972581,0.880140,0.819971,0.858022,0.978490,0.981337,0.472309,0.454545,0.626016,0.833996,0.885625,0.979495,0.978235,0.583732,0.958148,0.978389,0.980941,0.980545,0.981748,0.980545,0.000000,0.000000,0.000000,0.000000,0.872247,0.967431,0.969988,0.982143,0.854586,0.832270,0.978142,0.981352
Qwen3-32B,0.276870,0.212471,0.044017,0.476923,0.617940,0.974502,0.881608,0.811229,0.864078,0.976489,0.982511,0.498436,0.621622,0.656021,0.862959,0.885407,0.982691,0.979850,0.565909,0.962995,0.974480,0.981323,0.982157,0.982919,0.982524,0.000000,0.000000,0.000000,0.000000,0.880423,0.978977,0.969380,0.983301,0.855471,0.822499,0.979688,0.982511
Qwen2.5-0.5B-Base,0.204545,0.579439,0.611399,0.674419,0.771242,0.752941,0.838710,0.902778,0.895105,0.900000,0.929577,0.063492,0.500000,0.540984,0.554217,0.713376,0.777070,0.736196,0.439560,0.563380,0.604651,0.649215,0.810127,0.859060,0.875000,0.000000,0.000000,0.000000,0.000000,0.372093,0.421875,0.714286,0.879433,0.776471,0.868966,0.923077,0.930556
Qwen2.5-1.5B-Base,0.285714,0.363636,0.578947,0.744186,0.600000,0.754717,0.782609,0.808511,0.875000,0.844444,0.826087,0.000000,0.250000,0.250000,0.461538,0.628571,0.600000,0.695652,0.322581,0.604651,0.640000,0.720000,0.846154,0.880000,0.851064,0.000000,0.000000,0.000000,0.000000,0.416667,0.228571,0.514286,0.727273,0.576923,0.641509,0.755556,0.938776
