solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.000000,0.100000,0.493151,0.409091,0.729412,0.677966,0.702128,0.838710,0.891089,0.909091,0.937500,0.416667,0.000000,0.193548,0.203390,0.558140,0.605263,0.817204,0.357143,0.175439,0.526316,0.595238,0.804124,0.817204,0.893204,0.000000,0.000000,0.000000,0.000000,0.250000,0.352941,0.615385,0.871287,0.590909,0.714286,0.854369,0.816327
Qwen3-1.7B-Base,0.200000,0.222222,0.555556,0.533333,0.625000,0.444444,0.705882,0.769231,0.625000,0.833333,0.714286,0.000000,0.000000,0.000000,0.615385,0.500000,0.666667,0.714286,0.666667,0.500000,0.588235,0.625000,0.714286,0.714286,0.800000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.461538,0.800000,0.631579,0.470588,0.714286,0.615385
Qwen3-4B-Base,0.302632,0.562963,0.724280,0.724771,0.860927,0.727941,0.731343,0.877551,0.870748,0.904762,0.915825,0.376238,0.333333,0.450450,0.678261,0.562092,0.824818,0.807407,0.460000,0.475676,0.674510,0.821918,0.865772,0.843537,0.829787,0.000000,0.000000,0.000000,0.000000,0.425532,0.512315,0.661088,0.868687,0.745387,0.840000,0.857143,0.854305
Qwen3-8B-Base,0.106383,0.629213,0.760736,0.772152,0.854054,0.781250,0.827225,0.827225,0.852632,0.842697,0.886486,0.414634,0.000000,0.325581,0.704403,0.673077,0.834286,0.773810,0.557377,0.578125,0.751445,0.823529,0.858639,0.874317,0.851064,0.000000,0.000000,0.000000,0.000000,0.250000,0.406504,0.740741,0.864865,0.726257,0.855670,0.851064,0.857143
Qwen3-14B-Base,0.085470,0.760331,0.892779,0.886364,0.904459,0.879828,0.889362,0.910638,0.910256,0.907489,0.919037,0.417062,0.000000,0.424528,0.705202,0.694611,0.892779,0.863014,0.548780,0.554140,0.874725,0.917548,0.919149,0.907563,0.914405,0.000000,0.000000,0.000000,0.000000,0.375000,0.651558,0.831909,0.899160,0.824356,0.895075,0.903640,0.905983
Qwen3-0.6B,0.356808,0.041237,0.062016,0.206349,0.443548,0.671642,0.547692,0.552189,0.635802,0.775068,0.787402,0.234043,0.333333,0.223464,0.608696,0.349515,0.677741,0.720430,0.585366,0.547945,0.705882,0.732824,0.768844,0.797872,0.809524,0.000000,0.000000,0.000000,0.000000,0.444444,0.677507,0.688705,0.771930,0.591716,0.689295,0.733167,0.778055
Qwen3-1.7B,0.108108,0.039735,0.136054,0.128000,0.639118,0.778495,0.699531,0.706468,0.693587,0.857143,0.863636,0.280992,0.000000,0.281250,0.660969,0.350365,0.844898,0.848249,0.602740,0.620061,0.822811,0.845070,0.865275,0.884615,0.883810,0.000000,0.000000,0.000000,0.000000,0.461538,0.829268,0.832998,0.868571,0.683938,0.809322,0.853229,0.875240
Qwen3-4B,0.173913,0.054795,0.125786,0.157895,0.683168,0.819473,0.749436,0.743119,0.707483,0.871893,0.922801,0.162602,0.000000,0.316151,0.670213,0.426332,0.928702,0.903704,0.666667,0.727273,0.883019,0.901670,0.923077,0.926391,0.923913,0.000000,0.000000,0.000000,0.000000,0.627451,0.897881,0.906667,0.926655,0.703242,0.875740,0.923077,0.921147
Qwen3-8B,0.123810,0.113924,0.144444,0.111111,0.726027,0.845691,0.701124,0.745370,0.800830,0.868571,0.944251,0.230769,0.000000,0.304498,0.617347,0.348387,0.922523,0.930657,0.592593,0.696809,0.902752,0.914390,0.943463,0.947552,0.943860,0.000000,0.000000,0.000000,0.000000,0.608696,0.903346,0.919926,0.944251,0.707617,0.849315,0.939929,0.942408
Qwen3-14B,0.152542,0.039216,0.132597,0.142012,0.763393,0.882353,0.773913,0.793028,0.746781,0.896030,0.949212,0.139535,0.000000,0.372093,0.625000,0.446429,0.930233,0.927007,0.625850,0.719160,0.902622,0.894737,0.945899,0.949389,0.952548,0.000000,0.000000,0.000000,0.000000,0.607143,0.908068,0.921389,0.947552,0.788288,0.885880,0.934046,0.945518
Qwen3-32B,0.108333,0.067114,0.098361,0.160428,0.747706,0.847656,0.754881,0.780269,0.762712,0.902256,0.939130,0.135135,0.000000,0.415842,0.624041,0.471976,0.932862,0.933810,0.702290,0.723514,0.901460,0.905797,0.938918,0.938918,0.937282,0.000000,0.000000,0.000000,0.000000,0.736842,0.933579,0.913444,0.937500,0.765133,0.893536,0.929078,0.935428
