solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.103448,0.157895,0.516854,0.338462,0.647619,0.560000,0.635514,0.680000,0.733945,0.754717,0.747664,0.393443,0.000000,0.125000,0.293333,0.400000,0.574713,0.723810,0.391304,0.232558,0.500000,0.476190,0.679245,0.703704,0.679245,0.000000,0.000000,0.000000,0.000000,0.292683,0.469136,0.465753,0.643478,0.591837,0.608696,0.691589,0.692308
Qwen3-1.7B-Base,0.000000,0.300000,0.342857,0.424242,0.411765,0.263158,0.388889,0.444444,0.411765,0.411765,0.470588,0.000000,0.000000,0.400000,0.258065,0.166667,0.294118,0.411765,0.000000,0.320000,0.243902,0.358974,0.450000,0.411765,0.457143,0.000000,0.000000,0.000000,0.000000,0.000000,0.333333,0.222222,0.333333,0.324324,0.410256,0.444444,0.486486
Qwen3-4B-Base,0.285714,0.479339,0.568807,0.533981,0.715278,0.566802,0.604839,0.712727,0.725275,0.736059,0.761905,0.500000,0.000000,0.250000,0.582960,0.381579,0.689139,0.694656,0.388889,0.426667,0.527778,0.659341,0.700000,0.700000,0.648855,0.000000,0.000000,0.000000,0.000000,0.407407,0.389189,0.598039,0.724739,0.582996,0.712727,0.725979,0.711268
Qwen3-8B-Base,0.072727,0.542857,0.488189,0.542056,0.625000,0.557143,0.651163,0.639344,0.634921,0.689076,0.710744,0.255319,0.000000,0.311111,0.576271,0.518519,0.650000,0.634921,0.436364,0.444444,0.516129,0.635659,0.597015,0.629032,0.635659,0.000000,0.000000,0.000000,0.000000,0.260870,0.303797,0.563107,0.618705,0.598291,0.615385,0.645669,0.661538
Qwen3-14B-Base,0.123077,0.592965,0.707317,0.712195,0.734884,0.707547,0.748235,0.764151,0.764151,0.770335,0.786730,0.310811,0.000000,0.394089,0.563636,0.556604,0.739535,0.728972,0.364964,0.398496,0.697115,0.737327,0.743764,0.757370,0.776256,0.000000,0.000000,0.000000,0.000000,0.303030,0.530201,0.601227,0.757370,0.643979,0.732861,0.755149,0.767442
Qwen3-0.6B,0.331606,0.019048,0.063492,0.244898,0.336134,0.670130,0.582822,0.685714,0.710383,0.818859,0.830380,0.358491,0.666667,0.290000,0.591640,0.314286,0.764228,0.758621,0.508671,0.580645,0.731591,0.726392,0.787589,0.832918,0.829630,0.000000,0.000000,0.000000,0.000000,0.700000,0.728723,0.704301,0.780600,0.583333,0.699187,0.788462,0.778302
Qwen3-1.7B,0.182741,0.049080,0.134969,0.185185,0.461538,0.792952,0.664987,0.774194,0.712963,0.882353,0.887619,0.359375,0.000000,0.214286,0.644258,0.417808,0.882812,0.880157,0.262774,0.725888,0.862275,0.882012,0.882129,0.885496,0.887619,0.000000,0.000000,0.000000,0.000000,0.634921,0.814050,0.798301,0.889734,0.603878,0.805970,0.891473,0.885057
Qwen3-4B,0.113990,0.047904,0.157895,0.245810,0.538259,0.807377,0.682028,0.801743,0.762712,0.913357,0.924694,0.348993,0.666667,0.291815,0.716495,0.524862,0.900542,0.907143,0.402235,0.778802,0.876155,0.895028,0.918728,0.915194,0.921986,0.000000,0.000000,0.000000,0.000000,0.666667,0.883810,0.881356,0.923077,0.632603,0.844794,0.917563,0.926316
Qwen3-8B,0.133929,0.046784,0.104167,0.186528,0.570720,0.808333,0.683036,0.817987,0.770186,0.931699,0.950257,0.328571,0.800000,0.352159,0.691729,0.429851,0.931459,0.927944,0.382166,0.785553,0.915194,0.924162,0.943005,0.941581,0.946644,0.000000,0.000000,0.000000,0.000000,0.647887,0.895911,0.907776,0.945205,0.620347,0.824219,0.935652,0.941781
Qwen3-14B,0.118143,0.071006,0.077778,0.184783,0.600496,0.800000,0.671264,0.811715,0.784232,0.914286,0.946274,0.219178,0.666667,0.349315,0.716707,0.461538,0.925267,0.920578,0.472222,0.763723,0.905797,0.912656,0.931699,0.939130,0.942609,0.000000,0.000000,0.000000,0.000000,0.638298,0.913444,0.916058,0.940972,0.577320,0.843750,0.925000,0.938918
