solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.160804,0.433121,0.188235,0.208589,0.174419,0.188552,0.300429,0.534351,0.555985,0.309091,0.401515,0.105263,0.125000,0.068966,0.240602,0.074534,0.066667,0.123223,0.149425,0.132353,0.233333,0.121212,0.224638,0.186992,0.184100,0.000000,0.000000,0.000000,0.000000,0.371212,0.164384,0.148571,0.201681,0.275862,0.298851,0.464646,0.470588
Qwen3-1.7B-Base,0.175676,0.520325,0.449275,0.561644,0.516854,0.808081,0.800000,0.825871,0.767677,0.740741,0.744000,0.546763,0.333333,0.350000,0.656126,0.272727,0.347826,0.424581,0.452381,0.504587,0.648438,0.633028,0.718615,0.743802,0.655022,0.000000,0.000000,0.000000,0.000000,0.519337,0.574257,0.356688,0.682243,0.000000,0.608696,0.820276,0.831461
Qwen3-4B-Base,0.090909,0.791667,0.826855,0.853202,0.831941,0.898140,0.957447,0.965939,0.975000,0.958707,0.958996,0.624809,0.521739,0.146444,0.862295,0.626026,0.579572,0.825688,0.552585,0.789932,0.841137,0.654388,0.925865,0.930710,0.920712,0.000000,0.000000,0.000000,0.000000,0.678692,0.606848,0.432285,0.897371,0.794521,0.681818,0.961404,0.958231
Qwen3-8B-Base,0.093144,0.802857,0.842023,0.888716,0.881129,0.913806,0.972686,0.978629,0.969786,0.951009,0.973574,0.697970,0.391304,0.220779,0.847283,0.554393,0.683746,0.856296,0.476723,0.835772,0.872549,0.682759,0.929014,0.934165,0.935528,0.000000,0.000000,0.000000,0.000000,0.686747,0.704225,0.427293,0.907158,0.800000,0.913793,0.958153,0.976680
Qwen3-14B-Base,0.087937,0.908778,0.934934,0.961421,0.973603,0.960630,0.987670,0.993247,0.992462,0.973039,0.991706,0.609642,0.533333,0.253314,0.859515,0.744921,0.837912,0.952836,0.714495,0.898630,0.940120,0.907952,0.971057,0.982249,0.977621,0.000000,0.000000,0.000000,0.000000,0.783012,0.819310,0.395161,0.967665,0.875536,0.852071,0.982043,0.987104
Qwen3-0.6B,0.546201,0.396460,0.025641,0.557769,0.857621,0.749792,0.688285,0.919598,0.937500,0.889248,0.916472,0.667656,0.521739,0.439372,0.612524,0.443570,0.839138,0.841867,0.152918,0.724083,0.785355,0.813296,0.873630,0.909792,0.854015,0.000000,0.000000,0.000000,0.000000,0.734903,0.763402,0.720403,0.869565,0.581132,0.742138,0.858232,0.899471
Qwen3-1.7B,0.496894,0.347619,0.069498,0.583501,0.910865,0.911685,0.863905,0.988206,0.987781,0.971429,0.981439,0.686248,0.272727,0.477448,0.787836,0.715524,0.982436,0.983587,0.162630,0.843455,0.956316,0.978650,0.978748,0.981588,0.979920,0.000000,0.000000,0.000000,0.000000,0.875240,0.978597,0.925179,0.971920,0.742081,0.864198,0.926864,0.982719
Qwen3-4B,0.525912,0.481928,0.103571,0.790837,0.945946,0.887290,0.873484,0.997135,0.997792,0.980680,0.999359,0.716876,0.470588,0.557191,0.778481,0.744551,0.996785,0.995446,0.172185,0.904965,0.973009,0.999359,0.998078,0.998720,0.998720,0.000000,0.000000,0.000000,0.000000,0.933071,0.984214,0.917889,0.996149,0.725451,0.883598,0.992672,0.998720
Qwen3-8B,0.450980,0.303571,0.173913,0.569444,0.889831,0.584615,0.803419,0.960784,0.965517,0.940397,0.994186,0.732394,0.363636,0.437870,0.853242,0.597285,0.982036,0.985251,0.060000,0.866667,0.954955,0.988372,0.991304,0.997085,0.994186,0.000000,0.000000,0.000000,0.000000,0.811594,0.982249,0.892704,0.994186,0.768000,0.951724,0.956229,0.994186
Qwen3-14B,0.512614,0.384892,0.041237,0.746494,0.920090,0.902581,0.836812,0.991176,0.996221,0.986960,0.992691,0.764444,0.774194,0.483709,0.827258,0.573171,0.993915,0.990437,0.286275,0.914498,0.972128,0.992622,0.994020,0.993996,0.988719,0.000000,0.000000,0.000000,0.000000,0.895270,0.964925,0.882261,0.992632,0.711712,0.889460,0.989488,0.994674
Qwen3-32B,0.570429,0.916803,0.077052,0.898858,0.990350,0.975845,0.992202,0.998217,0.997622,0.998217,0.998217,0.814935,0.632479,0.199536,0.919689,0.416667,0.993433,0.978022,0.824974,0.804012,0.950840,0.982498,0.997026,0.998217,0.998217,0.000000,0.000000,0.000000,0.000000,0.825356,0.885180,0.730711,0.998217,0.950820,0.981201,0.997022,0.998217
Qwen2.5-0.5B-Base,0.088496,0.000000,0.050000,0.000000,0.000000,0.074074,0.243902,0.500000,0.444444,0.615385,0.470588,0.075472,0.000000,0.000000,0.075000,0.095238,0.000000,0.153846,0.050000,0.042553,0.120000,0.117647,0.333333,0.000000,0.187500,0.000000,0.000000,0.000000,0.000000,0.024691,0.000000,0.000000,0.222222,0.107143,0.172414,0.333333,0.480000
Qwen2.5-1.5B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen2.5-3B-Base,0.118919,0.636852,0.591224,0.705285,0.733785,0.812554,0.924855,0.941176,0.937247,0.945565,0.941296,0.398792,0.545455,0.274662,0.710728,0.317291,0.415038,0.687430,0.520231,0.673978,0.742557,0.462173,0.788550,0.809747,0.809437,0.000000,0.000000,0.000000,0.000000,0.620087,0.491443,0.302362,0.755245,0.823427,0.893738,0.892100,0.939571
Qwen2.5-7B-Base,0.153226,0.698413,0.674419,0.733591,0.741104,0.848101,0.890951,0.948503,0.956938,0.949881,0.947867,0.479592,0.583333,0.272076,0.765714,0.448669,0.611872,0.741463,0.404432,0.696429,0.747228,0.572289,0.850549,0.870748,0.865106,0.000000,0.000000,0.000000,0.000000,0.649275,0.576471,0.327273,0.823793,0.822126,0.915636,0.929224,0.957422
Qwen2.5-14B-Base,0.112821,0.736048,0.721274,0.748344,0.731392,0.898836,0.959559,0.979284,0.974456,0.972667,0.969014,0.604317,0.533333,0.180294,0.803502,0.492625,0.556005,0.747014,0.462777,0.796646,0.827264,0.485014,0.878788,0.900866,0.917603,0.000000,0.000000,0.000000,0.000000,0.685912,0.550649,0.296412,0.870317,0.905188,0.946593,0.964880,0.964815
Qwen2.5-32B-Base,0.099828,0.678295,0.720183,0.845624,0.859375,0.893204,0.963096,0.986989,0.985130,0.986072,0.977941,0.715789,0.666667,0.305970,0.808061,0.465116,0.566186,0.862974,0.533917,0.789247,0.849590,0.656506,0.913514,0.933579,0.925000,0.000000,0.000000,0.000000,0.000000,0.641371,0.565707,0.308642,0.896488,0.905560,0.947368,0.958484,0.974312
Qwen2.5-72B-Base,0.148344,0.810720,0.808688,0.891513,0.907127,0.924167,0.979476,0.995677,0.997110,0.993539,0.984308,0.608000,0.666667,0.292020,0.826154,0.424757,0.500539,0.897250,0.412574,0.811321,0.874269,0.691489,0.942416,0.961953,0.946853,0.000000,0.000000,0.000000,0.000000,0.688995,0.600976,0.304348,0.930836,0.927821,0.969825,0.972438,0.982232
Qwen2.5-0.5B,0.000000,0.000000,0.000000,0.000000,0.000000,0.017778,0.041667,0.307692,0.333333,0.333333,0.250000,0.000000,0.000000,0.000000,0.018692,0.000000,0.000000,0.037037,0.019048,0.009901,0.013746,0.000000,0.035398,0.090909,0.012658,0.000000,0.000000,0.000000,0.000000,0.000000,0.009390,0.000000,0.105263,0.010309,0.033333,0.125000,0.085106
Qwen2.5-1.5B,0.109804,0.467433,0.525843,0.590361,0.610169,0.716578,0.889371,0.941725,0.946387,0.941176,0.938967,0.432203,0.000000,0.336000,0.620408,0.262009,0.172131,0.532609,0.284314,0.556391,0.675229,0.334405,0.708046,0.744526,0.751592,0.000000,0.000000,0.000000,0.000000,0.521561,0.445596,0.239130,0.650367,0.745455,0.862579,0.907895,0.909091
Qwen2.5-3B,0.114458,0.663830,0.729600,0.772821,0.787527,0.835312,0.943785,0.985985,0.987552,0.988430,0.980360,0.534923,0.400000,0.254025,0.725061,0.652695,0.593952,0.771930,0.587879,0.717647,0.794721,0.713191,0.846269,0.861912,0.833089,0.000000,0.000000,0.000000,0.000000,0.626263,0.640429,0.335553,0.822206,0.838519,0.913010,0.944844,0.954984
Qwen2.5-7B,0.097884,0.749601,0.802001,0.836915,0.858793,0.863130,0.930047,0.984485,0.985896,0.981690,0.973501,0.556667,0.571429,0.322581,0.783265,0.597209,0.588686,0.837596,0.496154,0.803625,0.842867,0.760646,0.875717,0.888745,0.873724,0.000000,0.000000,0.000000,0.000000,0.661290,0.635294,0.324201,0.867233,0.872914,0.905263,0.942838,0.948008
Qwen2.5-14B,0.086822,0.884615,0.900870,0.940610,0.945338,0.938373,0.985484,0.997547,0.999182,0.995925,0.991883,0.657658,1.000000,0.363929,0.821691,0.695558,0.657143,0.938547,0.650735,0.876268,0.921292,0.876424,0.957006,0.968624,0.963608,0.000000,0.000000,0.000000,0.000000,0.747644,0.704428,0.361673,0.947707,0.952998,0.975806,0.984690,0.986279
