solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.642857,0.545455,0.714286,0.333333,0.400000,0.533333,0.666667,0.466667,0.285714,0.333333,0.400000,0.625000,1.000000,1.000000,0.357143,0.785714,0.642857,0.400000,0.900000,0.333333,0.266667,0.333333,0.466667,0.466667,0.533333,1.000000,1.000000,1.000000,1.000000,0.800000,0.866667,0.428571,0.533333,0.384615,0.500000,0.285714,0.333333
Qwen3-1.7B-Base,0.924242,0.391304,0.078125,0.061538,0.073529,0.181818,0.104478,0.059701,0.060606,0.059701,0.059701,0.913043,0.222222,0.814815,0.106061,0.164179,0.073529,0.014706,0.787234,0.200000,0.000000,0.000000,0.029412,0.014706,0.029412,1.000000,1.000000,1.000000,1.000000,0.727273,0.514706,0.396552,0.117647,0.163934,0.089552,0.060606,0.045455
Qwen3-4B-Base,0.200980,0.506410,0.174312,0.125581,0.094170,0.157407,0.127962,0.057416,0.044776,0.061611,0.069767,0.617188,0.600000,0.959184,0.247619,0.361991,0.139013,0.035874,0.917910,0.462366,0.271493,0.044843,0.053812,0.062780,0.040359,1.000000,1.000000,1.000000,1.000000,0.696429,0.483568,0.396135,0.122172,0.326087,0.145540,0.055556,0.060748
Qwen3-8B-Base,0.913462,0.510490,0.200957,0.156863,0.169014,0.236967,0.150000,0.055000,0.085000,0.089109,0.068293,0.928571,0.409091,0.854651,0.262376,0.312500,0.220657,0.132701,0.715278,0.256831,0.089202,0.102804,0.070093,0.098131,0.122642,1.000000,1.000000,1.000000,1.000000,0.769231,0.605000,0.423729,0.166667,0.304348,0.128079,0.093596,0.068627
Qwen3-14B-Base,0.916944,0.512097,0.235294,0.136667,0.126214,0.192053,0.199324,0.093103,0.059441,0.105802,0.083056,0.942982,0.750000,0.733051,0.270903,0.275974,0.207792,0.094156,0.826923,0.308271,0.087948,0.077419,0.106452,0.103226,0.116505,1.000000,1.000000,1.000000,1.000000,0.859375,0.596610,0.472868,0.165049,0.323529,0.154362,0.103679,0.074074
Qwen3-0.6B,0.742857,0.909091,0.978873,0.514286,0.556962,0.086614,0.305195,0.056962,0.245283,0.025000,0.025000,0.550725,0.478261,0.904110,0.500000,0.800000,0.056962,0.032258,0.930233,0.110345,0.093750,0.031250,0.018750,0.006250,0.025000,1.000000,1.000000,1.000000,1.000000,0.657895,0.044586,0.100000,0.031250,0.318519,0.225000,0.031250,0.012500
Qwen3-1.7B,0.725490,0.884393,0.954704,0.433898,0.435045,0.061069,0.297806,0.030395,0.155689,0.005988,0.000000,0.496403,0.490909,0.900356,0.577181,0.901235,0.030303,0.027778,0.916981,0.096463,0.039039,0.023952,0.014970,0.002994,0.008982,1.000000,1.000000,1.000000,1.000000,0.484848,0.018127,0.100917,0.011976,0.315385,0.074850,0.012048,0.002994
Qwen3-4B,0.722222,0.913043,0.945946,0.370667,0.387952,0.072327,0.253133,0.028986,0.129808,0.004819,0.004808,0.534759,0.609756,0.884298,0.506667,0.888514,0.016867,0.026895,0.922849,0.111111,0.055690,0.012019,0.000000,0.002404,0.002404,1.000000,1.000000,1.000000,1.000000,0.465753,0.017157,0.058680,0.002404,0.244582,0.074519,0.004843,0.004808
Qwen3-8B,0.678862,0.895522,0.951140,0.382090,0.394022,0.066901,0.228169,0.035519,0.148649,0.000000,0.002703,0.506098,0.540541,0.817035,0.534125,0.909420,0.019178,0.005464,0.920266,0.096677,0.043360,0.002703,0.002703,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.375000,0.005464,0.054054,0.005405,0.311864,0.070845,0.005405,0.000000
Qwen3-14B,0.672794,0.884120,0.956164,0.341146,0.362791,0.065282,0.259080,0.032710,0.104408,0.002320,0.000000,0.462766,0.588235,0.872928,0.478149,0.872964,0.021277,0.011962,0.914201,0.093434,0.042056,0.009281,0.002320,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.285714,0.007042,0.063529,0.002326,0.309375,0.064965,0.000000,0.002320
