solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.950000,1.000000,0.842105,0.944444,0.550000,0.300000,0.700000,0.250000,0.350000,0.200000,0.050000,0.750000,1.000000,0.909091,0.529412,1.000000,0.631579,0.450000,1.000000,0.933333,0.850000,0.550000,0.200000,0.100000,0.100000,1.000000,1.000000,1.000000,1.000000,0.666667,0.900000,0.526316,0.050000,0.538462,0.300000,0.100000,0.050000
Qwen3-1.7B-Base,1.000000,0.000000,0.666667,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.500000,1.000000,0.500000,0.000000,0.333333,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.666667,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen3-4B-Base,0.679775,0.766129,0.230769,0.272300,0.168067,0.189076,0.204167,0.091667,0.062500,0.087500,0.070833,0.808219,1.000000,0.966667,0.518182,0.738854,0.208511,0.398190,0.739130,0.721311,0.539749,0.150000,0.108333,0.108333,0.133333,1.000000,1.000000,1.000000,1.000000,0.708333,0.620690,0.341232,0.120833,0.211207,0.162500,0.083333,0.050000
Qwen3-8B-Base,0.931193,0.729323,0.222222,0.261780,0.200000,0.140271,0.085973,0.180995,0.099548,0.162896,0.104072,0.673759,0.000000,0.900000,0.351485,0.460938,0.259091,0.368182,0.608696,0.642857,0.212670,0.158371,0.162896,0.167421,0.085973,1.000000,1.000000,1.000000,1.000000,0.793103,0.641860,0.256158,0.108597,0.202899,0.085973,0.081448,0.104072
Qwen3-14B-Base,0.972414,0.538206,0.132296,0.088975,0.081174,0.054795,0.041096,0.089041,0.034247,0.082192,0.041096,0.697674,1.000000,0.847682,0.687266,0.450000,0.097770,0.153846,0.687151,0.609562,0.125214,0.075342,0.056507,0.061644,0.023973,1.000000,1.000000,1.000000,1.000000,0.707071,0.600713,0.253968,0.068847,0.201413,0.058219,0.027397,0.032534
Qwen3-0.6B,0.745234,0.984733,0.979210,0.959906,0.588326,0.114977,0.411411,0.723926,0.118619,0.087087,0.066165,0.908616,0.166667,0.834630,0.370184,0.862500,0.355522,0.126316,0.277108,0.466437,0.151652,0.090090,0.064565,0.079580,0.046547,1.000000,1.000000,1.000000,1.000000,0.568182,0.287651,0.224556,0.045045,0.331279,0.191424,0.069173,0.063063
Qwen3-1.7B,0.900000,0.978070,0.938640,0.961883,0.414832,0.099315,0.404977,0.578327,0.122034,0.088435,0.025959,0.887059,0.166667,0.870423,0.417513,0.864090,0.101580,0.091525,0.598662,0.369081,0.111612,0.075536,0.018038,0.016911,0.015784,1.000000,1.000000,1.000000,1.000000,0.650602,0.179342,0.136000,0.020293,0.325387,0.177143,0.050847,0.027057
Qwen3-4B,0.948370,0.974522,0.938412,0.961066,0.361229,0.139004,0.395683,0.559957,0.114872,0.071061,0.012308,0.926978,1.000000,0.855110,0.384270,0.831257,0.074872,0.113846,0.552083,0.346887,0.097336,0.055328,0.012295,0.011270,0.016393,1.000000,1.000000,1.000000,1.000000,0.554622,0.163561,0.113636,0.012295,0.331183,0.150884,0.047228,0.019467
Qwen3-8B,0.959405,0.967146,0.949686,0.954825,0.362334,0.129779,0.388503,0.524202,0.110891,0.123383,0.009921,0.885922,1.000000,0.838471,0.416295,0.784958,0.046720,0.096040,0.685393,0.325466,0.096040,0.053412,0.006924,0.008902,0.015826,1.000000,1.000000,1.000000,1.000000,0.585185,0.156530,0.108000,0.009891,0.328277,0.192965,0.050445,0.013848
Qwen3-14B,0.948101,0.987207,0.941860,0.960317,0.321577,0.140062,0.380182,0.544008,0.097980,0.083418,0.010121,0.957364,0.000000,0.849351,0.381166,0.828004,0.040609,0.093939,0.540146,0.268617,0.108081,0.071717,0.009091,0.013131,0.015152,1.000000,1.000000,1.000000,1.000000,0.523364,0.116633,0.095337,0.015152,0.325806,0.171779,0.052685,0.015152
Qwen3-32B,0.946979,0.975501,0.941441,0.952118,0.336673,0.131683,0.399805,0.519918,0.107004,0.109696,0.007775,0.961606,1.000000,0.845052,0.443038,0.810363,0.026419,0.067186,0.505300,0.235453,0.097466,0.061224,0.006803,0.007775,0.010690,1.000000,1.000000,1.000000,1.000000,0.630137,0.069472,0.071142,0.007775,0.326294,0.166175,0.039922,0.012634
Qwen2.5-0.5B-Base,1.000000,1.000000,1.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.500000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.000000,0.500000,0.500000,0.000000,0.000000
Qwen2.5-1.5B-Base,1.000000,1.000000,0.750000,0.500000,0.500000,0.500000,0.250000,0.250000,0.250000,0.250000,0.250000,0.500000,1.000000,1.000000,0.333333,0.500000,0.500000,0.750000,1.000000,0.500000,0.250000,0.250000,0.250000,0.250000,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,0.750000,0.666667,0.000000,0.500000,0.500000,0.250000,0.000000
Qwen2.5-3B-Base,0.891892,0.586207,0.228571,0.194444,0.078947,0.105263,0.105263,0.184211,0.052632,0.131579,0.078947,0.714286,1.000000,0.757576,0.571429,0.428571,0.270270,0.216216,0.571429,0.515152,0.263158,0.131579,0.078947,0.131579,0.078947,1.000000,1.000000,1.000000,1.000000,1.000000,0.578947,0.200000,0.157895,0.243243,0.105263,0.078947,0.078947
Qwen2.5-7B-Base,0.959720,0.737342,0.214029,0.190476,0.106087,0.068847,0.051546,0.121993,0.054983,0.104811,0.048110,0.873720,0.333333,0.891813,0.773256,0.553648,0.210708,0.232143,0.813953,0.500942,0.146048,0.087629,0.085911,0.087629,0.022337,1.000000,1.000000,1.000000,1.000000,0.704545,0.574733,0.236111,0.085911,0.221416,0.070447,0.054983,0.060137
Qwen2.5-14B-Base,0.967213,0.601695,0.272222,0.365269,0.183784,0.096774,0.069892,0.166667,0.112903,0.107527,0.064516,0.631579,1.000000,0.768595,0.546512,0.375000,0.326087,0.397849,0.527778,0.429412,0.268817,0.166667,0.150538,0.182796,0.048387,1.000000,1.000000,1.000000,1.000000,0.767442,0.881081,0.341176,0.075269,0.286550,0.081081,0.080645,0.102151
Qwen2.5-32B-Base,0.960432,0.569733,0.292818,0.308642,0.176471,0.090586,0.086879,0.168440,0.109929,0.115248,0.099291,0.776504,0.625000,0.702006,0.586826,0.436047,0.258929,0.309783,0.539855,0.409274,0.287234,0.191489,0.141844,0.147163,0.088652,1.000000,1.000000,1.000000,1.000000,0.813084,0.809091,0.352362,0.120996,0.255361,0.117021,0.092199,0.097518
Qwen2.5-72B-Base,0.941810,0.629496,0.157175,0.165865,0.095238,0.047109,0.036403,0.089936,0.040685,0.070664,0.040685,0.864151,1.000000,0.859649,0.674641,0.518519,0.118026,0.131291,0.780000,0.520581,0.143469,0.074946,0.081370,0.074946,0.014989,1.000000,1.000000,1.000000,1.000000,0.800000,0.519824,0.204030,0.040860,0.205752,0.053533,0.025696,0.040685
