solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.800000,1.000000,1.000000,0.800000,0.600000,0.200000,0.400000,0.200000,0.400000,0.200000,0.000000,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,0.400000,1.000000,0.600000,0.800000,0.600000,0.600000,0.200000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.750000,0.400000,0.400000,0.000000,0.200000,0.200000
Qwen3-1.7B-Base,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
Qwen3-4B-Base,0.640000,0.750000,0.518519,0.708333,0.222222,0.185185,0.370370,0.481481,0.518519,0.481481,0.444444,0.600000,0.333333,0.947368,0.520000,0.680000,0.444444,0.222222,0.666667,0.640000,0.555556,0.259259,0.333333,0.185185,0.185185,1.000000,1.000000,1.000000,1.000000,0.714286,0.615385,0.708333,0.407407,0.461538,0.333333,0.296296,0.333333
Qwen3-8B-Base,1.000000,0.444444,0.000000,0.100000,0.181818,0.181818,0.272727,0.363636,0.272727,0.363636,0.272727,0.857143,0.000000,0.555556,0.272727,0.636364,0.272727,0.363636,0.500000,0.454545,0.000000,0.000000,0.363636,0.181818,0.090909,1.000000,1.000000,1.000000,1.000000,1.000000,0.454545,0.200000,0.000000,0.375000,0.272727,0.272727,0.181818
Qwen3-14B-Base,0.939394,0.739130,0.343750,0.266667,0.250000,0.242424,0.406250,0.363636,0.290323,0.333333,0.303030,0.761905,1.000000,0.846154,0.625000,0.629630,0.333333,0.151515,0.687500,0.709677,0.212121,0.242424,0.242424,0.212121,0.181818,1.000000,1.000000,1.000000,1.000000,0.666667,0.696970,0.576923,0.303030,0.500000,0.363636,0.333333,0.363636
Qwen3-0.6B,0.681818,0.950000,0.939394,0.964286,0.894737,0.162162,0.540541,0.189189,0.351351,0.315789,0.447368,0.714286,1.000000,0.823529,0.500000,0.911765,0.605263,0.368421,0.772727,0.514286,0.236842,0.210526,0.263158,0.394737,0.289474,1.000000,1.000000,1.000000,1.000000,1.000000,0.583333,0.657895,0.157895,0.272727,0.342105,0.405405,0.157895
Qwen3-1.7B,0.884615,0.960000,0.967742,0.968750,0.857143,0.048780,0.428571,0.025000,0.357143,0.047619,0.071429,0.642857,1.000000,0.871795,0.714286,0.947368,0.243902,0.100000,0.760000,0.317073,0.119048,0.047619,0.023810,0.023810,0.023810,1.000000,1.000000,1.000000,1.000000,0.666667,0.125000,0.341463,0.071429,0.341463,0.214286,0.047619,0.071429
Qwen3-4B,0.818182,0.939394,0.980392,0.893617,0.619048,0.129032,0.523810,0.111111,0.301587,0.062500,0.046875,0.647059,0.400000,0.900000,0.592593,0.894737,0.140625,0.062500,0.888889,0.283333,0.140625,0.125000,0.015625,0.046875,0.031250,1.000000,1.000000,1.000000,1.000000,0.444444,0.193548,0.222222,0.031250,0.344262,0.193548,0.078125,0.046875
Qwen3-8B,0.820513,0.942308,0.964912,0.909091,0.750000,0.257143,0.460526,0.100000,0.466667,0.052632,0.013158,0.521739,0.333333,0.852941,0.560606,0.955882,0.157895,0.066667,0.837838,0.323944,0.106667,0.105263,0.039474,0.026316,0.039474,1.000000,1.000000,1.000000,1.000000,0.166667,0.081081,0.080000,0.013158,0.343284,0.175676,0.026316,0.026316
Qwen3-14B,0.923077,0.897436,0.983051,0.882353,0.523810,0.207792,0.511905,0.111111,0.349398,0.023810,0.000000,0.576923,0.800000,0.878378,0.597222,0.897059,0.119048,0.060976,0.794872,0.370370,0.107143,0.107143,0.059524,0.011905,0.023810,1.000000,1.000000,1.000000,1.000000,0.571429,0.111111,0.207317,0.011905,0.373333,0.216867,0.060241,0.011905
Qwen3-32B,0.870370,0.901961,1.000000,0.838235,0.451613,0.285714,0.553191,0.156627,0.319149,0.031915,0.000000,0.600000,0.428571,0.860759,0.560000,0.869048,0.064516,0.063830,0.875000,0.285714,0.148936,0.138298,0.053191,0.021277,0.031915,1.000000,1.000000,1.000000,1.000000,0.466667,0.137931,0.108696,0.031915,0.420455,0.148936,0.053191,0.010638
Qwen2.5-0.5B-Base,0.666667,0.333333,0.500000,0.750000,0.750000,0.500000,0.250000,0.000000,0.500000,0.500000,0.500000,0.500000,1.000000,1.000000,0.666667,1.000000,1.000000,0.750000,1.000000,0.250000,0.250000,0.750000,1.000000,0.750000,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,0.333333,0.750000,0.500000,0.250000,0.500000,0.250000,0.500000
Qwen2.5-1.5B-Base,1.000000,1.000000,0.500000,1.000000,0.500000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.500000,0.500000,0.500000,1.000000,0.500000,0.500000,1.000000,0.500000,0.500000,0.500000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000
Qwen2.5-3B-Base,1.000000,0.818182,0.692308,0.727273,0.615385,0.692308,0.692308,0.769231,0.692308,0.615385,0.615385,1.000000,1.000000,0.909091,0.500000,0.750000,0.692308,0.615385,0.800000,0.750000,0.384615,0.538462,0.769231,0.692308,0.461538,1.000000,1.000000,1.000000,1.000000,1.000000,0.846154,0.833333,0.384615,0.692308,0.846154,0.461538,0.846154
Qwen2.5-7B-Base,1.000000,0.600000,0.500000,0.800000,0.500000,0.833333,0.500000,0.200000,0.400000,0.400000,0.333333,0.666667,1.000000,1.000000,0.500000,0.600000,0.500000,0.500000,1.000000,1.000000,0.000000,0.500000,0.666667,0.666667,0.333333,1.000000,1.000000,1.000000,1.000000,1.000000,0.666667,0.800000,0.666667,0.500000,0.500000,0.666667,0.500000
Qwen2.5-14B-Base,0.800000,0.866667,0.333333,0.652174,0.520000,0.360000,0.600000,0.520000,0.416667,0.600000,0.400000,0.916667,0.000000,0.944444,0.590909,0.625000,0.560000,0.680000,0.625000,0.695652,0.480000,0.520000,0.480000,0.600000,0.520000,1.000000,1.000000,1.000000,1.000000,0.777778,0.958333,0.869565,0.600000,0.526316,0.520000,0.565217,0.416667
Qwen2.5-32B-Base,0.923077,0.777778,0.384615,0.666667,0.576923,0.296296,0.555556,0.629630,0.600000,0.481481,0.518519,0.857143,1.000000,0.952381,0.518519,0.920000,0.592593,0.629630,0.687500,0.615385,0.222222,0.481481,0.444444,0.518519,0.370370,1.000000,1.000000,1.000000,1.000000,0.500000,0.880000,0.833333,0.518519,0.350000,0.444444,0.370370,0.481481
Qwen2.5-72B-Base,0.906250,0.555556,0.281250,0.250000,0.156250,0.281250,0.343750,0.406250,0.387097,0.343750,0.312500,0.833333,1.000000,0.875000,0.655172,0.629630,0.281250,0.156250,0.714286,0.655172,0.218750,0.156250,0.312500,0.281250,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,0.586207,0.481481,0.187500,0.321429,0.343750,0.375000,0.343750
