solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.822581,0.564516,0.439153,0.426829,0.459184,0.287879,0.363636,0.393939,0.323232,0.368687,0.343434,0.846774,0.684211,0.790698,0.581006,0.472050,0.461538,0.451282,0.594059,0.397516,0.338384,0.444444,0.388889,0.353535,0.398990,1.000000,1.000000,1.000000,1.000000,0.645833,0.720670,0.558282,0.388889,0.296296,0.414141,0.363636,0.299492
Qwen3-1.7B-Base,0.928287,0.310992,0.024341,0.044872,0.081349,0.041584,0.035714,0.039604,0.029703,0.033663,0.023762,0.894872,0.166667,0.197333,0.415638,0.088843,0.065347,0.055666,0.277286,0.044643,0.019802,0.031683,0.027778,0.037624,0.029703,1.000000,1.000000,1.000000,1.000000,0.631148,0.569328,0.290557,0.041584,0.053892,0.035644,0.019802,0.021782
Qwen3-4B-Base,0.404645,0.316401,0.060870,0.053274,0.114656,0.039761,0.025845,0.014911,0.017893,0.016915,0.012922,0.829167,0.500000,0.828283,0.453027,0.301513,0.064806,0.026026,0.616052,0.125298,0.108458,0.017893,0.016899,0.012922,0.050696,1.000000,1.000000,1.000000,1.000000,0.597701,0.467677,0.269784,0.040837,0.041289,0.019881,0.011928,0.009940
Qwen3-8B-Base,0.908696,0.274390,0.044135,0.052265,0.065875,0.037634,0.033262,0.026824,0.018240,0.018240,0.016094,0.844475,0.370370,0.343988,0.377232,0.077878,0.058127,0.028078,0.468750,0.067146,0.030108,0.028970,0.017186,0.019313,0.028970,1.000000,1.000000,1.000000,1.000000,0.505882,0.608945,0.289106,0.042965,0.051087,0.028970,0.017167,0.010730
Qwen3-14B-Base,0.918990,0.281508,0.016260,0.033333,0.062069,0.032759,0.027610,0.016379,0.015517,0.014655,0.012069,0.834491,0.225806,0.263761,0.326165,0.074275,0.045729,0.023438,0.364597,0.041070,0.025000,0.018982,0.019845,0.013793,0.018966,1.000000,1.000000,1.000000,1.000000,0.570909,0.546533,0.272629,0.035529,0.058009,0.021552,0.010345,0.010345
Qwen3-0.6B,0.840426,0.886997,0.980031,0.761364,0.600589,0.040877,0.234834,0.297679,0.177950,0.021318,0.014521,0.729825,0.666667,0.628975,0.242038,0.291833,0.015579,0.017734,0.594286,0.079869,0.019342,0.014507,0.005803,0.006770,0.005803,1.000000,0.000000,1.000000,1.000000,0.259953,0.057843,0.063429,0.014507,0.259042,0.300395,0.015474,0.009671
Qwen3-1.7B,0.898567,0.894022,0.972265,0.825864,0.633875,0.022203,0.200851,0.302083,0.250836,0.016708,0.005000,0.629371,0.550000,0.660415,0.305302,0.228223,0.006734,0.011915,0.650420,0.090009,0.016722,0.006667,0.003333,0.001667,0.002500,1.000000,1.000000,1.000000,1.000000,0.227099,0.037783,0.054100,0.004167,0.256345,0.325148,0.014167,0.003333
Qwen3-4B,0.888186,0.853598,0.975647,0.830952,0.587028,0.027027,0.214634,0.314167,0.237097,0.012058,0.002404,0.621660,0.457143,0.630854,0.278674,0.195122,0.001614,0.008104,0.655172,0.076389,0.013666,0.004808,0.001603,0.002404,0.001603,1.000000,1.000000,1.000000,1.000000,0.261053,0.022932,0.046417,0.001603,0.264013,0.317961,0.008814,0.002404
Qwen3-8B,0.907238,0.890323,0.977238,0.810718,0.620264,0.025203,0.227787,0.310889,0.252006,0.012810,0.002396,0.561832,0.459459,0.628704,0.258377,0.247078,0.003213,0.005673,0.773710,0.051754,0.016038,0.005591,0.003994,0.003195,0.001597,1.000000,1.000000,1.000000,1.000000,0.194932,0.031915,0.034063,0.001597,0.258273,0.299758,0.010383,0.003195
Qwen3-14B,0.852036,0.906757,0.980226,0.700665,0.560129,0.023482,0.193264,0.288926,0.229068,0.011067,0.003160,0.687845,0.687500,0.540299,0.269800,0.194332,0.007987,0.008821,0.587140,0.050309,0.012688,0.003949,0.004739,0.001580,0.004739,1.000000,1.000000,1.000000,1.000000,0.218935,0.034510,0.028067,0.000790,0.238437,0.271349,0.010269,0.002370
