solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
Qwen3-1.7B-Base,0.800000,0.333333,0.400000,0.300000,0.400000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.600000,1.000000,0.625000,0.300000,1.000000,0.900000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.375000,0.600000,0.333333,0.200000,0.400000,0.000000,0.000000,0.000000
Qwen3-4B-Base,0.929504,0.014851,0.026667,0.036212,0.036554,0.127937,0.028721,0.023499,0.023499,0.020888,0.020888,0.330000,1.000000,0.716418,0.584656,0.498525,0.236220,0.096859,0.899183,0.042667,0.037135,0.031332,0.018277,0.020888,0.020888,1.000000,1.000000,1.000000,1.000000,0.441781,0.416887,0.143251,0.023622,0.103175,0.026110,0.018277,0.020888
Qwen3-8B-Base,0.957746,0.940741,0.980392,0.960199,0.981221,0.375587,0.854460,0.863850,0.948357,0.929577,0.953052,0.408284,0.333333,0.923858,0.961905,0.956522,0.971564,0.971831,0.935135,0.875598,0.471698,0.943662,0.924883,0.943662,0.967136,1.000000,1.000000,1.000000,1.000000,0.487342,0.677725,0.928571,0.962441,0.456731,0.755869,0.938967,0.896714
Qwen3-14B-Base,0.948872,0.000000,0.001658,0.000000,0.311178,0.051128,0.036090,0.001504,0.001504,0.000000,0.000000,0.431818,1.000000,0.589888,0.564220,0.500787,0.036090,0.064759,0.996689,0.436426,0.013575,0.001504,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.432781,0.365008,0.108696,0.000000,0.059451,0.009023,0.000000,0.001504
Qwen3-0.6B,1.000000,1.000000,1.000000,0.250000,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.750000,1.000000,0.500000,0.250000,0.750000,0.000000,0.000000,1.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.250000,0.250000,0.000000,0.000000,0.250000,0.000000,0.000000
Qwen3-1.7B,0.534810,0.890710,0.991304,0.357895,0.009036,0.009464,0.281879,0.049080,0.044910,0.035928,0.005988,0.442922,0.178571,0.504237,0.492492,0.096386,0.002994,0.003012,0.975000,0.015060,0.087087,0.002994,0.000000,0.005988,0.002994,1.000000,1.000000,1.000000,1.000000,0.172973,0.105422,0.166163,0.002994,0.148936,0.039039,0.008982,0.002994
Qwen3-4B,0.510253,0.858195,0.990079,0.217712,0.004376,0.011891,0.316129,0.037158,0.019417,0.022605,0.000000,0.303183,0.093750,0.408421,0.500000,0.272018,0.001085,0.001083,0.765751,0.016648,0.086300,0.002153,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.256158,0.048649,0.215772,0.002153,0.157267,0.018319,0.003229,0.000000
Qwen3-8B,0.352399,0.832461,1.000000,0.416499,0.006504,0.017065,0.378947,0.131363,0.347756,0.036859,0.001603,0.340045,0.222222,0.677560,0.546191,0.122779,0.000000,0.000000,0.886525,0.027642,0.064309,0.003205,0.000000,0.000000,0.001603,1.000000,1.000000,1.000000,1.000000,0.144876,0.060163,0.158320,0.001603,0.167213,0.035370,0.000000,0.000000
Qwen3-14B,0.418286,0.871473,0.990868,0.597661,0.064748,0.011236,0.265228,0.060104,0.077002,0.038934,0.000000,0.331865,0.131579,0.423372,0.576923,0.331928,0.000000,0.008214,0.716176,0.003226,0.080943,0.002047,0.000000,0.000000,0.001024,1.000000,1.000000,1.000000,1.000000,0.236111,0.047131,0.237288,0.001025,0.182851,0.032821,0.001024,0.000000
Qwen3-32B,0.555681,0.772955,0.987635,0.240858,0.035678,0.016411,0.218679,0.045965,0.053862,0.025381,0.000000,0.423729,0.129412,0.374291,0.453988,0.394231,0.002039,0.002039,0.511921,0.004107,0.114488,0.007092,0.000000,0.000000,0.003040,1.000000,1.000000,1.000000,1.000000,0.197436,0.040527,0.163330,0.001014,0.131687,0.022335,0.002026,0.000000
Qwen2.5-0.5B-Base,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
Qwen2.5-1.5B-Base,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
Qwen2.5-3B-Base,1.000000,0.000000,0.000000,0.000000,0.166667,0.142857,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,1.000000,0.571429,0.428571,0.142857,0.000000,0.000000,0.666667,0.142857,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.333333,0.000000,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen2.5-7B-Base,1.000000,0.625000,0.500000,0.400000,0.545455,0.166667,0.333333,0.333333,0.333333,0.333333,0.333333,0.636364,1.000000,1.000000,1.000000,0.916667,0.333333,0.416667,1.000000,0.181818,0.250000,0.500000,0.333333,0.333333,0.333333,1.000000,1.000000,1.000000,1.000000,0.444444,0.250000,0.454545,0.416667,0.333333,0.166667,0.333333,0.166667
Qwen2.5-14B-Base,0.880814,0.090909,0.006135,0.000000,0.073099,0.159884,0.020349,0.005814,0.002907,0.000000,0.000000,0.125000,0.000000,0.666667,0.832797,0.162162,0.295732,0.055394,0.266667,0.009009,0.021021,0.087209,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.284360,0.123167,0.069307,0.000000,0.158358,0.034884,0.000000,0.000000
Qwen2.5-32B-Base,0.923596,0.089286,0.032710,0.157767,0.555305,0.165198,0.022026,0.002203,0.008811,0.002203,0.002208,0.281250,0.531915,0.819398,0.740139,0.520833,0.158014,0.179775,0.867133,0.068966,0.037528,0.107930,0.006608,0.004405,0.002203,1.000000,1.000000,1.000000,1.000000,0.342756,0.208426,0.213368,0.008869,0.115044,0.015419,0.002203,0.006608
Qwen2.5-72B-Base,0.930622,0.000000,0.002688,0.020706,0.364946,0.130383,0.014354,0.001196,0.003589,0.000000,0.000000,0.432268,1.000000,0.846512,0.880616,0.360497,0.129227,0.281250,0.915167,0.008929,0.052821,0.003589,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.442573,0.343337,0.203343,0.002395,0.067551,0.007177,0.000000,0.000000
Qwen2.5-0.5B,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
Qwen2.5-1.5B,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
Qwen2.5-3B,0.923077,0.000000,0.076923,0.000000,0.128205,0.102564,0.025641,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.803279,0.115385,0.528571,0.473684,0.000000,0.851852,0.476923,0.038462,0.025641,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.222222,0.480519,0.080000,0.000000,0.120000,0.012821,0.000000,0.000000
Qwen2.5-7B,0.945714,0.000000,0.008671,0.000000,0.252149,0.148571,0.045714,0.002857,0.000000,0.000000,0.000000,0.542373,1.000000,0.544444,0.339181,0.734899,0.394813,0.137536,0.987500,0.198675,0.014286,0.011429,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.565371,0.333333,0.068657,0.000000,0.107558,0.020000,0.002857,0.000000
Qwen2.5-14B,0.938440,0.000000,0.012894,0.052870,0.253095,0.158687,0.023256,0.004104,0.002736,0.000000,0.001368,0.370301,1.000000,0.686117,0.661850,0.573099,0.296089,0.134535,0.992614,0.117541,0.052055,0.004104,0.005472,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.413238,0.323204,0.134351,0.001372,0.161826,0.010944,0.000000,0.000000
Qwen2.5-32B,0.948603,0.000000,0.013590,0.002270,0.196833,0.181006,0.034637,0.005587,0.001117,0.000000,0.000000,0.399701,1.000000,0.843324,0.647260,0.463612,0.111864,0.047085,0.994236,0.000000,0.021253,0.001117,0.000000,0.000000,0.002235,1.000000,1.000000,1.000000,1.000000,0.535398,0.301802,0.062280,0.000000,0.093288,0.004469,0.001117,0.000000
Qwen2.5-72B,0.944381,0.000000,0.001149,0.005721,0.098864,0.101022,0.053348,0.001135,0.002270,0.000000,0.000000,0.437673,1.000000,0.783099,0.461444,0.875754,0.375144,0.021566,0.998791,0.122987,0.009091,0.011351,0.006810,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.616176,0.224513,0.066667,0.000000,0.132948,0.017026,0.000000,0.001135
Llama3-1B-Base,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
Llama3-3B-Base,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
Llama3-8B-Base,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
Llama3-70B-Base,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
Llama3-1B,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
Llama3-3B,0.869565,0.000000,0.000000,0.000000,0.043478,0.108696,0.021739,0.000000,0.000000,0.000000,0.000000,0.897436,1.000000,0.833333,0.644444,0.120000,0.086957,0.065217,1.000000,0.021739,0.043478,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.461538,0.282609,0.111111,0.000000,0.044444,0.000000,0.000000,0.000000
Llama3-8B,0.936819,0.025974,0.252078,0.545673,0.402299,0.183007,0.026144,0.002179,0.000000,0.000000,0.000000,0.540462,1.000000,0.977273,0.778846,0.310769,0.279476,0.213333,0.913440,0.149153,0.045852,0.015251,0.000000,0.002179,0.000000,1.000000,1.000000,1.000000,1.000000,0.429395,0.397380,0.212346,0.002179,0.126667,0.013072,0.002179,0.002179
Llama3-70B,0.942424,0.004167,0.371593,0.741489,0.265849,0.216162,0.007071,0.002020,0.000000,0.000000,0.000000,0.464770,1.000000,0.990251,0.938607,0.367179,0.267894,0.209957,0.862894,0.283671,0.024540,0.011111,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.384884,0.474112,0.142699,0.001011,0.054767,0.002020,0.000000,0.001010
DeepSeek-1.5B,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
DeepSeek-7B,0.140000,0.012500,0.018519,0.000000,0.000000,0.048780,0.015267,0.000000,0.000000,0.000000,0.000000,0.372340,0.636364,0.263158,0.087302,0.077519,0.000000,0.038168,0.142857,0.000000,0.068702,0.068702,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.148936,0.145038,0.200000,0.000000,0.123077,0.000000,0.000000,0.000000
DeepSeek-14B,0.597452,0.001927,0.064373,0.008149,0.002121,0.002137,0.043478,0.001060,0.000000,0.003181,0.000000,0.508475,0.583756,0.651226,0.106796,0.082162,0.000000,0.002139,0.856465,0.012179,0.051447,0.002121,0.000000,0.000000,0.001060,1.000000,1.000000,1.000000,1.000000,0.132979,0.042463,0.131519,0.001060,0.146055,0.024390,0.001060,0.000000
DeepSeek-32B,0.094857,0.000000,0.026415,0.007634,0.003138,0.033898,0.008359,0.000000,0.001045,0.000000,0.001045,0.342776,0.504348,0.475362,0.069045,0.210359,0.000000,0.017782,0.117333,0.000000,0.097382,0.024033,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.259928,0.047022,0.198573,0.000000,0.121849,0.016736,0.001045,0.001045
