solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,1.000000,0.941176,0.617021,0.735294,0.354167,0.166667,0.312500,0.187500,0.062500,0.062500,0.062500,0.565217,1.000000,0.884615,0.869565,0.586207,0.520833,0.208333,0.687500,0.871795,0.583333,0.479167,0.187500,0.208333,0.041667,1.000000,1.000000,1.000000,1.000000,0.833333,0.733333,0.466667,0.083333,0.350000,0.166667,0.083333,0.166667
Qwen3-1.7B-Base,0.833333,0.750000,0.166667,0.333333,0.166667,0.333333,0.000000,0.166667,0.166667,0.166667,0.166667,1.000000,1.000000,1.000000,0.333333,0.500000,0.400000,0.166667,0.000000,0.500000,0.166667,0.166667,0.166667,0.166667,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.000000,0.000000,0.333333,0.166667,0.333333
Qwen3-4B-Base,0.811475,0.547619,0.301587,0.357724,0.078014,0.302817,0.309859,0.091549,0.098592,0.063380,0.042254,0.750000,0.750000,0.702381,0.404580,0.582524,0.187050,0.221429,0.656716,0.645161,0.394366,0.148936,0.091549,0.126761,0.176056,1.000000,1.000000,1.000000,1.000000,0.729730,0.628571,0.419118,0.091549,0.262774,0.112676,0.091549,0.091549
Qwen3-8B-Base,0.942529,0.471698,0.234568,0.217949,0.081395,0.147727,0.102273,0.102273,0.079545,0.147727,0.068182,0.716667,1.000000,0.791045,0.348837,0.426230,0.160920,0.261364,0.527778,0.548780,0.261364,0.125000,0.068182,0.090909,0.090909,1.000000,1.000000,1.000000,1.000000,0.833333,0.712644,0.324324,0.090909,0.252874,0.056818,0.090909,0.079545
Qwen3-14B-Base,0.954955,0.333333,0.064220,0.075829,0.049107,0.084821,0.071111,0.048889,0.053333,0.084444,0.066667,0.726708,1.000000,0.716981,0.401961,0.425743,0.089286,0.140909,0.598214,0.591549,0.115556,0.035556,0.040000,0.040000,0.026667,1.000000,1.000000,1.000000,1.000000,0.735294,0.467593,0.219251,0.048889,0.196347,0.071111,0.062222,0.057778
Qwen3-0.6B,0.730496,0.978947,0.967213,0.880734,0.662577,0.176829,0.463855,0.477707,0.379518,0.143713,0.096386,0.847222,0.000000,0.860140,0.397351,0.772152,0.374233,0.197605,0.405941,0.487179,0.132530,0.137725,0.083832,0.101796,0.083832,1.000000,1.000000,1.000000,1.000000,0.473684,0.251497,0.218750,0.077844,0.375000,0.204819,0.119760,0.065868
Qwen3-1.7B,0.941860,0.979730,0.925926,0.931624,0.482143,0.216450,0.363248,0.351598,0.381356,0.093617,0.037975,0.831683,1.000000,0.828571,0.444976,0.780822,0.119149,0.080169,0.521739,0.502439,0.140426,0.113924,0.037975,0.029536,0.021097,1.000000,1.000000,1.000000,1.000000,0.666667,0.131915,0.119149,0.037975,0.394495,0.183761,0.080169,0.037975
Qwen3-4B,0.903226,0.971831,0.932886,0.914286,0.450199,0.217054,0.363985,0.352000,0.400000,0.126437,0.019084,0.909910,1.000000,0.805085,0.461538,0.724696,0.030534,0.068702,0.468085,0.394958,0.106870,0.072519,0.015267,0.015267,0.026718,1.000000,1.000000,1.000000,1.000000,0.515152,0.103846,0.081081,0.011450,0.402542,0.136187,0.038168,0.019084
Qwen3-8B,0.933673,0.939597,0.921687,0.940789,0.402256,0.212687,0.424354,0.348178,0.293040,0.164835,0.010949,0.869565,1.000000,0.817427,0.536398,0.785714,0.062271,0.059041,0.551402,0.440171,0.102190,0.083942,0.025547,0.010949,0.018248,1.000000,1.000000,1.000000,1.000000,0.562500,0.106618,0.071429,0.010949,0.428571,0.202206,0.029197,0.014599
Qwen3-14B,0.917051,0.979866,0.928571,0.923567,0.344828,0.160448,0.345588,0.297297,0.362637,0.131868,0.010949,0.924370,1.000000,0.767635,0.523810,0.710425,0.051095,0.066176,0.540000,0.406926,0.117216,0.131387,0.010949,0.007299,0.010949,1.000000,1.000000,1.000000,1.000000,0.552632,0.110294,0.073529,0.010949,0.319066,0.148699,0.043796,0.018248
Qwen3-32B,0.942222,0.965278,0.947368,0.912791,0.365759,0.196296,0.350746,0.304000,0.335793,0.104478,0.003690,0.927007,1.000000,0.727273,0.513944,0.682540,0.022222,0.036900,0.432099,0.399142,0.088561,0.077491,0.007380,0.007380,0.007380,1.000000,1.000000,1.000000,1.000000,0.416667,0.052434,0.060606,0.003690,0.344398,0.116541,0.033210,0.011070
Qwen2.5-0.5B-Base,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
Qwen2.5-1.5B-Base,0.833333,0.250000,0.500000,0.200000,0.200000,0.333333,0.333333,0.333333,0.166667,0.166667,0.166667,1.000000,1.000000,0.666667,0.400000,0.750000,0.333333,0.666667,0.250000,0.333333,0.166667,0.166667,0.166667,0.166667,0.166667,1.000000,1.000000,1.000000,1.000000,1.000000,0.800000,0.666667,0.166667,0.166667,0.000000,0.166667,0.166667
