solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.937500,0.903226,0.500000,0.738095,0.291667,0.270833,0.276596,0.291667,0.166667,0.166667,0.166667,0.520000,1.000000,0.928571,0.755556,0.675676,0.479167,0.191489,0.678571,0.767442,0.541667,0.479167,0.250000,0.208333,0.250000,1.000000,1.000000,1.000000,1.000000,0.739130,0.586957,0.552632,0.229167,0.309524,0.270833,0.229167,0.250000
Qwen3-1.7B-Base,1.000000,0.500000,0.142857,0.125000,0.222222,0.500000,0.300000,0.200000,0.300000,0.300000,0.200000,1.000000,1.000000,0.500000,0.600000,0.600000,0.500000,0.300000,1.000000,0.600000,0.500000,0.300000,0.100000,0.300000,0.200000,1.000000,1.000000,1.000000,1.000000,1.000000,0.600000,0.625000,0.400000,0.400000,0.200000,0.200000,0.100000
Qwen3-4B-Base,0.764706,0.585714,0.386139,0.450000,0.063636,0.363636,0.318182,0.109091,0.100000,0.100000,0.054545,0.607843,1.000000,0.838710,0.375000,0.691489,0.155963,0.157407,0.681818,0.632184,0.477064,0.181818,0.109091,0.109091,0.220183,1.000000,1.000000,1.000000,1.000000,0.676471,0.669725,0.390000,0.054545,0.333333,0.109091,0.072727,0.081818
Qwen3-8B-Base,0.953488,0.441176,0.261905,0.292683,0.090909,0.113636,0.045455,0.113636,0.090909,0.068182,0.022727,0.793103,1.000000,0.758621,0.227273,0.382353,0.113636,0.090909,0.600000,0.487179,0.272727,0.068182,0.090909,0.113636,0.068182,1.000000,1.000000,1.000000,1.000000,0.812500,0.727273,0.236842,0.022727,0.166667,0.090909,0.068182,0.022727
Qwen3-14B-Base,0.929825,0.468468,0.121212,0.104294,0.070588,0.127907,0.080925,0.063584,0.063584,0.069364,0.040462,0.792793,1.000000,0.701493,0.429448,0.372340,0.080925,0.087719,0.739583,0.674847,0.161850,0.075145,0.052023,0.034682,0.017341,1.000000,1.000000,1.000000,1.000000,0.772727,0.524096,0.355263,0.034682,0.272189,0.104046,0.046243,0.046243
Qwen3-0.6B,0.771429,0.990196,0.966667,0.843478,0.763314,0.193750,0.450867,0.272727,0.252874,0.051724,0.057471,0.753247,0.200000,0.804054,0.439024,0.796296,0.170588,0.099415,0.551020,0.437500,0.114943,0.137931,0.051724,0.040230,0.034483,1.000000,1.000000,1.000000,1.000000,0.343750,0.194118,0.229412,0.028736,0.458333,0.254335,0.057471,0.051724
Qwen3-1.7B,0.894737,0.974359,0.927632,0.895833,0.672489,0.213974,0.440678,0.263158,0.350211,0.054622,0.021008,0.765306,1.000000,0.872642,0.460094,0.721461,0.046414,0.054852,0.825243,0.347032,0.092437,0.042017,0.025210,0.025210,0.021008,1.000000,1.000000,1.000000,1.000000,0.487179,0.168776,0.203390,0.016807,0.502283,0.202532,0.033613,0.025316
Qwen3-4B,0.939227,0.975460,0.913793,0.858974,0.607692,0.245211,0.443609,0.252033,0.323308,0.048872,0.011236,0.781513,0.000000,0.825532,0.398268,0.636015,0.056818,0.048689,0.727273,0.313008,0.109023,0.089888,0.026217,0.029963,0.026217,1.000000,1.000000,1.000000,1.000000,0.479167,0.107692,0.116981,0.011236,0.496124,0.191729,0.037594,0.011236
Qwen3-8B,0.927536,0.975904,0.944751,0.894118,0.580292,0.281481,0.453571,0.253906,0.335714,0.046595,0.010714,0.800000,0.333333,0.781893,0.436735,0.722008,0.043321,0.053763,0.758065,0.322957,0.075000,0.064286,0.025000,0.021429,0.017857,1.000000,1.000000,1.000000,1.000000,0.510638,0.113971,0.093863,0.014286,0.528302,0.243728,0.039286,0.017857
Qwen3-14B,0.936652,0.962733,0.959538,0.896970,0.548507,0.274809,0.465201,0.262357,0.310219,0.062271,0.003650,0.869919,0.500000,0.782051,0.400810,0.686047,0.040590,0.065934,0.682243,0.341564,0.087591,0.065693,0.029197,0.014599,0.010949,1.000000,1.000000,1.000000,1.000000,0.491525,0.078067,0.073801,0.010949,0.567568,0.202952,0.051282,0.018248
Qwen3-32B,0.936364,0.970760,0.935829,0.838889,0.542751,0.258303,0.469751,0.243346,0.276596,0.063830,0.000000,0.888889,1.000000,0.729839,0.403774,0.613636,0.025000,0.042857,0.654545,0.328125,0.085106,0.078014,0.014184,0.010638,0.010638,1.000000,1.000000,1.000000,1.000000,0.566038,0.076923,0.050179,0.010638,0.515038,0.187050,0.035714,0.007092
Qwen2.5-0.5B-Base,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
Qwen2.5-1.5B-Base,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
Qwen2.5-3B-Base,0.958333,0.705882,0.166667,0.291667,0.166667,0.166667,0.083333,0.125000,0.083333,0.250000,0.125000,0.812500,1.000000,0.666667,0.409091,0.250000,0.166667,0.166667,0.750000,0.541667,0.250000,0.041667,0.000000,0.083333,0.041667,1.000000,1.000000,1.000000,1.000000,1.000000,0.739130,0.450000,0.125000,0.250000,0.208333,0.083333,0.125000
Qwen2.5-7B-Base,0.928571,0.540000,0.132353,0.173913,0.098592,0.084507,0.042254,0.084507,0.070423,0.098592,0.098592,0.880952,0.666667,0.720000,0.546875,0.411765,0.042254,0.126761,0.648649,0.522388,0.169014,0.042254,0.070423,0.042254,0.042254,1.000000,1.000000,1.000000,1.000000,0.789474,0.485714,0.314815,0.056338,0.212121,0.084507,0.084507,0.070423
Qwen2.5-14B-Base,0.969697,0.532468,0.173469,0.321839,0.110000,0.161616,0.110000,0.090000,0.070000,0.060000,0.070000,0.819444,1.000000,0.788732,0.268041,0.313253,0.220000,0.130000,0.648148,0.602273,0.200000,0.170000,0.130000,0.100000,0.070000,1.000000,1.000000,1.000000,1.000000,0.777778,0.755102,0.418605,0.070000,0.268041,0.100000,0.090000,0.050000
Qwen2.5-32B-Base,0.893130,0.563218,0.165354,0.227642,0.091603,0.198473,0.122137,0.076336,0.068702,0.061069,0.030534,0.783133,0.200000,0.742574,0.338843,0.283019,0.152672,0.160305,0.551282,0.552000,0.238462,0.152672,0.083969,0.045802,0.045802,1.000000,1.000000,1.000000,1.000000,0.791667,0.782946,0.473214,0.038168,0.231405,0.114504,0.045802,0.038168
Qwen2.5-72B-Base,0.939394,0.592593,0.137405,0.170732,0.115385,0.114504,0.098485,0.083333,0.076336,0.068182,0.075758,0.843750,0.000000,0.669903,0.378151,0.408451,0.121212,0.060606,0.708333,0.570248,0.181818,0.121212,0.090909,0.083333,0.037879,1.000000,1.000000,1.000000,1.000000,0.791667,0.546875,0.236842,0.053435,0.242188,0.075758,0.037879,0.022727
Qwen2.5-0.5B,0.939394,0.884615,0.531250,0.548387,0.575758,0.411765,0.441176,0.352941,0.294118,0.382353,0.323529,0.954545,1.000000,0.962963,0.838710,0.600000,0.750000,0.515152,0.809524,0.757576,0.323529,0.441176,0.500000,0.676471,0.529412,1.000000,1.000000,1.000000,1.000000,0.866667,0.687500,0.833333,0.470588,0.588235,0.411765,0.411765,0.441176
Qwen2.5-1.5B,0.962963,0.745098,0.246753,0.210526,0.223684,0.160494,0.160494,0.160494,0.185185,0.197531,0.172840,0.960784,1.000000,0.777778,0.638889,0.571429,0.320988,0.181818,0.777778,0.702703,0.197531,0.234568,0.246914,0.222222,0.185185,1.000000,1.000000,1.000000,1.000000,0.684211,0.493151,0.402985,0.197531,0.316456,0.222222,0.160494,0.160494
Qwen2.5-3B,0.971698,0.656716,0.105769,0.077670,0.135922,0.056604,0.056075,0.065421,0.066038,0.046729,0.121495,0.821918,1.000000,0.666667,0.485437,0.448980,0.102804,0.059406,0.787879,0.643564,0.102804,0.093458,0.074766,0.037383,0.046729,1.000000,1.000000,1.000000,1.000000,0.687500,0.386139,0.250000,0.037736,0.271028,0.065421,0.018692,0.028037
Qwen2.5-7B,0.960265,0.752294,0.105960,0.062937,0.060000,0.118421,0.085526,0.052980,0.052632,0.078947,0.059211,0.933333,1.000000,0.726496,0.550000,0.515152,0.052632,0.093960,0.857143,0.639456,0.105960,0.098684,0.046053,0.026316,0.019737,1.000000,1.000000,1.000000,1.000000,0.812500,0.412162,0.246032,0.032895,0.190789,0.098684,0.059211,0.026316
Qwen2.5-14B,0.963351,0.578947,0.176471,0.118280,0.094241,0.144330,0.087629,0.077320,0.041237,0.067010,0.051546,0.804511,1.000000,0.705882,0.488764,0.416058,0.072165,0.078947,0.633028,0.551351,0.118557,0.087629,0.041237,0.046392,0.030928,1.000000,1.000000,1.000000,1.000000,0.829787,0.521277,0.319018,0.051546,0.214660,0.051546,0.056701,0.020619
Qwen2.5-32B,0.959538,0.568966,0.156069,0.127273,0.069364,0.132184,0.063218,0.028736,0.040230,0.045977,0.022989,0.880000,1.000000,0.832061,0.462025,0.362745,0.063218,0.058824,0.815534,0.639535,0.109195,0.114943,0.045977,0.022989,0.011494,1.000000,1.000000,1.000000,1.000000,0.750000,0.398810,0.253247,0.028736,0.264706,0.063218,0.028736,0.028736
Qwen2.5-72B,0.964706,0.758333,0.089820,0.092025,0.133333,0.059172,0.088235,0.041176,0.041176,0.035294,0.011765,0.963636,1.000000,0.815126,0.522293,0.394366,0.035294,0.059880,0.797753,0.674699,0.106509,0.082353,0.041176,0.029412,0.011765,1.000000,1.000000,1.000000,1.000000,0.761905,0.386503,0.230769,0.035294,0.281437,0.029412,0.035294,0.035294
Llama3-1B-Base,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
