solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.878788,0.609195,0.875000,0.830000,0.880952,0.779528,0.720000,0.457364,0.441860,0.740458,0.604478,0.684211,0.666667,0.950000,0.755725,0.950413,0.944000,0.895161,0.811594,0.863636,0.734848,0.894737,0.768657,0.828358,0.835821,1.000000,1.000000,1.000000,1.000000,0.519608,0.861538,0.898438,0.820896,0.600000,0.350000,0.465116,0.373134
Qwen3-1.7B-Base,0.900763,0.555556,0.651685,0.493827,0.581818,0.191919,0.295455,0.186275,0.333333,0.365079,0.295455,0.464789,0.750000,0.750000,0.371212,0.834862,0.776000,0.698413,0.608247,0.566929,0.371212,0.477273,0.371212,0.318182,0.427481,1.000000,1.000000,1.000000,1.000000,0.539216,0.491228,0.745455,0.446970,1.000000,0.066667,0.205357,0.159091
Qwen3-4B-Base,0.950172,0.188034,0.133333,0.140873,0.200000,0.068015,0.018182,0.034904,0.031915,0.064799,0.025510,0.475578,0.333333,0.919169,0.099315,0.512774,0.574913,0.216028,0.563380,0.225806,0.143101,0.486395,0.044218,0.071672,0.032313,1.000000,1.000000,1.000000,1.000000,0.395582,0.524954,0.705773,0.098807,0.147059,0.062500,0.016158,0.005102
Qwen3-8B-Base,0.949930,0.246649,0.200886,0.118827,0.139332,0.085496,0.022866,0.026393,0.042213,0.074334,0.029126,0.413646,0.750000,0.872897,0.194134,0.600302,0.457983,0.187060,0.670103,0.181529,0.133519,0.450000,0.065187,0.065187,0.054092,1.000000,1.000000,1.000000,1.000000,0.425210,0.419448,0.717873,0.111111,0.250000,0.086207,0.029240,0.012483
Qwen3-14B-Base,0.953682,0.122924,0.076155,0.015056,0.019778,0.043137,0.005229,0.007362,0.010025,0.043373,0.005938,0.543124,0.555556,0.852487,0.199762,0.392638,0.265945,0.046595,0.425882,0.136842,0.067696,0.138955,0.023753,0.014252,0.014252,1.000000,1.000000,1.000000,1.000000,0.324000,0.281741,0.751899,0.040380,0.120690,0.076923,0.006266,0.000000
Qwen3-0.6B,0.546075,0.733967,0.986979,0.557895,0.124786,0.175503,0.347222,0.024867,0.029575,0.078727,0.023295,0.353448,0.538462,0.678497,0.473064,0.703509,0.142373,0.063652,0.913440,0.242070,0.088333,0.043261,0.004992,0.018303,0.026622,1.000000,1.000000,1.000000,1.000000,0.167053,0.090290,0.257785,0.034942,0.521739,0.191781,0.044143,0.009983
Qwen3-1.7B,0.666667,0.788406,0.964000,0.583931,0.147381,0.143040,0.223404,0.007481,0.010309,0.033175,0.009368,0.461216,0.812500,0.684134,0.336114,0.438813,0.010613,0.007101,0.910476,0.256837,0.050410,0.007026,0.002342,0.001171,0.000000,1.000000,1.000000,1.000000,1.000000,0.179856,0.016726,0.123305,0.007026,0.394089,0.190751,0.105834,0.001171
Qwen3-4B,0.642298,0.682540,0.945386,0.345964,0.102564,0.202586,0.224615,0.005714,0.004405,0.037908,0.000000,0.441304,0.692308,0.613815,0.362694,0.406944,0.006410,0.009067,0.905797,0.173575,0.051348,0.001282,0.001282,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.125461,0.029770,0.151762,0.005128,0.427215,0.204762,0.013245,0.000000
Qwen3-8B,0.708861,0.821053,0.904762,0.601942,0.192308,0.582418,0.318841,0.075472,0.066667,0.112500,0.000000,0.422222,0.750000,0.719697,0.255952,0.574194,0.035294,0.017647,0.969072,0.226190,0.070175,0.005848,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.282051,0.017751,0.193798,0.000000,0.368421,0.080000,0.071895,0.000000
Qwen3-14B,0.654891,0.761161,0.978947,0.404475,0.142061,0.175038,0.275862,0.014620,0.004532,0.017760,0.001337,0.381295,0.200000,0.679934,0.290761,0.597718,0.010767,0.014946,0.832569,0.152893,0.042838,0.010695,0.000000,0.004011,0.004011,1.000000,1.000000,1.000000,1.000000,0.174455,0.057343,0.207334,0.009358,0.431655,0.168269,0.015342,0.001337
