solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
Qwen3-1.7B-Base,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
Qwen3-4B-Base,0.941860,0.225000,0.466667,0.385714,0.447059,0.218391,0.137931,0.103448,0.103448,0.080460,0.080460,0.514286,0.363636,0.951613,0.644737,0.457831,0.425287,0.360465,0.671875,0.166667,0.264368,0.632184,0.287356,0.275862,0.149425,1.000000,1.000000,1.000000,1.000000,0.706897,0.710843,0.703704,0.252874,0.782051,0.542169,0.149425,0.091954
Qwen3-8B-Base,0.972973,0.121622,0.319527,0.193750,0.206522,0.232432,0.091892,0.048649,0.048649,0.064865,0.048649,0.522388,1.000000,0.629630,0.517857,0.565789,0.260870,0.480663,0.388235,0.066667,0.443243,0.843243,0.189189,0.140541,0.183784,1.000000,1.000000,1.000000,1.000000,0.676259,0.623596,0.767442,0.227027,0.784431,0.510870,0.178378,0.081081
Qwen3-14B-Base,0.947581,0.156250,0.127854,0.102857,0.040486,0.214575,0.044355,0.008065,0.012097,0.008065,0.016129,0.288462,1.000000,0.717391,0.197309,0.561181,0.258065,0.475207,0.271186,0.075117,0.080972,0.834677,0.145161,0.024194,0.116935,1.000000,1.000000,1.000000,1.000000,0.715084,0.731707,0.921488,0.161290,0.753555,0.495968,0.076613,0.028226
Qwen3-0.6B,0.862500,0.818182,0.972222,0.243590,0.011494,0.162791,0.493976,0.045455,0.079545,0.022727,0.034091,0.296296,1.000000,0.698113,0.505747,0.541176,0.125000,0.081395,0.637931,0.079545,0.329545,0.329545,0.022727,0.045455,0.022727,1.000000,1.000000,1.000000,1.000000,0.323529,0.505747,0.431818,0.068182,0.289157,0.147727,0.045455,0.056818
Qwen3-1.7B,0.767089,0.742972,0.947239,0.105018,0.000000,0.144737,0.353139,0.008502,0.008421,0.003155,0.007361,0.276596,0.080000,0.552677,0.431522,0.285078,0.001053,0.001070,0.453368,0.007495,0.332632,0.114616,0.000000,0.001052,0.000000,1.000000,1.000000,1.000000,1.000000,0.230769,0.474704,0.462032,0.030494,0.207094,0.064211,0.037895,0.022082
Qwen3-4B,0.733015,0.714286,0.825436,0.029412,0.002010,0.108280,0.349948,0.007042,0.033673,0.004020,0.006030,0.236318,0.066667,0.752874,0.324440,0.343915,0.005035,0.008097,0.571203,0.003030,0.319598,0.081407,0.000000,0.001005,0.000000,1.000000,1.000000,1.000000,1.000000,0.315271,0.442051,0.379592,0.012060,0.313099,0.076382,0.032161,0.067337
Qwen3-8B,0.886839,0.745614,0.915423,0.137656,0.001021,0.151003,0.384533,0.008188,0.066528,0.007121,0.004073,0.212276,0.083333,0.606838,0.315171,0.372657,0.003058,0.008239,0.594495,0.004082,0.293998,0.083418,0.000000,0.001017,0.000000,1.000000,1.000000,1.000000,1.000000,0.183150,0.466596,0.255123,0.018311,0.259419,0.051882,0.048830,0.049847
Qwen3-14B,0.764988,0.559687,0.710591,0.009836,0.001008,0.052411,0.281943,0.001009,0.033537,0.001006,0.003018,0.183505,0.178571,0.665158,0.185654,0.251892,0.000000,0.013238,0.197161,0.001072,0.392749,0.193159,0.000000,0.001006,0.000000,1.000000,1.000000,1.000000,1.000000,0.248092,0.439594,0.312241,0.024145,0.231013,0.048290,0.047331,0.024145
