solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.203358,0.234097,0.311688,0.261682,0.175824,0.191370,0.066667,0.035491,0.017582,0.020000,0.012048,0.244444,0.513514,0.076531,0.350575,0.208955,0.192793,0.392661,0.263923,0.437500,0.514286,0.360915,0.209877,0.151943,0.186949,1.000000,1.000000,1.000000,1.000000,0.223256,0.229602,0.205589,0.256318,0.047354,0.032258,0.035639,0.045738
Qwen3-1.7B-Base,0.128467,0.309434,0.494993,0.554286,0.469154,0.366279,0.115326,0.045378,0.033929,0.031696,0.032000,0.046748,0.412844,0.091977,0.528274,0.401734,0.412181,0.704802,0.133197,0.608215,0.786723,0.746835,0.451613,0.412676,0.360679,1.000000,1.000000,1.000000,1.000000,0.200000,0.328424,0.285935,0.402266,0.110403,0.061444,0.078025,0.054187
Qwen3-4B-Base,0.667269,0.270396,0.692440,0.577586,0.636054,0.431304,0.198582,0.087866,0.096330,0.062136,0.099617,0.437853,0.410959,0.024658,0.600000,0.450947,0.572156,0.827703,0.067358,0.379447,0.647059,0.848993,0.681742,0.623116,0.724370,1.000000,1.000000,1.000000,1.000000,0.196970,0.457243,0.406250,0.582906,0.147208,0.154717,0.138728,0.150000
Qwen3-8B-Base,0.129310,0.291262,0.444834,0.380107,0.373083,0.379310,0.132007,0.076110,0.061404,0.031683,0.058366,0.127226,0.329897,0.082609,0.495575,0.274306,0.324232,0.501706,0.314534,0.581213,0.755892,0.555369,0.438655,0.428571,0.427852,1.000000,1.000000,1.000000,1.000000,0.251101,0.283929,0.320225,0.477080,0.135071,0.104762,0.085487,0.085938
Qwen3-14B-Base,0.095652,0.259352,0.529204,0.480287,0.457831,0.383016,0.149446,0.072917,0.068966,0.046422,0.059524,0.108808,0.358974,0.142222,0.466905,0.323427,0.371773,0.672474,0.122402,0.555985,0.860825,0.736661,0.500858,0.516295,0.511226,1.000000,1.000000,1.000000,1.000000,0.204082,0.324324,0.346473,0.525305,0.174129,0.126233,0.119919,0.132000
Qwen3-0.6B,0.179104,0.029851,0.019608,0.336449,0.295082,0.860215,0.573770,0.884298,0.565574,0.788618,0.770492,0.490196,0.280000,0.142857,0.301887,0.052083,0.716667,0.860656,0.031915,0.761062,0.837398,0.894309,0.853659,0.869919,0.845528,1.000000,1.000000,1.000000,1.000000,0.434783,0.859504,0.745902,0.869919,0.674419,0.729508,0.860656,0.853659
Qwen3-1.7B,0.230769,0.100000,0.000000,0.368421,0.478261,1.000000,0.739130,0.869565,0.652174,0.956522,0.913043,0.714286,0.300000,0.111111,0.444444,0.000000,0.869565,0.954545,0.095238,0.826087,0.956522,0.956522,1.000000,0.913043,0.913043,1.000000,1.000000,1.000000,1.000000,0.500000,0.956522,0.782609,0.869565,0.727273,0.869565,0.956522,0.913043
Qwen3-4B,0.400000,0.000000,0.000000,0.571429,0.555556,1.000000,0.571429,1.000000,0.666667,0.888889,1.000000,0.000000,0.250000,0.285714,0.500000,0.000000,0.777778,1.000000,0.111111,0.888889,0.555556,0.888889,0.888889,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.666667,1.000000,0.571429,0.888889,1.000000,1.000000
Qwen3-8B,0.500000,0.200000,0.000000,0.285714,0.625000,1.000000,0.750000,1.000000,0.875000,1.000000,1.000000,0.600000,1.000000,0.600000,0.285714,0.000000,1.000000,1.000000,0.125000,0.750000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.875000,0.750000,1.000000,0.833333,0.875000,1.000000,1.000000
Qwen3-14B,0.166667,0.000000,0.333333,0.375000,0.375000,1.000000,0.500000,1.000000,0.500000,1.000000,1.000000,0.750000,0.000000,0.250000,0.285714,0.000000,1.000000,1.000000,0.142857,0.857143,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.333333,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
