solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.136364,0.000000,0.000000,0.000000,0.083333,0.583333,0.250000,0.166667,0.250000,0.291667,0.208333,0.214286,1.000000,0.153846,0.260870,0.076923,0.043478,0.227273,0.125000,0.294118,0.083333,0.083333,0.166667,0.375000,0.208333,1.000000,1.000000,1.000000,1.000000,0.333333,0.095238,0.272727,0.333333,0.400000,0.541667,0.291667,0.416667
Qwen3-1.7B-Base,0.000000,0.400000,0.600000,0.000000,0.333333,0.666667,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.200000,0.250000,0.333333,0.200000,0.000000,0.666667,0.333333,0.500000,0.333333,0.166667,0.166667,1.000000,1.000000,1.000000,1.000000,0.000000,0.333333,0.200000,0.166667,0.500000,1.000000,0.333333,0.166667
Qwen3-4B-Base,0.416667,0.372881,0.750000,0.585106,0.565657,0.762376,0.722772,0.613861,0.702970,0.564356,0.544554,0.215385,1.000000,0.054545,0.373626,0.196970,0.455446,0.321429,0.387755,0.200000,0.376238,0.643564,0.633663,0.693069,0.636364,1.000000,1.000000,1.000000,1.000000,0.157895,0.260417,0.542553,0.633663,0.653061,0.831683,0.841584,0.801980
Qwen3-8B-Base,0.070423,0.260000,0.657143,0.483871,0.520548,0.753425,0.767123,0.630137,0.767123,0.547945,0.547945,0.228070,0.333333,0.132075,0.492537,0.477273,0.424658,0.305556,0.421053,0.412698,0.630137,0.616438,0.561644,0.506849,0.657534,1.000000,1.000000,1.000000,1.000000,0.285714,0.300000,0.508197,0.602740,0.696970,0.726027,0.739726,0.643836
Qwen3-14B-Base,0.031746,0.539474,0.768519,0.770642,0.698413,0.881890,0.820312,0.609375,0.742188,0.609375,0.640625,0.267442,1.000000,0.243590,0.344828,0.326531,0.690476,0.661157,0.387755,0.351852,0.820312,0.703125,0.726562,0.734375,0.789062,1.000000,1.000000,1.000000,1.000000,0.304348,0.362903,0.580000,0.710938,0.739496,0.890625,0.835938,0.789062
Qwen3-0.6B,0.288056,0.010563,0.002558,0.035928,0.326000,0.889980,0.562257,0.236111,0.651751,0.584466,0.500000,0.160156,0.636364,0.166265,0.601293,0.068337,0.258383,0.642578,0.643098,0.434043,0.792233,0.745631,0.561165,0.429126,0.508738,1.000000,1.000000,1.000000,1.000000,0.371429,0.536965,0.518828,0.728155,0.672131,0.778218,0.747082,0.732039
Qwen3-1.7B,0.086735,0.066667,0.043689,0.046667,0.518900,0.866221,0.641447,0.348123,0.773026,0.772277,0.813115,0.111111,1.000000,0.128631,0.509579,0.122744,0.732673,0.793443,0.356522,0.450758,0.809836,0.826230,0.826230,0.836066,0.754098,1.000000,1.000000,1.000000,1.000000,0.388889,0.640940,0.650165,0.898361,0.624138,0.698997,0.848684,0.836066
Qwen3-4B,0.034965,0.080000,0.067073,0.084906,0.605932,0.825532,0.598361,0.329114,0.803279,0.830579,0.925311,0.146667,0.500000,0.151515,0.578947,0.148148,0.854772,0.801653,0.428571,0.467593,0.904959,0.881148,0.922131,0.913934,0.909836,1.000000,1.000000,1.000000,1.000000,0.500000,0.644628,0.639004,0.967213,0.626126,0.779167,0.897119,0.926230
Qwen3-8B,0.059829,0.098039,0.051852,0.037383,0.576355,0.785000,0.583732,0.406863,0.823810,0.879808,0.947619,0.217391,1.000000,0.168539,0.566667,0.226804,0.904306,0.819048,0.129032,0.445714,0.861244,0.866667,0.957143,0.942857,0.919048,1.000000,1.000000,1.000000,1.000000,0.428571,0.678049,0.737864,0.961905,0.546392,0.781553,0.904762,0.933333
Qwen3-14B,0.076271,0.054054,0.083333,0.052083,0.655556,0.792135,0.640884,0.459770,0.824176,0.872928,0.944444,0.044118,1.000000,0.184211,0.641975,0.146341,0.955801,0.779006,0.363636,0.543750,0.900552,0.851648,0.945055,0.961538,0.912088,1.000000,1.000000,1.000000,1.000000,0.250000,0.744318,0.744444,0.978022,0.577640,0.657303,0.923077,0.967033
Qwen3-32B,0.118110,0.035294,0.027027,0.046296,0.696133,0.846591,0.601093,0.463277,0.781421,0.854749,0.967033,0.085366,0.000000,0.155405,0.603550,0.247126,0.911602,0.851648,0.327869,0.581081,0.907104,0.885246,0.945355,0.956284,0.907104,1.000000,1.000000,1.000000,1.000000,0.411765,0.801105,0.827778,0.972678,0.605882,0.765363,0.934426,0.961749
Qwen2.5-0.5B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.428571,0.000000,0.285714,0.285714,0.000000,0.000000,0.000000,1.000000,0.250000,0.166667,0.000000,0.000000,0.000000,0.000000,0.166667,0.333333,0.142857,0.000000,0.000000,0.142857,1.000000,1.000000,1.000000,1.000000,0.333333,0.166667,0.500000,0.000000,0.142857,0.428571,0.142857,0.142857
Qwen2.5-1.5B-Base,0.000000,0.000000,0.250000,0.333333,0.000000,0.800000,0.800000,0.400000,0.400000,0.200000,0.200000,0.250000,1.000000,0.000000,0.250000,0.000000,0.200000,0.000000,0.333333,1.000000,0.400000,0.400000,0.400000,0.200000,0.400000,1.000000,1.000000,1.000000,1.000000,0.000000,0.200000,0.250000,0.200000,1.000000,0.800000,0.600000,0.400000
Qwen2.5-3B-Base,0.173913,0.222222,0.434783,0.500000,0.500000,0.826087,0.739130,0.391304,0.565217,0.347826,0.434783,0.357143,0.000000,0.142857,0.272727,0.375000,0.363636,0.260870,0.333333,0.350000,0.521739,0.521739,0.478261,0.478261,0.652174,1.000000,1.000000,1.000000,1.000000,0.000000,0.086957,0.400000,0.608696,0.761905,0.869565,0.739130,0.608696
Qwen2.5-7B-Base,0.044199,0.200000,0.614525,0.601227,0.586207,0.829670,0.684783,0.521739,0.570652,0.440217,0.456522,0.162162,0.555556,0.186047,0.245614,0.275000,0.417582,0.549133,0.367347,0.488235,0.795580,0.673913,0.630435,0.574586,0.717391,1.000000,1.000000,1.000000,0.666667,0.375000,0.314286,0.606667,0.646739,0.676136,0.815217,0.744565,0.684783
Qwen2.5-14B-Base,0.053571,0.465116,0.464286,0.320755,0.375000,0.821429,0.714286,0.500000,0.571429,0.553571,0.607143,0.421053,1.000000,0.191489,0.380000,0.270833,0.339286,0.125000,0.379310,0.615385,0.517857,0.428571,0.589286,0.464286,0.696429,1.000000,1.000000,1.000000,1.000000,0.416667,0.089286,0.395833,0.625000,0.600000,0.785714,0.732143,0.589286
Qwen2.5-32B-Base,0.087591,0.433333,0.525547,0.550388,0.436620,0.825175,0.762238,0.636364,0.706294,0.580420,0.643357,0.154762,0.214286,0.230769,0.305344,0.289157,0.422535,0.375887,0.493827,0.488550,0.638298,0.594406,0.678322,0.661972,0.706294,1.000000,1.000000,1.000000,0.333333,0.318182,0.178571,0.524194,0.622378,0.580153,0.825175,0.769231,0.692308
Qwen2.5-72B-Base,0.073684,0.384615,0.729167,0.741176,0.546392,0.876289,0.835052,0.639175,0.721649,0.680412,0.670103,0.053571,0.000000,0.242424,0.418605,0.428571,0.670103,0.631579,0.285714,0.436782,0.711340,0.711340,0.690722,0.701031,0.814433,1.000000,1.000000,1.000000,0.000000,0.500000,0.361702,0.550000,0.718750,0.728261,0.804124,0.824742,0.762887
Qwen2.5-0.5B,0.054902,0.231293,0.376569,0.223214,0.186508,0.667969,0.357977,0.124514,0.108949,0.077821,0.089494,0.119718,1.000000,0.082803,0.099567,0.117647,0.043307,0.263158,0.169811,0.233766,0.688716,0.214008,0.143969,0.085603,0.182879,1.000000,1.000000,1.000000,1.000000,0.285714,0.195918,0.176211,0.143969,0.657143,0.455253,0.198444,0.178988
Qwen2.5-1.5B,0.025641,0.356436,0.618056,0.463235,0.420000,0.772727,0.532051,0.243590,0.282051,0.217949,0.243590,0.084507,1.000000,0.110169,0.213235,0.111111,0.248366,0.392857,0.263158,0.296552,0.762821,0.423077,0.365385,0.294872,0.339744,1.000000,1.000000,1.000000,1.000000,0.277778,0.241830,0.390625,0.275641,0.736842,0.653846,0.487179,0.397436
Qwen2.5-3B,0.035461,0.283784,0.659091,0.728000,0.683824,0.860140,0.741259,0.496503,0.545455,0.370629,0.405594,0.178082,1.000000,0.126214,0.276923,0.250000,0.517730,0.734848,0.138889,0.269841,0.846154,0.657343,0.524476,0.524476,0.559441,1.000000,1.000000,1.000000,1.000000,0.303030,0.460432,0.535433,0.573427,0.642336,0.860140,0.657343,0.601399
Qwen2.5-7B,0.052356,0.192982,0.756757,0.823864,0.822917,0.843750,0.748691,0.614583,0.703125,0.557292,0.598958,0.286822,1.000000,0.045455,0.279070,0.333333,0.744792,0.759777,0.280702,0.162651,0.838542,0.770833,0.718750,0.739583,0.843750,1.000000,1.000000,1.000000,1.000000,0.193548,0.478495,0.633136,0.675393,0.793651,0.864583,0.791667,0.802083
