solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.018868,0.000000,0.226415,0.042553,0.181818,0.436364,0.235294,0.196078,0.285714,0.137255,0.176471,0.461538,0.666667,0.060606,0.169811,0.042553,0.150943,0.274510,0.086957,0.259259,0.290909,0.236364,0.272727,0.181818,0.296296,1.000000,1.000000,1.000000,1.000000,0.166667,0.133333,0.179487,0.327273,0.358974,0.269231,0.166667,0.340000
Qwen3-1.7B-Base,0.208333,0.125000,0.400000,0.166667,0.076923,0.423077,0.346154,0.192308,0.230769,0.153846,0.192308,0.176471,1.000000,0.000000,0.240000,0.083333,0.080000,0.240000,0.076923,0.277778,0.423077,0.461538,0.230769,0.192308,0.307692,1.000000,1.000000,1.000000,1.000000,0.400000,0.043478,0.142857,0.192308,0.421053,0.076923,0.192308,0.115385
Qwen3-4B-Base,0.521739,0.150685,0.543689,0.362745,0.589744,0.598291,0.495726,0.389381,0.336207,0.239316,0.286957,0.204082,0.800000,0.118644,0.339286,0.276190,0.405172,0.598291,0.060000,0.323232,0.495726,0.666667,0.589744,0.572650,0.666667,1.000000,1.000000,1.000000,1.000000,0.105263,0.310345,0.209524,0.508621,0.463918,0.556522,0.350427,0.356522
Qwen3-8B-Base,0.096774,0.179487,0.587302,0.410714,0.281250,0.546875,0.460317,0.306452,0.344262,0.333333,0.375000,0.219512,0.800000,0.159091,0.459016,0.262295,0.377049,0.317460,0.235294,0.446429,0.562500,0.453125,0.484375,0.421875,0.531250,1.000000,1.000000,1.000000,1.000000,0.285714,0.258065,0.288462,0.546875,0.339623,0.475410,0.437500,0.468750
Qwen3-14B-Base,0.014388,0.191011,0.684615,0.629921,0.676259,0.666667,0.536232,0.398551,0.357664,0.366906,0.359712,0.150685,1.000000,0.153061,0.349206,0.343750,0.586957,0.735294,0.214286,0.484848,0.775362,0.690647,0.654676,0.597122,0.666667,1.000000,1.000000,1.000000,1.000000,0.121951,0.307692,0.235772,0.550725,0.596774,0.532374,0.434783,0.485507
Qwen3-0.6B,0.223881,0.000000,0.000000,0.027397,0.080000,0.820000,0.500000,0.745098,0.465347,0.567308,0.596154,0.464286,0.500000,0.131868,0.329412,0.022472,0.303030,0.560000,0.187500,0.464646,0.757282,0.557692,0.538462,0.500000,0.543689,1.000000,1.000000,1.000000,1.000000,0.363636,0.450000,0.378641,0.644231,0.574468,0.590000,0.509615,0.557692
Qwen3-1.7B,0.117647,0.000000,0.000000,0.068966,0.292683,0.897436,0.609756,0.829268,0.634146,0.829268,0.878049,0.300000,1.000000,0.135135,0.384615,0.030303,0.615385,0.804878,0.166667,0.550000,0.731707,0.853659,0.804878,0.829268,0.878049,1.000000,1.000000,1.000000,1.000000,1.000000,0.736842,0.536585,0.951220,0.676471,0.725000,0.853659,0.780488
Qwen3-4B,0.250000,0.000000,0.043478,0.166667,0.366667,0.774194,0.516129,0.800000,0.806452,0.870968,0.903226,0.444444,0.000000,0.148148,0.416667,0.107143,0.833333,0.741935,0.125000,0.344828,0.806452,0.774194,0.806452,0.838710,0.935484,1.000000,1.000000,1.000000,1.000000,0.000000,0.700000,0.548387,0.870968,0.666667,0.677419,0.870968,0.935484
Qwen3-8B,0.285714,0.100000,0.000000,0.100000,0.263158,0.722222,0.684211,0.842105,0.684211,1.000000,1.000000,0.400000,0.000000,0.176471,0.400000,0.058824,0.833333,0.842105,0.333333,0.411765,0.842105,0.736842,1.000000,0.947368,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.777778,0.789474,0.947368,0.764706,0.666667,0.894737,1.000000
Qwen3-14B,0.181818,0.055556,0.041667,0.080000,0.392857,0.840000,0.428571,0.880000,0.571429,0.750000,0.925926,0.272727,0.333333,0.217391,0.360000,0.142857,0.666667,0.821429,0.000000,0.500000,0.928571,0.785714,0.857143,0.928571,0.964286,1.000000,1.000000,1.000000,1.000000,0.000000,0.821429,0.740741,0.821429,0.772727,0.720000,0.785714,0.964286
Qwen3-32B,0.100000,0.071429,0.000000,0.076923,0.434783,0.727273,0.391304,0.818182,0.782609,1.000000,1.000000,0.500000,0.000000,0.130435,0.476190,0.136364,0.900000,0.913043,0.230769,0.500000,0.782609,0.956522,0.956522,1.000000,0.956522,1.000000,1.000000,1.000000,1.000000,0.333333,0.863636,0.782609,0.956522,0.666667,0.857143,0.956522,0.956522
Qwen2.5-0.5B-Base,0.000000,0.285714,0.333333,0.166667,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.250000,0.300000,0.100000,0.083333,0.000000,0.111111,0.500000,0.166667,0.166667,0.000000,0.000000,0.166667,1.000000,1.000000,1.000000,1.000000,1.000000,0.181818,0.181818,0.083333,0.200000,0.000000,0.000000,0.083333
