solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.116667,0.240385,0.264368,0.164773,0.100000,0.242105,0.094737,0.047368,0.042105,0.031579,0.026316,0.152672,0.458333,0.069767,0.196532,0.180124,0.095745,0.118919,0.257426,0.452830,0.294737,0.147368,0.116402,0.105263,0.073684,1.000000,1.000000,1.000000,1.000000,0.142857,0.090909,0.083333,0.079787,0.241176,0.096257,0.057895,0.073684
Qwen3-1.7B-Base,0.056452,0.369048,0.700000,0.581197,0.352459,0.532258,0.362903,0.105691,0.080645,0.048387,0.048387,0.163265,1.000000,0.457447,0.421488,0.410714,0.336066,0.463415,0.442857,0.728972,0.733871,0.620968,0.330645,0.314516,0.250000,1.000000,1.000000,1.000000,1.000000,0.428571,0.324324,0.236364,0.193548,0.324561,0.211382,0.162602,0.154472
Qwen3-4B-Base,0.606383,0.424658,0.817308,0.625000,0.396396,0.687500,0.598214,0.321429,0.348214,0.285714,0.285714,0.297872,0.666667,0.113924,0.495146,0.365591,0.387387,0.638889,0.282609,0.641304,0.720721,0.803571,0.678571,0.553571,0.459459,1.000000,1.000000,1.000000,1.000000,0.333333,0.323810,0.459770,0.357798,0.583333,0.508929,0.491071,0.446429
Qwen3-8B-Base,0.075472,0.506849,0.795918,0.663265,0.542056,0.700935,0.537736,0.411215,0.429907,0.383178,0.373832,0.157895,0.500000,0.350000,0.333333,0.591837,0.457143,0.616822,0.357143,0.843750,0.775701,0.672897,0.588785,0.635514,0.495327,1.000000,1.000000,1.000000,1.000000,0.454545,0.260870,0.395062,0.556604,0.556604,0.560748,0.532710,0.467290
Qwen3-14B-Base,0.087500,0.452830,0.845070,0.789474,0.637500,0.762500,0.712500,0.487500,0.600000,0.462500,0.500000,0.087719,1.000000,0.444444,0.381579,0.649351,0.537500,0.734177,0.487805,0.797297,0.887500,0.825000,0.775000,0.762500,0.612500,1.000000,1.000000,1.000000,1.000000,0.318182,0.295775,0.531250,0.632911,0.762500,0.662500,0.600000,0.612500
Qwen3-0.6B,0.132275,0.090909,0.016304,0.107527,0.136000,0.881356,0.651822,0.570281,0.553785,0.696850,0.670635,0.315385,0.200000,0.100437,0.594470,0.315556,0.791165,0.894737,0.210145,0.804444,0.833992,0.850394,0.846457,0.803150,0.645669,1.000000,1.000000,1.000000,1.000000,0.482759,0.795181,0.745020,0.778656,0.532258,0.438735,0.636364,0.641732
Qwen3-1.7B,0.074627,0.079365,0.015873,0.056338,0.242424,0.881720,0.722772,0.757895,0.670000,0.843137,0.872549,0.636364,0.333333,0.109890,0.666667,0.238636,0.897959,0.970297,0.103448,0.718750,0.911765,0.941176,0.960784,0.950980,0.892157,1.000000,1.000000,1.000000,1.000000,0.400000,0.840000,0.732673,0.920792,0.584158,0.607843,0.862745,0.843137
Qwen3-4B,0.090909,0.090909,0.062500,0.071429,0.118644,0.854545,0.666667,0.758621,0.677966,0.932203,0.949153,0.413793,0.250000,0.204082,0.680000,0.307692,0.932203,1.000000,0.037037,0.830189,0.965517,0.966102,0.983051,0.966102,1.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.864407,0.758621,1.000000,0.642857,0.637931,0.966102,0.966102
Qwen3-8B,0.102564,0.103448,0.085714,0.062500,0.187500,0.857143,0.750000,0.680000,0.620000,0.900000,0.916667,0.375000,0.500000,0.166667,0.625000,0.227273,0.840000,0.979167,0.095238,0.812500,0.920000,0.880000,0.940000,0.960000,0.920000,1.000000,1.000000,1.000000,1.000000,0.250000,0.959184,0.740000,0.980000,0.734694,0.560000,0.940000,0.940000
Qwen3-14B,0.037037,0.090909,0.000000,0.105263,0.204545,0.886364,0.733333,0.651163,0.750000,0.931818,0.977778,0.368421,0.400000,0.264706,0.705882,0.447368,0.933333,0.977778,0.035714,0.880952,0.886364,0.977778,0.977778,1.000000,0.977778,1.000000,1.000000,1.000000,1.000000,0.625000,0.844444,0.888889,1.000000,0.619048,0.636364,0.955556,1.000000
Qwen3-32B,0.193548,0.080000,0.000000,0.083333,0.250000,0.886364,0.739130,0.666667,0.555556,0.869565,0.933333,0.400000,0.500000,0.263158,0.628571,0.571429,0.886364,0.909091,0.050000,0.904762,0.934783,0.913043,0.978261,0.934783,0.934783,1.000000,1.000000,1.000000,1.000000,0.727273,0.847826,0.822222,0.913043,0.644444,0.608696,0.869565,0.913043
Qwen2.5-0.5B-Base,0.086614,0.241758,0.544715,0.400000,0.192308,0.282443,0.160305,0.076336,0.076336,0.061069,0.053435,0.174419,0.285714,0.418367,0.421875,0.283465,0.210938,0.276923,0.394366,0.785714,0.618321,0.461538,0.190840,0.122137,0.091603,0.000000,1.000000,1.000000,0.000000,0.441176,0.288136,0.174312,0.076923,0.292683,0.099237,0.061069,0.061069
Qwen2.5-1.5B-Base,0.136364,0.192308,0.166667,0.170213,0.075472,0.173077,0.075472,0.075472,0.056604,0.037736,0.056604,0.461538,0.619048,0.055556,0.137255,0.081633,0.117647,0.113208,0.357143,0.200000,0.196078,0.150943,0.113208,0.075472,0.056604,1.000000,1.000000,1.000000,1.000000,0.370370,0.166667,0.122449,0.075472,0.285714,0.226415,0.094340,0.037736
Qwen2.5-3B-Base,0.117284,0.359649,0.741935,0.586667,0.351852,0.617284,0.425926,0.141975,0.129630,0.104938,0.092593,0.103774,0.666667,0.425197,0.433121,0.452229,0.339506,0.456790,0.427184,0.766423,0.820988,0.666667,0.419753,0.339506,0.228395,1.000000,1.000000,1.000000,1.000000,0.340909,0.293706,0.322314,0.265432,0.500000,0.296296,0.228395,0.160494
Qwen2.5-7B-Base,0.132701,0.180124,0.712195,0.713592,0.687204,0.387850,0.320755,0.219626,0.215962,0.206573,0.214953,0.115385,0.480000,0.153374,0.566327,0.616505,0.691589,0.771028,0.183673,0.661376,0.543269,0.769953,0.677570,0.698565,0.504717,1.000000,1.000000,1.000000,1.000000,0.307692,0.377660,0.284946,0.448113,0.405000,0.338028,0.266355,0.261682
Qwen2.5-14B-Base,0.126374,0.396694,0.628049,0.450331,0.342541,0.598901,0.500000,0.373626,0.384615,0.390110,0.379121,0.205607,0.666667,0.167939,0.337278,0.468208,0.386740,0.491620,0.278481,0.666667,0.741758,0.505495,0.510989,0.472527,0.450549,1.000000,1.000000,1.000000,1.000000,0.320000,0.170588,0.261905,0.463687,0.581395,0.472527,0.450549,0.417582
Qwen2.5-32B-Base,0.322034,0.230216,0.693642,0.514793,0.434783,0.754011,0.689840,0.631016,0.652406,0.641711,0.625668,0.292035,0.428571,0.187097,0.217143,0.461538,0.639785,0.691892,0.260870,0.821429,0.774194,0.743316,0.754011,0.747312,0.716578,1.000000,1.000000,1.000000,0.400000,0.418605,0.286550,0.419355,0.677596,0.661202,0.715054,0.700535,0.695187
Qwen2.5-72B-Base,0.126316,0.409091,0.800000,0.715909,0.604167,0.645833,0.479167,0.427083,0.416667,0.416667,0.427083,0.074627,0.285714,0.328947,0.522222,0.593407,0.541667,0.680851,0.436364,0.750000,0.770833,0.656250,0.645833,0.625000,0.604167,1.000000,1.000000,1.000000,1.000000,0.400000,0.263736,0.402597,0.458333,0.684783,0.583333,0.479167,0.531250
Qwen2.5-0.5B,0.075000,0.295359,0.548440,0.371711,0.174455,0.312597,0.135514,0.013997,0.017134,0.012442,0.010886,0.072368,0.333333,0.336756,0.384868,0.233119,0.102964,0.154088,0.195251,0.719178,0.638629,0.475078,0.146417,0.093313,0.040435,1.000000,1.000000,1.000000,1.000000,0.219858,0.204380,0.163708,0.063963,0.246305,0.095164,0.031153,0.026439
Qwen2.5-1.5B,0.051429,0.375510,0.695266,0.557229,0.375358,0.557143,0.294286,0.085960,0.080000,0.048711,0.051429,0.081897,0.636364,0.375465,0.463855,0.380240,0.286957,0.381503,0.173684,0.742331,0.834286,0.688571,0.351429,0.240000,0.168571,1.000000,1.000000,1.000000,1.000000,0.323529,0.319079,0.213178,0.137536,0.447447,0.242857,0.148571,0.105714
Qwen2.5-3B,0.062147,0.546875,0.801205,0.700000,0.516854,0.719101,0.471910,0.235955,0.230337,0.174157,0.140449,0.122137,1.000000,0.426230,0.432749,0.587879,0.451429,0.606742,0.202020,0.786164,0.937853,0.837079,0.623596,0.502825,0.348315,1.000000,1.000000,1.000000,1.000000,0.482143,0.346154,0.436620,0.395480,0.575581,0.446328,0.247191,0.264045
Qwen2.5-7B,0.119266,0.425000,0.859813,0.733333,0.633028,0.709091,0.581818,0.345455,0.321101,0.281818,0.300000,0.139535,1.000000,0.604651,0.466667,0.603960,0.614679,0.798165,0.395062,0.843137,0.954545,0.918182,0.781818,0.709091,0.590909,1.000000,1.000000,1.000000,1.000000,0.294118,0.336735,0.434211,0.563636,0.735849,0.596330,0.509091,0.481818
Qwen2.5-14B,0.088608,0.444444,0.910256,0.797297,0.743590,0.797468,0.708861,0.556962,0.582278,0.518987,0.518987,0.105263,1.000000,0.484848,0.597403,0.779221,0.708861,0.886076,0.390244,0.814286,0.936709,0.898734,0.886076,0.797468,0.708861,1.000000,1.000000,1.000000,1.000000,0.312500,0.378378,0.474576,0.730769,0.743590,0.734177,0.670886,0.645570
Qwen2.5-32B,0.094340,0.459459,0.903846,0.791667,0.685185,0.703704,0.740741,0.592593,0.666667,0.666667,0.722222,0.108108,1.000000,0.441860,0.530612,0.788462,0.759259,0.849057,0.368421,0.854167,0.870370,0.907407,0.888889,0.888889,0.740741,1.000000,1.000000,1.000000,1.000000,0.222222,0.340000,0.302326,0.740741,0.807692,0.740741,0.722222,0.740741
Qwen2.5-72B,0.086207,0.500000,0.910714,0.818182,0.775862,0.793103,0.775862,0.706897,0.655172,0.637931,0.568966,0.023810,1.000000,0.500000,0.535714,0.758621,0.689655,0.862069,0.281250,0.888889,0.931034,0.931034,0.948276,0.896552,0.862069,1.000000,1.000000,1.000000,1.000000,0.500000,0.468085,0.555556,0.724138,0.754386,0.775862,0.741379,0.741379
Llama3-1B-Base,0.153846,0.125000,0.000000,0.000000,0.000000,0.142857,0.071429,0.000000,0.000000,0.000000,0.000000,0.444444,0.500000,0.090909,0.214286,0.000000,0.076923,0.000000,0.111111,0.166667,0.071429,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.200000,0.000000,0.000000,0.000000,0.071429,0.071429,0.000000,0.000000
Llama3-3B-Base,0.142857,0.250000,0.111111,0.080000,0.034483,0.100000,0.066667,0.033333,0.033333,0.033333,0.033333,0.277778,0.500000,0.000000,0.275862,0.071429,0.071429,0.103448,0.238095,0.642857,0.103448,0.033333,0.033333,0.100000,0.033333,0.000000,1.000000,1.000000,1.000000,0.400000,0.172414,0.045455,0.066667,0.200000,0.033333,0.033333,0.066667
Llama3-8B-Base,0.000000,0.000000,0.222222,0.222222,0.222222,0.333333,0.222222,0.222222,0.222222,0.222222,0.222222,0.200000,1.000000,0.142857,0.166667,0.375000,0.222222,0.222222,0.500000,0.500000,0.333333,0.222222,0.222222,0.333333,0.222222,1.000000,1.000000,1.000000,1.000000,0.000000,0.111111,0.125000,0.222222,0.375000,0.375000,0.333333,0.222222
Llama3-70B-Base,0.111111,0.000000,0.000000,0.111111,0.300000,0.400000,0.545455,0.454545,0.363636,0.400000,0.200000,0.000000,1.000000,0.000000,0.272727,0.200000,0.400000,0.444444,0.000000,0.400000,0.400000,0.545455,0.454545,0.454545,0.636364,1.000000,0.500000,1.000000,1.000000,0.750000,0.285714,0.400000,0.636364,0.444444,0.636364,0.454545,0.454545
Llama3-1B,0.050633,0.127660,0.564103,0.311688,0.151899,0.275000,0.175000,0.037500,0.037500,0.012500,0.037500,0.040000,1.000000,0.036364,0.280000,0.324675,0.126582,0.100000,0.200000,0.791045,0.537500,0.212500,0.162500,0.050000,0.062500,1.000000,1.000000,1.000000,1.000000,0.230769,0.256410,0.205882,0.101266,0.266667,0.100000,0.050000,0.050000
Llama3-3B,0.081633,0.239726,0.740586,0.446429,0.300412,0.465306,0.306122,0.110204,0.085714,0.069388,0.081633,0.244444,0.500000,0.233696,0.336207,0.456790,0.308642,0.312757,0.576271,0.802752,0.706122,0.534694,0.371429,0.277551,0.147541,1.000000,1.000000,1.000000,1.000000,0.113636,0.327660,0.264423,0.197531,0.432773,0.228571,0.146939,0.110204
Llama3-8B,0.060606,0.192661,0.737968,0.500000,0.362245,0.558376,0.303030,0.181818,0.207071,0.146465,0.161616,0.251748,0.300000,0.235294,0.353261,0.494565,0.409091,0.403061,0.359551,0.774725,0.771574,0.631313,0.540404,0.459596,0.262626,1.000000,1.000000,1.000000,1.000000,0.136364,0.416667,0.427711,0.416244,0.450777,0.393939,0.262626,0.258883
