solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.052023,0.126214,0.000000,0.000000,0.000000,0.236994,0.150289,0.058140,0.075145,0.046243,0.040462,0.417391,0.500000,0.055118,0.000000,0.007874,0.000000,0.000000,0.401460,0.222222,0.624277,0.000000,0.468208,0.000000,0.005780,1.000000,1.000000,1.000000,1.000000,0.488722,0.066265,0.000000,0.000000,0.405882,0.219653,0.213873,0.040462
Qwen3-1.7B-Base,0.356701,0.233333,0.166320,0.041053,0.202055,0.843117,0.333670,0.201826,0.036400,0.032356,0.298583,0.249462,0.884058,0.137019,0.491435,0.011891,0.058015,0.582383,0.010929,0.067347,0.506186,0.485067,0.468303,0.062690,0.295547,1.000000,1.000000,1.000000,1.000000,0.604690,0.520270,0.611732,0.342583,0.431591,0.309959,0.055208,0.173428
Qwen3-4B-Base,0.090909,0.741379,0.780952,0.803922,0.787611,0.584071,0.539823,0.486726,0.389381,0.407080,0.256637,0.654762,0.454545,0.407407,0.446429,0.510204,0.657658,0.705357,0.261682,0.878505,0.732143,0.628319,0.707965,0.681416,0.637168,1.000000,1.000000,1.000000,1.000000,0.473684,0.540541,0.615385,0.504425,0.495495,0.548673,0.619469,0.592920
Qwen3-8B-Base,0.072519,0.097826,0.293313,0.286307,0.389527,0.263024,0.067344,0.034307,0.022872,0.019060,0.049555,0.738725,0.796296,0.154762,0.529487,0.421569,0.445722,0.297332,0.452482,0.624501,0.270648,0.162643,0.241423,0.219822,0.102922,1.000000,1.000000,1.000000,1.000000,0.405724,0.341656,0.267507,0.115776,0.176066,0.092757,0.024142,0.026684
Qwen3-14B-Base,0.035821,0.941667,0.924092,0.926606,0.580838,0.817910,0.826866,0.788060,0.811940,0.826866,0.749254,0.588235,0.300000,0.368421,0.536364,0.773438,0.888889,0.901493,0.096970,0.372014,0.913174,0.919403,0.916418,0.916418,0.892537,1.000000,1.000000,1.000000,1.000000,0.665198,0.606707,0.680412,0.886228,0.793846,0.877612,0.874627,0.850746
Qwen3-0.6B,0.444703,0.162055,0.003106,0.590571,0.657867,0.914607,0.694444,0.678571,0.832101,0.891579,0.520000,0.637795,0.882353,0.380000,0.482315,0.681081,0.909091,0.936306,0.327744,0.922092,0.759201,0.901157,0.935857,0.944328,0.882353,1.000000,1.000000,1.000000,1.000000,0.732265,0.875796,0.743344,0.928421,0.465389,0.721346,0.810127,0.876050
Qwen3-1.7B,0.473333,0.101408,0.004684,0.700855,0.949848,0.980583,0.693694,0.905488,0.928680,0.936364,0.915280,0.604265,0.892857,0.576744,0.418321,0.877489,0.984825,0.984802,0.163223,0.993921,0.886018,0.980333,0.993949,0.992436,0.974281,1.000000,1.000000,1.000000,1.000000,0.718935,0.933232,0.843318,0.983359,0.750383,0.921212,0.987897,0.989410
Qwen3-4B,0.500000,0.019231,0.000000,0.684211,0.985507,1.000000,0.625000,0.957746,0.985915,0.929577,0.971831,0.812500,1.000000,0.707317,0.380282,0.820896,1.000000,1.000000,0.188679,1.000000,0.943662,0.985915,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.666667,0.971831,0.785714,1.000000,0.788732,0.985915,1.000000,1.000000
Qwen3-8B,0.687708,0.114504,0.005464,0.501684,0.997333,0.991228,0.600733,0.822222,0.598930,0.914894,1.000000,0.653571,1.000000,0.291367,0.388740,0.933333,1.000000,1.000000,0.131579,0.989247,0.992021,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.884956,0.953804,0.847185,1.000000,0.821138,0.978667,1.000000,1.000000
Qwen3-14B,0.555556,0.200000,0.083333,0.428571,0.869565,1.000000,0.888889,0.913043,0.913043,0.826087,0.913043,0.866667,0.500000,0.500000,0.391304,0.578947,1.000000,1.000000,0.166667,1.000000,0.826087,1.000000,1.000000,1.000000,0.956522,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.782609,1.000000,0.782609,0.956522,1.000000,1.000000
Qwen3-32B,0.384615,0.200000,0.000000,0.750000,1.000000,0.909091,0.916667,0.923077,0.923077,0.846154,0.846154,0.363636,1.000000,0.857143,0.692308,0.692308,1.000000,1.000000,0.700000,1.000000,0.846154,0.923077,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.857143,1.000000,0.923077,1.000000,0.846154,1.000000,1.000000,1.000000
Qwen2.5-0.5B-Base,0.603593,0.141304,0.351391,0.074401,0.014840,0.143177,0.035834,0.000000,0.002237,0.001119,0.000000,0.880357,0.785714,0.016603,0.498262,0.081633,0.015012,0.067720,0.203412,0.340351,0.445198,0.157895,0.087248,0.064877,0.288914,1.000000,1.000000,1.000000,1.000000,0.573152,0.420933,0.142032,0.081747,0.074401,0.061521,0.021277,0.010067
Qwen2.5-1.5B-Base,0.210970,0.576138,0.078818,0.010782,0.038896,0.039000,0.024024,0.000000,0.001000,0.000000,0.000000,0.635135,0.175676,0.054455,0.168979,0.054381,0.339856,0.060029,0.586466,0.426535,0.257687,0.073589,0.028226,0.038501,0.015000,1.000000,1.000000,1.000000,1.000000,0.377384,0.175809,0.288845,0.035176,0.211340,0.230461,0.002004,0.001007
Qwen2.5-3B-Base,0.058427,0.878594,0.824826,0.861702,0.448703,0.619529,0.600449,0.484848,0.461279,0.483726,0.387205,0.554328,0.200000,0.302469,0.733181,0.811611,0.683486,0.635525,0.254282,0.536802,0.786756,0.822671,0.896745,0.890011,0.640853,1.000000,1.000000,1.000000,1.000000,0.676838,0.752860,0.723764,0.788288,0.618993,0.643098,0.610550,0.591470
Qwen2.5-7B-Base,0.110753,0.447811,0.123641,0.334061,0.381760,0.018987,0.006329,0.004219,0.004219,0.003165,0.005274,0.794562,0.424870,0.106667,0.817511,0.229032,0.128042,0.308995,0.845894,0.446115,0.058078,0.034810,0.046414,0.028481,0.011603,1.000000,1.000000,1.000000,1.000000,0.273098,0.152034,0.049180,0.018987,0.014035,0.011603,0.007384,0.006329
Qwen2.5-14B-Base,0.082822,0.186957,0.515823,0.671821,0.465331,0.181402,0.120427,0.096037,0.103659,0.121951,0.080793,0.819048,0.857143,0.096386,0.179081,0.778399,0.392628,0.507692,0.836364,0.729814,0.460829,0.367378,0.455793,0.492378,0.493902,1.000000,1.000000,1.000000,1.000000,0.631148,0.369888,0.346975,0.240854,0.127063,0.105344,0.158537,0.158537
Qwen2.5-32B-Base,0.211429,0.626374,0.698413,0.483168,0.311808,0.287546,0.192308,0.181319,0.184982,0.192308,0.159633,0.605744,0.418605,0.216216,0.305927,0.437137,0.613508,0.641509,0.183884,0.718427,0.659176,0.516484,0.699634,0.777982,0.510989,1.000000,1.000000,1.000000,1.000000,0.652520,0.567468,0.346939,0.404412,0.189453,0.216117,0.192308,0.165138
Qwen2.5-72B-Base,0.109756,0.500000,0.961290,0.895062,0.496894,0.621951,0.554878,0.432927,0.353659,0.463415,0.304878,0.655462,1.000000,0.161290,0.149351,0.653595,0.822086,0.765432,0.134752,0.965278,0.810976,0.951220,0.939024,0.975610,0.798780,1.000000,1.000000,1.000000,1.000000,0.586466,0.628049,0.722222,0.664634,0.625000,0.524390,0.628049,0.560976
Qwen2.5-0.5B,0.063437,0.679612,0.630332,0.631707,0.403488,0.409458,0.267589,0.038062,0.024221,0.012687,0.004614,0.360248,0.285714,0.340580,0.738824,0.406553,0.243243,0.364377,0.359551,0.780726,0.632794,0.648212,0.572088,0.573241,0.176471,1.000000,1.000000,1.000000,1.000000,0.645066,0.633017,0.637910,0.413873,0.313896,0.380623,0.173010,0.103806
Qwen2.5-1.5B,0.078078,1.000000,0.998978,0.993776,0.811931,0.742000,0.721722,0.457000,0.329000,0.366000,0.226000,0.666068,1.000000,0.826331,0.867275,0.854188,0.854103,0.705115,0.250608,0.979798,0.870000,0.991000,0.995000,0.971000,0.797000,1.000000,1.000000,1.000000,1.000000,0.586563,0.686373,0.782372,0.903711,0.803901,0.772000,0.762000,0.623000
Qwen2.5-3B,0.058568,1.000000,0.962923,1.000000,0.902280,0.812364,0.883948,0.754881,0.702820,0.728850,0.538545,0.611429,0.666667,0.596844,0.909978,0.849879,0.798458,0.992383,0.468880,0.769133,0.970588,0.993492,0.998915,0.993492,0.954447,1.000000,1.000000,1.000000,1.000000,0.786382,0.721796,0.936580,0.967391,0.837989,0.901302,0.905640,0.819957
Qwen2.5-7B,0.060000,0.972603,0.870813,0.916667,0.593846,0.621538,0.706154,0.553846,0.540000,0.556923,0.421538,0.460280,0.800000,0.476341,0.647887,0.430528,0.419152,0.836923,0.041166,0.784965,0.876733,0.918462,0.933846,0.946154,0.786154,1.000000,1.000000,1.000000,1.000000,0.583490,0.671900,0.782178,0.872111,0.658768,0.712308,0.684615,0.629231
