solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.061224,0.117647,0.163265,0.023256,0.117647,0.588235,0.254902,0.117647,0.156863,0.117647,0.058824,0.483871,1.000000,0.055556,0.148936,0.071429,0.100000,0.145833,0.411765,0.288889,0.156863,0.220000,0.196078,0.137255,0.176471,1.000000,1.000000,1.000000,1.000000,0.181818,0.244444,0.195652,0.176471,0.478261,0.470588,0.215686,0.196078
Qwen3-1.7B-Base,0.375000,0.571429,0.875000,0.714286,0.625000,1.000000,0.625000,0.250000,0.625000,0.125000,0.375000,0.285714,1.000000,0.000000,0.500000,0.666667,0.142857,0.375000,0.333333,0.428571,0.750000,0.625000,0.375000,0.375000,0.375000,1.000000,1.000000,1.000000,1.000000,0.250000,0.500000,0.571429,0.375000,0.875000,0.875000,0.375000,0.375000
Qwen3-4B-Base,0.166667,0.393939,0.690476,0.340426,0.632653,0.632653,0.571429,0.469388,0.489796,0.387755,0.387755,0.272727,0.250000,0.068966,0.466667,0.189189,0.458333,0.446809,0.333333,0.369565,0.551020,0.632653,0.551020,0.571429,0.469388,1.000000,1.000000,1.000000,1.000000,0.000000,0.234043,0.521739,0.541667,0.687500,0.653061,0.612245,0.632653
Qwen3-8B-Base,0.057143,0.320000,0.571429,0.593750,0.571429,0.805556,0.666667,0.666667,0.583333,0.416667,0.416667,0.208333,0.333333,0.200000,0.485714,0.307692,0.428571,0.416667,0.380952,0.264706,0.555556,0.611111,0.583333,0.416667,0.555556,1.000000,1.000000,1.000000,1.000000,0.250000,0.305556,0.354839,0.472222,0.771429,0.638889,0.555556,0.555556
Qwen3-14B-Base,0.044444,0.480000,0.777778,0.790698,0.755556,0.822222,0.800000,0.688889,0.666667,0.511111,0.488889,0.206897,1.000000,0.258065,0.476190,0.363636,0.644444,0.659091,0.388889,0.325581,0.688889,0.688889,0.644444,0.777778,0.777778,1.000000,1.000000,1.000000,1.000000,0.454545,0.488889,0.562500,0.822222,0.727273,0.733333,0.688889,0.688889
Qwen3-0.6B,0.323810,0.000000,0.029126,0.046512,0.241935,0.817460,0.560000,0.471545,0.436508,0.468254,0.515873,0.244444,0.571429,0.144144,0.500000,0.106195,0.292683,0.572581,0.687500,0.462810,0.784000,0.650794,0.619048,0.468254,0.460317,1.000000,1.000000,1.000000,1.000000,0.666667,0.611111,0.629032,0.619048,0.672414,0.674603,0.690476,0.619048
Qwen3-1.7B,0.081081,0.000000,0.044444,0.000000,0.353846,0.815385,0.632353,0.650794,0.573529,0.720588,0.926471,0.176471,0.500000,0.163934,0.412698,0.111111,0.705882,0.867647,0.384615,0.349206,0.794118,0.735294,0.911765,0.779412,0.823529,1.000000,1.000000,1.000000,1.000000,0.285714,0.779412,0.808824,0.882353,0.642857,0.723077,0.823529,0.823529
Qwen3-4B,0.120000,0.000000,0.000000,0.000000,0.357143,0.804878,0.372093,0.615385,0.595238,0.790698,0.883721,0.125000,1.000000,0.225000,0.410256,0.102564,0.720930,0.809524,0.315789,0.333333,0.790698,0.790698,0.906977,0.860465,0.813953,1.000000,1.000000,1.000000,1.000000,0.400000,0.604651,0.666667,0.883721,0.631579,0.666667,0.744186,0.906977
Qwen3-8B,0.090909,0.000000,0.045455,0.066667,0.433333,0.689655,0.600000,0.827586,0.516129,0.774194,0.935484,0.000000,1.000000,0.142857,0.434783,0.129032,0.838710,0.709677,0.700000,0.392857,0.806452,0.774194,0.806452,0.870968,0.870968,1.000000,1.000000,1.000000,1.000000,0.000000,0.741935,0.800000,0.935484,0.379310,0.733333,0.838710,0.935484
Qwen3-14B,0.043478,0.058824,0.045455,0.000000,0.551724,0.607143,0.344828,0.642857,0.655172,0.655172,0.896552,0.142857,0.000000,0.181818,0.521739,0.074074,0.892857,0.758621,0.111111,0.481481,0.689655,0.689655,0.965517,0.931034,0.827586,1.000000,1.000000,1.000000,1.000000,0.250000,0.703704,0.793103,0.931034,0.444444,0.655172,0.862069,0.896552
