solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.085366,0.090909,0.250000,0.173913,0.287500,0.500000,0.313253,0.219512,0.253012,0.214286,0.228916,0.521739,0.500000,0.042553,0.263889,0.154930,0.166667,0.250000,0.200000,0.428571,0.214286,0.380952,0.261905,0.261905,0.261905,1.000000,1.000000,1.000000,1.000000,0.333333,0.213333,0.281250,0.357143,0.397059,0.385542,0.261905,0.240964
Qwen3-1.7B-Base,0.100000,0.458333,0.687500,0.600000,0.545455,0.696970,0.575758,0.545455,0.515152,0.515152,0.484848,0.107143,0.000000,0.315789,0.548387,0.629630,0.593750,0.515152,0.333333,0.407407,0.787879,0.666667,0.636364,0.515152,0.515152,1.000000,1.000000,1.000000,1.000000,0.333333,0.333333,0.571429,0.606061,0.677419,0.636364,0.545455,0.545455
Qwen3-4B-Base,0.466667,0.400000,0.696203,0.637500,0.833333,0.744444,0.707865,0.744444,0.711111,0.666667,0.655556,0.163636,0.285714,0.173913,0.642857,0.367089,0.741573,0.707865,0.318182,0.413333,0.555556,0.811111,0.800000,0.800000,0.755556,1.000000,1.000000,1.000000,1.000000,0.409091,0.449438,0.511905,0.811111,0.770115,0.744444,0.766667,0.811111
Qwen3-8B-Base,0.129870,0.326923,0.710526,0.552239,0.571429,0.740260,0.551282,0.513158,0.560000,0.435897,0.447368,0.214286,0.454545,0.157895,0.547945,0.382353,0.486842,0.552632,0.309524,0.455882,0.615385,0.571429,0.641026,0.525641,0.564103,1.000000,1.000000,1.000000,0.000000,0.200000,0.323944,0.529412,0.675325,0.579710,0.597403,0.538462,0.565789
Qwen3-14B-Base,0.102564,0.391892,0.892857,0.893805,0.871795,0.871795,0.794872,0.773913,0.760684,0.724138,0.709402,0.181818,1.000000,0.353659,0.685185,0.678161,0.837607,0.870690,0.235294,0.462963,0.837607,0.863248,0.888889,0.863248,0.811966,1.000000,1.000000,1.000000,1.000000,0.428571,0.473214,0.703704,0.863248,0.818182,0.818966,0.846154,0.793103
Qwen3-0.6B,0.256098,0.027778,0.022472,0.175000,0.239669,0.786885,0.471545,0.555556,0.508197,0.524590,0.463415,0.204082,0.750000,0.221154,0.500000,0.127119,0.475410,0.658537,0.469697,0.517241,0.756098,0.717742,0.645161,0.483871,0.508065,1.000000,1.000000,1.000000,1.000000,0.437500,0.565574,0.591667,0.725806,0.469027,0.553719,0.634146,0.685484
Qwen3-1.7B,0.210526,0.085714,0.000000,0.088235,0.375000,0.750000,0.491525,0.745098,0.683333,0.796610,0.900000,0.368421,0.500000,0.265306,0.591837,0.210526,0.830508,0.827586,0.571429,0.581818,0.783333,0.850000,0.933333,0.900000,0.900000,1.000000,1.000000,1.000000,1.000000,0.400000,0.833333,0.783333,0.900000,0.568966,0.728814,0.800000,0.900000
Qwen3-4B,0.045455,0.000000,0.031250,0.035714,0.404762,0.750000,0.476190,0.707317,0.619048,0.833333,0.952381,0.250000,1.000000,0.142857,0.529412,0.150000,0.952381,0.928571,0.478261,0.475000,0.904762,0.785714,0.928571,0.952381,0.880952,1.000000,1.000000,1.000000,1.000000,0.400000,0.825000,0.780488,0.976190,0.605263,0.666667,0.857143,0.928571
Qwen3-8B,0.125000,0.062500,0.045455,0.238095,0.466667,0.592593,0.500000,0.689655,0.566667,0.866667,0.896552,0.250000,0.000000,0.200000,0.615385,0.148148,0.900000,0.866667,0.187500,0.444444,0.900000,0.833333,0.866667,0.933333,0.866667,1.000000,1.000000,1.000000,1.000000,0.200000,0.833333,0.833333,0.933333,0.520000,0.733333,0.866667,0.966667
Qwen3-14B,0.083333,0.133333,0.000000,0.105263,0.466667,0.766667,0.533333,0.777778,0.612903,1.000000,0.967742,0.388889,1.000000,0.304348,0.692308,0.387097,1.000000,0.838710,0.272727,0.640000,0.903226,1.000000,1.000000,1.000000,0.967742,1.000000,1.000000,1.000000,1.000000,0.833333,0.866667,0.838710,1.000000,0.566667,0.806452,0.903226,0.967742
Qwen3-32B,0.238095,0.111111,0.050000,0.208333,0.500000,0.785714,0.600000,0.714286,0.766667,0.933333,0.966667,0.250000,1.000000,0.357143,0.724138,0.481481,0.900000,0.966667,0.375000,0.740741,0.900000,0.833333,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.600000,0.866667,0.900000,1.000000,0.500000,0.766667,0.933333,1.000000
Qwen2.5-0.5B-Base,0.153846,0.277778,0.280000,0.250000,0.115385,0.230769,0.230769,0.153846,0.192308,0.192308,0.076923,0.150000,1.000000,0.277778,0.217391,0.240000,0.192308,0.120000,0.333333,0.333333,0.230769,0.192308,0.269231,0.076923,0.153846,1.000000,1.000000,1.000000,1.000000,0.333333,0.153846,0.222222,0.192308,0.200000,0.192308,0.192308,0.153846
Qwen2.5-1.5B-Base,0.100000,0.000000,0.300000,0.200000,0.083333,0.333333,0.166667,0.272727,0.250000,0.166667,0.166667,0.400000,0.500000,0.125000,0.200000,0.222222,0.083333,0.181818,0.250000,0.363636,0.333333,0.250000,0.083333,0.083333,0.166667,1.000000,1.000000,1.000000,1.000000,0.666667,0.333333,0.111111,0.083333,0.090909,0.000000,0.333333,0.166667
Qwen2.5-3B-Base,0.030303,0.234043,0.712121,0.655738,0.701493,0.820896,0.716418,0.641791,0.671642,0.626866,0.641791,0.066667,1.000000,0.311111,0.603175,0.596491,0.661538,0.727273,0.304348,0.576271,0.820896,0.746269,0.731343,0.701493,0.671642,1.000000,1.000000,1.000000,1.000000,0.272727,0.384615,0.541667,0.757576,0.682540,0.681818,0.641791,0.686567
Qwen2.5-7B-Base,0.103896,0.288462,0.717949,0.662338,0.740260,0.737500,0.700000,0.587500,0.650000,0.550000,0.562500,0.113208,0.000000,0.290323,0.529412,0.532258,0.607595,0.675000,0.411765,0.507042,0.825000,0.775000,0.725000,0.730769,0.712500,1.000000,1.000000,1.000000,1.000000,0.400000,0.337838,0.571429,0.750000,0.740260,0.675000,0.675000,0.662500
Qwen2.5-14B-Base,0.082569,0.367647,0.850467,0.690722,0.761468,0.853211,0.669725,0.651376,0.633028,0.605505,0.614679,0.162162,1.000000,0.307692,0.673267,0.754902,0.715596,0.715596,0.423077,0.510417,0.796296,0.824074,0.798165,0.733945,0.724771,1.000000,1.000000,1.000000,1.000000,0.257143,0.293578,0.505747,0.728972,0.780952,0.761468,0.715596,0.697248
Qwen2.5-32B-Base,0.097561,0.395062,0.818182,0.710526,0.739837,0.776000,0.744000,0.720000,0.733871,0.696000,0.725806,0.185714,0.375000,0.298851,0.641667,0.695652,0.728000,0.731707,0.375000,0.636364,0.752000,0.800000,0.784000,0.752000,0.800000,1.000000,1.000000,1.000000,1.000000,0.416667,0.338983,0.515789,0.837398,0.756522,0.728000,0.792000,0.747967
Qwen2.5-72B-Base,0.116667,0.430556,0.855932,0.807339,0.816667,0.891667,0.825000,0.775000,0.733333,0.766667,0.733333,0.126582,1.000000,0.272727,0.695652,0.666667,0.758333,0.823529,0.373333,0.638889,0.841667,0.816667,0.841667,0.841667,0.825000,1.000000,1.000000,1.000000,1.000000,0.222222,0.415929,0.617647,0.825000,0.777778,0.875000,0.875000,0.823529
Qwen2.5-0.5B,0.068966,0.208696,0.351515,0.272727,0.223529,0.442529,0.271676,0.168605,0.155172,0.143678,0.161850,0.103448,0.000000,0.153846,0.187879,0.203390,0.122807,0.224852,0.179487,0.382166,0.587209,0.287356,0.172414,0.137931,0.155172,1.000000,1.000000,1.000000,1.000000,0.195652,0.208589,0.197080,0.195402,0.408537,0.264368,0.172414,0.166667
Qwen2.5-1.5B,0.050279,0.286822,0.642458,0.616766,0.574586,0.700000,0.508287,0.372222,0.397790,0.331492,0.314917,0.071429,0.000000,0.244755,0.423529,0.422764,0.438202,0.601124,0.155172,0.402439,0.801105,0.646409,0.502762,0.453039,0.408840,1.000000,1.000000,1.000000,1.000000,0.291667,0.365269,0.422819,0.458564,0.611765,0.591160,0.441989,0.419890
Qwen2.5-3B,0.024390,0.314286,0.802548,0.774194,0.716049,0.798780,0.658537,0.579268,0.554878,0.493902,0.509202,0.148515,0.000000,0.336207,0.551020,0.531746,0.719512,0.778481,0.161616,0.467105,0.841463,0.829268,0.737805,0.780488,0.628049,1.000000,1.000000,1.000000,1.000000,0.279070,0.545455,0.559441,0.682927,0.677215,0.723926,0.658537,0.603659
Qwen2.5-7B,0.043796,0.343434,0.842105,0.821705,0.810219,0.832117,0.759124,0.691176,0.635036,0.602941,0.583942,0.123711,1.000000,0.296296,0.569231,0.575758,0.766423,0.858209,0.189873,0.503937,0.854015,0.839416,0.832117,0.839416,0.794118,1.000000,1.000000,1.000000,1.000000,0.346154,0.480315,0.672727,0.839416,0.704545,0.786765,0.759124,0.729927
Qwen2.5-14B,0.052174,0.400000,0.798246,0.794393,0.827586,0.834783,0.810345,0.789474,0.765217,0.739130,0.730435,0.154762,1.000000,0.348315,0.572727,0.730000,0.827586,0.867257,0.315068,0.669903,0.879310,0.887931,0.905172,0.870690,0.887931,1.000000,1.000000,1.000000,1.000000,0.296296,0.473214,0.712766,0.879310,0.814159,0.808696,0.827586,0.853448
Qwen2.5-32B,0.086957,0.328767,0.846847,0.876190,0.850877,0.878261,0.869565,0.849558,0.814159,0.780702,0.765217,0.102564,1.000000,0.228916,0.675676,0.757282,0.852174,0.877193,0.347222,0.683168,0.913043,0.895652,0.921739,0.921739,0.878261,1.000000,1.000000,1.000000,1.000000,0.208333,0.436364,0.731183,0.869565,0.818182,0.860870,0.895652,0.878261
Qwen2.5-72B,0.050847,0.309859,0.915254,0.854545,0.866667,0.866667,0.875000,0.857143,0.813559,0.808333,0.815126,0.063291,1.000000,0.175000,0.610169,0.676471,0.866667,0.906780,0.181818,0.577982,0.883333,0.908333,0.907563,0.900000,0.941667,1.000000,1.000000,1.000000,1.000000,0.416667,0.566372,0.702970,0.875000,0.791304,0.875000,0.866667,0.858333
Llama3-1B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Llama3-3B-Base,0.333333,0.000000,0.000000,0.333333,0.000000,0.333333,0.333333,0.000000,0.333333,0.000000,0.000000,0.000000,1.000000,0.000000,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.333333,0.000000,0.333333,0.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.000000,0.000000,0.333333,0.000000,0.333333,0.333333,0.333333
Llama3-8B-Base,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Llama3-70B-Base,0.076923,0.000000,0.071429,0.000000,0.000000,0.400000,0.066667,0.133333,0.066667,0.000000,0.133333,0.111111,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.181818,0.466667,0.200000,0.066667,0.200000,0.266667,0.000000,1.000000,1.000000,1.000000,0.000000,0.181818,0.076923,0.066667,0.142857,0.200000,0.133333,0.466667
Llama3-1B,0.060606,0.125000,0.393443,0.213115,0.348485,0.522388,0.328358,0.208955,0.208955,0.179104,0.194030,0.047619,1.000000,0.139535,0.238095,0.276596,0.196970,0.348485,0.214286,0.327869,0.671642,0.417910,0.268657,0.313433,0.268657,1.000000,1.000000,1.000000,1.000000,0.500000,0.174603,0.189655,0.283582,0.525424,0.358209,0.283582,0.343284
Llama3-3B,0.043796,0.177215,0.666667,0.535433,0.610294,0.757143,0.600000,0.435714,0.414286,0.364286,0.364286,0.150000,1.000000,0.202020,0.392308,0.441176,0.437956,0.510949,0.267442,0.389313,0.771429,0.721429,0.571429,0.471429,0.471429,1.000000,1.000000,1.000000,1.000000,0.285714,0.355556,0.428571,0.557143,0.617647,0.618705,0.514493,0.464286
