solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.099029,0.118812,0.054280,0.122667,0.066239,0.329466,0.164045,0.134043,0.120833,0.104962,0.145009,0.784141,0.363636,0.120755,0.208081,0.070833,0.154455,0.147705,0.308725,0.236434,0.255278,0.159393,0.210227,0.167608,0.156604,1.000000,1.000000,1.000000,1.000000,0.289744,0.154684,0.076923,0.152091,0.381356,0.465517,0.203704,0.261770
Qwen3-1.7B-Base,0.035088,0.296875,0.281250,0.375000,0.250000,0.422222,0.080645,0.210526,0.098765,0.091743,0.217391,0.500000,0.333333,0.220588,0.342342,0.051546,0.071429,0.136364,0.464789,0.321429,0.366071,0.147826,0.139130,0.175439,0.201754,1.000000,1.000000,1.000000,1.000000,0.432432,0.326087,0.220930,0.078261,0.666667,0.739130,0.200000,0.210526
Qwen3-4B-Base,0.133005,0.656250,0.733728,0.487500,0.405882,0.481481,0.226190,0.103261,0.057471,0.044776,0.158879,0.487805,0.400000,0.060976,0.526316,0.198953,0.123711,0.352941,0.414634,0.513089,0.502370,0.154206,0.304762,0.183099,0.369159,1.000000,1.000000,1.000000,1.000000,0.523810,0.295181,0.196721,0.301435,0.666667,0.812500,0.193370,0.224299
Qwen3-8B-Base,0.126761,0.582278,0.527559,0.594595,0.503937,0.537736,0.187500,0.094017,0.100840,0.107143,0.117241,0.523810,0.055556,0.136842,0.492857,0.241379,0.224638,0.438849,0.238636,0.656716,0.597222,0.307692,0.386207,0.331034,0.379310,1.000000,1.000000,1.000000,1.000000,0.479675,0.340580,0.191176,0.351724,0.857143,0.500000,0.301587,0.172414
Qwen3-14B-Base,0.082192,0.592593,0.736842,0.809524,0.500000,0.540000,0.312500,0.106383,0.080000,0.111111,0.123288,0.473684,1.000000,0.208333,0.712329,0.283582,0.208333,0.571429,0.297872,0.656716,0.641791,0.410959,0.397260,0.246575,0.356164,1.000000,1.000000,1.000000,1.000000,0.550725,0.446154,0.092308,0.285714,0.789474,0.863636,0.428571,0.301370
Qwen3-0.6B,0.389776,0.130612,0.004484,0.293103,0.321192,0.716783,0.462406,0.285714,0.186851,0.284810,0.287037,0.551913,0.444444,0.252788,0.368590,0.077441,0.355987,0.539185,0.099502,0.624224,0.761610,0.734568,0.524691,0.327160,0.567901,1.000000,1.000000,1.000000,1.000000,0.820175,0.882540,0.605263,0.472222,0.321429,0.675000,0.506329,0.391975
Qwen3-1.7B,0.166667,0.129032,0.000000,0.212121,0.500000,0.782609,0.640000,0.500000,0.366667,0.476190,0.585366,0.789474,0.500000,0.135135,0.450000,0.150000,0.512195,0.536585,0.214286,0.372093,0.720930,0.720930,0.813953,0.720930,0.813953,1.000000,1.000000,1.000000,1.000000,0.833333,0.578947,0.441176,1.000000,0.550000,0.647059,0.702703,0.674419
Qwen3-4B,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.500000,0.000000,1.000000,1.000000,0.500000,1.000000,1.000000
Qwen3-8B,0.000000,0.000000,0.000000,0.000000,1.000000,0.500000,0.333333,1.000000,0.000000,0.000000,0.500000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.500000,0.750000,0.750000,0.750000,0.250000,0.500000,1.000000,1.000000,1.000000,1.000000,0.500000,1.000000,0.000000,0.500000,0.666667,0.500000,0.666667,0.500000
Qwen3-14B,0.066667,0.111111,0.000000,0.000000,0.416667,0.500000,0.400000,0.250000,0.250000,0.461538,0.666667,0.000000,0.800000,0.142857,0.266667,0.062500,0.076923,0.200000,0.090909,0.250000,0.562500,0.187500,0.562500,0.375000,0.875000,1.000000,1.000000,1.000000,1.000000,0.600000,0.571429,0.375000,0.250000,0.666667,0.666667,0.444444,0.437500
