solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.048958,0.063063,0.022472,0.000000,0.000000,0.094792,0.009494,0.003125,0.000000,0.001037,0.000000,0.855882,0.000000,0.021898,0.006557,0.000000,0.002081,0.000000,0.578659,0.057554,0.029076,0.002079,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.057307,0.079208,0.000000,0.002075,0.360780,0.223729,0.000000,0.000000
Qwen3-1.7B-Base,0.315131,0.525943,0.309628,0.032092,0.066667,0.184748,0.028939,0.000000,0.000000,0.000000,0.011752,0.132075,0.333333,0.141856,0.376728,0.102592,0.019868,0.056193,0.095364,0.756549,0.790445,0.040598,0.091880,0.049145,0.153846,1.000000,1.000000,1.000000,1.000000,0.446694,0.280088,0.027533,0.087607,0.058750,0.026709,0.002137,0.007487
Qwen3-4B-Base,0.068910,0.458333,0.238754,0.188802,0.237069,0.507059,0.273796,0.238717,0.092723,0.062134,0.122209,0.292237,0.576471,0.135560,0.308966,0.305634,0.149199,0.299479,0.389294,0.519149,0.560062,0.239156,0.258287,0.139423,0.366197,1.000000,1.000000,1.000000,0.285714,0.327974,0.321782,0.189580,0.288915,0.155792,0.206731,0.113716,0.177022
Qwen3-8B-Base,0.040404,0.840000,0.588745,0.550617,0.495951,0.512146,0.032258,0.010081,0.012097,0.010081,0.026210,0.463687,0.500000,0.366142,0.355856,0.239726,0.325911,0.219713,0.668342,0.906832,0.513131,0.036290,0.427419,0.368952,0.336694,1.000000,1.000000,1.000000,1.000000,0.428947,0.403689,0.039419,0.379032,0.191943,0.145455,0.040323,0.024194
Qwen3-14B-Base,0.048343,0.824427,0.581081,0.470260,0.589212,0.477839,0.011050,0.009669,0.013812,0.013812,0.027624,0.639098,1.000000,0.208134,0.691630,0.235808,0.331484,0.317181,0.788288,0.935961,0.834025,0.056630,0.458564,0.459945,0.388122,1.000000,1.000000,1.000000,1.000000,0.373646,0.337989,0.013928,0.425208,0.208401,0.110497,0.029006,0.026243
Qwen3-0.6B,0.204724,0.167832,0.004717,0.642066,0.861486,0.767123,0.500000,0.887372,0.875839,0.895973,0.882550,0.583333,0.500000,0.245614,0.500000,0.417857,0.808081,0.826531,0.337143,0.935154,0.525253,0.711409,0.889262,0.869128,0.892256,1.000000,1.000000,1.000000,1.000000,0.702439,0.506803,0.493103,0.848993,0.675182,0.795918,0.848993,0.771812
Qwen3-1.7B,0.000000,0.000000,0.166667,0.800000,1.000000,0.833333,0.400000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.800000,0.666667,1.000000,1.000000,1.000000,0.000000,1.000000,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.750000,0.833333,0.666667,1.000000,0.400000,0.833333,1.000000,1.000000
Qwen3-4B,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
Qwen3-8B,0.000000,0.000000,0.000000,0.000000,1.000000,0.666667,0.666667,1.000000,0.666667,0.666667,1.000000,1.000000,1.000000,0.000000,0.333333,0.500000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.666667,1.000000,1.000000,1.000000,1.000000,1.000000
Qwen3-14B,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
Qwen3-32B,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
Qwen2.5-0.5B-Base,0.515244,0.272727,0.243986,0.013661,0.002439,0.343458,0.016204,0.000000,0.002315,0.000000,0.002315,0.189655,0.735294,0.071713,0.134897,0.049261,0.017500,0.015873,0.481159,0.705357,0.483146,0.025882,0.002336,0.000000,0.172093,1.000000,1.000000,1.000000,1.000000,0.256705,0.133178,0.060096,0.000000,0.101370,0.048724,0.004630,0.006944
