solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.119126,0.119171,0.183007,0.153173,0.103784,0.111842,0.038245,0.019814,0.009592,0.011377,0.006842,0.119080,0.116327,0.038911,0.203108,0.122404,0.114561,0.231602,0.137626,0.240807,0.306709,0.216473,0.125793,0.091005,0.112051,0.000000,0.000000,0.000000,0.000000,0.080808,0.133554,0.117045,0.152197,0.023035,0.018286,0.019860,0.025581
Qwen3-1.7B-Base,0.101499,0.230337,0.392736,0.439909,0.372014,0.289655,0.090369,0.034749,0.025606,0.024600,0.024783,0.034125,0.154639,0.067821,0.415691,0.318078,0.327703,0.560674,0.097015,0.472393,0.625843,0.594625,0.359777,0.328475,0.286839,0.000000,0.000000,0.000000,0.000000,0.111650,0.259001,0.223160,0.319820,0.079632,0.048019,0.060494,0.041719
Qwen3-4B-Base,0.530172,0.202797,0.555862,0.463347,0.511628,0.345404,0.158416,0.067633,0.072539,0.048632,0.078195,0.311871,0.138889,0.017717,0.479663,0.361878,0.460383,0.666667,0.049149,0.295840,0.521680,0.684709,0.550000,0.502703,0.584011,0.000000,0.000000,0.000000,0.000000,0.114370,0.365922,0.321689,0.468407,0.108007,0.121842,0.108761,0.117647
Qwen3-8B-Base,0.102319,0.212389,0.350829,0.298883,0.295946,0.300136,0.103399,0.057508,0.045977,0.024316,0.044978,0.091575,0.128000,0.061990,0.389972,0.216735,0.257104,0.397835,0.236156,0.447289,0.601071,0.441923,0.348930,0.340909,0.340454,0.000000,0.000000,0.000000,0.000000,0.150000,0.223001,0.248908,0.378706,0.099130,0.081121,0.065549,0.066165
Qwen3-14B-Base,0.085271,0.220807,0.470866,0.426752,0.408602,0.341577,0.132353,0.063636,0.059406,0.040886,0.052265,0.092105,0.128440,0.123077,0.414944,0.288162,0.331797,0.599379,0.105368,0.489796,0.768405,0.657450,0.447167,0.460949,0.456086,0.000000,0.000000,0.000000,0.000000,0.138249,0.288000,0.302536,0.468118,0.148305,0.110919,0.104982,0.115789
Qwen3-0.6B,0.016064,0.002677,0.002558,0.045743,0.044888,0.103493,0.087282,0.133583,0.086035,0.120797,0.117207,0.034200,0.009929,0.019108,0.040712,0.006443,0.107500,0.130923,0.003876,0.108449,0.128269,0.136986,0.130760,0.133250,0.129514,0.000000,0.000000,0.000000,0.000000,0.014225,0.129838,0.113466,0.133250,0.075718,0.110973,0.130923,0.130760
Qwen3-1.7B,0.004847,0.001623,0.000000,0.011200,0.017488,0.017828,0.027027,0.031797,0.023847,0.034976,0.033386,0.008157,0.004870,0.003205,0.012821,0.000000,0.031797,0.033439,0.003190,0.030207,0.034976,0.034976,0.036566,0.033386,0.033386,0.000000,0.000000,0.000000,0.000000,0.003279,0.034976,0.028617,0.031797,0.012966,0.031797,0.034976,0.033386
Qwen3-4B,0.003683,0.000000,0.000000,0.007339,0.009141,0.011029,0.007339,0.016453,0.010969,0.014625,0.016453,0.000000,0.001845,0.003670,0.005515,0.000000,0.012797,0.016453,0.001828,0.014625,0.009141,0.014625,0.014625,0.016453,0.016453,0.000000,0.000000,0.000000,0.000000,0.000000,0.014652,0.010969,0.016453,0.007339,0.014625,0.016453,0.016453
Qwen3-8B,0.001704,0.001695,0.000000,0.003378,0.008432,0.011824,0.010118,0.011824,0.011804,0.013491,0.013491,0.005085,0.000000,0.005085,0.003378,0.000000,0.013491,0.013491,0.001686,0.010118,0.013491,0.013491,0.013491,0.013491,0.013491,0.000000,0.000000,0.000000,0.000000,0.003407,0.011804,0.010118,0.013491,0.008460,0.011804,0.013491,0.013491
Qwen3-14B,0.001887,0.000000,0.003774,0.005639,0.005639,0.011321,0.007519,0.015038,0.007519,0.015038,0.015038,0.005682,0.000000,0.003759,0.003766,0.000000,0.015038,0.015038,0.001883,0.011299,0.015038,0.015038,0.015038,0.015038,0.015038,0.000000,0.000000,0.000000,0.000000,0.001898,0.015038,0.015038,0.015038,0.007576,0.015038,0.015038,0.015038
