solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.002502,0.000000,0.000000,0.000000,0.001665,0.011657,0.004996,0.003331,0.004996,0.005828,0.004163,0.002519,0.000849,0.001681,0.005000,0.000840,0.000833,0.004170,0.000844,0.004188,0.001665,0.001665,0.003331,0.007494,0.004163,0.000000,0.000000,0.000000,0.000000,0.000847,0.001669,0.005004,0.006661,0.006683,0.010824,0.005828,0.008326
Qwen3-1.7B-Base,0.000000,0.001643,0.002465,0.000000,0.001642,0.003284,0.001642,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000822,0.000822,0.001642,0.000822,0.000000,0.001646,0.001642,0.002463,0.001642,0.000821,0.000821,0.000000,0.000000,0.000000,0.000000,0.000000,0.001642,0.000822,0.000821,0.002463,0.004926,0.001642,0.000821
Qwen3-4B-Base,0.031513,0.023429,0.070988,0.056468,0.057201,0.078491,0.074414,0.063201,0.072375,0.058104,0.056065,0.014815,0.000000,0.003209,0.035015,0.013742,0.046891,0.028008,0.020452,0.017617,0.038736,0.066259,0.065240,0.071356,0.064351,0.000000,0.000000,0.000000,0.000000,0.003337,0.025615,0.052361,0.065240,0.065440,0.085627,0.086646,0.082569
Qwen3-8B-Base,0.005010,0.013306,0.046138,0.030334,0.038000,0.055000,0.056000,0.046000,0.056000,0.040000,0.040000,0.013211,0.003205,0.007143,0.033199,0.021627,0.031000,0.022022,0.016580,0.026263,0.046000,0.045000,0.041000,0.037000,0.048000,0.000000,0.000000,0.000000,0.000000,0.004251,0.021063,0.031377,0.044000,0.046324,0.053000,0.054000,0.047000
Qwen3-14B-Base,0.006299,0.070085,0.134522,0.135922,0.138583,0.176101,0.164835,0.122449,0.149137,0.122449,0.128728,0.038655,0.001961,0.032368,0.064000,0.028674,0.137008,0.126984,0.034050,0.061588,0.164835,0.141287,0.145997,0.147567,0.158556,0.000000,0.000000,0.000000,0.000000,0.013158,0.071090,0.095238,0.142857,0.140127,0.178964,0.167975,0.158556
Qwen3-0.6B,0.263383,0.009259,0.002320,0.032086,0.301852,0.825137,0.521661,0.218750,0.604693,0.542342,0.463899,0.138514,0.137255,0.151648,0.553571,0.062630,0.239488,0.596014,0.566766,0.400000,0.735135,0.691892,0.520721,0.398198,0.472072,0.000000,0.000000,0.000000,0.000000,0.173333,0.498195,0.478764,0.675676,0.621212,0.721101,0.693141,0.679279
Qwen3-1.7B,0.075556,0.055866,0.038298,0.039106,0.471875,0.789634,0.585586,0.316770,0.705706,0.704819,0.742515,0.087591,0.000000,0.114815,0.458621,0.111111,0.668675,0.724551,0.284722,0.406143,0.739521,0.754491,0.754491,0.763473,0.688623,0.000000,0.000000,0.000000,0.000000,0.148936,0.584098,0.593373,0.820359,0.567398,0.637195,0.774775,0.763473
Qwen3-4B,0.034722,0.079208,0.066667,0.084112,0.603376,0.822034,0.595918,0.327731,0.800000,0.827160,0.921488,0.144737,0.333333,0.150754,0.576190,0.147465,0.851240,0.798354,0.422535,0.465438,0.901235,0.877551,0.918367,0.910204,0.906122,0.000000,0.000000,0.000000,0.000000,0.473684,0.641975,0.636364,0.963265,0.623318,0.775934,0.893443,0.922449
Qwen3-8B,0.059829,0.098039,0.051852,0.037383,0.576355,0.785000,0.583732,0.406863,0.823810,0.879808,0.947619,0.217391,0.000000,0.168539,0.566667,0.226804,0.904306,0.819048,0.129032,0.445714,0.861244,0.866667,0.957143,0.942857,0.919048,0.000000,0.000000,0.000000,0.000000,0.428571,0.678049,0.737864,0.961905,0.546392,0.781553,0.904762,0.933333
Qwen3-14B,0.053892,0.032520,0.059172,0.034483,0.515284,0.621145,0.504348,0.358744,0.649351,0.686957,0.742358,0.025641,0.000000,0.139303,0.492891,0.112676,0.752174,0.613043,0.192308,0.416268,0.708696,0.670996,0.744589,0.757576,0.718615,0.000000,0.000000,0.000000,0.000000,0.072464,0.582222,0.585153,0.770563,0.442857,0.515419,0.727273,0.761905
