solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.005236,0.000000,0.062827,0.010811,0.051813,0.124352,0.063492,0.052910,0.074866,0.037037,0.047619,0.073171,0.014184,0.011696,0.047120,0.010811,0.041885,0.074074,0.012422,0.072917,0.082902,0.067358,0.077720,0.051813,0.083333,0.000000,0.000000,0.000000,0.000000,0.019231,0.032787,0.039548,0.093264,0.079096,0.073684,0.046875,0.090426
Qwen3-1.7B-Base,0.025641,0.010695,0.051020,0.020513,0.010152,0.055838,0.045685,0.025381,0.030457,0.020305,0.025381,0.015957,0.005814,0.000000,0.030612,0.010256,0.010204,0.030612,0.005435,0.026455,0.055838,0.060914,0.030457,0.025381,0.040609,0.000000,0.000000,0.000000,0.000000,0.011364,0.005155,0.015625,0.025381,0.042105,0.010152,0.025381,0.015228
Qwen3-4B-Base,0.328767,0.086614,0.356688,0.237179,0.403509,0.409357,0.339181,0.263473,0.229412,0.163743,0.195266,0.097087,0.067797,0.061947,0.228916,0.182390,0.276471,0.409357,0.028846,0.209150,0.339181,0.456140,0.403509,0.391813,0.456140,0.000000,0.000000,0.000000,0.000000,0.043478,0.211765,0.138365,0.347059,0.298013,0.378698,0.239766,0.242604
Qwen3-8B-Base,0.032432,0.043210,0.198925,0.128492,0.096257,0.187166,0.155914,0.102703,0.114130,0.112903,0.128342,0.054878,0.031250,0.041916,0.152174,0.086957,0.125000,0.107527,0.050955,0.139665,0.192513,0.155080,0.165775,0.144385,0.181818,0.000000,0.000000,0.000000,0.000000,0.029197,0.086486,0.085714,0.187166,0.102273,0.157609,0.149733,0.160428
Qwen3-14B-Base,0.012121,0.147826,0.570513,0.522876,0.569697,0.560976,0.451220,0.335366,0.300613,0.309091,0.303030,0.111111,0.071429,0.120968,0.289474,0.285714,0.493902,0.617284,0.156250,0.405063,0.652439,0.581818,0.551515,0.503030,0.560976,0.000000,0.000000,0.000000,0.000000,0.074627,0.256410,0.194631,0.463415,0.493333,0.448485,0.365854,0.408537
Qwen3-0.6B,0.121951,0.000000,0.000000,0.015504,0.051282,0.525641,0.325000,0.481013,0.299363,0.368750,0.387500,0.154762,0.017241,0.081633,0.198582,0.013793,0.193548,0.358974,0.086538,0.296774,0.490566,0.362500,0.350000,0.325000,0.352201,0.000000,0.000000,0.000000,0.000000,0.059701,0.288462,0.245283,0.418750,0.360000,0.378205,0.331250,0.362500
Qwen3-1.7B,0.015152,0.000000,0.000000,0.013889,0.076923,0.227273,0.160256,0.217949,0.166667,0.217949,0.230769,0.024000,0.008621,0.032895,0.070922,0.006757,0.155844,0.211538,0.022556,0.141935,0.192308,0.224359,0.211538,0.217949,0.230769,0.000000,0.000000,0.000000,0.000000,0.025424,0.183007,0.141026,0.250000,0.154362,0.187097,0.224359,0.205128
Qwen3-4B,0.026087,0.000000,0.007937,0.031496,0.082707,0.179104,0.119403,0.180451,0.186567,0.201493,0.208955,0.035714,0.000000,0.030769,0.078740,0.022901,0.187970,0.171642,0.016807,0.075758,0.186567,0.179104,0.186567,0.194030,0.216418,0.000000,0.000000,0.000000,0.000000,0.000000,0.157895,0.126866,0.201493,0.138462,0.156716,0.201493,0.216418
Qwen3-8B,0.018182,0.008850,0.000000,0.008850,0.040984,0.107438,0.106557,0.131148,0.106557,0.155738,0.155738,0.018519,0.000000,0.025000,0.050847,0.008333,0.123967,0.131148,0.018349,0.058333,0.131148,0.114754,0.155738,0.147541,0.155738,0.000000,0.000000,0.000000,0.000000,0.000000,0.115702,0.122951,0.147541,0.108333,0.099174,0.139344,0.155738
Qwen3-14B,0.020619,0.009615,0.009091,0.018018,0.096491,0.189189,0.105263,0.198198,0.140351,0.184211,0.221239,0.030928,0.011236,0.045872,0.081081,0.028037,0.159292,0.201754,0.000000,0.122807,0.228070,0.192982,0.210526,0.228070,0.236842,0.000000,0.000000,0.000000,0.000000,0.000000,0.201754,0.176991,0.201754,0.157407,0.162162,0.192982,0.236842
Qwen3-32B,0.010989,0.010526,0.000000,0.010638,0.096154,0.155340,0.086538,0.174757,0.173077,0.221154,0.221154,0.034483,0.000000,0.028846,0.098039,0.029126,0.178218,0.201923,0.031915,0.106796,0.173077,0.211538,0.211538,0.221154,0.211538,0.000000,0.000000,0.000000,0.000000,0.011905,0.184466,0.173077,0.211538,0.121212,0.176471,0.211538,0.211538
Qwen2.5-0.5B-Base,0.000000,0.010582,0.020619,0.010309,0.005155,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005464,0.010526,0.015625,0.005208,0.005155,0.000000,0.005236,0.021053,0.010309,0.010309,0.000000,0.000000,0.010309,0.000000,0.000000,0.000000,0.000000,0.005464,0.010363,0.010363,0.005155,0.010417,0.000000,0.000000,0.005155
Qwen2.5-1.5B-Base,0.010309,0.005208,0.000000,0.000000,0.010204,0.025510,0.010204,0.005102,0.000000,0.005102,0.000000,0.005236,0.005348,0.000000,0.015385,0.005208,0.000000,0.000000,0.025641,0.020408,0.005128,0.010204,0.010204,0.005102,0.000000,0.000000,0.000000,0.000000,0.000000,0.015789,0.000000,0.015385,0.010204,0.010309,0.000000,0.005102,0.000000
Qwen2.5-3B-Base,0.037838,0.038710,0.221622,0.161111,0.157609,0.210811,0.152174,0.064865,0.059783,0.043243,0.081081,0.052980,0.008772,0.046243,0.134078,0.060773,0.064865,0.152174,0.063694,0.137363,0.286486,0.167568,0.151351,0.086486,0.124324,0.000000,0.000000,0.000000,0.000000,0.007752,0.059783,0.051429,0.145946,0.127907,0.108108,0.059459,0.065217
Qwen2.5-7B-Base,0.047619,0.043478,0.146597,0.122340,0.135417,0.130208,0.135417,0.063830,0.052356,0.068063,0.057592,0.035294,0.000000,0.010870,0.070652,0.064171,0.095238,0.109948,0.046512,0.100000,0.156250,0.145833,0.140625,0.104167,0.119792,0.000000,0.000000,0.000000,0.000000,0.006452,0.026178,0.064171,0.104167,0.108108,0.072917,0.093750,0.073298
Qwen2.5-14B-Base,0.034682,0.046875,0.296970,0.154762,0.180233,0.300578,0.208092,0.105263,0.147929,0.104046,0.146199,0.094488,0.000000,0.068702,0.265060,0.139394,0.123529,0.136095,0.178295,0.209581,0.369942,0.254335,0.225434,0.179191,0.161850,0.000000,0.000000,0.000000,0.000000,0.059406,0.054217,0.089172,0.225434,0.215278,0.175439,0.156977,0.156977
Qwen2.5-32B-Base,0.059172,0.158730,0.469136,0.279503,0.300000,0.391813,0.327485,0.211765,0.258824,0.187135,0.264706,0.087379,0.065217,0.097744,0.268293,0.202454,0.255952,0.290909,0.282258,0.350318,0.467836,0.321637,0.321637,0.362573,0.333333,0.000000,0.000000,0.000000,0.000000,0.070423,0.091463,0.127517,0.343195,0.312925,0.294118,0.217647,0.300000
Qwen2.5-72B-Base,0.030303,0.117117,0.500000,0.461538,0.472727,0.536585,0.357576,0.198758,0.242236,0.204819,0.246914,0.179245,0.033333,0.109244,0.292994,0.206667,0.357576,0.560976,0.105769,0.396104,0.674699,0.548193,0.518072,0.493976,0.566265,0.000000,0.000000,0.000000,0.000000,0.136364,0.200000,0.139860,0.454545,0.442177,0.323171,0.321212,0.301205
Qwen2.5-0.5B,0.027174,0.036232,0.117318,0.040698,0.032787,0.184783,0.076087,0.043716,0.039106,0.032609,0.043716,0.077465,0.000000,0.013333,0.097143,0.005682,0.005464,0.043956,0.050725,0.198864,0.315217,0.098361,0.048913,0.016304,0.043716,0.000000,0.000000,0.000000,0.000000,0.052083,0.022989,0.000000,0.054645,0.160494,0.038043,0.070652,0.066298
