solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.018902,0.024155,0.041629,0.026197,0.016949,0.041035,0.016057,0.008029,0.007136,0.005352,0.004460,0.018832,0.011518,0.008491,0.030797,0.026557,0.016086,0.019713,0.025194,0.066055,0.049955,0.024978,0.019643,0.017841,0.012489,0.000000,0.000000,0.000000,0.000000,0.005176,0.012903,0.012739,0.013405,0.037239,0.016100,0.009813,0.012489
Qwen3-1.7B-Base,0.008600,0.040052,0.103704,0.084263,0.052956,0.081081,0.055283,0.015990,0.012285,0.007371,0.007371,0.020305,0.002890,0.054847,0.062885,0.057357,0.050493,0.070111,0.040789,0.097867,0.111794,0.094595,0.050369,0.047912,0.038084,0.000000,0.000000,0.000000,0.000000,0.016713,0.044944,0.032500,0.029484,0.046020,0.031980,0.024600,0.023370
Qwen3-4B-Base,0.193220,0.113139,0.278689,0.213115,0.141026,0.246006,0.214058,0.115016,0.124601,0.102236,0.102236,0.056452,0.009804,0.032143,0.167763,0.115646,0.137821,0.223301,0.052632,0.201365,0.256410,0.287540,0.242812,0.198083,0.163462,0.000000,0.000000,0.000000,0.000000,0.031532,0.111111,0.138889,0.125806,0.203883,0.182109,0.175719,0.159744
Qwen3-8B-Base,0.020725,0.104816,0.206349,0.171958,0.149871,0.193798,0.147668,0.113695,0.118863,0.105943,0.103359,0.033708,0.013889,0.077778,0.089005,0.153439,0.124675,0.170543,0.059524,0.215426,0.214470,0.186047,0.162791,0.175711,0.136951,0.000000,0.000000,0.000000,0.000000,0.047923,0.064516,0.088643,0.152850,0.152850,0.155039,0.147287,0.129199
Qwen3-14B-Base,0.044025,0.181818,0.400000,0.387097,0.320755,0.383648,0.358491,0.245283,0.301887,0.232704,0.251572,0.036765,0.000000,0.197183,0.187097,0.320513,0.270440,0.367089,0.166667,0.385621,0.446541,0.415094,0.389937,0.383648,0.308176,0.000000,0.000000,0.000000,0.000000,0.069307,0.140000,0.237762,0.316456,0.383648,0.333333,0.301887,0.308176
Qwen3-0.6B,0.113636,0.075676,0.013953,0.092166,0.120996,0.779026,0.579137,0.507143,0.492908,0.621053,0.597173,0.254658,0.065217,0.088462,0.520161,0.277344,0.703571,0.794964,0.171598,0.707031,0.742958,0.757895,0.754386,0.715789,0.575439,0.000000,0.000000,0.000000,0.000000,0.314607,0.707143,0.663121,0.693662,0.473118,0.390845,0.566901,0.571930
Qwen3-1.7B,0.059524,0.062500,0.012500,0.045455,0.206897,0.745455,0.618644,0.642857,0.572650,0.722689,0.747899,0.420000,0.050000,0.092593,0.551020,0.200000,0.765217,0.830508,0.080000,0.610619,0.781513,0.806723,0.823529,0.815126,0.764706,0.000000,0.000000,0.000000,0.000000,0.216216,0.717949,0.627119,0.788136,0.500000,0.521008,0.739496,0.722689
Qwen3-4B,0.071429,0.066667,0.050000,0.055556,0.098592,0.701493,0.550725,0.628571,0.563380,0.774648,0.788732,0.292683,0.062500,0.163934,0.548387,0.250000,0.774648,0.830986,0.025641,0.676923,0.800000,0.802817,0.816901,0.802817,0.830986,0.000000,0.000000,0.000000,0.000000,0.227273,0.718310,0.628571,0.830986,0.529412,0.528571,0.802817,0.802817
Qwen3-8B,0.071429,0.065217,0.057692,0.040816,0.138462,0.636364,0.553846,0.507463,0.462687,0.671642,0.676923,0.181818,0.095238,0.118644,0.461538,0.163934,0.626866,0.723077,0.052632,0.600000,0.686567,0.656716,0.701493,0.716418,0.686567,0.000000,0.000000,0.000000,0.000000,0.047619,0.712121,0.552239,0.731343,0.545455,0.417910,0.701493,0.701493
Qwen3-14B,0.028571,0.066667,0.000000,0.086957,0.173077,0.750000,0.622642,0.549020,0.634615,0.788462,0.830189,0.259259,0.153846,0.214286,0.571429,0.369565,0.792453,0.830189,0.027778,0.740000,0.750000,0.830189,0.830189,0.849057,0.830189,0.000000,0.000000,0.000000,0.000000,0.312500,0.716981,0.754717,0.849057,0.520000,0.538462,0.811321,0.849057
