solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.009000,0.013978,0.000000,0.000000,0.000000,0.041000,0.026000,0.010010,0.013000,0.008000,0.007000,0.050955,0.001206,0.007338,0.000000,0.001048,0.000000,0.000000,0.057054,0.038076,0.108000,0.000000,0.081000,0.000000,0.001000,0.000000,0.000000,0.000000,0.000000,0.067708,0.011078,0.000000,0.000000,0.069208,0.038000,0.037000,0.007000
Qwen3-1.7B-Base,0.356334,0.232558,0.166147,0.041009,0.201709,0.842265,0.333333,0.201621,0.036364,0.032323,0.298281,0.248927,0.880866,0.136691,0.490909,0.011876,0.057927,0.581781,0.010914,0.067278,0.505664,0.484568,0.467824,0.062626,0.295248,0.000000,0.000000,0.000000,0.000000,0.603679,0.518519,0.610028,0.342217,0.431111,0.309645,0.055151,0.173252
Qwen3-4B-Base,0.016287,0.076512,0.134647,0.135314,0.144246,0.106969,0.098865,0.089141,0.071313,0.074554,0.047002,0.093537,0.019011,0.039427,0.081169,0.083056,0.118699,0.128247,0.045827,0.153846,0.133117,0.115073,0.129660,0.124797,0.116694,0.000000,0.000000,0.000000,0.000000,0.062069,0.097561,0.105263,0.092382,0.089431,0.100486,0.113452,0.108590
Qwen3-8B-Base,0.072519,0.097826,0.293313,0.286307,0.389527,0.263024,0.067344,0.034307,0.022872,0.019060,0.049555,0.738725,0.796296,0.154762,0.529487,0.421569,0.445722,0.297332,0.452482,0.624501,0.270648,0.162643,0.241423,0.219822,0.102922,0.000000,0.000000,0.000000,0.000000,0.405724,0.341656,0.267507,0.115776,0.176066,0.092757,0.024142,0.026684
Qwen3-14B-Base,0.035821,0.941667,0.924092,0.926606,0.580838,0.817910,0.826866,0.788060,0.811940,0.826866,0.749254,0.588235,0.300000,0.368421,0.536364,0.773438,0.888889,0.901493,0.096970,0.372014,0.913174,0.919403,0.916418,0.916418,0.892537,0.000000,0.000000,0.000000,0.000000,0.665198,0.606707,0.680412,0.886228,0.793846,0.877612,0.874627,0.850746
Qwen3-0.6B,0.423034,0.149091,0.002907,0.560000,0.628658,0.871520,0.659404,0.647727,0.795156,0.852113,0.496982,0.596465,0.473684,0.354037,0.460594,0.650155,0.868687,0.894523,0.307143,0.880734,0.725628,0.861307,0.894472,0.902610,0.843373,0.000000,0.000000,0.000000,0.000000,0.665281,0.836714,0.710071,0.887324,0.444557,0.689447,0.774194,0.837349
Qwen3-1.7B,0.469421,0.100000,0.004630,0.694915,0.942685,0.972713,0.687500,0.898638,0.921687,0.929323,0.908408,0.597190,0.757576,0.570115,0.415152,0.870821,0.977410,0.977376,0.161554,0.986425,0.879336,0.972973,0.986486,0.984985,0.966967,0.000000,0.000000,0.000000,0.000000,0.708455,0.926205,0.836890,0.975976,0.744681,0.914286,0.980480,0.981982
Qwen3-4B,0.500000,0.019231,0.000000,0.684211,0.985507,1.000000,0.625000,0.957746,0.985915,0.929577,0.971831,0.812500,0.000000,0.707317,0.380282,0.820896,1.000000,1.000000,0.188679,1.000000,0.943662,0.985915,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.666667,0.971831,0.785714,1.000000,0.788732,0.985915,1.000000,1.000000
Qwen3-8B,0.687708,0.114504,0.005464,0.501684,0.997333,0.991228,0.600733,0.822222,0.598930,0.914894,1.000000,0.653571,1.000000,0.291367,0.388740,0.933333,1.000000,1.000000,0.131579,0.989247,0.992021,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.884956,0.953804,0.847185,1.000000,0.821138,0.978667,1.000000,1.000000
Qwen3-14B,0.555556,0.200000,0.083333,0.428571,0.869565,1.000000,0.888889,0.913043,0.913043,0.826087,0.913043,0.866667,0.500000,0.500000,0.391304,0.578947,1.000000,1.000000,0.166667,1.000000,0.826087,1.000000,1.000000,1.000000,0.956522,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.782609,1.000000,0.782609,0.956522,1.000000,1.000000
