solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.011628,0.016461,0.031008,0.003968,0.023077,0.115385,0.050000,0.023077,0.030769,0.023077,0.011538,0.062500,0.000000,0.008163,0.027344,0.008439,0.019305,0.027237,0.030973,0.051181,0.030769,0.042471,0.038462,0.026923,0.034615,0.000000,0.000000,0.000000,0.000000,0.009091,0.043307,0.035294,0.034615,0.086275,0.092308,0.042308,0.038462
Qwen3-1.7B-Base,0.009934,0.013289,0.023179,0.016611,0.016556,0.026490,0.016556,0.006623,0.016556,0.003311,0.009934,0.006645,0.000000,0.000000,0.010000,0.006734,0.003322,0.009934,0.003367,0.009967,0.019868,0.016556,0.009934,0.009934,0.009934,0.000000,0.000000,0.000000,0.000000,0.003356,0.013245,0.013289,0.009934,0.023179,0.023179,0.009934,0.009934
Qwen3-4B-Base,0.044025,0.086667,0.182390,0.097561,0.186747,0.186747,0.168675,0.138554,0.144578,0.114458,0.114458,0.043165,0.008264,0.013699,0.129630,0.045455,0.133333,0.128049,0.068027,0.104294,0.162651,0.186747,0.162651,0.168675,0.138554,0.000000,0.000000,0.000000,0.000000,0.000000,0.067073,0.147239,0.157576,0.200000,0.192771,0.180723,0.186747
Qwen3-8B-Base,0.009132,0.038278,0.091324,0.087963,0.091324,0.131818,0.109091,0.109091,0.095455,0.068182,0.068182,0.024038,0.005348,0.023923,0.077626,0.038095,0.068493,0.068182,0.039024,0.041284,0.090909,0.100000,0.095455,0.068182,0.090909,0.000000,0.000000,0.000000,0.000000,0.015306,0.050000,0.051163,0.077273,0.123288,0.104545,0.090909,0.090909
Qwen3-14B-Base,0.024096,0.190476,0.421687,0.419753,0.409639,0.445783,0.433735,0.373494,0.361446,0.277108,0.265060,0.089552,0.000000,0.115942,0.250000,0.133333,0.349398,0.353659,0.125000,0.172840,0.373494,0.373494,0.349398,0.421687,0.421687,0.000000,0.000000,0.000000,0.000000,0.102041,0.265060,0.257143,0.445783,0.390244,0.397590,0.373494,0.373494
Qwen3-0.6B,0.283333,0.000000,0.025424,0.039604,0.215827,0.730496,0.500000,0.420290,0.390071,0.418440,0.460993,0.183333,0.181818,0.126984,0.441860,0.093750,0.260870,0.510791,0.556962,0.411765,0.700000,0.581560,0.553191,0.418440,0.411348,0.000000,0.000000,0.000000,0.000000,0.410256,0.546099,0.561151,0.553191,0.595420,0.602837,0.617021,0.553191
Qwen3-1.7B,0.075000,0.000000,0.041667,0.000000,0.338235,0.779412,0.605634,0.621212,0.549296,0.690141,0.887324,0.150000,0.200000,0.156250,0.393939,0.106061,0.676056,0.830986,0.344828,0.333333,0.760563,0.704225,0.873239,0.746479,0.788732,0.000000,0.000000,0.000000,0.000000,0.200000,0.746479,0.774648,0.845070,0.610169,0.691176,0.788732,0.788732
Qwen3-4B,0.107143,0.000000,0.000000,0.000000,0.333333,0.750000,0.347826,0.571429,0.555556,0.739130,0.826087,0.105263,0.400000,0.209302,0.380952,0.095238,0.673913,0.755556,0.272727,0.311111,0.739130,0.739130,0.847826,0.804348,0.760870,0.000000,0.000000,0.000000,0.000000,0.250000,0.565217,0.622222,0.826087,0.585366,0.622222,0.695652,0.847826
Qwen3-8B,0.071429,0.000000,0.040000,0.055556,0.393939,0.625000,0.545455,0.750000,0.470588,0.705882,0.852941,0.000000,0.000000,0.129032,0.384615,0.117647,0.764706,0.647059,0.538462,0.354839,0.735294,0.705882,0.735294,0.794118,0.794118,0.000000,0.000000,0.000000,0.000000,0.000000,0.676471,0.727273,0.852941,0.343750,0.666667,0.764706,0.852941
Qwen3-14B,0.035714,0.045455,0.037037,0.000000,0.470588,0.515152,0.294118,0.545455,0.558824,0.558824,0.764706,0.083333,0.000000,0.148148,0.428571,0.062500,0.757576,0.647059,0.071429,0.406250,0.588235,0.588235,0.823529,0.794118,0.705882,0.000000,0.000000,0.000000,0.000000,0.111111,0.593750,0.676471,0.794118,0.375000,0.558824,0.735294,0.764706
Qwen3-32B,0.076923,0.000000,0.107143,0.000000,0.432432,0.694444,0.513514,0.594595,0.567568,0.648649,0.918919,0.090909,0.500000,0.281250,0.545455,0.194444,0.864865,0.771429,0.285714,0.400000,0.810811,0.837838,0.891892,0.891892,0.918919,0.000000,0.000000,0.000000,0.000000,0.000000,0.594595,0.861111,0.945946,0.451613,0.694444,0.861111,0.918919
Qwen2.5-0.5B-Base,0.000000,0.000000,0.003247,0.000000,0.000000,0.003247,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003247,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003257,0.003247,0.000000,0.000000
Qwen2.5-1.5B-Base,0.000000,0.000000,0.000000,0.003311,0.000000,0.003311,0.006623,0.003311,0.003311,0.003311,0.003311,0.000000,0.006689,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003311,0.006623,0.003311,0.000000,0.000000,0.003311,0.000000,0.000000,0.000000,0.000000,0.000000,0.003311,0.003311,0.000000,0.006623,0.006623,0.003311,0.000000
Qwen2.5-3B-Base,0.000000,0.022222,0.046763,0.040293,0.050000,0.067857,0.050000,0.028571,0.017857,0.017857,0.017857,0.010989,0.000000,0.007353,0.039711,0.007722,0.032143,0.028881,0.011538,0.039711,0.071429,0.053571,0.035714,0.032143,0.021429,0.000000,0.000000,0.000000,0.000000,0.003876,0.028571,0.029197,0.042857,0.064516,0.057143,0.035714,0.017857
Qwen2.5-7B-Base,0.015544,0.043956,0.156250,0.145078,0.186528,0.170103,0.164948,0.123711,0.103093,0.087629,0.103093,0.057143,0.019481,0.021978,0.074074,0.041176,0.128866,0.125000,0.028902,0.099476,0.186528,0.164948,0.128866,0.119171,0.123711,0.000000,0.000000,0.000000,0.000000,0.000000,0.094241,0.092391,0.149485,0.157068,0.164948,0.149485,0.144330
Qwen2.5-14B-Base,0.014634,0.065574,0.166667,0.095477,0.117647,0.160976,0.165854,0.097561,0.092683,0.078049,0.078049,0.057592,0.000000,0.036649,0.095000,0.072165,0.092683,0.073171,0.070270,0.068627,0.141463,0.126829,0.121951,0.102439,0.102439,0.000000,0.000000,0.000000,0.000000,0.006061,0.024510,0.081633,0.097561,0.171569,0.136585,0.112195,0.097561
Qwen2.5-32B-Base,0.036697,0.120000,0.240741,0.165049,0.218182,0.247706,0.200000,0.127273,0.136364,0.127273,0.118182,0.043011,0.013889,0.030000,0.179245,0.141414,0.200000,0.154545,0.086957,0.097087,0.200000,0.218182,0.172727,0.209091,0.200000,0.000000,0.000000,0.000000,0.000000,0.025974,0.037383,0.057692,0.172727,0.220183,0.263636,0.245455,0.136364
Qwen2.5-72B-Base,0.024194,0.111111,0.260163,0.196721,0.201613,0.258065,0.266129,0.193548,0.217742,0.169355,0.169355,0.018868,0.000000,0.051282,0.154472,0.097087,0.161290,0.213115,0.086538,0.129032,0.258065,0.266129,0.209677,0.201613,0.266129,0.000000,0.000000,0.000000,0.000000,0.011494,0.105691,0.163934,0.266129,0.211382,0.209677,0.233871,0.233871
Qwen2.5-0.5B,0.011450,0.064935,0.143969,0.070866,0.091954,0.191571,0.103053,0.038168,0.011450,0.011450,0.007634,0.051948,0.000000,0.033473,0.070312,0.014354,0.007663,0.096525,0.028037,0.096154,0.241379,0.122137,0.049618,0.019084,0.026718,0.000000,0.000000,0.000000,0.000000,0.015544,0.105058,0.080000,0.041985,0.189922,0.114504,0.030534,0.022901
Qwen2.5-1.5B,0.027174,0.201299,0.387640,0.324022,0.291209,0.423913,0.288043,0.135135,0.113514,0.075676,0.070270,0.090909,0.000000,0.064103,0.153409,0.059322,0.125683,0.250000,0.143939,0.186813,0.486486,0.313514,0.194595,0.151351,0.102703,0.000000,0.000000,0.000000,0.000000,0.010000,0.274725,0.160920,0.140541,0.359116,0.340541,0.183784,0.124324
Qwen2.5-3B,0.008403,0.268041,0.478992,0.422414,0.435897,0.516667,0.450000,0.325000,0.241667,0.200000,0.191667,0.043956,0.000000,0.087379,0.178571,0.162791,0.391667,0.400000,0.100000,0.262712,0.583333,0.450000,0.375000,0.391667,0.325000,0.000000,0.000000,0.000000,0.000000,0.111111,0.362069,0.359649,0.366667,0.385965,0.525000,0.383333,0.325000
Qwen2.5-7B,0.000000,0.200000,0.562500,0.526316,0.550000,0.612500,0.550000,0.387500,0.400000,0.225000,0.275000,0.050847,0.000000,0.104478,0.324675,0.191489,0.537500,0.552632,0.113208,0.240506,0.637500,0.562500,0.487500,0.512500,0.500000,0.000000,0.000000,0.000000,0.000000,0.095238,0.311688,0.323529,0.462500,0.460526,0.600000,0.475000,0.462500
Qwen2.5-14B,0.020408,0.485714,0.755102,0.787234,0.687500,0.775510,0.734694,0.632653,0.612245,0.469388,0.489796,0.125000,0.000000,0.205128,0.456522,0.400000,0.755102,0.760870,0.482759,0.395833,0.673469,0.734694,0.795918,0.795918,0.755102,0.000000,0.000000,0.000000,0.000000,0.176471,0.395833,0.461538,0.775510,0.673913,0.714286,0.755102,0.673469
Qwen2.5-32B,0.072289,0.223881,0.433735,0.450000,0.457831,0.518072,0.493976,0.421687,0.409639,0.337349,0.361446,0.075758,0.000000,0.075758,0.259740,0.202899,0.506024,0.390244,0.180328,0.195122,0.409639,0.457831,0.542169,0.493976,0.457831,0.000000,0.000000,0.000000,0.000000,0.022727,0.277108,0.337838,0.518072,0.362500,0.457831,0.469880,0.506024
Qwen2.5-72B,0.014925,0.188679,0.477612,0.468750,0.402985,0.507463,0.417910,0.402985,0.454545,0.358209,0.417910,0.020408,0.000000,0.135593,0.253731,0.222222,0.477612,0.446154,0.078431,0.166667,0.507463,0.492537,0.477612,0.522388,0.522388,0.000000,0.000000,0.000000,0.000000,0.025641,0.215385,0.338462,0.492537,0.424242,0.432836,0.432836,0.447761
Llama3-1B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Llama3-3B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.003247,0.000000,0.003247,0.003247,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006515,0.003257,0.003247,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003247,0.006494,0.003247,0.000000,0.000000
Llama3-8B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Llama3-70B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.003344,0.000000,0.000000,0.000000,0.003344,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003356,0.000000,0.000000,0.003344,0.006689,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003344,0.000000,0.003344,0.000000,0.000000,0.006689,0.003344
Llama3-1B,0.010309,0.010791,0.027491,0.027491,0.024138,0.078767,0.058219,0.003425,0.006849,0.003425,0.006849,0.010714,0.000000,0.007042,0.010417,0.010870,0.010309,0.010345,0.003636,0.044521,0.065068,0.044521,0.017123,0.013699,0.017123,0.000000,0.000000,0.000000,0.000000,0.007407,0.027586,0.017483,0.027397,0.065744,0.044521,0.017123,0.013699
Llama3-3B,0.026316,0.181818,0.448980,0.338028,0.463576,0.519481,0.474026,0.207792,0.188312,0.123377,0.123377,0.060345,0.021277,0.093023,0.164286,0.114943,0.285714,0.285714,0.174757,0.146667,0.538961,0.493506,0.357143,0.272727,0.240260,0.000000,0.000000,0.000000,0.000000,0.116883,0.234899,0.309353,0.324675,0.456376,0.493506,0.363636,0.279221
Llama3-8B,0.050000,0.223684,0.464646,0.391753,0.434343,0.504950,0.465347,0.277228,0.247525,0.158416,0.138614,0.092105,0.000000,0.059524,0.164948,0.171429,0.330000,0.369565,0.134328,0.210000,0.514851,0.475248,0.455446,0.366337,0.287129,0.000000,0.000000,0.000000,0.000000,0.098039,0.313131,0.423913,0.405941,0.469388,0.425743,0.405941,0.287129
Llama3-70B,0.021277,0.257143,0.571429,0.533333,0.702128,0.739130,0.617021,0.595745,0.574468,0.361702,0.425532,0.205882,0.200000,0.100000,0.363636,0.363636,0.531915,0.630435,0.240000,0.239130,0.617021,0.680851,0.680851,0.638298,0.680851,0.000000,0.000000,0.000000,0.000000,0.294118,0.239130,0.384615,0.723404,0.658537,0.702128,0.595745,0.510638
DeepSeek-1.5B,0.003279,0.033003,0.042623,0.039216,0.032680,0.035948,0.039216,0.026144,0.026144,0.032680,0.019608,0.010067,0.003425,0.009868,0.026230,0.019672,0.032680,0.035948,0.009967,0.039216,0.039216,0.039216,0.032680,0.039216,0.026144,0.000000,0.000000,0.000000,0.000000,0.003413,0.032680,0.032787,0.039216,0.036066,0.029508,0.035948,0.035948
DeepSeek-7B,0.010135,0.017007,0.030405,0.030508,0.030405,0.030405,0.037162,0.037162,0.037162,0.033784,0.037162,0.000000,0.003484,0.003390,0.027027,0.013605,0.027027,0.023649,0.017065,0.020270,0.030405,0.027027,0.030405,0.030405,0.030405,0.000000,0.000000,0.000000,0.000000,0.000000,0.016892,0.023729,0.033784,0.023729,0.033784,0.037162,0.033784
DeepSeek-14B,0.016327,0.020408,0.040650,0.048583,0.048583,0.052632,0.040486,0.056680,0.048583,0.048583,0.060729,0.012658,0.000000,0.020408,0.048583,0.008130,0.052632,0.048583,0.024691,0.020325,0.052632,0.060729,0.056680,0.048583,0.056680,0.000000,0.000000,0.000000,0.000000,0.012658,0.048583,0.032389,0.060729,0.040650,0.044534,0.052632,0.060729
DeepSeek-32B,0.000000,0.000000,0.003663,0.007326,0.007326,0.003663,0.007326,0.007326,0.007326,0.007326,0.010989,0.003676,0.000000,0.000000,0.007326,0.003690,0.010989,0.003663,0.003676,0.003663,0.010989,0.010989,0.010989,0.007326,0.003663,0.000000,0.000000,0.000000,0.000000,0.000000,0.007326,0.003676,0.010989,0.007326,0.007326,0.007326,0.014652
