solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.026316,0.017544,0.075758,0.047431,0.087121,0.156716,0.097378,0.067669,0.078652,0.067164,0.071161,0.104348,0.010638,0.008658,0.074219,0.043137,0.052239,0.075758,0.039301,0.126437,0.067164,0.119403,0.082090,0.082090,0.082090,0.000000,0.000000,0.000000,0.000000,0.054545,0.061776,0.072581,0.111940,0.107143,0.119850,0.082090,0.074906
Qwen3-1.7B-Base,0.009901,0.037037,0.072131,0.059406,0.058824,0.075163,0.062092,0.058824,0.055556,0.055556,0.052288,0.009967,0.000000,0.020548,0.055921,0.056667,0.062295,0.055556,0.020619,0.036667,0.084967,0.071895,0.068627,0.055556,0.055556,0.000000,0.000000,0.000000,0.000000,0.007168,0.033003,0.053156,0.065359,0.069079,0.068627,0.058824,0.058824
Qwen3-4B-Base,0.183246,0.128655,0.282051,0.260204,0.364078,0.325243,0.307317,0.325243,0.310680,0.291262,0.286408,0.052632,0.016260,0.049383,0.270000,0.148718,0.321951,0.307317,0.087500,0.162304,0.242718,0.354369,0.349515,0.349515,0.330097,0.000000,0.000000,0.000000,0.000000,0.065217,0.195122,0.215000,0.354369,0.330049,0.325243,0.334951,0.354369
Qwen3-8B-Base,0.036900,0.069106,0.200000,0.141762,0.162362,0.210332,0.158088,0.144444,0.156134,0.125000,0.125926,0.048000,0.024390,0.035857,0.149813,0.099237,0.137037,0.155556,0.055085,0.118321,0.176471,0.162362,0.183824,0.150735,0.161765,0.000000,0.000000,0.000000,0.000000,0.018692,0.086792,0.137405,0.191882,0.152091,0.169742,0.154412,0.159259
Qwen3-14B-Base,0.083916,0.290000,0.724638,0.726619,0.713287,0.713287,0.650350,0.631206,0.622378,0.591549,0.580420,0.135922,0.037037,0.268519,0.552239,0.522124,0.685315,0.711268,0.170213,0.373134,0.685315,0.706294,0.727273,0.706294,0.664336,0.000000,0.000000,0.000000,0.000000,0.222222,0.384058,0.567164,0.706294,0.661765,0.669014,0.692308,0.647887
Qwen3-0.6B,0.210000,0.022222,0.018692,0.142857,0.208633,0.685714,0.411348,0.481481,0.442857,0.457143,0.404255,0.149254,0.136364,0.188525,0.429688,0.110294,0.414286,0.574468,0.369048,0.447761,0.659574,0.626761,0.563380,0.422535,0.443662,0.000000,0.000000,0.000000,0.052632,0.205882,0.492857,0.514493,0.633803,0.404580,0.482014,0.553191,0.598592
Qwen3-1.7B,0.142857,0.056604,0.000000,0.057692,0.283784,0.576923,0.376623,0.550725,0.525641,0.610390,0.692308,0.189189,0.050000,0.194030,0.432836,0.160000,0.636364,0.631579,0.347826,0.438356,0.602564,0.653846,0.717949,0.692308,0.692308,0.000000,0.000000,0.000000,0.000000,0.142857,0.641026,0.602564,0.692308,0.434211,0.558442,0.615385,0.692308
Qwen3-4B,0.034483,0.000000,0.025641,0.028571,0.346939,0.638298,0.408163,0.604167,0.530612,0.714286,0.816327,0.173913,0.222222,0.119048,0.439024,0.127660,0.816327,0.795918,0.366667,0.404255,0.775510,0.673469,0.795918,0.816327,0.755102,0.000000,0.000000,0.000000,0.000000,0.166667,0.702128,0.666667,0.836735,0.511111,0.571429,0.734694,0.795918
Qwen3-8B,0.090909,0.045455,0.035714,0.185185,0.388889,0.484848,0.416667,0.571429,0.472222,0.722222,0.742857,0.142857,0.000000,0.161290,0.500000,0.121212,0.750000,0.722222,0.136364,0.363636,0.750000,0.694444,0.722222,0.777778,0.722222,0.000000,0.000000,0.000000,0.000000,0.090909,0.694444,0.694444,0.777778,0.419355,0.611111,0.722222,0.805556
Qwen3-14B,0.057143,0.076923,0.000000,0.066667,0.341463,0.560976,0.390244,0.552632,0.452381,0.738095,0.714286,0.241379,0.000000,0.205882,0.486486,0.285714,0.738095,0.619048,0.136364,0.444444,0.666667,0.738095,0.738095,0.738095,0.714286,0.000000,0.000000,0.000000,0.000000,0.294118,0.634146,0.619048,0.738095,0.414634,0.595238,0.666667,0.714286
