solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.060000,0.056426,0.031941,0.064789,0.038605,0.185379,0.093590,0.078261,0.071166,0.064028,0.088915,0.316726,0.032609,0.053333,0.124096,0.041718,0.092857,0.088517,0.145340,0.143361,0.155374,0.097448,0.128621,0.102771,0.095954,0.000000,0.000000,0.000000,0.000000,0.155862,0.089421,0.043758,0.092915,0.099338,0.119734,0.120585,0.160508
Qwen3-1.7B-Base,0.004614,0.023256,0.022032,0.029376,0.026159,0.023810,0.006135,0.019300,0.009592,0.011601,0.028802,0.036900,0.001323,0.018270,0.043981,0.005882,0.009249,0.017381,0.040049,0.041618,0.047399,0.019585,0.018433,0.023068,0.026528,0.000000,0.000000,0.000000,0.000000,0.038694,0.035503,0.022646,0.010369,0.002646,0.021907,0.019208,0.027682
Qwen3-4B-Base,0.067332,0.257669,0.337875,0.217877,0.187500,0.216667,0.103825,0.049738,0.026882,0.022556,0.082524,0.186916,0.036697,0.027624,0.270270,0.097686,0.061224,0.171429,0.158879,0.251928,0.259169,0.080097,0.156863,0.094891,0.191748,0.000000,0.000000,0.000000,0.000000,0.240437,0.134615,0.094488,0.154791,0.046948,0.060748,0.092348,0.116505
Qwen3-8B-Base,0.065217,0.215962,0.256705,0.269388,0.245211,0.237500,0.085366,0.043825,0.047431,0.054745,0.060932,0.201835,0.006579,0.056769,0.251825,0.112000,0.113971,0.223443,0.094595,0.328358,0.309353,0.158845,0.200717,0.172043,0.197133,0.000000,0.000000,0.000000,0.000000,0.229572,0.172794,0.096296,0.182796,0.042553,0.034722,0.146154,0.089606
Qwen3-14B-Base,0.037975,0.142857,0.295775,0.344595,0.194245,0.200000,0.112782,0.037879,0.029630,0.050955,0.056962,0.146341,0.022989,0.075188,0.329114,0.125000,0.095541,0.258065,0.106061,0.289474,0.282895,0.189873,0.183544,0.113924,0.164557,0.000000,0.000000,0.000000,0.000000,0.246753,0.193333,0.040000,0.129032,0.144231,0.177570,0.170213,0.139241
Qwen3-0.6B,0.314433,0.100000,0.003356,0.221498,0.257294,0.567867,0.360704,0.226519,0.148352,0.230179,0.233083,0.391473,0.047619,0.197674,0.297158,0.061828,0.286458,0.436548,0.072464,0.506297,0.618090,0.596491,0.426065,0.265664,0.461153,0.000000,0.000000,0.000000,0.000000,0.617162,0.712821,0.485488,0.383459,0.169811,0.234783,0.409207,0.318296
Qwen3-1.7B,0.048276,0.029851,0.000000,0.051471,0.118519,0.142857,0.125000,0.100775,0.082707,0.137931,0.166667,0.122951,0.027523,0.035714,0.125874,0.041958,0.145833,0.152778,0.045802,0.109589,0.212329,0.212329,0.239726,0.212329,0.239726,0.000000,0.000000,0.000000,0.000000,0.123967,0.156028,0.109489,0.294521,0.089431,0.091667,0.185714,0.198630
Qwen3-4B,0.009091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004545,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004545,0.000000,0.009091,0.009091,0.009091,0.000000,0.000000,0.000000,0.000000,0.000000,0.004545,0.000000,0.009091,0.009091,0.004545,0.004566,0.009091
Qwen3-8B,0.000000,0.000000,0.000000,0.000000,0.001211,0.001209,0.001208,0.000000,0.000000,0.000000,0.002413,0.000000,0.001211,0.000000,0.000000,0.000000,0.000000,0.002413,0.000000,0.002413,0.003619,0.003619,0.003619,0.001206,0.002413,0.000000,0.000000,0.000000,0.000000,0.002413,0.003623,0.000000,0.002413,0.002415,0.002413,0.002415,0.002413
Qwen3-14B,0.003984,0.004082,0.000000,0.000000,0.020161,0.008333,0.016260,0.008197,0.008197,0.024096,0.039841,0.000000,0.016598,0.008000,0.015936,0.003968,0.004016,0.011952,0.004049,0.015873,0.035714,0.011905,0.035714,0.023810,0.055556,0.000000,0.000000,0.000000,0.000000,0.024390,0.032000,0.012295,0.015873,0.032258,0.032258,0.016327,0.027778
Qwen3-32B,0.012500,0.012500,0.000000,0.012579,0.018750,0.018750,0.012500,0.018750,0.018750,0.018750,0.018750,0.006289,0.000000,0.000000,0.018750,0.000000,0.018750,0.018750,0.000000,0.018750,0.018750,0.018750,0.018750,0.018750,0.018750,0.000000,0.000000,0.000000,0.000000,0.006329,0.018750,0.018750,0.018750,0.018750,0.012500,0.018750,0.018750
Qwen2.5-0.5B-Base,0.104082,0.025027,0.116788,0.014690,0.009128,0.098592,0.030181,0.006036,0.008048,0.003018,0.007042,0.053933,0.003717,0.016181,0.071501,0.014568,0.004086,0.008222,0.037363,0.086957,0.088979,0.042254,0.004024,0.001006,0.052314,0.000000,0.000000,0.000000,0.000000,0.077002,0.047571,0.008065,0.002012,0.101420,0.047284,0.014085,0.013078
Qwen2.5-1.5B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen2.5-3B-Base,0.026749,0.383838,0.349425,0.398169,0.327731,0.348361,0.094262,0.020492,0.026639,0.022541,0.022541,0.140684,0.037383,0.130769,0.350731,0.045455,0.050420,0.201681,0.234043,0.490909,0.426230,0.098563,0.295082,0.252049,0.295082,0.000000,0.000000,0.000000,0.000000,0.421053,0.235417,0.087500,0.229979,0.349576,0.145492,0.129098,0.065574
Qwen2.5-7B-Base,0.049123,0.163830,0.148699,0.177358,0.158730,0.203509,0.084211,0.015817,0.010526,0.017575,0.024561,0.098901,0.020468,0.061876,0.200000,0.046816,0.065603,0.171123,0.067653,0.228782,0.236842,0.077193,0.163158,0.119298,0.138596,0.000000,0.000000,0.000000,0.000000,0.192381,0.120782,0.063604,0.164912,0.231193,0.091549,0.068421,0.040351
Qwen2.5-14B-Base,0.032538,0.195431,0.184270,0.173815,0.126087,0.164859,0.058568,0.006508,0.006508,0.013015,0.021692,0.104000,0.013746,0.060533,0.187364,0.068493,0.028322,0.127473,0.130864,0.243736,0.193059,0.036876,0.114967,0.069414,0.084599,0.000000,0.000000,0.000000,0.000000,0.188636,0.097561,0.039474,0.113043,0.184444,0.071584,0.045553,0.043384
Qwen2.5-32B-Base,0.032680,0.166667,0.148649,0.190045,0.108932,0.194805,0.082251,0.015152,0.017316,0.017316,0.038961,0.101562,0.013072,0.072430,0.186957,0.073661,0.034858,0.128889,0.098765,0.255125,0.201299,0.075758,0.140693,0.086580,0.138528,0.000000,0.000000,0.000000,0.000000,0.170787,0.114035,0.048035,0.129870,0.209354,0.112798,0.084416,0.045455
Qwen2.5-72B-Base,0.016340,0.204918,0.264605,0.331104,0.215686,0.212418,0.088235,0.009804,0.000000,0.022876,0.058824,0.053571,0.010989,0.077491,0.228758,0.072664,0.026316,0.237624,0.070539,0.285714,0.248366,0.143791,0.192810,0.094771,0.192810,0.000000,0.000000,0.000000,0.000000,0.207483,0.125000,0.046053,0.157895,0.249169,0.130719,0.107843,0.071895
Qwen2.5-0.5B,0.123246,0.019538,0.104541,0.046901,0.027893,0.221888,0.092369,0.009018,0.008016,0.008016,0.012024,0.730588,0.090909,0.033019,0.211907,0.046644,0.057085,0.053279,0.268229,0.199399,0.287864,0.126253,0.109218,0.040080,0.312625,0.000000,0.000000,0.000000,0.000000,0.317647,0.216942,0.080706,0.034068,0.506596,0.116466,0.028056,0.043086
Qwen2.5-1.5B,0.021907,0.139969,0.154050,0.197031,0.138961,0.175258,0.041237,0.003866,0.002577,0.001289,0.002577,0.109204,0.000000,0.055714,0.148579,0.017639,0.003871,0.066667,0.076070,0.246667,0.176546,0.045161,0.073454,0.043814,0.090206,0.000000,0.000000,0.000000,0.000000,0.200265,0.103761,0.027132,0.067010,0.160365,0.057990,0.032216,0.028351
Qwen2.5-3B,0.060302,0.582822,0.589474,0.783854,0.599496,0.459799,0.163317,0.032828,0.020101,0.025126,0.052764,0.376147,0.125000,0.169935,0.469697,0.235751,0.136364,0.615776,0.527778,0.675141,0.556675,0.386935,0.429648,0.371859,0.491184,0.000000,0.000000,0.000000,0.000000,0.554348,0.438776,0.102302,0.460957,0.484293,0.261307,0.145729,0.120603
Qwen2.5-7B,0.044218,0.566667,0.571942,0.811847,0.626712,0.551020,0.329932,0.047619,0.044218,0.057823,0.102041,0.409639,0.000000,0.217949,0.615646,0.315789,0.124138,0.699659,0.233129,0.659259,0.591837,0.469388,0.598639,0.520408,0.602041,0.000000,0.000000,0.000000,0.000000,0.416357,0.395189,0.122867,0.549488,0.609756,0.428571,0.272109,0.248299
