solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.047189,0.054264,0.016000,0.000000,0.000000,0.091365,0.009146,0.003012,0.000000,0.001000,0.000000,0.773936,0.000000,0.017341,0.006309,0.000000,0.002006,0.000000,0.551499,0.054720,0.028028,0.002004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.054496,0.058394,0.000000,0.002000,0.347237,0.214984,0.000000,0.000000
Qwen3-1.7B-Base,0.293743,0.456967,0.289366,0.029656,0.062374,0.172864,0.027081,0.000000,0.000000,0.000000,0.011000,0.120000,0.028571,0.127559,0.350858,0.095960,0.018557,0.052350,0.087912,0.688640,0.739086,0.038000,0.086000,0.046000,0.144000,0.000000,0.000000,0.000000,0.000000,0.411180,0.261759,0.025720,0.082000,0.054398,0.025000,0.002000,0.007007
Qwen3-4B-Base,0.062865,0.392857,0.216301,0.175121,0.218254,0.473626,0.255763,0.222838,0.086623,0.058050,0.114160,0.257028,0.466667,0.121265,0.285350,0.281818,0.138921,0.277778,0.339703,0.478431,0.512126,0.223439,0.238520,0.130045,0.342105,0.000000,0.000000,0.000000,0.029851,0.299120,0.299539,0.174434,0.269824,0.144266,0.192825,0.106243,0.165389
Qwen3-8B-Base,0.024570,0.297571,0.348271,0.308011,0.301353,0.311193,0.019632,0.006135,0.007362,0.006135,0.015951,0.166667,0.006192,0.162304,0.207077,0.138705,0.198032,0.132754,0.256757,0.455538,0.312039,0.022086,0.260123,0.224540,0.204908,0.000000,0.000000,0.000000,0.000000,0.233190,0.244114,0.023720,0.230675,0.109312,0.088452,0.024540,0.014724
Qwen3-14B-Base,0.046543,0.679245,0.554839,0.446996,0.567244,0.460000,0.010638,0.009309,0.013298,0.013298,0.026596,0.527950,0.000000,0.195067,0.664316,0.226573,0.319092,0.304654,0.700000,0.894819,0.802929,0.054521,0.441489,0.442819,0.373670,0.000000,0.000000,0.000000,0.000000,0.355670,0.325269,0.013405,0.409333,0.199382,0.106383,0.027926,0.025266
Qwen3-0.6B,0.059908,0.031704,0.001211,0.196610,0.280220,0.247241,0.155830,0.286659,0.286184,0.292763,0.288377,0.070201,0.001623,0.053503,0.152715,0.130872,0.263447,0.267621,0.074778,0.302095,0.171240,0.232456,0.290570,0.283991,0.290889,0.000000,0.000000,0.000000,0.000000,0.175824,0.164097,0.158186,0.277412,0.208333,0.257709,0.277412,0.252193
Qwen3-1.7B,0.000000,0.000000,0.020408,0.083333,0.122449,0.102041,0.041667,0.122449,0.122449,0.122449,0.122449,0.022727,0.000000,0.083333,0.081633,0.122449,0.122449,0.122449,0.000000,0.122449,0.061224,0.122449,0.122449,0.122449,0.122449,0.000000,0.000000,0.000000,0.000000,0.063830,0.102041,0.081633,0.122449,0.041667,0.102041,0.122449,0.122449
Qwen3-4B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen3-8B,0.000000,0.000000,0.000000,0.000000,0.176471,0.117647,0.117647,0.176471,0.117647,0.117647,0.176471,0.066667,0.000000,0.000000,0.058824,0.062500,0.176471,0.176471,0.000000,0.176471,0.176471,0.176471,0.176471,0.176471,0.176471,0.000000,0.000000,0.000000,0.000000,0.176471,0.176471,0.117647,0.176471,0.125000,0.176471,0.176471,0.176471
Qwen3-14B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
