solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.018564,0.023010,-0.002090,0.037249,0.056851,0.034718,0.090775,0.258062,0.491447,0.442042,0.541944,0.013185,-0.025685,-0.025685,0.020427,0.000638,0.020876,0.013037,-0.015795,0.012934,0.010544,0.020749,0.037100,0.059011,0.036058,-0.025685,-0.025685,-0.025685,-0.025685,-0.002614,-0.010607,0.042585,0.020113,0.229485,0.264396,0.320014,0.251900
Qwen3-1.7B-Base,-0.033821,0.070904,0.063762,0.051957,0.071420,0.088556,0.338409,0.576937,0.638252,0.651790,0.649943,0.063605,0.065241,0.074021,0.051893,0.078503,0.089459,0.030574,0.045136,0.024394,0.021052,0.026172,0.083035,0.098405,0.117163,-0.087068,-0.087068,-0.087068,-0.087068,0.028017,0.036451,0.080484,0.085935,0.332291,0.498540,0.447434,0.539803
Qwen3-4B-Base,0.037101,0.133469,0.036206,0.089275,0.075292,0.149925,0.349306,0.528332,0.515464,0.577473,0.505237,-0.025770,-0.005318,0.110125,0.047036,0.073806,0.087884,0.031234,0.040873,0.074137,0.024097,0.023944,0.069473,0.087773,0.059088,-0.271951,-0.271951,-0.271951,-0.271951,0.093408,0.024758,0.085059,0.088059,0.359049,0.401564,0.445800,0.428554
Qwen3-8B-Base,-0.070458,0.112149,0.127889,0.179150,0.180170,0.155183,0.433871,0.552591,0.578335,0.647487,0.587253,-0.096430,0.127214,0.122968,0.084096,0.209465,0.199051,0.118788,-0.018898,0.050455,0.037792,0.102915,0.167999,0.166194,0.159863,-0.264198,-0.264198,-0.264198,-0.264198,-0.016085,0.068924,0.128328,0.121244,0.384834,0.485076,0.527775,0.531363
Qwen3-14B-Base,-0.031273,0.152935,0.087360,0.141558,0.156536,0.181526,0.393035,0.521508,0.531670,0.563907,0.544055,-0.129227,-0.076904,0.152369,0.106505,0.196306,0.184046,0.070194,0.082038,0.051010,0.013214,0.052591,0.139675,0.132994,0.131733,-0.347144,-0.347144,-0.347144,-0.347144,-0.078996,0.050939,0.100061,0.110899,0.326667,0.433658,0.451826,0.441434
Qwen3-0.6B,0.085905,0.233080,0.018236,0.087156,0.095996,0.014676,0.046312,0.015732,0.069111,0.051230,0.056712,-0.021529,0.142562,-0.099232,0.117619,0.267827,0.065856,0.028565,0.174459,0.037899,0.019306,0.019535,0.033866,0.032373,0.034629,-0.565371,-0.565371,-0.565371,-0.565371,-0.059556,0.025793,0.045456,0.026232,0.002558,0.014802,0.028816,0.035389
Qwen3-1.7B,0.009704,0.008209,0.064426,0.021532,0.009342,-0.003904,-0.003160,0.006261,0.013921,0.002279,0.005271,-0.024555,0.025429,-0.006885,-0.003073,0.064426,0.006266,0.001097,-0.008788,0.005195,0.000279,0.001207,-0.000915,0.005104,0.004767,-0.935574,-0.935574,-0.935574,-0.935574,0.001776,0.001559,0.007874,0.007283,-0.003741,0.003635,0.001921,0.005104
Qwen3-4B,-0.009036,0.021176,0.021176,0.001911,0.001917,-0.001613,0.004893,-0.000618,0.004872,0.002219,-0.000100,0.021176,0.007506,-0.029538,-0.000280,0.021176,0.004349,-0.000573,-0.009040,0.000000,0.008608,0.002083,0.002309,-0.000050,-0.000050,-0.978824,-0.978824,-0.978824,-0.978824,0.021176,-0.000362,0.006086,-0.000050,0.005075,0.000820,-0.000101,-0.000100
Qwen3-8B,-0.011404,-0.018581,0.021164,0.011265,-0.000650,-0.001483,0.000586,-0.000762,-0.000575,0.000000,-0.000056,-0.004430,-0.023780,-0.045045,0.008077,0.021164,-0.000405,-0.000114,-0.011621,0.003529,-0.000938,-0.000056,-0.000056,0.000000,0.000000,-0.978836,-0.978836,-0.978836,-0.978836,-0.012274,0.002496,0.004310,-0.000113,-0.004352,0.001209,-0.000113,0.000000
Qwen3-14B,0.008857,0.018223,-0.105464,0.007769,0.007418,-0.001248,0.005852,-0.000605,0.007967,-0.000042,0.000000,-0.007035,0.018223,-0.017008,0.008163,0.018223,-0.000389,-0.000217,-0.011756,0.000976,-0.000785,-0.000168,-0.000042,0.000000,0.000000,-0.981777,-0.981777,-0.981777,-0.981777,0.009636,-0.000127,-0.001212,-0.000042,-0.007950,-0.001241,0.000000,-0.000042
Qwen3-32B,0.005051,-0.006946,0.016598,0.003349,0.007002,0.004795,-0.002112,0.001636,-0.002321,0.004098,0.004098,0.005925,-0.019687,-0.003737,0.002568,0.016598,0.005957,0.003965,0.016598,0.001540,0.001408,0.003992,0.002014,0.002044,0.002044,-0.983402,-0.983402,-0.983402,-0.983402,-0.010509,0.001827,0.003603,0.002014,0.004610,0.003140,0.004071,0.004098
Qwen2.5-0.5B-Base,-0.007614,0.011985,0.015508,0.020929,0.058777,0.031308,0.168264,0.347916,0.464007,0.411405,0.393414,-0.007614,-0.007614,0.030854,0.006900,0.026372,0.036287,0.018672,0.002011,0.005211,0.004332,0.010811,0.040461,0.074018,0.062060,-0.007614,-0.007614,-0.007614,-0.007614,0.004624,0.010467,0.027163,0.032140,0.061337,0.264538,0.243213,0.307022
Qwen2.5-1.5B-Base,0.085187,0.087860,0.174638,0.109694,0.218525,0.106768,0.124643,0.669347,0.327754,0.415091,0.975248,-0.024752,0.025970,0.085355,0.049371,0.169372,0.078774,0.065534,-0.024752,0.046775,0.057416,0.078225,0.090114,0.132467,0.123301,-0.024752,-0.024752,-0.024752,-0.024752,0.011249,-0.024752,0.015750,0.097463,0.314728,0.150980,0.239715,0.975248
Qwen2.5-3B-Base,-0.021821,0.103491,0.068103,0.081683,0.111955,0.091623,0.355812,0.575019,0.656430,0.751845,0.643693,-0.010964,-0.065331,0.064175,0.034538,0.111738,0.126201,0.053751,0.040495,0.033941,0.012848,0.037860,0.086757,0.102721,0.117471,-0.084223,-0.084223,-0.084223,-0.084223,0.007763,0.020471,0.085026,0.089417,0.330821,0.456001,0.446647,0.487978
Qwen2.5-7B-Base,-0.019512,0.094002,0.069664,0.057901,0.075585,0.150139,0.435259,0.554600,0.583479,0.641946,0.542329,-0.081353,-0.010467,0.145176,0.054732,0.113222,0.071285,0.019690,0.065960,0.043796,0.017568,0.032063,0.079435,0.072851,0.110645,-0.227160,-0.227160,-0.227160,-0.227160,-0.010562,0.054345,0.082664,0.069200,0.392694,0.426823,0.468334,0.512066
Qwen2.5-14B-Base,-0.010700,0.158835,0.106103,0.150642,0.209570,0.146562,0.425621,0.622320,0.645753,0.691465,0.608024,0.049323,-0.007803,0.098600,0.080118,0.194847,0.275732,0.152460,0.010032,0.053721,0.019957,0.083359,0.157095,0.197228,0.196045,-0.192220,-0.192220,-0.192220,-0.192220,0.018492,0.061119,0.116382,0.167320,0.339726,0.511070,0.555875,0.564703
Qwen2.5-32B-Base,0.056925,0.201087,0.112615,0.220269,0.293451,0.172499,0.436309,0.564651,0.604405,0.642292,0.596066,-0.058459,0.015779,0.171610,0.125402,0.255628,0.244648,0.177800,-0.044229,0.060959,0.043160,0.126722,0.207655,0.169892,0.194638,-0.239548,-0.239548,-0.239548,-0.239548,0.152832,0.106702,0.151845,0.141891,0.410892,0.534254,0.519818,0.567042
Qwen2.5-72B-Base,0.049923,0.165084,0.052887,0.071426,0.088513,0.129443,0.339211,0.441405,0.461070,0.497926,0.465901,0.002523,0.027626,0.021821,0.083611,0.117521,0.096755,0.032329,0.107579,0.051165,0.029670,0.034795,0.092543,0.092087,0.095415,-0.430605,-0.430605,-0.430605,-0.430605,0.098920,0.032522,0.078936,0.096425,0.302380,0.393770,0.386104,0.404730
Qwen2.5-0.5B,-0.012956,0.028845,0.020009,0.042191,0.104938,0.067801,0.268509,0.661607,0.649820,0.705268,0.588376,-0.012956,0.021989,0.024329,0.013055,0.083189,0.194786,0.069515,0.013297,0.007747,0.006421,0.017472,0.106070,0.143294,0.185705,-0.012956,-0.012956,-0.012956,-0.012956,0.033270,0.008607,0.037664,0.044182,0.150809,0.505039,0.467192,0.525699
Qwen2.5-1.5B,-0.036656,0.064593,0.061622,0.089067,0.161556,0.113472,0.482032,0.779471,0.829062,0.816346,0.821064,-0.001273,0.099758,0.077924,0.046255,0.163512,0.299597,0.110398,0.037722,0.026363,0.010239,0.035186,0.165326,0.214867,0.215452,-0.053107,-0.053107,-0.053107,-0.053107,-0.032569,0.048326,0.098303,0.116355,0.324536,0.619825,0.666407,0.688900
