solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,-0.220503,-0.454545,0.545455,0.545455,0.363636,0.045455,0.045455,0.334928,0.229665,0.241107,0.337121,0.038412,-0.454545,-0.124596,0.145977,-0.454545,0.421407,0.213963,-0.454545,-0.295667,0.145455,0.363636,0.345455,0.212121,0.328063,-0.454545,-0.454545,-0.454545,-0.454545,0.000000,0.012121,0.136852,0.249158,0.035651,0.063973,0.265455,0.200627
Qwen3-1.7B-Base,-0.333333,0.222222,-0.115942,0.666667,0.266667,0.095238,0.266667,0.666667,0.666667,0.666667,0.666667,-0.333333,0.000000,0.666667,-0.333333,0.166667,0.266667,0.291667,-0.333333,-0.333333,0.266667,0.166667,0.266667,0.416667,0.416667,-0.333333,-0.333333,-0.333333,-0.333333,-0.333333,-0.000000,0.222222,0.416667,0.166667,0.000000,0.266667,0.416667
Qwen3-4B-Base,-0.057640,-0.105358,0.005250,0.043365,0.073710,0.012705,0.019673,0.074759,0.056323,0.089666,0.098346,-0.024754,-0.703812,-0.111619,0.050145,0.055251,0.101237,0.112669,-0.088626,0.064231,0.040227,0.054552,0.065972,0.049709,0.060128,-0.703812,-0.703812,-0.703812,-0.703812,0.110640,0.072028,0.038802,0.063460,0.037797,0.001451,0.017499,0.034052
Qwen3-8B-Base,-0.004356,0.007435,0.030109,0.070324,0.071391,0.023810,0.031245,0.045656,0.028691,0.070522,0.080232,0.060700,0.149115,-0.055451,0.047743,0.022021,0.089113,0.110557,-0.013927,-0.027954,0.039208,0.053494,0.066883,0.080879,0.056299,-0.751701,-0.751701,-0.751701,-0.751701,-0.064959,0.031572,0.064177,0.065727,0.024201,0.040456,0.038183,0.056463
Qwen3-14B-Base,-0.021649,-0.024076,0.017209,0.023369,0.036967,0.009998,0.021881,0.051906,0.035617,0.052739,0.052049,0.017375,-0.820225,-0.079766,-0.014858,0.064634,0.036133,0.033558,-0.033849,0.014836,0.009286,0.036918,0.035365,0.033358,0.029254,-0.820225,-0.820225,-0.820225,-0.820225,-0.005708,0.013660,0.034185,0.036422,0.011058,0.008089,0.021257,0.028124
Qwen3-0.6B,-0.030401,0.087525,0.349208,0.026766,0.056285,-0.001374,0.011220,0.037995,0.072281,0.104938,0.143269,-0.139339,0.064804,-0.001328,0.011361,0.158450,0.199419,0.073530,0.028517,0.049929,0.016749,0.048192,0.119185,0.171083,0.143986,-0.563929,-0.563929,-0.563929,-0.563929,0.036624,0.067827,0.095104,0.065151,-0.001251,0.009386,0.053115,0.059448
Qwen3-1.7B,0.026145,-0.255207,0.059194,-0.040391,0.022206,0.007358,-0.014565,0.034762,0.023476,0.030277,0.032846,0.003098,-0.036226,0.001394,0.024621,0.018914,0.036867,0.024916,0.021887,0.058656,0.017225,0.020798,0.031474,0.029608,0.047350,-0.744128,-0.744128,-0.744128,-0.744128,-0.020916,0.044172,0.050309,0.016152,0.014524,0.029808,0.020715,0.027787
Qwen3-4B,0.055209,-0.239776,-0.014000,-0.152828,0.008311,0.006645,0.001580,0.042475,0.015074,0.017308,0.010235,-0.134278,-0.800000,-0.007250,0.009674,0.020016,0.012356,0.015554,0.006971,0.048186,-0.000407,0.010906,0.010765,0.012290,0.012183,-0.800000,-0.800000,-0.800000,-0.800000,-0.019153,0.038455,0.047291,0.003333,0.010345,0.013401,0.009456,0.008960
Qwen3-8B,-0.062388,-0.210663,-0.004329,0.025313,0.013923,0.014185,0.006517,0.021160,0.010593,-0.000518,0.006153,-0.111591,-0.828010,-0.006135,0.004178,-0.007717,0.007381,0.013597,0.093486,0.051302,0.006785,0.012201,0.005185,0.006990,0.009532,-0.828010,-0.828010,-0.828010,-0.828010,-0.004696,0.028904,0.025362,0.004077,0.027452,0.004521,0.006773,0.007698
Qwen3-14B,-0.057415,-0.281887,-0.053259,-0.039095,0.004445,0.010471,-0.004435,-0.001086,0.011474,0.006294,0.006064,-0.004535,0.000000,-0.028246,-0.004877,0.020029,0.000491,0.018804,0.028368,0.035049,-0.001268,0.010970,0.006114,0.003380,0.009804,-0.844710,-0.844710,-0.844710,-0.844710,0.067345,0.021165,0.023889,0.000910,0.019213,0.027966,0.003370,0.002380
Qwen3-32B,-0.132762,-0.052963,0.075135,0.004267,-0.006293,0.003220,-0.000192,0.004511,0.016325,0.005151,0.003267,-0.132377,-0.849010,-0.000378,-0.010589,-0.037161,0.008240,0.011303,0.045550,0.031918,-0.000649,0.007373,0.006220,0.004669,0.010787,-0.849010,-0.849010,-0.849010,-0.849010,-0.014279,0.018212,0.014183,0.002533,0.013105,0.010657,0.003439,0.003339
Qwen2.5-0.5B-Base,-0.222222,-0.222222,-0.222222,0.777778,0.777778,0.177778,0.777778,0.277778,0.277778,0.777778,0.777778,0.777778,-0.222222,-0.222222,-0.222222,-0.222222,-0.222222,-0.222222,-0.222222,0.409357,-0.222222,0.277778,0.777778,0.777778,0.444444,-0.222222,-0.222222,-0.222222,-0.222222,-0.222222,-0.222222,0.000000,0.777778,0.277778,0.027778,0.444444,0.444444
Qwen2.5-1.5B-Base,-0.444444,-0.444444,0.000000,0.101010,0.555556,-0.111111,-0.015873,0.155556,0.155556,0.305556,0.305556,0.170940,-0.444444,-0.444444,0.236407,0.555556,0.222222,0.555556,-0.444444,-0.158730,0.155556,0.155556,0.155556,0.305556,0.155556,-0.444444,-0.444444,-0.444444,-0.444444,-0.444444,0.055556,0.071685,0.355556,-0.158730,-0.111111,0.055556,0.222222
Qwen2.5-3B-Base,-0.116284,0.131738,0.122689,0.103962,0.129737,0.018559,0.043716,0.152049,0.111743,0.181927,0.154827,-0.053662,-0.622951,0.114147,0.098984,0.092764,0.145327,0.209375,0.056970,0.072980,0.077049,0.110383,0.137919,0.127049,0.077049,-0.622951,-0.622951,-0.622951,-0.622951,-0.622951,0.265938,0.144726,0.072701,-0.001594,0.006679,0.050126,0.091335
Qwen2.5-7B-Base,-0.017350,0.046185,0.042012,0.050055,0.068487,0.020426,0.054368,0.082054,0.079904,0.105657,0.108547,-0.048546,0.031687,-0.111987,-0.014891,0.077181,0.096914,0.055806,-0.144118,0.003979,0.012684,0.050896,0.061197,0.074166,0.051906,-0.759791,-0.759791,-0.759791,-0.759791,-0.046152,0.050814,0.039517,0.057413,0.024799,0.023132,0.040791,0.052987
Qwen2.5-14B-Base,-0.098325,-0.028719,0.070281,0.099351,0.109889,0.016452,0.043612,0.078399,0.068968,0.074045,0.067943,-0.024595,-0.768595,0.031954,0.029945,0.115996,0.099778,0.172581,0.036663,-0.013714,0.055647,0.097327,0.058630,0.085338,0.050849,-0.768595,-0.768595,-0.768595,-0.768595,-0.119002,0.047032,0.078223,0.062323,0.029363,0.026677,0.038009,0.066405
Qwen2.5-32B-Base,-0.157232,-0.001148,0.043713,0.034316,0.083767,0.015231,0.027584,0.039763,0.034767,0.059651,0.048930,0.052914,0.075714,0.038140,0.044457,0.087218,0.075958,0.080937,-0.011639,0.028921,0.017222,0.045147,0.035310,0.037823,0.038035,-0.797737,-0.797737,-0.797737,-0.797737,-0.099220,0.010566,0.031988,0.050063,0.037309,0.010705,0.025414,0.039434
Qwen2.5-72B-Base,-0.036259,-0.005389,0.019660,0.016180,0.060530,0.011608,0.019443,0.044676,0.036851,0.039986,0.045280,0.096278,-0.828014,-0.092054,-0.038896,0.015951,0.035684,0.040787,-0.040459,0.012862,0.024864,0.034261,0.036905,0.035986,0.025418,-0.828014,-0.828014,-0.828014,-0.828014,-0.169804,0.036693,0.046476,0.037299,0.012003,0.021986,0.022453,0.030223
Qwen2.5-0.5B,-0.294085,0.081513,0.118306,0.197571,0.281322,0.046666,0.203285,0.398702,0.431896,0.471236,0.473836,-0.119175,-0.360697,-0.076950,0.114823,0.241600,0.344739,0.187605,-0.029191,0.056729,0.039303,0.282161,0.356861,0.437469,0.343706,-0.360697,-0.360697,-0.360697,-0.360697,-0.118144,0.163361,0.218392,0.373116,0.025359,0.121604,0.318549,0.330579
Qwen2.5-1.5B,0.007729,0.029463,0.061440,0.127125,0.134490,0.038568,0.130468,0.262174,0.243643,0.275091,0.264055,0.149788,-0.547826,0.057288,0.057073,0.258144,0.207378,0.157267,-0.046060,0.017171,0.041829,0.154877,0.191900,0.219851,0.219718,-0.547826,-0.547826,-0.547826,-0.547826,0.006968,0.158752,0.119482,0.239303,-0.000195,0.075790,0.148174,0.181432
