solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.407407,-0.083333,-0.083333,0.216030,0.083333,0.059524,0.104859,0.187224,0.076972,0.263016,0.256667,0.006322,-0.083333,-0.083333,-0.083333,-0.083333,-0.083333,0.082430,-0.083333,0.039674,-0.024510,0.050000,0.034314,0.202381,0.151449,-0.083333,-0.083333,-0.083333,-0.083333,-0.083333,-0.083333,0.029059,0.059524,0.048572,0.169094,0.220464,0.092878
Qwen3-1.7B-Base,0.118807,0.198257,-0.037037,-0.037037,0.296296,0.046296,-0.037037,-0.037037,0.105820,-0.037037,-0.037037,-0.037037,-0.037037,-0.037037,0.101085,-0.037037,-0.037037,-0.037037,-0.037037,0.084585,0.046296,0.039886,-0.037037,0.129630,-0.037037,-0.037037,-0.037037,-0.037037,-0.037037,0.050682,0.432351,-0.037037,-0.037037,-0.037037,-0.037037,-0.037037,-0.037037
Qwen3-4B-Base,-0.050141,0.089365,-0.017813,-0.030990,0.045833,0.051630,0.039167,0.047567,0.060894,0.145833,0.121308,0.123941,-0.026210,-0.094635,0.058624,0.023467,0.052865,0.043269,0.374298,0.016967,-0.016071,0.016582,0.019397,0.059691,0.032500,-0.187500,-0.187500,-0.187500,-0.187500,0.197635,0.034893,0.055636,0.024396,0.023763,0.029073,0.129167,0.113942
Qwen3-8B-Base,-0.146667,0.200589,0.079730,0.126922,0.186667,0.057879,0.066893,0.116364,0.119709,0.100392,0.103333,-0.046064,0.030182,0.177730,0.067368,0.045762,0.102313,0.109580,0.120858,0.026887,0.087376,0.128333,0.037544,0.103333,0.080606,-0.146667,-0.146667,-0.146667,-0.146667,-0.146667,0.119809,0.176132,0.092464,0.093627,0.061524,0.075556,0.084103
Qwen3-14B-Base,0.308140,0.052988,-0.006476,0.024677,0.016561,0.020604,0.016296,0.083014,0.128362,0.109509,0.123208,0.080935,-0.191860,0.000794,0.011293,0.011831,0.020521,0.023184,0.065321,-0.067395,0.002495,0.014751,0.023657,0.046672,0.033766,-0.191860,-0.191860,-0.191860,-0.191860,0.201682,-0.002356,0.106885,0.039178,-0.025951,0.029192,0.075017,0.045467
Qwen3-0.6B,0.074192,0.732394,0.732394,0.055028,0.057070,0.004239,-0.016244,0.016887,0.069841,0.038277,-0.014594,-0.084031,-0.267606,0.060789,0.089143,0.321661,0.054870,0.024223,0.039341,0.008780,0.001518,0.073303,0.065728,0.039061,0.055579,-0.267606,-0.267606,-0.267606,-0.267606,-0.267606,-0.014812,-0.019413,0.055627,0.048668,0.021880,0.031286,0.087950
Qwen3-1.7B,-0.004854,0.493976,0.493976,-0.189002,-0.172691,0.014539,-0.016228,0.040340,0.003410,0.034516,0.013976,0.043426,-0.506024,-0.013160,-0.073891,0.134161,0.051229,0.027874,0.089955,0.053829,0.046215,0.027309,0.048030,0.040643,0.026443,-0.506024,-0.506024,-0.506024,-0.506024,-0.251479,0.042807,0.050950,-0.006024,-0.006717,0.020082,0.027309,0.043272
Qwen3-4B,-0.073450,0.326316,-0.191536,-0.105132,0.008346,0.025345,-0.017947,0.022725,-0.032372,0.015971,0.011709,-0.052548,0.326316,-0.091474,-0.004959,-0.003903,0.006728,0.049207,-0.026402,0.137307,0.013816,0.026316,0.042225,0.027465,0.007634,-0.673684,-0.673684,-0.673684,-0.673684,0.326316,0.030324,0.071740,0.022945,-0.003644,0.037111,0.012362,0.004094
Qwen3-8B,-0.084672,-0.102326,0.200000,-0.015686,-0.008333,0.004469,-0.040741,0.010427,-0.042839,-0.008791,-0.002128,0.027068,0.200000,-0.030769,0.014607,-0.050000,0.001670,0.015951,-0.139450,0.067854,0.009282,0.029268,-0.006522,0.004348,-0.006522,-0.800000,-0.800000,-0.800000,-0.800000,0.200000,0.025354,0.023363,0.006452,-0.025472,0.031818,0.013187,-0.004301
Qwen3-14B,-0.190678,0.097059,-0.200382,0.065217,0.034314,-0.011143,0.023585,0.001880,0.023533,0.046117,0.014151,0.073129,-0.107143,-0.123360,0.020457,-0.066279,0.048561,0.024240,0.250000,0.040698,-0.007426,0.023196,0.016990,0.011468,0.002294,-0.750000,-0.750000,-0.750000,-0.750000,0.250000,0.014505,0.012491,0.033019,-0.041295,0.015426,0.032048,0.004545
