solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.102809,0.143417,0.178241,0.273475,0.338995,0.243701,0.364691,0.419923,0.433353,0.443889,0.452654,0.000905,-0.092380,0.247344,0.179296,0.243048,0.343934,0.317529,0.111379,0.070668,0.190225,0.286792,0.335156,0.354556,0.384428,-0.510309,-0.510309,-0.510309,-0.510309,0.210638,0.251709,0.336406,0.378354,0.242206,0.353501,0.409399,0.398008
Qwen3-1.7B-Base,0.035158,0.080906,0.047356,0.067147,0.111041,0.077138,0.112546,0.170827,0.177138,0.184993,0.185114,-0.078924,-0.030454,0.074379,0.046680,0.097486,0.116012,0.089600,0.066354,0.039343,0.041848,0.061096,0.120067,0.122853,0.137637,-0.802862,-0.802862,-0.802862,-0.802862,-0.024833,0.041084,0.121517,0.149894,0.119449,0.146065,0.158000,0.159811
Qwen3-4B-Base,-0.001667,0.035492,0.011847,0.031713,0.052699,0.026353,0.036187,0.065125,0.062204,0.068837,0.068959,-0.062387,-0.029077,0.031397,0.008623,0.045116,0.056095,0.032120,0.024439,0.024714,0.017610,0.016691,0.028817,0.041411,0.049050,-0.899821,-0.899821,-0.899821,-0.899821,0.015723,0.036752,0.034672,0.060305,0.036736,0.045529,0.047748,0.052378
Qwen3-8B-Base,0.016310,0.028743,0.015729,0.028612,0.040524,0.025817,0.042957,0.056717,0.055117,0.060097,0.061186,-0.001405,0.019431,0.045266,0.045091,0.034355,0.050203,0.035071,0.031333,0.008911,0.018885,0.029289,0.038631,0.033737,0.047660,-0.897016,-0.897016,-0.897016,-0.897016,0.007460,0.031845,0.043009,0.040392,0.039890,0.040807,0.044402,0.051543
Qwen3-14B-Base,-0.004810,0.022861,0.008586,0.011195,0.019740,0.012952,0.016414,0.031465,0.024180,0.033160,0.030789,0.029254,-0.017278,0.024548,0.026930,0.018372,0.027123,0.015224,0.014233,0.010285,0.005448,0.009698,0.012806,0.013894,0.023236,-0.935484,-0.935484,-0.935484,-0.935484,0.015864,0.021470,0.016561,0.021219,0.011643,0.019903,0.024382,0.023580
Qwen3-0.6B,0.028030,0.032195,0.030146,0.097549,0.120018,0.013045,0.024157,0.030910,0.055218,0.048335,0.053980,-0.025645,0.068749,0.134854,0.035666,0.098545,0.032331,0.014360,0.084330,0.020411,0.024397,0.022306,0.024236,0.031486,0.059621,-0.802795,0.000000,-0.802795,-0.802795,0.059092,0.025481,0.033740,0.034662,0.047214,0.063718,0.060183,0.059884
Qwen3-1.7B,0.019485,0.018496,0.031951,0.051577,0.025058,0.007150,0.006953,-0.006164,0.007693,0.010408,0.008972,-0.049016,0.019108,0.051571,0.002923,0.052732,0.006981,0.001302,0.053805,0.015428,0.005281,0.003807,0.002607,0.003438,0.007689,-0.921659,-0.921659,-0.921659,-0.921659,0.036204,0.009263,0.016569,0.005473,0.015751,0.007226,0.009104,0.011258
Qwen3-4B,0.008127,0.016623,-0.063059,0.025557,0.031742,0.005275,0.006559,-0.004553,0.004823,0.002438,0.002098,-0.004022,0.023834,0.019671,0.002476,0.027390,0.002866,-0.000352,0.040089,0.004380,0.000911,0.001262,0.000663,0.001363,-0.000069,-0.954858,-0.954858,-0.954858,-0.954858,0.014145,0.004996,0.008895,-0.000069,0.005486,0.002796,0.001092,0.001363
Qwen3-8B,-0.003886,0.002102,-0.092326,0.025387,0.019065,0.004478,0.001063,0.000488,0.006361,0.003273,0.003005,0.005353,0.002778,0.020792,0.005842,0.026491,0.005844,0.000563,0.021872,0.005316,0.002406,0.004267,0.002081,0.001365,0.002909,-0.961598,-0.961598,-0.961598,-0.961598,0.026153,0.000340,0.008716,0.000681,0.000350,0.007453,0.001855,0.002109
Qwen3-14B,0.025506,0.000830,0.034325,0.021980,0.018065,0.003070,0.003025,0.002801,0.000901,0.001918,0.000634,-0.005938,-0.009193,0.014268,0.001105,0.014970,0.001965,0.000448,0.031260,0.002405,0.003401,0.000608,0.000583,-0.000052,0.000583,-0.965675,-0.965675,-0.965675,-0.965675,0.006669,0.004174,0.002840,-0.000026,0.006243,0.004217,0.001146,-0.000079
