solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen3-1.7B-Base,-0.004373,0.018068,0.025183,0.137046,0.019140,0.000668,0.019402,0.037699,0.207381,0.228085,0.022745,-0.010010,0.001298,-0.010010,-0.001847,-0.010010,0.051338,0.001997,-0.010010,0.004782,0.009574,0.010409,0.011125,0.128879,0.023070,-0.010010,-0.010010,-0.010010,-0.010010,0.000333,-0.002296,0.000889,0.013057,0.003852,0.021581,0.144786,0.045080
Qwen3-4B-Base,-0.047787,0.046131,0.036410,0.030326,0.033499,0.062823,0.086945,0.099617,0.122559,0.118559,0.156040,0.004022,-0.772177,-0.069865,-0.012945,-0.003050,0.025242,0.040549,-0.205864,0.014762,0.044588,0.067189,0.052384,0.057469,0.066749,-0.772177,-0.772177,-0.772177,-0.772177,0.027593,0.013061,0.052959,0.095558,0.087661,0.085294,0.070872,0.076239
Qwen3-8B-Base,-0.076786,-0.072145,-0.195229,-0.176740,-0.200120,0.178176,0.156048,0.304857,0.166310,0.287000,-0.008918,-0.034836,-0.028269,-0.095490,-0.193900,-0.185845,-0.196026,-0.188000,-0.175651,-0.161844,0.132679,-0.127286,-0.135330,-0.148135,-0.133455,-0.213000,-0.213000,-0.213000,-0.213000,0.041833,-0.009625,-0.145603,-0.132286,0.242074,0.203000,0.193250,0.298628
Qwen3-14B-Base,0.074130,0.013254,0.016992,0.016763,0.036859,0.032238,0.033257,0.050517,0.044402,0.040945,0.060983,-0.007771,-0.665000,0.023445,-0.047729,-0.103354,0.017803,0.008137,-0.601518,0.085452,0.016965,0.018128,0.019156,0.019156,0.024834,-0.665000,-0.665000,-0.665000,-0.665000,-0.036376,0.010074,0.057249,0.026350,0.036663,0.026501,0.029154,0.034684
Qwen3-0.6B,-0.004184,-0.004184,-0.004184,0.001124,0.002162,0.000389,0.000333,0.001970,0.000840,0.000506,0.003831,-0.002540,-0.004184,0.001314,0.002307,-0.002644,0.000416,0.000283,-0.004184,0.000352,-0.000050,0.000457,0.000285,0.000246,0.000555,-0.004184,-0.004184,-0.004184,-0.004184,0.001521,-0.000599,0.000037,0.000321,0.004763,0.000165,0.000976,0.000589
Qwen3-1.7B,-0.003859,0.016890,0.148350,-0.019234,0.009515,0.002256,0.007761,0.011004,0.006282,0.006534,0.018644,-0.017883,-0.018332,-0.032860,0.044368,0.006574,0.002747,0.002748,-0.263845,-0.002021,0.006701,0.003771,0.001355,0.000354,0.005161,-0.335678,-0.335678,-0.335678,-0.335678,0.031917,-0.009367,-0.002517,0.003081,0.028631,0.009485,0.000704,0.001708
Qwen3-4B,-0.001379,0.060742,0.071000,0.008344,0.000671,-0.000793,0.005713,0.000349,-0.000359,0.003238,0.001862,-0.010823,-0.006774,-0.012728,0.016066,-0.008343,-0.000072,-0.000072,0.013011,-0.001115,-0.002158,0.000789,0.000000,0.000000,0.000000,-0.929000,-0.929000,-0.929000,-0.929000,0.006894,-0.001418,-0.000125,-0.000142,0.004246,-0.000284,-0.000214,0.000000
Qwen3-8B,-0.014200,0.084306,-0.624000,0.034730,-0.000905,-0.001973,0.007772,0.012794,0.019786,0.011979,-0.000376,0.002278,-0.060533,0.023461,0.035558,-0.014655,0.000000,0.000000,-0.035313,-0.004049,-0.013812,-0.000754,0.000000,0.000000,-0.000376,-0.624000,-0.624000,-0.624000,-0.624000,-0.008079,-0.003467,-0.001531,-0.000376,0.003299,-0.003395,0.000000,0.000000
Qwen3-14B,0.001012,-0.012338,-0.153830,-0.001463,0.001581,-0.000255,-0.004691,0.000642,0.000242,0.003166,0.001958,-0.006632,0.009627,0.002995,0.001690,0.003007,0.000000,-0.000186,0.009365,-0.000073,0.002278,-0.000046,0.000000,0.000000,0.000956,-0.977000,-0.977000,-0.977000,-0.977000,-0.006897,-0.001110,-0.000586,-0.000023,0.000951,0.000248,-0.000023,0.000000
