solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,-0.484848,-0.164848,0.203407,0.429775,0.352989,0.086580,0.232543,0.381818,0.364208,0.397504,0.452652,-0.026650,-0.484848,0.176714,-0.033016,0.360169,0.333657,0.351465,-0.068182,-0.190225,0.229437,0.205378,0.311070,0.359596,0.351515,-0.484848,-0.484848,-0.484848,-0.484848,-0.021691,0.021748,0.234692,0.345340,0.076390,0.140152,0.315152,0.315152
Qwen3-1.7B-Base,-0.178571,-0.181513,-0.011905,-0.016807,0.071429,-0.095238,0.116883,0.285714,0.071429,0.404762,0.196429,-0.428571,-0.428571,-0.428571,0.071429,-0.068571,0.330465,0.196429,0.263736,0.038095,0.025974,0.071429,0.196429,0.196429,0.238095,-0.428571,-0.428571,-0.428571,-0.428571,-0.428571,-0.428571,-0.032345,0.238095,0.032967,-0.064935,0.196429,0.142857
Qwen3-4B-Base,0.022791,0.025484,0.002174,0.101926,0.065094,0.018083,0.034322,0.105229,0.098650,0.131545,0.133964,-0.016944,0.000000,0.182504,0.043666,0.121314,0.093682,0.091248,0.005570,-0.007832,0.017606,0.052397,0.083468,0.072334,0.092259,-0.743455,-0.743455,-0.743455,-0.743455,0.256545,0.077944,0.019940,0.085904,0.013091,0.054013,0.067865,0.062795
Qwen3-8B-Base,0.001179,0.091738,0.056369,0.053337,0.087466,0.011476,0.057313,0.057313,0.084440,0.123656,0.135683,0.059079,-0.709677,0.008941,0.056519,0.110411,0.117488,0.102823,0.042189,0.096780,0.055028,0.068100,0.086439,0.132428,0.090323,-0.709677,-0.709677,-0.709677,-0.709677,-0.089959,-0.012813,0.113477,0.115065,-0.006639,0.073341,0.090323,0.092303
Qwen3-14B-Base,0.001856,0.040793,0.024130,0.020554,0.029543,0.014350,0.019728,0.040136,0.043210,0.066230,0.071839,0.035167,-0.833333,0.012429,0.029293,0.054257,0.042688,0.033639,0.004482,0.029165,0.031884,0.041667,0.048299,0.027224,0.028871,-0.833333,-0.833333,-0.833333,-0.833333,-0.088972,0.011509,0.040722,0.019256,0.013413,0.030303,0.038567,0.039095
Qwen3-0.6B,-0.045451,0.430034,0.028746,0.202690,0.078973,0.001705,-0.010701,0.024854,0.083295,0.137955,0.128974,-0.116900,0.128779,-0.007410,0.045048,0.169870,0.169193,0.080062,-0.036110,0.024949,0.024603,0.067202,0.092372,0.147737,0.155153,-0.569966,-0.569966,-0.569966,-0.569966,-0.058637,0.048846,0.052123,0.093827,-0.018007,0.039759,0.058239,0.096701
Qwen3-1.7B,-0.062833,0.222951,0.076083,0.222951,0.059037,-0.006976,0.001199,-0.000639,0.012843,0.037213,0.006456,-0.008303,-0.777049,0.007648,0.047119,0.095968,0.036007,0.009954,0.035470,0.055333,0.013420,0.030643,0.009158,0.035672,0.028506,-0.777049,-0.777049,-0.777049,-0.777049,0.025563,0.018109,0.014429,0.014617,-0.010542,0.020290,0.018571,0.025768
Qwen3-4B,-0.028114,0.140984,0.140984,0.140984,0.044643,-0.003379,0.053378,0.006139,0.000962,0.011644,0.012170,-0.044498,-0.859016,-0.018295,0.029837,0.083363,0.032212,0.016133,0.052198,0.058062,0.014118,0.018240,0.009670,0.015560,0.020294,-0.859016,-0.859016,-0.859016,-0.859016,0.021730,0.041287,0.034584,0.013037,-0.006861,0.028559,0.028308,0.009227
Qwen3-8B,-0.032613,0.101639,0.040018,-0.011353,0.025837,0.011471,-0.003847,-0.023965,0.025342,0.006716,0.004973,0.101639,-0.898361,0.020312,0.005712,0.037858,0.009746,0.023018,-0.048413,0.028085,0.009388,0.014367,0.016023,0.011035,0.010423,-0.898361,-0.898361,-0.898361,-0.898361,0.101639,0.015750,0.012823,0.004973,0.031785,0.007439,0.012598,0.004649
Qwen3-14B,0.043149,-0.140475,0.032607,0.095710,0.013875,0.024611,0.042886,0.007432,-0.002412,0.021742,0.008167,-0.070901,-0.904290,0.019228,-0.008204,0.069349,0.005141,0.016535,0.070782,0.016584,0.019340,0.018190,0.002064,0.005409,0.014354,-0.904290,-0.904290,-0.904290,-0.904290,0.039867,0.018463,0.012633,0.005106,0.031092,0.020389,0.008602,0.007574
