solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,-0.068672,0.014587,0.169697,0.098886,0.221058,0.090909,0.205258,0.284736,0.289393,0.326019,0.311709,-0.019067,-0.363636,0.125947,-0.017520,0.181034,0.277389,0.285243,0.115087,-0.126950,0.186364,0.074960,0.257053,0.269697,0.257053,-0.363636,-0.363636,-0.363636,-0.363636,-0.054623,0.161612,0.112512,0.188602,0.134784,0.155763,0.263482,0.276466
Qwen3-1.7B-Base,-0.232558,0.015889,0.041649,0.073922,0.069166,-0.053987,0.036673,0.075134,0.059109,0.059109,0.100775,-0.232558,-0.232558,0.091674,-0.051536,-0.071123,-0.029254,0.059109,-0.232558,-0.003259,-0.071268,0.008821,0.067442,0.059109,0.087442,-0.232558,-0.232558,-0.232558,-0.232558,-0.232558,0.034109,-0.066681,-0.001789,-0.020954,0.043304,0.075134,0.100775
Qwen3-4B-Base,-0.168718,0.008669,-0.031309,-0.036744,0.028652,-0.039051,-0.009295,0.043939,0.057362,0.072642,0.088037,0.195487,-0.550000,-0.018711,-0.006982,-0.043294,0.031782,0.042643,0.000000,-0.029012,-0.015017,0.002147,0.026471,0.026471,0.007809,-0.550000,-0.550000,-0.550000,-0.550000,-0.058493,-0.076825,0.042906,0.037571,-0.035898,0.043939,0.046491,0.030460
Qwen3-8B-Base,-0.192584,0.130243,0.008823,0.058797,0.112317,0.042486,0.133462,0.132851,0.117356,0.186011,0.191371,-0.008051,-0.360656,0.102392,0.082400,0.116124,0.146011,0.120662,0.060973,0.027558,0.039344,0.118476,0.083789,0.126844,0.121697,-0.360656,-0.360656,-0.360656,-0.360656,-0.014744,-0.038660,0.087823,0.088781,0.087132,0.101252,0.133320,0.132851
Qwen3-14B-Base,-0.093645,0.070725,-0.003828,0.000511,0.015303,0.000082,0.034401,0.044911,0.048867,0.058655,0.070115,0.031024,-0.596552,-0.041382,-0.044730,-0.018756,0.022125,0.011178,0.024159,-0.087111,0.000156,0.016475,0.015389,0.026583,0.044958,-0.596552,-0.596552,-0.596552,-0.596552,-0.157051,0.001363,-0.021229,0.026583,-0.028459,0.021424,0.028448,0.043496
Qwen3-0.6B,-0.027863,-0.252674,0.091585,-0.027340,-0.003046,0.005894,0.036473,0.063616,0.089625,0.133345,0.156636,0.045274,0.015591,-0.029668,0.027660,0.108285,0.126093,0.073523,-0.011000,0.020226,0.037686,0.043722,0.089577,0.151790,0.143380,-0.583893,-0.583893,-0.583893,-0.583893,0.094029,0.082713,0.062446,0.068617,0.034508,0.070045,0.092022,0.076107
Qwen3-1.7B,-0.133853,-0.255987,0.201342,0.025375,-0.022655,0.007439,0.019979,-0.001798,-0.008216,0.026133,0.013189,-0.082195,-0.798658,-0.142990,-0.015173,0.041295,0.021308,0.020515,-0.250511,0.017915,0.022635,0.018547,0.006898,0.012531,0.013189,-0.798658,-0.798658,-0.798658,-0.798658,0.037016,-0.000408,0.002689,0.013842,-0.022374,0.014088,0.028680,0.012514
Qwen3-4B,0.030655,0.135922,0.081976,0.097612,-0.003712,0.000746,0.017268,0.006431,0.010122,0.014795,0.004343,-0.016614,0.000000,0.021817,0.014350,0.075043,-0.001144,0.002817,-0.080287,0.037829,-0.001813,0.016357,0.005488,0.002143,0.011343,-0.864078,-0.864078,-0.864078,-0.864078,0.028135,0.008951,0.013856,0.001496,-0.023003,0.021078,0.013040,0.007209
Qwen3-8B,-0.059217,-0.120693,0.015766,-0.097378,-0.009675,0.015583,0.007488,0.006661,0.013030,0.008023,0.008269,-0.021336,0.096774,0.007315,-0.008016,0.042760,0.005208,0.007411,0.020105,0.031062,0.002369,0.009666,0.009818,0.004059,0.010395,-0.903226,-0.903226,-0.903226,-0.903226,0.054822,0.005229,0.007078,0.004669,-0.008863,0.002659,0.008639,0.001379
Qwen3-14B,-0.027911,-0.186508,0.101639,-0.001974,-0.003058,-0.005192,0.000250,-0.004941,0.010293,-0.006023,0.002629,-0.151109,-0.082884,-0.034795,-0.013969,-0.020781,-0.003847,0.009419,0.013129,0.002564,0.000920,-0.006375,-0.002738,-0.001351,0.001972,-0.898361,-0.898361,-0.898361,-0.898361,-0.054779,0.005507,0.008709,-0.001010,-0.027477,-0.001076,0.004400,0.001305
