solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.034486,0.252066,0.166042,0.057607,0.110520,-0.057031,0.099553,0.303836,0.336740,0.182734,0.206189,-0.109251,-0.013637,-0.106899,0.027040,-0.051367,-0.117679,-0.049596,-0.068052,-0.074450,0.006175,-0.058655,0.015841,0.003853,0.007708,-0.201504,-0.201504,-0.201504,-0.201504,0.093477,-0.017239,0.048413,0.027590,0.007789,0.059049,0.197039,0.175178
Qwen3-1.7B-Base,0.230090,0.097721,0.052625,0.073327,0.123121,0.152774,0.374907,0.281648,0.351273,0.353776,0.253723,0.016887,-0.071796,0.030969,0.143861,0.251786,0.248176,0.182988,-0.042683,0.072892,0.129066,0.267913,0.303971,0.282466,0.230690,-0.534413,-0.534413,-0.534413,-0.534413,0.015761,0.107277,0.035011,0.355831,-0.534413,0.057326,0.285749,0.286529
Qwen3-4B-Base,-0.225931,0.039541,0.031289,0.095666,0.110965,0.108569,0.189474,0.229352,0.245684,0.249706,0.210820,0.013919,0.087603,0.051427,0.091458,0.137448,0.171059,0.126052,0.009985,0.072504,0.090985,0.168325,0.162852,0.199858,0.144919,-0.733167,-0.733167,-0.733167,-0.733167,0.027053,0.082397,0.071121,0.158310,0.045368,0.027047,0.200076,0.191004
Qwen3-8B-Base,-0.169938,0.032907,0.050229,0.047948,0.062088,0.061688,0.130280,0.148386,0.146702,0.144688,0.143727,0.015140,0.124657,-0.010546,0.057912,0.059139,0.090500,0.069504,0.040436,0.028493,0.045697,0.066306,0.090724,0.100954,0.092810,-0.832564,-0.832564,-0.832564,-0.832564,0.023725,0.061906,0.047504,0.093725,-0.019449,0.068304,0.108632,0.133515
Qwen3-14B-Base,-0.053552,0.024446,0.015105,0.013264,0.037431,0.033136,0.053268,0.070575,0.072824,0.069812,0.069143,-0.002693,-0.083448,-0.029306,0.008136,0.040876,0.055766,0.030385,0.036736,0.017901,0.023460,0.040046,0.045704,0.058555,0.049408,-0.920219,-0.920219,-0.920219,-0.920219,0.013810,0.028680,0.048533,0.054618,0.007562,0.004752,0.043738,0.054318
Qwen3-0.6B,0.033837,0.140985,0.193680,0.086968,0.185104,0.031157,0.073921,0.213860,0.256230,0.207416,0.213506,0.035112,0.008540,0.052577,0.076434,0.226841,0.167416,0.113376,-0.032334,0.042792,0.039751,0.057527,0.128916,0.197971,0.110998,-0.649730,-0.649730,-0.649730,-0.649730,0.003508,0.006869,0.044894,0.141539,0.084313,0.039811,0.128136,0.174370
Qwen3-1.7B,0.023380,0.018148,0.047938,0.022910,0.019257,0.003976,0.008096,0.023200,0.029625,0.023738,0.019045,-0.020772,-0.070438,0.026850,0.014934,0.034658,0.022533,0.021447,-0.059621,0.023347,0.011118,0.012670,0.008479,0.012870,0.008567,-0.952062,-0.952062,-0.952062,-0.952062,-0.000733,0.019145,0.023226,-0.000323,0.004230,0.009236,0.009874,0.015058
Qwen3-4B,-0.004560,0.002558,0.002558,-0.001348,0.002558,-0.000648,-0.000738,-0.000015,-0.000011,0.002558,0.001277,0.002558,0.002558,0.002558,0.002558,0.002558,0.002558,0.002558,0.002558,0.002558,0.001208,0.002558,-0.000003,0.000000,0.000000,-0.997442,-0.997442,-0.997442,-0.997442,0.002558,0.001238,0.002558,-0.000013,-0.001899,0.000948,-0.000034,0.000000
Qwen3-8B,0.022857,0.022857,0.022857,0.022857,-0.005289,-0.004388,0.011540,-0.001820,0.022857,0.022857,0.011296,0.022857,-0.062704,0.022857,0.022857,0.022857,0.022857,0.011091,0.022857,0.007967,0.004339,0.005516,0.005616,0.017043,0.011296,-0.977143,-0.977143,-0.977143,-0.977143,0.006828,-0.000403,0.022857,0.011296,-0.001239,0.010304,0.006332,0.011296
Qwen3-14B,0.016827,0.011089,0.020942,0.020942,0.010661,0.008144,0.009265,0.015545,0.015599,0.010991,0.006864,0.020942,0.000000,0.011485,0.012964,0.017630,0.019282,0.016618,0.009462,0.014669,0.008528,0.016905,0.009053,0.012953,0.002497,-0.979058,-0.979058,-0.979058,-0.979058,0.005634,0.008142,0.010924,0.015573,-0.003534,0.004086,0.011380,0.011659
