solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.028673,0.033118,0.008019,0.047357,0.066959,0.044826,0.100883,0.268170,0.501555,0.452151,0.552053,0.023293,-0.015576,-0.015576,0.030535,0.010747,0.030985,0.023146,-0.005687,0.023043,0.020652,0.030857,0.047208,0.069119,0.046166,-0.015576,-0.015576,-0.015576,-0.015576,0.007495,-0.000498,0.052694,0.030222,0.239593,0.274505,0.330123,0.262009
Qwen3-1.7B-Base,-0.017366,0.087359,0.080217,0.068412,0.087875,0.105011,0.354864,0.593392,0.654707,0.668245,0.666398,0.080060,0.081697,0.090476,0.068348,0.094958,0.105915,0.047029,0.061592,0.040850,0.037507,0.042627,0.099490,0.114861,0.133618,-0.070613,-0.070613,-0.070613,-0.070613,0.044473,0.052906,0.096939,0.102390,0.348746,0.514995,0.463889,0.556258
Qwen3-4B-Base,0.077484,0.173853,0.076589,0.129659,0.115675,0.190308,0.389689,0.568715,0.555848,0.617856,0.545621,0.014613,0.035065,0.150508,0.087419,0.114189,0.128267,0.071617,0.081256,0.114520,0.064481,0.064327,0.109856,0.128157,0.099471,-0.231568,-0.231568,-0.231568,-0.231568,0.133791,0.065142,0.125442,0.128442,0.399432,0.441947,0.486183,0.468937
Qwen3-8B-Base,-0.028482,0.154125,0.169864,0.221125,0.222146,0.197158,0.475846,0.594567,0.620310,0.689462,0.629228,-0.054455,0.169189,0.164943,0.126071,0.251441,0.241026,0.160763,0.023077,0.092430,0.079767,0.144891,0.209974,0.208170,0.201838,-0.222222,-0.222222,-0.222222,-0.222222,0.025891,0.110899,0.170303,0.163219,0.426809,0.527052,0.569750,0.573338
Qwen3-14B-Base,-0.006040,0.178169,0.112594,0.166792,0.181769,0.206759,0.418269,0.546742,0.556904,0.589141,0.569289,-0.103993,-0.051671,0.177602,0.131739,0.221539,0.209280,0.095427,0.107272,0.076244,0.038448,0.077825,0.164908,0.158227,0.156967,-0.321911,-0.321911,-0.321911,-0.321911,-0.053762,0.076173,0.125295,0.136133,0.351901,0.458892,0.477059,0.466668
Qwen3-0.6B,0.485128,0.632303,0.417460,0.486379,0.495219,0.413899,0.445535,0.414955,0.468334,0.450453,0.455935,0.377695,0.541786,0.299992,0.516842,0.667050,0.465080,0.427788,0.573682,0.437122,0.418530,0.418758,0.433089,0.431597,0.433853,-0.166147,-0.166147,-0.166147,-0.166147,0.339668,0.425016,0.444680,0.425456,0.401782,0.414025,0.428040,0.434613
Qwen3-1.7B,0.598445,0.596950,0.653167,0.610274,0.598083,0.584837,0.585582,0.595002,0.602662,0.591020,0.594012,0.564186,0.614170,0.581856,0.585669,0.653167,0.595007,0.589839,0.579953,0.593937,0.589020,0.589949,0.587826,0.593845,0.593508,-0.346833,-0.346833,-0.346833,-0.346833,0.590518,0.590300,0.596616,0.596024,0.585001,0.592377,0.590663,0.593845
Qwen3-4B,0.537804,0.568017,0.568017,0.548751,0.548757,0.545227,0.551733,0.546222,0.551712,0.549059,0.546740,0.568017,0.554346,0.517302,0.546560,0.568017,0.551189,0.546268,0.537801,0.546840,0.555449,0.548924,0.549149,0.546790,0.546790,-0.431983,-0.431983,-0.431983,-0.431983,0.568017,0.546478,0.552926,0.546790,0.551915,0.547660,0.546739,0.546740
Qwen3-8B,0.583216,0.576039,0.615784,0.605885,0.593970,0.593137,0.595206,0.593858,0.594045,0.594620,0.594564,0.590190,0.570840,0.549575,0.602697,0.615784,0.594215,0.594506,0.582999,0.598149,0.593682,0.594564,0.594564,0.594620,0.594620,-0.384216,-0.384216,-0.384216,-0.384216,0.582346,0.597116,0.598930,0.594507,0.590268,0.595829,0.594507,0.594620
Qwen3-14B,0.543074,0.552440,0.428753,0.541986,0.541635,0.532969,0.540069,0.533612,0.542184,0.534175,0.534217,0.527182,0.552440,0.517209,0.542380,0.552440,0.533828,0.534001,0.522461,0.535193,0.533432,0.534049,0.534175,0.534217,0.534217,-0.447560,-0.447560,-0.447560,-0.447560,0.543853,0.534090,0.533005,0.534175,0.526267,0.532976,0.534217,0.534175
