solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.217663,-0.016380,0.983620,0.983620,0.801802,0.483620,0.483620,0.773094,0.667831,0.679272,0.775287,0.476578,-0.016380,0.313569,0.584142,-0.016380,0.859572,0.652128,-0.016380,0.142498,0.583620,0.801802,0.783620,0.650287,0.766229,-0.016380,-0.016380,-0.016380,-0.016380,0.438165,0.450287,0.575018,0.687324,0.473816,0.502139,0.703620,0.638792
Qwen3-1.7B-Base,-0.002457,0.553099,0.214934,0.997543,0.597543,0.426114,0.597543,0.997543,0.997543,0.997543,0.997543,-0.002457,0.330876,0.997543,-0.002457,0.497543,0.597543,0.622543,-0.002457,-0.002457,0.597543,0.497543,0.597543,0.747543,0.747543,-0.002457,-0.002457,-0.002457,-0.002457,-0.002457,0.330876,0.553099,0.747543,0.497543,0.330876,0.597543,0.747543
Qwen3-4B-Base,0.449612,0.401894,0.512503,0.550617,0.580962,0.519957,0.526925,0.582011,0.563575,0.596918,0.605598,0.482498,-0.196560,0.395634,0.557397,0.562503,0.608489,0.619921,0.418626,0.571483,0.547479,0.561804,0.573224,0.556961,0.567380,-0.196560,-0.196560,-0.196560,-0.196560,0.617892,0.579280,0.546055,0.570713,0.545049,0.508703,0.524751,0.541304
Qwen3-8B-Base,0.566346,0.578136,0.600810,0.641026,0.642092,0.594511,0.601947,0.616358,0.599393,0.641223,0.650934,0.631402,0.719816,0.515250,0.618444,0.592723,0.659815,0.681259,0.556775,0.542747,0.609910,0.624196,0.637585,0.651580,0.627001,-0.180999,-0.180999,-0.180999,-0.180999,0.505742,0.602274,0.634878,0.636428,0.594903,0.611158,0.608884,0.627164
Qwen3-14B-Base,0.320280,0.317852,0.359137,0.365298,0.378895,0.351926,0.363809,0.393835,0.377546,0.394668,0.393978,0.359303,-0.478296,0.262162,0.327070,0.406562,0.378061,0.375486,0.308080,0.356765,0.351214,0.378846,0.377294,0.375286,0.371182,-0.478296,-0.478296,-0.478296,-0.478296,0.336220,0.355588,0.376113,0.378350,0.352986,0.350017,0.363185,0.370052
Qwen3-0.6B,-0.011927,0.105999,0.367682,0.045240,0.074760,0.017100,0.029695,0.056469,0.090755,0.123412,0.161743,-0.120865,0.083279,0.017146,0.029835,0.176925,0.217893,0.092005,0.046991,0.068403,0.035224,0.066667,0.137659,0.189557,0.162461,-0.545455,-0.545455,-0.545455,-0.545455,0.055099,0.086302,0.113578,0.083626,0.017223,0.027861,0.071590,0.077922
Qwen3-1.7B,0.043819,-0.237533,0.076868,-0.022718,0.039879,0.025031,0.003109,0.052436,0.041150,0.047951,0.050519,0.020772,-0.018553,0.019068,0.042295,0.036588,0.054541,0.042590,0.039561,0.076330,0.034899,0.038472,0.049147,0.047282,0.065024,-0.726454,-0.726454,-0.726454,-0.726454,-0.003242,0.061846,0.067983,0.033826,0.032198,0.047482,0.038389,0.045460
Qwen3-4B,0.055865,-0.239121,-0.013344,-0.152173,0.008966,0.007300,0.002235,0.043131,0.015729,0.017963,0.010890,-0.133623,-0.799345,-0.006595,0.010329,0.020672,0.013011,0.016209,0.007626,0.048842,0.000249,0.011561,0.011421,0.012945,0.012838,-0.799345,-0.799345,-0.799345,-0.799345,-0.018498,0.039110,0.047946,0.003989,0.011000,0.014057,0.010111,0.009615
Qwen3-8B,-0.062388,-0.210663,-0.004329,0.025313,0.013923,0.014185,0.006517,0.021160,0.010593,-0.000518,0.006153,-0.111591,-0.828010,-0.006135,0.004178,-0.007717,0.007381,0.013597,0.093486,0.051302,0.006785,0.012201,0.005185,0.006990,0.009532,-0.828010,-0.828010,-0.828010,-0.828010,-0.004696,0.028904,0.025362,0.004077,0.027452,0.004521,0.006773,0.007698
Qwen3-14B,-0.023516,-0.247988,-0.019360,-0.005196,0.038344,0.044370,0.029464,0.032813,0.045373,0.040193,0.039963,0.029364,0.033899,0.005653,0.029022,0.053929,0.034390,0.052703,0.062267,0.068948,0.032631,0.044869,0.040013,0.037279,0.043703,-0.810811,-0.810811,-0.810811,-0.810811,0.101244,0.055064,0.057788,0.034809,0.053112,0.061866,0.037269,0.036279
Qwen3-32B,-0.126504,-0.046705,0.081393,0.010525,-0.000035,0.009478,0.006066,0.010769,0.022583,0.011409,0.009525,-0.126119,-0.842752,0.005880,-0.004331,-0.030903,0.014498,0.017561,0.051809,0.038176,0.005609,0.013631,0.012478,0.010927,0.017045,-0.842752,-0.842752,-0.842752,-0.842752,-0.008021,0.024470,0.020441,0.008791,0.019363,0.016915,0.009697,0.009597
Qwen2.5-0.5B-Base,-0.001638,-0.001638,-0.001638,0.998362,0.998362,0.398362,0.998362,0.498362,0.498362,0.998362,0.998362,0.998362,-0.001638,-0.001638,-0.001638,-0.001638,-0.001638,-0.001638,-0.001638,0.629941,-0.001638,0.498362,0.998362,0.998362,0.665029,-0.001638,-0.001638,-0.001638,-0.001638,-0.001638,-0.001638,0.220584,0.998362,0.498362,0.248362,0.665029,0.665029
Qwen2.5-1.5B-Base,-0.003276,-0.003276,0.441168,0.542179,0.996724,0.330057,0.425295,0.596724,0.596724,0.746724,0.746724,0.612109,-0.003276,-0.003276,0.677575,0.996724,0.663391,0.996724,-0.003276,0.282438,0.596724,0.596724,0.596724,0.746724,0.596724,-0.003276,-0.003276,-0.003276,-0.003276,-0.003276,0.496724,0.512853,0.796724,0.282438,0.330057,0.496724,0.663391
Qwen2.5-3B-Base,0.475545,0.723567,0.714518,0.695791,0.721566,0.610387,0.635545,0.743878,0.703572,0.773756,0.746656,0.538166,-0.031122,0.705975,0.690812,0.684593,0.737156,0.801204,0.648798,0.664809,0.668878,0.702211,0.729748,0.718878,0.668878,-0.031122,-0.031122,-0.031122,-0.031122,-0.031122,0.857767,0.736555,0.664530,0.590235,0.598508,0.641955,0.683164
Qwen2.5-7B-Base,0.265783,0.329317,0.325145,0.333187,0.351619,0.303558,0.337501,0.365187,0.363036,0.388790,0.391680,0.234587,0.314819,0.171146,0.268242,0.360314,0.380047,0.338939,0.139015,0.287111,0.295816,0.334029,0.344329,0.357298,0.335039,-0.476658,-0.476658,-0.476658,-0.476658,0.236980,0.333947,0.322650,0.340546,0.307931,0.306265,0.323924,0.336120
Qwen2.5-14B-Base,0.517936,0.587542,0.686542,0.715612,0.726149,0.632713,0.659872,0.694660,0.685229,0.690305,0.684204,0.591666,-0.152334,0.648215,0.646206,0.732257,0.716039,0.788842,0.652924,0.602547,0.671908,0.713588,0.674891,0.701598,0.667110,-0.152334,-0.152334,-0.152334,-0.152334,0.497258,0.663293,0.694484,0.678584,0.645623,0.642937,0.654270,0.682666
Qwen2.5-32B-Base,0.178589,0.334672,0.379534,0.370136,0.419587,0.351052,0.363404,0.375584,0.370588,0.395472,0.384750,0.388734,0.411535,0.373961,0.380277,0.423038,0.411779,0.416757,0.324182,0.364741,0.353042,0.380967,0.371130,0.373643,0.373856,-0.461916,-0.461916,-0.461916,-0.461916,0.236600,0.346386,0.367809,0.385884,0.373129,0.346525,0.361235,0.375255
Qwen2.5-72B-Base,0.409282,0.440152,0.465201,0.461721,0.506071,0.457149,0.464984,0.490217,0.482391,0.485527,0.490821,0.541819,-0.382473,0.353487,0.406645,0.461491,0.481225,0.486328,0.405082,0.458403,0.470405,0.479802,0.482446,0.481527,0.470959,-0.382473,-0.382473,-0.382473,-0.382473,0.275737,0.482234,0.492017,0.482840,0.457544,0.467527,0.467994,0.475764
Qwen2.5-0.5B,-0.052144,0.323454,0.360247,0.439512,0.523264,0.288608,0.445226,0.640643,0.673837,0.713178,0.715777,0.122766,-0.118755,0.164991,0.356764,0.483542,0.586680,0.429546,0.212751,0.298670,0.281245,0.524102,0.598802,0.679410,0.585647,-0.118755,-0.118755,-0.118755,-0.118755,0.123797,0.405302,0.460333,0.615058,0.267300,0.363546,0.560490,0.572520
Qwen2.5-1.5B,0.400764,0.422498,0.454474,0.520160,0.527525,0.431602,0.523503,0.655209,0.636678,0.668126,0.657090,0.542823,-0.154791,0.450323,0.450108,0.651179,0.600413,0.550302,0.346975,0.410206,0.434864,0.547912,0.584935,0.612886,0.612753,-0.154791,-0.154791,-0.154791,-0.154791,0.400003,0.551787,0.512517,0.632338,0.392840,0.468825,0.541209,0.574466
Qwen2.5-3B,0.477080,0.461386,0.467728,0.470332,0.481453,0.448879,0.479730,0.540396,0.528699,0.575211,0.566349,0.422929,-0.270270,0.316527,0.429937,0.519203,0.521200,0.461275,0.374185,0.450829,0.438087,0.489321,0.528657,0.532879,0.528218,-0.270270,-0.270270,-0.270270,-0.270270,0.403824,0.473989,0.509710,0.515070,0.471459,0.446320,0.499901,0.514730
Qwen2.5-7B,0.102623,0.212057,0.181705,0.183670,0.181923,0.181902,0.197799,0.219896,0.206306,0.230626,0.226747,0.143554,-0.640459,0.164821,0.143938,0.209684,0.196856,0.189580,-0.157962,0.158449,0.170796,0.193436,0.203961,0.200170,0.184784,-0.640459,-0.640459,-0.640459,-0.640459,0.160234,0.213150,0.204269,0.212457,0.175223,0.178516,0.192140,0.189938
Qwen2.5-14B,0.106166,0.023161,0.057121,0.069644,0.068058,0.047758,0.057494,0.070489,0.068206,0.081681,0.081117,0.050666,-0.777232,0.015272,0.002521,0.098386,0.069606,0.063011,0.023395,0.052982,0.053087,0.065980,0.052517,0.061478,0.054029,-0.777232,-0.777232,-0.777232,-0.777232,0.043528,0.081224,0.062674,0.056248,0.046634,0.046352,0.049674,0.058952
Qwen2.5-32B,0.416436,0.463876,0.508246,0.519735,0.521990,0.501342,0.508713,0.527328,0.506450,0.534608,0.517164,0.469857,-0.368550,0.532874,0.464309,0.531750,0.509549,0.506639,0.452892,0.495806,0.495186,0.517578,0.516696,0.499819,0.497987,-0.368550,-0.368550,-0.368550,-0.368550,0.433657,0.524301,0.523567,0.510286,0.492073,0.511287,0.499713,0.503193
Qwen2.5-72B,0.359653,0.301891,0.303532,0.313976,0.320356,0.307608,0.313907,0.339063,0.326946,0.336230,0.332062,0.206832,-0.540541,0.317845,0.294666,0.382778,0.317183,0.312523,0.156803,0.302644,0.306268,0.320458,0.326036,0.315842,0.311747,-0.540541,-0.540541,-0.540541,-0.540541,0.311991,0.324107,0.329631,0.324067,0.308352,0.315089,0.318314,0.318314
Llama3-1B-Base,-0.000819,-0.000819,-0.000819,-0.000819,-0.000819,0.249181,-0.000819,-0.000819,0.999181,-0.000819,0.999181,-0.000819,-0.000819,-0.000819,-0.000819,-0.000819,-0.000819,-0.000819,-0.000819,-0.000819,-0.000819,-0.000819,-0.000819,0.999181,0.999181,-0.000819,-0.000819,-0.000819,-0.000819,-0.000819,-0.000819,-0.000819,0.499181,0.221403,-0.000819,0.499181,0.999181
Llama3-3B-Base,-0.001638,-0.001638,-0.001638,-0.001638,-0.001638,0.089271,-0.001638,-0.001638,0.248362,-0.001638,-0.001638,-0.001638,-0.001638,-0.001638,-0.001638,-0.001638,-0.001638,-0.001638,0.159652,-0.001638,-0.001638,0.248362,-0.001638,-0.001638,-0.001638,-0.001638,-0.001638,-0.001638,-0.001638,-0.001638,-0.001638,-0.001638,0.098362,-0.001638,-0.001638,0.123362,-0.001638
Llama3-8B-Base,-0.004914,-0.004914,-0.004914,-0.004914,-0.004914,0.370086,0.495086,-0.004914,0.995086,0.995086,0.661753,0.540541,-0.004914,0.290861,0.995086,-0.004914,-0.004914,-0.004914,0.995086,0.158266,-0.004914,0.995086,0.495086,0.995086,0.195086,-0.004914,-0.004914,-0.004914,-0.004914,-0.004914,0.527796,0.317120,0.495086,0.135135,0.270448,0.495086,0.245086
Llama3-70B-Base,-0.009828,-0.009828,-0.009828,0.530172,0.411225,0.390172,0.290172,0.682480,0.740172,0.740172,0.759403,0.316532,-0.009828,0.546157,0.691471,-0.009828,0.579458,0.535627,-0.009828,0.412283,0.731745,0.656839,0.740172,0.451710,0.561601,-0.009828,-0.009828,-0.009828,-0.009828,0.775219,0.675886,0.396624,0.401937,0.429196,0.460760,0.740172,0.540172
Llama3-1B,0.411169,0.698970,0.489251,0.563272,0.543099,0.364625,0.465029,0.683272,0.706591,0.733515,0.737101,0.188772,-0.091728,0.540032,0.398095,0.818151,0.675643,0.609969,0.499616,0.349807,0.392808,0.497676,0.672500,0.702915,0.672051,-0.091728,-0.091728,-0.091728,-0.091728,0.387809,0.476298,0.472354,0.662370,0.380784,0.377660,0.562118,0.615415
Llama3-3B,0.123018,0.086179,0.127005,0.134931,0.117226,0.082321,0.114251,0.226474,0.205097,0.246716,0.251803,0.063917,-0.600328,-0.035470,0.055098,0.246487,0.212148,0.177755,0.010229,0.021984,0.096931,0.136515,0.204148,0.213232,0.201709,-0.600328,-0.600328,-0.600328,-0.600328,0.140210,0.133384,0.142500,0.181636,0.080305,0.105831,0.158069,0.169838
Llama3-8B,0.265777,0.162693,0.153792,0.174506,0.172597,0.136566,0.151659,0.223153,0.212310,0.242828,0.253639,0.140643,-0.605242,0.037427,0.113725,0.223364,0.215944,0.188899,0.010615,0.109287,0.144380,0.176638,0.202539,0.210579,0.194093,-0.605242,-0.605242,-0.605242,-0.605242,0.120374,0.157904,0.170728,0.192956,0.145422,0.145817,0.173267,0.190314
Llama3-70B,0.021165,-0.016402,0.036700,0.043552,0.028001,0.015442,0.024679,0.045226,0.035686,0.057076,0.036171,-0.021945,-0.812449,-0.037074,-0.056526,0.042582,0.039109,0.023247,-0.099822,-0.027507,0.019053,0.033296,0.031719,0.030307,0.020030,-0.812449,-0.812449,-0.812449,-0.812449,-0.042860,0.041229,0.036437,0.015582,0.012467,0.018992,0.022896,0.021030
DeepSeek-1.5B,-0.008190,0.468000,0.521222,0.580595,0.791810,0.441810,0.616810,0.741810,0.795381,0.769588,0.741810,0.369168,-0.008190,0.991810,0.523725,0.699775,0.825143,0.607195,0.438737,0.513549,0.491810,0.809992,0.658477,0.880699,0.991810,-0.008190,-0.008190,-0.008190,-0.008190,-0.008190,0.706096,0.699775,0.791810,0.322389,0.491810,0.634667,0.658477
DeepSeek-7B,-0.009828,0.580336,0.610862,0.511911,0.578407,0.543245,0.545728,0.637231,0.677672,0.677672,0.601283,0.551575,-0.009828,0.490172,0.571512,0.365172,0.682480,0.677672,0.647706,0.633029,0.513982,0.601283,0.677672,0.696054,0.677672,-0.009828,-0.009828,-0.009828,-0.009828,-0.009828,0.552672,0.585760,0.601283,0.523505,0.540172,0.590172,0.540172
DeepSeek-14B,0.682423,0.577274,0.616845,0.599013,0.594193,0.581701,0.591336,0.589391,0.585571,0.607209,0.591049,0.596471,0.527020,0.561031,0.585467,0.656183,0.617918,0.598124,0.578885,0.607753,0.582521,0.592507,0.593856,0.601510,0.590500,-0.227682,-0.227682,-0.227682,-0.227682,0.579201,0.590851,0.620438,0.584818,0.606652,0.590296,0.578288,0.579439
