solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.465488,-0.025253,-0.025253,0.274111,0.141414,0.117605,0.162939,0.245305,0.135053,0.321097,0.314747,0.064403,-0.025253,-0.025253,-0.025253,-0.025253,-0.025253,0.140511,-0.025253,0.097754,0.033571,0.108081,0.092395,0.260462,0.209530,-0.025253,-0.025253,-0.025253,-0.025253,-0.025253,-0.025253,0.087139,0.117605,0.106653,0.227175,0.278545,0.150959
Qwen3-1.7B-Base,0.150794,0.230244,-0.005051,-0.005051,0.328283,0.078283,-0.005051,-0.005051,0.137807,-0.005051,-0.005051,-0.005051,-0.005051,-0.005051,0.133071,-0.005051,-0.005051,-0.005051,-0.005051,0.116571,0.078283,0.071873,-0.005051,0.161616,-0.005051,-0.005051,-0.005051,-0.005051,-0.005051,0.082669,0.464337,-0.005051,-0.005051,-0.005051,-0.005051,-0.005051,-0.005051
Qwen3-4B-Base,0.000995,0.140501,0.033323,0.020147,0.096970,0.102767,0.090303,0.098703,0.112030,0.196970,0.172444,0.175077,0.024927,-0.043499,0.109760,0.074603,0.104001,0.094406,0.425434,0.068104,0.035065,0.067718,0.070533,0.110827,0.083636,-0.136364,-0.136364,-0.136364,-0.136364,0.248771,0.086029,0.106772,0.075533,0.074900,0.080209,0.180303,0.165078
Qwen3-8B-Base,-0.055556,0.291700,0.170841,0.218033,0.277778,0.148990,0.158004,0.207475,0.210820,0.191503,0.194444,0.045047,0.121293,0.268841,0.158480,0.136873,0.193424,0.200691,0.211969,0.117998,0.178487,0.219444,0.128655,0.194444,0.171717,-0.055556,-0.055556,-0.055556,-0.055556,-0.055556,0.210920,0.267244,0.183575,0.184738,0.152636,0.166667,0.175214
Qwen3-14B-Base,0.333333,0.078182,0.018718,0.049871,0.041754,0.045798,0.041490,0.108208,0.153556,0.134703,0.148402,0.106129,-0.166667,0.025988,0.036486,0.037025,0.045715,0.048377,0.090514,-0.042202,0.027689,0.039945,0.048851,0.071865,0.058960,-0.166667,-0.166667,-0.166667,-0.166667,0.226876,0.022838,0.132079,0.064371,-0.000757,0.054386,0.100211,0.070660
Qwen3-0.6B,0.149878,0.808081,0.808081,0.130714,0.132756,0.079925,0.059443,0.092573,0.145527,0.113963,0.061093,-0.008344,-0.191919,0.136476,0.164829,0.397348,0.130556,0.099910,0.115027,0.084467,0.077204,0.148990,0.141414,0.114747,0.131265,-0.191919,-0.191919,-0.191919,-0.191919,-0.191919,0.060875,0.056274,0.131313,0.124355,0.097567,0.106972,0.163636
Qwen3-1.7B,0.289049,0.787879,0.787879,0.104901,0.121212,0.308442,0.277675,0.334243,0.297313,0.328419,0.307879,0.337329,-0.212121,0.280743,0.220012,0.428064,0.345132,0.321777,0.383858,0.347732,0.340118,0.321212,0.341933,0.334545,0.320346,-0.212121,-0.212121,-0.212121,-0.212121,0.042424,0.336710,0.344853,0.287879,0.287186,0.313985,0.321212,0.337175
Qwen3-4B,0.277002,0.676768,0.158916,0.245320,0.358798,0.375797,0.332505,0.373177,0.318079,0.366423,0.362161,0.297904,0.676768,0.258978,0.345492,0.346549,0.357180,0.399659,0.324050,0.487759,0.364268,0.376768,0.392677,0.377917,0.358086,-0.323232,-0.323232,-0.323232,-0.323232,0.676768,0.380776,0.422192,0.373397,0.346808,0.387563,0.362814,0.354545
Qwen3-8B,0.331490,0.313836,0.616162,0.400475,0.407828,0.420631,0.375421,0.426588,0.373322,0.407370,0.414034,0.443229,0.616162,0.385392,0.430768,0.366162,0.417832,0.432113,0.276712,0.484016,0.425443,0.445430,0.409640,0.420509,0.409640,-0.383838,-0.383838,-0.383838,-0.383838,0.616162,0.441516,0.439525,0.422613,0.390689,0.447980,0.429348,0.411861
Qwen3-14B,0.135080,0.422816,0.125376,0.390975,0.360071,0.314614,0.349342,0.327637,0.349291,0.371874,0.339909,0.398887,0.218615,0.202397,0.346215,0.259479,0.374319,0.349997,0.575758,0.366455,0.318332,0.348953,0.342748,0.337225,0.328051,-0.424242,-0.424242,-0.424242,-0.424242,0.575758,0.340263,0.338249,0.358776,0.284462,0.341184,0.357806,0.330303
Qwen3-32B,0.366470,0.373956,-0.474747,0.421028,0.362779,0.325810,0.348782,0.333417,0.305740,0.323498,0.328671,0.291037,0.525253,0.338785,0.315888,0.322198,0.334707,0.332592,0.214091,0.379022,0.341579,0.311660,0.327054,0.325253,0.330562,-0.474747,-0.474747,-0.474747,-0.474747,0.392611,0.328384,0.348405,0.330562,0.305611,0.327545,0.327054,0.333948
Qwen2.5-0.5B-Base,0.979798,0.417298,0.313131,0.313131,0.479798,0.979798,0.979798,0.979798,0.979798,0.979798,0.979798,0.979798,-0.020202,-0.020202,0.250068,-0.020202,-0.020202,0.979798,-0.020202,0.313131,0.579798,0.313131,-0.020202,0.979798,0.479798,-0.020202,-0.020202,-0.020202,-0.020202,-0.020202,0.529798,0.294084,0.646465,0.535354,0.979798,0.979798,0.646465
Qwen2.5-1.5B-Base,-0.010101,-0.010101,0.989899,-0.010101,0.323232,0.156566,0.489899,0.656566,0.989899,0.656566,0.989899,0.511638,-0.010101,-0.010101,-0.010101,0.378788,0.989899,0.989899,-0.010101,0.189899,0.466089,-0.010101,0.323232,0.489899,0.989899,-0.010101,-0.010101,-0.010101,-0.010101,0.222457,0.989899,0.222457,0.323232,0.439899,0.989899,0.489899,0.989899
Qwen2.5-3B-Base,-0.065657,0.121202,0.023232,0.036490,0.079657,0.027367,0.057822,0.134343,0.198284,0.318959,0.184343,-0.065657,-0.065657,0.043956,0.133231,0.152507,0.184343,0.084069,0.071448,0.045125,0.065491,0.096506,0.031118,0.134343,0.167677,-0.065657,-0.065657,-0.065657,-0.065657,-0.065657,0.086378,0.106052,0.162915,0.064014,0.025253,0.323232,0.075497
Qwen2.5-7B-Base,-0.030303,0.170975,0.064720,0.015498,0.073145,0.008159,0.073145,0.238703,0.230489,0.183153,0.232432,0.127000,-0.030303,-0.030303,0.132068,0.122239,0.105144,0.092504,-0.030303,-0.030303,0.136364,0.066471,0.038662,0.060606,0.117845,-0.030303,-0.030303,-0.030303,-0.030303,-0.030303,0.251306,0.052266,0.060606,0.083957,0.146168,0.069697,0.143251
Qwen2.5-14B-Base,0.328283,0.115993,0.112972,0.115399,0.150904,0.109031,0.091129,0.269175,0.233254,0.230880,0.244284,-0.036785,0.873737,-0.041029,0.052104,0.147440,0.211040,0.124506,0.066252,0.043921,0.042569,0.088023,0.123737,0.117640,0.173737,-0.126263,-0.126263,-0.126263,-0.126263,0.102724,-0.028710,0.038847,0.077819,0.090954,0.155580,0.158828,0.222283
Qwen2.5-32B-Base,0.033431,0.028177,0.032798,0.019564,0.045488,0.084567,0.040107,0.079727,0.059507,0.167984,0.086445,0.034522,-0.136364,-0.070758,0.082183,-0.078465,0.063608,0.029463,-0.002479,0.007936,0.071557,0.066535,0.077922,0.036970,0.093366,-0.136364,-0.136364,-0.136364,-0.136364,0.253483,0.033387,0.028261,0.044445,0.101223,0.093048,0.176801,0.077729
