solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.463004,0.503613,0.538436,0.633671,0.699190,0.603897,0.724886,0.780119,0.793548,0.804085,0.812849,0.361101,0.267816,0.607539,0.539492,0.603243,0.704129,0.677725,0.471574,0.430864,0.550421,0.646988,0.695352,0.714751,0.744623,-0.150114,-0.150114,-0.150114,-0.150114,0.570834,0.611904,0.696601,0.738549,0.602401,0.713696,0.769594,0.758204
Qwen3-1.7B-Base,0.455154,0.500902,0.467352,0.487143,0.531037,0.497134,0.532542,0.590823,0.597134,0.604988,0.605110,0.341072,0.389542,0.494375,0.466675,0.517482,0.536008,0.509596,0.486350,0.459339,0.461844,0.481092,0.540062,0.542848,0.557633,-0.382866,-0.382866,-0.382866,-0.382866,0.395163,0.461079,0.541513,0.569890,0.539444,0.566061,0.577996,0.579807
Qwen3-4B-Base,0.135455,0.172614,0.148969,0.168835,0.189821,0.163475,0.173309,0.202247,0.199326,0.205959,0.206081,0.074735,0.108045,0.168519,0.145745,0.182238,0.193217,0.169242,0.161561,0.161836,0.154732,0.153813,0.165939,0.178533,0.186172,-0.762699,-0.762699,-0.762699,-0.762699,0.152845,0.173874,0.171794,0.197427,0.173858,0.182651,0.184870,0.189500
Qwen3-8B-Base,0.206731,0.219163,0.206149,0.219033,0.230945,0.216238,0.233378,0.247137,0.245537,0.250517,0.251607,0.189015,0.209851,0.235687,0.235512,0.224776,0.240623,0.225491,0.221753,0.199332,0.209306,0.219709,0.229052,0.224158,0.238081,-0.706596,-0.706596,-0.706596,-0.706596,0.197880,0.222266,0.233429,0.230813,0.230311,0.231228,0.234822,0.241964
Qwen3-14B-Base,0.051220,0.078891,0.064615,0.067225,0.075770,0.068982,0.072443,0.087495,0.080210,0.089190,0.086819,0.085283,0.038752,0.080577,0.082960,0.074402,0.083153,0.071253,0.070263,0.066315,0.061478,0.065728,0.068835,0.069923,0.079265,-0.879454,-0.879454,-0.879454,-0.879454,0.071894,0.077499,0.072591,0.077248,0.067673,0.075933,0.080412,0.079610
Qwen3-0.6B,0.046897,0.051062,0.049014,0.116417,0.138886,0.031913,0.043025,0.049778,0.074085,0.067203,0.072848,-0.006777,0.087617,0.153722,0.054533,0.117413,0.051199,0.033228,0.103198,0.039279,0.043265,0.041174,0.043104,0.050354,0.078489,-0.783927,0.018868,-0.783927,-0.783927,0.077960,0.044349,0.052608,0.053530,0.066082,0.082586,0.079051,0.078752
Qwen3-1.7B,0.031364,0.030374,0.043830,0.063456,0.036937,0.019028,0.018832,0.005715,0.019572,0.022287,0.020851,-0.037137,0.030986,0.063450,0.014802,0.064611,0.018859,0.013181,0.065684,0.027307,0.017160,0.015686,0.014486,0.015316,0.019568,-0.909780,-0.909780,-0.909780,-0.909780,0.048083,0.021142,0.028448,0.017352,0.027629,0.019104,0.020983,0.023137
Qwen3-4B,0.016815,0.025310,-0.054372,0.034244,0.040429,0.013963,0.015247,0.004134,0.013510,0.011125,0.010785,0.004665,0.032521,0.028358,0.011163,0.036077,0.011553,0.008335,0.048777,0.013067,0.009598,0.009949,0.009350,0.010050,0.008618,-0.946171,-0.946171,-0.946171,-0.946171,0.022832,0.013683,0.017582,0.008618,0.014173,0.011483,0.009779,0.010050
Qwen3-8B,0.008507,0.014495,-0.079932,0.037781,0.031458,0.016871,0.013457,0.012882,0.018754,0.015666,0.015399,0.017747,0.015171,0.033185,0.018236,0.038885,0.018237,0.012957,0.034266,0.017709,0.014800,0.016661,0.014475,0.013759,0.015302,-0.949204,-0.949204,-0.949204,-0.949204,0.038547,0.012733,0.021109,0.013075,0.012744,0.019847,0.014249,0.014503
Qwen3-14B,0.031363,0.006687,0.040182,0.027837,0.023922,0.008927,0.008882,0.008658,0.006758,0.007775,0.006491,-0.000081,-0.003336,0.020125,0.006962,0.020827,0.007822,0.006305,0.037117,0.008262,0.009258,0.006465,0.006440,0.005805,0.006440,-0.959818,-0.959818,-0.959818,-0.959818,0.012526,0.010031,0.008697,0.005831,0.012100,0.010074,0.007003,0.005778
