solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen3-1.7B-Base,-0.004363,0.018078,0.025193,0.137056,0.019150,0.000678,0.019412,0.037709,0.207391,0.228095,0.022755,-0.010000,0.001308,-0.010000,-0.001837,-0.010000,0.051348,0.002007,-0.010000,0.004792,0.009584,0.010419,0.011135,0.128889,0.023080,-0.010000,-0.010000,-0.010000,-0.010000,0.000343,-0.002286,0.000899,0.013067,0.003862,0.021591,0.144796,0.045090
Qwen3-4B-Base,0.341390,0.435308,0.425588,0.419504,0.422677,0.452000,0.476122,0.488795,0.511737,0.507736,0.545218,0.393199,-0.383000,0.319313,0.376232,0.386127,0.414419,0.429726,0.183314,0.403940,0.433765,0.456367,0.441561,0.446646,0.455926,-0.383000,-0.383000,-0.383000,-0.383000,0.416770,0.402238,0.442137,0.484735,0.476839,0.474471,0.460049,0.465416
Qwen3-8B-Base,-0.076786,-0.072145,-0.195229,-0.176740,-0.200120,0.178176,0.156048,0.304857,0.166310,0.287000,-0.008918,-0.034836,-0.028269,-0.095490,-0.193900,-0.185845,-0.196026,-0.188000,-0.175651,-0.161844,0.132679,-0.127286,-0.135330,-0.148135,-0.133455,-0.213000,-0.213000,-0.213000,-0.213000,0.041833,-0.009625,-0.145603,-0.132286,0.242074,0.203000,0.193250,0.298628
Qwen3-14B-Base,0.074130,0.013254,0.016992,0.016763,0.036859,0.032238,0.033257,0.050517,0.044402,0.040945,0.060983,-0.007771,-0.665000,0.023445,-0.047729,-0.103354,0.017803,0.008137,-0.601518,0.085452,0.016965,0.018128,0.019156,0.019156,0.024834,-0.665000,-0.665000,-0.665000,-0.665000,-0.036376,0.010074,0.057249,0.026350,0.036663,0.026501,0.029154,0.034684
Qwen3-0.6B,-0.004000,-0.004000,-0.004000,0.001308,0.002346,0.000573,0.000517,0.002154,0.001024,0.000691,0.004015,-0.002356,-0.004000,0.001498,0.002491,-0.002460,0.000601,0.000467,-0.004000,0.000536,0.000134,0.000641,0.000470,0.000430,0.000739,-0.004000,-0.004000,-0.004000,-0.004000,0.001705,-0.000415,0.000221,0.000505,0.004948,0.000350,0.001160,0.000773
Qwen3-1.7B,-0.002180,0.018569,0.150028,-0.017556,0.011193,0.003934,0.009439,0.012682,0.007960,0.008212,0.020322,-0.016205,-0.016654,-0.031182,0.046047,0.008252,0.004425,0.004426,-0.262166,-0.000343,0.008379,0.005450,0.003033,0.002032,0.006839,-0.334000,-0.334000,-0.334000,-0.334000,0.033595,-0.007688,-0.000838,0.004759,0.030309,0.011163,0.002382,0.003386
Qwen3-4B,-0.001379,0.060742,0.071000,0.008344,0.000671,-0.000793,0.005713,0.000349,-0.000359,0.003238,0.001862,-0.010823,-0.006774,-0.012728,0.016066,-0.008343,-0.000072,-0.000072,0.013011,-0.001115,-0.002158,0.000789,0.000000,0.000000,0.000000,-0.929000,-0.929000,-0.929000,-0.929000,0.006894,-0.001418,-0.000125,-0.000142,0.004246,-0.000284,-0.000214,0.000000
Qwen3-8B,-0.014200,0.084306,-0.624000,0.034730,-0.000905,-0.001973,0.007772,0.012794,0.019786,0.011979,-0.000376,0.002278,-0.060533,0.023461,0.035558,-0.014655,0.000000,0.000000,-0.035313,-0.004049,-0.013812,-0.000754,0.000000,0.000000,-0.000376,-0.624000,-0.624000,-0.624000,-0.624000,-0.008079,-0.003467,-0.001531,-0.000376,0.003299,-0.003395,0.000000,0.000000
Qwen3-14B,0.001012,-0.012338,-0.153830,-0.001463,0.001581,-0.000255,-0.004691,0.000642,0.000242,0.003166,0.001958,-0.006632,0.009627,0.002995,0.001690,0.003007,0.000000,-0.000186,0.009365,-0.000073,0.002278,-0.000046,0.000000,0.000000,0.000956,-0.977000,-0.977000,-0.977000,-0.977000,-0.006897,-0.001110,-0.000586,-0.000023,0.000951,0.000248,-0.000023,0.000000
