solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,-0.155844,0.164156,0.532412,0.758779,0.681994,0.415584,0.561547,0.710823,0.693212,0.726509,0.781656,0.302354,-0.155844,0.505718,0.295988,0.689173,0.662661,0.680469,0.260823,0.138779,0.558442,0.534382,0.640074,0.688600,0.680519,-0.155844,-0.155844,-0.155844,-0.155844,0.307314,0.350752,0.563696,0.674345,0.405395,0.469156,0.644156,0.644156
Qwen3-1.7B-Base,0.230519,0.227578,0.397186,0.392284,0.480519,0.313853,0.525974,0.694805,0.480519,0.813853,0.605519,-0.019481,-0.019481,-0.019481,0.480519,0.340519,0.739556,0.605519,0.672827,0.447186,0.435065,0.480519,0.605519,0.605519,0.647186,-0.019481,-0.019481,-0.019481,-0.019481,-0.019481,-0.019481,0.376746,0.647186,0.442058,0.344156,0.605519,0.551948
Qwen3-4B-Base,0.305208,0.307901,0.284590,0.384343,0.347511,0.300500,0.316739,0.387645,0.381066,0.413961,0.416380,0.265473,0.282417,0.464920,0.326082,0.403731,0.376098,0.373665,0.287986,0.274584,0.300023,0.334814,0.365884,0.354751,0.374675,-0.461039,-0.461039,-0.461039,-0.461039,0.538961,0.360361,0.302357,0.368321,0.295508,0.336429,0.350282,0.345211
Qwen3-8B-Base,0.425142,0.515701,0.480332,0.477301,0.511429,0.435440,0.481276,0.481276,0.508403,0.547619,0.559647,0.483042,-0.285714,0.432904,0.480482,0.534374,0.541451,0.526786,0.466152,0.520743,0.478992,0.492063,0.510402,0.556391,0.514286,-0.285714,-0.285714,-0.285714,-0.285714,0.334004,0.411150,0.537440,0.539028,0.417324,0.497305,0.514286,0.516266
Qwen3-14B-Base,0.104670,0.143606,0.126944,0.123368,0.132357,0.117164,0.122542,0.142950,0.146024,0.169044,0.174653,0.137980,-0.730519,0.115243,0.132107,0.157071,0.145502,0.136453,0.107296,0.131979,0.134698,0.144481,0.151113,0.130038,0.131685,-0.730519,-0.730519,-0.730519,-0.730519,0.013841,0.114323,0.143536,0.122070,0.116226,0.133117,0.141381,0.141909
Qwen3-0.6B,-0.017693,0.457792,0.056504,0.230448,0.106731,0.029463,0.017057,0.052612,0.111053,0.165713,0.156732,-0.089142,0.156537,0.020348,0.072806,0.197628,0.196951,0.107820,-0.008352,0.052707,0.052361,0.094960,0.120130,0.175496,0.182911,-0.542208,-0.542208,-0.542208,-0.542208,-0.030879,0.076604,0.079881,0.121585,0.009751,0.067517,0.085997,0.124459
Qwen3-1.7B,-0.055265,0.230519,0.083651,0.230519,0.066605,0.000593,0.008767,0.006930,0.020411,0.044782,0.014025,-0.000734,-0.769481,0.015217,0.054688,0.103537,0.043576,0.017523,0.043039,0.062902,0.020989,0.038212,0.016726,0.043240,0.036075,-0.769481,-0.769481,-0.769481,-0.769481,0.033132,0.025678,0.021998,0.022186,-0.002973,0.027858,0.026140,0.033336
Qwen3-4B,-0.019747,0.149351,0.149351,0.149351,0.053010,0.004988,0.061745,0.014506,0.009329,0.020011,0.020537,-0.036131,-0.850649,-0.009927,0.038204,0.091730,0.040579,0.024500,0.060565,0.066429,0.022485,0.026607,0.018038,0.023927,0.028661,-0.850649,-0.850649,-0.850649,-0.850649,0.030097,0.049654,0.042951,0.021405,0.001506,0.036926,0.036675,0.017594
Qwen3-8B,-0.023863,0.110390,0.048768,-0.002603,0.034587,0.020221,0.004904,-0.015214,0.034093,0.015466,0.013723,0.110390,-0.889610,0.029062,0.014462,0.046608,0.018497,0.031768,-0.039663,0.036835,0.018139,0.023117,0.024773,0.019786,0.019173,-0.889610,-0.889610,-0.889610,-0.889610,0.110390,0.024500,0.021573,0.013723,0.040535,0.016189,0.021349,0.013400
Qwen3-14B,0.057829,-0.125795,0.047287,0.110390,0.028555,0.039291,0.057566,0.022112,0.012268,0.036422,0.022848,-0.056221,-0.889610,0.033908,0.006477,0.084029,0.019821,0.031215,0.085462,0.031264,0.034020,0.032870,0.016744,0.020089,0.029034,-0.889610,-0.889610,-0.889610,-0.889610,0.054547,0.033143,0.027313,0.019786,0.045772,0.035069,0.023282,0.022254
Qwen3-32B,-0.035229,0.120130,-0.098890,0.120130,0.034969,0.014535,0.022668,0.015674,0.015652,0.030137,0.008288,-0.033841,-0.879870,-0.003762,-0.013119,0.042903,0.012378,0.021410,0.052988,0.036690,0.011827,0.009810,0.010858,0.010858,0.007919,-0.879870,-0.879870,-0.879870,-0.879870,0.120130,0.041218,0.008821,0.005376,0.033740,0.023143,0.011633,0.007547
Qwen2.5-0.5B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen2.5-1.5B-Base,0.980519,0.980519,0.980519,0.808106,0.980519,0.780519,0.647186,0.780519,0.813853,0.813853,0.813853,-0.019481,-0.019481,0.980519,0.980519,0.980519,0.980519,0.980519,0.980519,0.780519,0.694805,0.813853,0.980519,0.980519,0.813853,-0.019481,-0.019481,-0.019481,-0.019481,-0.019481,0.525974,0.647186,0.980519,0.694805,0.730519,0.813853,0.980519
Qwen2.5-3B-Base,0.909091,0.528809,0.549159,0.539757,0.517787,0.486869,0.520202,0.651026,0.730519,0.709091,0.723906,0.510118,-0.090909,0.690321,0.461376,-0.090909,0.609091,0.630345,0.463546,0.351369,0.432900,0.534091,0.614973,0.618768,0.715543,-0.090909,-0.090909,-0.090909,-0.090909,0.560254,0.488038,0.533046,0.566234,0.457528,0.528139,0.614973,0.736677
