solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.143065,0.226325,0.381435,0.310624,0.432796,0.302647,0.416996,0.496473,0.501130,0.537756,0.523447,0.192671,-0.151899,0.337685,0.194217,0.392771,0.489127,0.496981,0.326825,0.084788,0.398101,0.286698,0.468791,0.481435,0.468791,-0.151899,-0.151899,-0.151899,-0.151899,0.157114,0.373350,0.324250,0.400340,0.346522,0.367501,0.475220,0.488204
Qwen3-1.7B-Base,-0.031646,0.216802,0.242562,0.274834,0.270079,0.146926,0.237585,0.276047,0.260021,0.260021,0.301688,-0.031646,-0.031646,0.292587,0.149376,0.129789,0.171658,0.260021,-0.031646,0.197654,0.129645,0.209734,0.268354,0.260021,0.288354,-0.031646,-0.031646,-0.031646,-0.031646,-0.031646,0.235021,0.134231,0.199124,0.179959,0.244216,0.276047,0.301688
Qwen3-4B-Base,0.033181,0.210568,0.170590,0.165154,0.230550,0.162848,0.192603,0.245838,0.259261,0.274540,0.289936,0.397386,-0.348101,0.183188,0.194917,0.158604,0.233681,0.244541,0.201899,0.172886,0.186882,0.204046,0.228369,0.228369,0.209708,-0.348101,-0.348101,-0.348101,-0.348101,0.143405,0.125074,0.244805,0.239469,0.166000,0.245838,0.248390,0.232359
Qwen3-8B-Base,0.028832,0.351658,0.230239,0.280212,0.333732,0.263901,0.354877,0.354266,0.338771,0.407426,0.412787,0.213364,-0.139241,0.323807,0.303816,0.337540,0.367426,0.342077,0.282389,0.248973,0.260759,0.339891,0.305204,0.348259,0.343112,-0.139241,-0.139241,-0.139241,-0.139241,0.206671,0.182755,0.309238,0.310196,0.308547,0.322667,0.354735,0.354266
Qwen3-14B-Base,-0.044561,0.119808,0.045255,0.049594,0.064386,0.049166,0.083484,0.093994,0.097950,0.107738,0.119198,0.080107,-0.547468,0.007701,0.004353,0.030327,0.071209,0.060262,0.073242,-0.038028,0.049239,0.065558,0.064472,0.075666,0.094041,-0.547468,-0.547468,-0.547468,-0.547468,-0.107968,0.050447,0.027855,0.075666,0.020624,0.070507,0.077532,0.092580
Qwen3-0.6B,0.005397,-0.219415,0.124845,0.005920,0.030214,0.039154,0.069733,0.096876,0.122885,0.166605,0.189896,0.078534,0.048850,0.003591,0.060920,0.141545,0.159353,0.106783,0.022260,0.053486,0.070946,0.076982,0.122836,0.185050,0.176640,-0.550633,-0.550633,-0.550633,-0.550633,0.127289,0.115972,0.095706,0.101877,0.067768,0.103305,0.125282,0.109367
Qwen3-1.7B,-0.088360,-0.210494,0.246835,0.070868,0.022838,0.052932,0.065472,0.043695,0.037277,0.071626,0.058682,-0.036702,-0.753165,-0.097497,0.030320,0.086788,0.066802,0.066008,-0.205018,0.063408,0.068128,0.064040,0.052391,0.058024,0.058682,-0.753165,-0.753165,-0.753165,-0.753165,0.082510,0.045085,0.048182,0.059335,0.023119,0.059581,0.074174,0.058008
Qwen3-4B,0.049796,0.155063,0.101117,0.116753,0.015428,0.019887,0.036409,0.025571,0.029263,0.033936,0.023484,0.002527,0.019141,0.040958,0.033491,0.094184,0.017997,0.021957,-0.061146,0.056970,0.017328,0.035498,0.024629,0.021284,0.030484,-0.844937,-0.844937,-0.844937,-0.844937,0.047276,0.028092,0.032997,0.020637,-0.003862,0.040219,0.032181,0.026350
Qwen3-8B,-0.042067,-0.103543,0.032916,-0.080229,0.007475,0.032733,0.024638,0.023811,0.030180,0.025173,0.025418,-0.004186,0.113924,0.024465,0.009134,0.059909,0.022358,0.024560,0.037255,0.048212,0.019518,0.026816,0.026968,0.021209,0.027545,-0.886076,-0.886076,-0.886076,-0.886076,0.071972,0.022379,0.024228,0.021819,0.008287,0.019809,0.025788,0.018529
Qwen3-14B,0.003361,-0.155236,0.132911,0.029298,0.028214,0.026080,0.031522,0.026331,0.041565,0.025249,0.033901,-0.119837,-0.051612,-0.003523,0.017303,0.010491,0.027426,0.040691,0.044401,0.033836,0.032192,0.024897,0.028534,0.029921,0.033244,-0.867089,-0.867089,-0.867089,-0.867089,-0.023507,0.036779,0.039981,0.030262,0.003795,0.030196,0.035672,0.032577
