solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.101990,0.319570,0.233546,0.125111,0.178024,0.010473,0.167056,0.371339,0.404244,0.250237,0.273692,-0.041747,0.053866,-0.039395,0.094543,0.016137,-0.050175,0.017908,-0.000548,-0.006947,0.073679,0.008848,0.083345,0.071357,0.075212,-0.134000,-0.134000,-0.134000,-0.134000,0.160981,0.050265,0.115917,0.095094,0.075293,0.126552,0.264543,0.242682
Qwen3-1.7B-Base,0.632503,0.500134,0.455038,0.475740,0.525534,0.555187,0.777320,0.684061,0.753686,0.756189,0.656136,0.419300,0.330617,0.433382,0.546274,0.654199,0.650589,0.585401,0.359730,0.475305,0.531479,0.670326,0.706384,0.684879,0.633103,-0.132000,-0.132000,-0.132000,-0.132000,0.418174,0.509690,0.437424,0.758244,-0.132000,0.459739,0.688162,0.688942
Qwen3-4B-Base,-0.080764,0.184708,0.176456,0.240833,0.256132,0.253736,0.334641,0.374519,0.390851,0.394873,0.355987,0.159086,0.232771,0.196594,0.236625,0.282615,0.316227,0.271220,0.155152,0.217671,0.236152,0.313493,0.308019,0.345025,0.290086,-0.588000,-0.588000,-0.588000,-0.588000,0.172220,0.227564,0.216288,0.303477,0.190535,0.172214,0.345243,0.336171
Qwen3-8B-Base,-0.058374,0.144470,0.161793,0.159511,0.173652,0.173251,0.241843,0.259950,0.258265,0.256252,0.255290,0.126703,0.236221,0.101017,0.169475,0.170702,0.202063,0.181067,0.152000,0.140056,0.157260,0.177869,0.202288,0.212518,0.204373,-0.721000,-0.721000,-0.721000,-0.721000,0.135289,0.173470,0.159067,0.205289,0.092114,0.179868,0.220195,0.245079
Qwen3-14B-Base,0.024667,0.102664,0.093323,0.091483,0.115649,0.111355,0.131486,0.148794,0.151043,0.148030,0.147362,0.075526,-0.005230,0.048913,0.086355,0.119095,0.133985,0.108604,0.114954,0.096119,0.101679,0.118265,0.123922,0.136774,0.127626,-0.842000,-0.842000,-0.842000,-0.842000,0.092028,0.106898,0.126751,0.132836,0.085781,0.082971,0.121957,0.132537
Qwen3-0.6B,0.082566,0.189715,0.242410,0.135698,0.233834,0.079887,0.122651,0.262590,0.304960,0.256146,0.262235,0.083842,0.057269,0.101307,0.125164,0.275571,0.216146,0.162105,0.016396,0.091521,0.088480,0.106257,0.177646,0.246701,0.159728,-0.601000,-0.601000,-0.601000,-0.601000,0.052238,0.055599,0.093624,0.190269,0.133043,0.088541,0.176866,0.223100
Qwen3-1.7B,0.121443,0.116210,0.146000,0.120972,0.117319,0.102039,0.106158,0.121262,0.127687,0.121801,0.117107,0.077290,0.027624,0.124913,0.112997,0.132720,0.120596,0.119510,0.038441,0.121410,0.109181,0.110733,0.106541,0.110932,0.106630,-0.854000,-0.854000,-0.854000,-0.854000,0.097329,0.117207,0.121288,0.097740,0.102293,0.107298,0.107936,0.113120
Qwen3-4B,0.212883,0.220000,0.220000,0.216095,0.220000,0.216795,0.216704,0.217428,0.217431,0.220000,0.218720,0.220000,0.220000,0.220000,0.220000,0.220000,0.220000,0.220000,0.220000,0.220000,0.218650,0.220000,0.217439,0.217442,0.217442,-0.780000,-0.780000,-0.780000,-0.780000,0.220000,0.218680,0.220000,0.217429,0.215543,0.218390,0.217408,0.217442
Qwen3-8B,0.829000,0.829000,0.829000,0.829000,0.800854,0.801754,0.817682,0.804323,0.829000,0.829000,0.817439,0.829000,0.743439,0.829000,0.829000,0.829000,0.829000,0.817234,0.829000,0.814110,0.810481,0.811659,0.811759,0.823186,0.817439,-0.171000,-0.171000,-0.171000,-0.171000,0.812970,0.805739,0.829000,0.817439,0.804904,0.816447,0.812475,0.817439
Qwen3-14B,0.247885,0.242147,0.252000,0.252000,0.241718,0.239201,0.240322,0.246602,0.246657,0.242049,0.237922,0.252000,0.231058,0.242543,0.244022,0.248688,0.250339,0.247676,0.240519,0.245727,0.239585,0.247962,0.240111,0.244011,0.233555,-0.748000,-0.748000,-0.748000,-0.748000,0.236692,0.239199,0.241982,0.246631,0.227523,0.235144,0.242437,0.242716
