solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen3-1.7B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen3-4B-Base,-0.007767,0.060093,0.098557,0.162161,0.105173,0.048858,0.156074,0.189963,0.409522,0.514504,0.347206,0.057947,0.014196,-0.051873,0.017966,0.066208,0.195061,0.091850,-0.007838,0.053685,0.031139,0.048593,0.132610,0.259291,0.104528,-0.087000,-0.087000,-0.087000,-0.087000,-0.003465,-0.003043,0.050489,0.121705,0.037868,0.097257,0.345749,0.256478
Qwen3-8B-Base,0.014677,0.095588,0.116235,0.168231,0.188724,0.173564,0.728043,0.787376,0.782033,0.786910,0.746217,0.092553,-0.185000,0.088937,0.150702,0.218191,0.273255,0.283545,0.069516,0.092396,0.103101,0.432021,0.229365,0.279912,0.289843,-0.185000,-0.185000,-0.185000,-0.185000,0.034667,0.073036,0.502546,0.247024,0.110225,0.371395,0.698721,0.749066
Qwen3-14B-Base,0.022833,0.011572,0.091551,0.147217,0.110077,0.112219,0.719347,0.724332,0.712784,0.712938,0.676242,0.028080,-0.248000,0.069457,0.036460,0.141291,0.185968,0.113738,-0.007476,0.004888,0.026022,0.252000,0.141706,0.172870,0.190000,-0.248000,-0.248000,-0.248000,-0.248000,-0.040897,-0.034221,0.410816,0.155218,0.040294,0.361756,0.668000,0.678923
Qwen3-0.6B,0.077509,0.154373,0.546903,0.170101,0.165086,0.155731,0.142094,0.153077,0.148842,0.155626,0.156253,0.174666,-0.088000,0.178302,0.137951,0.156857,0.154285,0.159100,0.152776,0.137203,0.185750,0.129712,0.157014,0.156898,0.156393,-0.088000,-0.088000,-0.088000,-0.088000,0.133417,0.135596,0.165878,0.156776,0.149165,0.152243,0.161258,0.177176
Qwen3-1.7B,0.049000,0.049000,0.029459,0.043392,0.042730,0.042890,0.045114,0.042677,0.042677,0.042711,0.042684,0.040354,0.042189,0.037843,0.041655,0.040252,0.042724,0.042724,0.049000,0.042683,0.044295,0.041925,0.042730,0.042724,0.042730,-0.951000,-0.951000,-0.951000,-0.951000,0.042886,0.039090,0.041242,0.042534,0.045827,0.043413,0.042485,0.042590
Qwen3-4B,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,-0.995000,-0.995000,-0.995000,-0.995000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000
Qwen3-8B,0.017000,0.017000,0.017000,0.017000,0.013954,0.014609,0.013705,0.013932,0.014825,0.014955,0.013945,0.013141,0.013682,0.017000,0.015517,0.014574,0.013948,0.013932,0.017000,0.013945,0.012696,0.013681,0.013957,0.013954,0.013957,-0.983000,-0.983000,-0.983000,-0.983000,0.013278,0.011311,0.014276,0.013901,0.012896,0.013791,0.013802,0.013798
Qwen3-14B,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,-0.994000,-0.994000,-0.994000,-0.994000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000
Qwen3-32B,0.043000,0.043000,0.043000,0.043000,0.043000,0.043000,0.043000,0.043000,0.043000,0.043000,0.043000,0.043000,0.043000,0.043000,0.043000,0.043000,0.043000,0.043000,0.043000,0.043000,0.043000,0.043000,0.043000,0.043000,0.043000,-0.957000,-0.957000,-0.957000,-0.957000,0.043000,0.043000,0.043000,0.043000,0.043000,0.043000,0.043000,0.043000
Qwen2.5-0.5B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
