solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.043860,0.051546,0.023256,0.054054,0.085714,0.064220,0.128205,0.320000,0.555556,0.500000,0.600000,0.032967,0.000000,0.000000,0.046875,0.026087,0.044643,0.040359,0.009091,0.037915,0.036789,0.046512,0.062992,0.085106,0.061947,0.000000,0.000000,0.000000,0.000000,0.020408,0.016260,0.072072,0.046980,0.320000,0.304348,0.370370,0.312500
Qwen3-1.7B-Base,0.053763,0.145833,0.145679,0.135857,0.161538,0.176471,0.441176,0.700000,0.765432,0.759036,0.759036,0.148148,0.134615,0.175439,0.142512,0.167665,0.177966,0.118375,0.133333,0.110855,0.108800,0.113523,0.170103,0.186111,0.205607,0.000000,0.000000,0.000000,0.000000,0.115385,0.128906,0.159091,0.174419,0.495146,0.603960,0.558559,0.656250
Qwen3-4B-Base,0.306391,0.398964,0.308748,0.359465,0.350694,0.423256,0.621622,0.824268,0.820513,0.860870,0.793651,0.240196,0.250000,0.400000,0.316000,0.349876,0.362949,0.304965,0.297297,0.342466,0.294872,0.296245,0.341424,0.359725,0.331783,0.000000,0.000000,0.000000,0.000000,0.303571,0.295699,0.361272,0.362617,0.681319,0.689394,0.739130,0.720430
Qwen3-8B-Base,0.193548,0.368421,0.396675,0.445596,0.446970,0.422572,0.699588,0.840000,0.867299,0.920000,0.864253,0.180328,0.288889,0.396825,0.347319,0.475083,0.466292,0.383648,0.220430,0.314088,0.301711,0.367113,0.432609,0.430804,0.421769,0.000000,0.000000,0.000000,0.000000,0.173913,0.331933,0.373626,0.383772,0.691892,0.762931,0.810573,0.811966
Qwen3-14B-Base,0.312500,0.537778,0.439024,0.491461,0.503731,0.524731,0.745283,0.882550,0.899666,0.916084,0.901961,0.236364,0.363636,0.496063,0.455115,0.546569,0.530435,0.419549,0.404494,0.389831,0.358515,0.400560,0.486819,0.480138,0.479789,0.000000,0.000000,0.000000,0.000000,0.230769,0.397993,0.448845,0.461538,0.724409,0.797468,0.819572,0.806452
Qwen3-0.6B,0.692308,0.800000,0.600000,0.653846,0.660377,0.591837,0.604520,0.582031,0.634921,0.616601,0.624000,0.553571,0.631579,0.482759,0.683168,0.838710,0.634043,0.588235,0.750000,0.600000,0.584677,0.584906,0.599237,0.597744,0.600000,0.000000,0.000000,0.000000,0.000000,0.565217,0.590551,0.612766,0.591603,0.613333,0.582160,0.596154,0.600760
Qwen3-1.7B,0.949153,0.952381,1.000000,0.959770,0.944444,0.957198,0.929461,0.941003,0.949495,0.937853,0.940845,0.933333,0.903226,0.933333,0.940299,1.000000,0.941176,0.937500,0.916667,0.936667,0.935673,0.936782,0.934659,0.940678,0.940341,0.000000,0.000000,0.000000,0.000000,0.944444,0.936599,0.942308,0.942857,0.956989,0.939210,0.937143,0.940678
Qwen3-4B,0.972222,1.000000,1.000000,0.983333,0.980695,0.980066,0.986755,0.978102,0.983696,0.980998,0.978723,1.000000,0.969697,0.954545,0.984043,1.000000,0.983133,0.977887,0.962963,0.977273,0.987342,0.980907,0.981132,0.978774,0.978774,0.000000,0.000000,0.000000,0.000000,1.000000,0.980440,0.984655,0.978774,0.983871,0.979644,0.978571,0.978723
Qwen3-8B,0.987500,0.954545,1.000000,0.990431,0.978070,0.974265,0.978571,0.980556,0.978261,0.978780,0.978780,0.964286,1.000000,0.950820,0.987421,1.000000,0.978142,0.978495,0.960000,0.980328,0.977839,0.978780,0.978780,0.978836,0.978836,0.000000,0.000000,0.000000,0.000000,0.964912,0.981132,0.983146,0.978723,0.975962,0.979885,0.978723,0.978836
Qwen3-14B,0.988889,1.000000,0.888889,0.988281,0.989170,0.981308,0.987097,0.981043,0.989744,0.981735,0.981777,0.971154,1.000000,0.958333,0.990244,1.000000,0.981043,0.980998,0.966667,0.983562,0.980861,0.981609,0.981735,0.981777,0.981777,0.000000,0.000000,0.000000,0.000000,0.985915,0.981439,0.980296,0.981693,0.982222,0.980535,0.981609,0.981735
Qwen3-32B,0.988889,0.972222,1.000000,0.985348,0.990385,0.994444,0.982955,0.984881,0.983373,0.987500,0.987500,0.990909,0.981132,0.985294,0.986111,1.000000,0.989247,0.987288,1.000000,0.987374,0.984683,0.987395,0.985417,0.985447,0.985447,0.000000,0.000000,0.000000,0.000000,0.984375,0.985075,0.986813,0.985417,0.988806,0.986486,0.987474,0.987500
Qwen2.5-0.5B-Base,0.000000,0.018018,0.024242,0.030075,0.068182,0.039604,0.181818,0.333333,0.500000,0.428571,0.416667,0.000000,0.000000,0.034483,0.012821,0.035294,0.044444,0.027027,0.010989,0.014286,0.011976,0.018519,0.048193,0.081633,0.070175,0.000000,0.000000,0.000000,0.000000,0.021739,0.018987,0.038961,0.040000,0.080000,0.285714,0.266667,0.333333
Qwen2.5-1.5B-Base,0.142857,0.166667,0.200000,0.166667,0.250000,0.142857,0.166667,0.750000,0.428571,0.428571,1.000000,0.000000,0.025641,0.111111,0.078947,0.214286,0.111111,0.093750,0.000000,0.081081,0.083333,0.103448,0.115385,0.157895,0.150000,0.000000,0.000000,0.000000,0.000000,0.027778,0.000000,0.050000,0.125000,0.375000,0.187500,0.250000,1.000000
