solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.250000,0.000000,1.000000,1.000000,0.818182,0.500000,0.500000,0.789474,0.684211,0.695652,0.791667,0.400000,0.000000,0.333333,0.571429,0.000000,0.875000,0.687500,0.000000,0.166667,0.600000,0.818182,0.800000,0.666667,0.782609,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.600000,0.703704,0.428571,0.518519,0.720000,0.655172
Qwen3-1.7B-Base,0.000000,0.600000,0.250000,1.000000,0.600000,0.428571,0.600000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.500000,0.600000,0.666667,0.000000,0.000000,0.600000,0.500000,0.600000,0.750000,0.750000,0.000000,0.000000,0.000000,0.000000,0.000000,0.333333,0.500000,0.750000,0.500000,0.333333,0.600000,0.750000
Qwen3-4B-Base,0.655172,0.568627,0.711297,0.738095,0.779528,0.714815,0.723485,0.778571,0.760135,0.793478,0.802158,0.666667,0.000000,0.571429,0.757143,0.759259,0.801724,0.831250,0.558140,0.750000,0.743243,0.758364,0.769784,0.753521,0.767528,0.000000,0.000000,0.000000,0.000000,0.823529,0.778761,0.731579,0.767273,0.740891,0.705263,0.721311,0.737864
Qwen3-8B-Base,0.750000,0.734694,0.785047,0.824561,0.822430,0.775510,0.782946,0.797357,0.780392,0.822222,0.831933,0.779661,0.500000,0.681818,0.798780,0.766667,0.840206,0.863354,0.692308,0.729167,0.790909,0.805195,0.818584,0.832579,0.808000,0.000000,0.000000,0.000000,0.000000,0.750000,0.785714,0.829670,0.817427,0.781991,0.792157,0.789883,0.808163
Qwen3-14B-Base,0.800000,0.772222,0.843100,0.848649,0.858065,0.831325,0.842105,0.872131,0.855842,0.872964,0.872274,0.835714,0.000000,0.707692,0.806763,0.883212,0.858075,0.858156,0.746667,0.837607,0.829268,0.857143,0.855590,0.853583,0.849478,0.000000,0.000000,0.000000,0.000000,0.805556,0.832714,0.866359,0.856013,0.837037,0.828313,0.841481,0.848348
Qwen3-0.6B,0.544444,0.666667,0.909091,0.586207,0.621810,0.563584,0.575624,0.602007,0.636659,0.668867,0.707289,0.460526,0.588235,0.551948,0.574046,0.719626,0.764811,0.638462,0.556845,0.603113,0.580678,0.612121,0.683114,0.735012,0.707915,0.000000,0.000000,0.000000,0.000000,0.593750,0.631509,0.659341,0.629080,0.569554,0.573290,0.617149,0.623377
Qwen3-1.7B,0.797619,0.500000,0.804348,0.708333,0.769817,0.752863,0.729542,0.778261,0.767787,0.774566,0.776778,0.800000,1.000000,0.747967,0.775338,0.762238,0.781925,0.768642,0.745342,0.791958,0.761353,0.764925,0.775601,0.773736,0.791478,0.000000,0.000000,0.000000,0.000000,0.805556,0.791028,0.793284,0.760280,0.757697,0.775027,0.765027,0.771914
Qwen3-4B,0.883721,0.600000,0.775510,0.678571,0.808311,0.810547,0.801090,0.840491,0.814920,0.817770,0.811973,0.765957,0.000000,0.788732,0.819133,0.823204,0.814079,0.816635,0.811321,0.835772,0.800909,0.810906,0.810765,0.812290,0.812183,0.000000,0.000000,0.000000,0.000000,0.854839,0.838174,0.847826,0.803333,0.817346,0.813559,0.809773,0.808960
Qwen3-8B,0.810811,0.615385,0.820513,0.846154,0.841892,0.846380,0.834912,0.847706,0.838469,0.828008,0.833751,0.758065,0.000000,0.813665,0.836800,0.821862,0.835366,0.841475,0.913043,0.874396,0.835316,0.840211,0.833195,0.835000,0.837542,0.000000,0.000000,0.000000,0.000000,0.903226,0.858883,0.854406,0.832086,0.853994,0.832988,0.834783,0.835708
Qwen3-14B,0.820000,0.600000,0.800000,0.800000,0.847150,0.855533,0.840878,0.843137,0.856184,0.850803,0.851916,0.880000,1.000000,0.805556,0.841463,0.866667,0.845259,0.864162,0.863014,0.863422,0.844168,0.855680,0.850824,0.848090,0.854514,0.000000,0.000000,0.000000,0.000000,0.910714,0.869261,0.866931,0.845620,0.870833,0.873786,0.847688,0.847089
Qwen3-32B,0.741379,0.785714,0.928571,0.838710,0.840102,0.854776,0.848693,0.851449,0.865221,0.855932,0.852966,0.758621,0.000000,0.838028,0.838095,0.809735,0.857759,0.860737,0.875000,0.867896,0.847985,0.856383,0.855230,0.853679,0.859797,0.000000,0.000000,0.000000,0.000000,0.885246,0.867701,0.861524,0.851543,0.860999,0.860914,0.852204,0.852349
Qwen2.5-0.5B-Base,0.000000,0.000000,0.000000,1.000000,1.000000,0.400000,1.000000,0.500000,0.500000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.500000,1.000000,1.000000,0.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,1.000000,0.500000,0.250000,0.666667,0.666667
Qwen2.5-1.5B-Base,0.000000,0.000000,0.500000,0.500000,1.000000,0.333333,0.428571,0.600000,0.600000,0.750000,0.750000,0.500000,0.000000,0.000000,0.666667,1.000000,0.666667,1.000000,0.000000,0.285714,0.600000,0.600000,0.600000,0.750000,0.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.800000,0.400000,0.333333,0.500000,0.666667
Qwen2.5-3B-Base,0.500000,0.750000,0.729730,0.743590,0.760870,0.641509,0.666667,0.775000,0.734694,0.804878,0.777778,0.545455,0.000000,0.800000,0.714286,0.800000,0.771429,0.828571,0.666667,0.695652,0.700000,0.733333,0.760870,0.750000,0.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.888889,0.750000,0.695652,0.636364,0.629630,0.673077,0.714286
Qwen2.5-7B-Base,0.741935,0.798077,0.798903,0.812620,0.834416,0.781792,0.814159,0.841845,0.839695,0.865449,0.868339,0.672727,0.545455,0.606557,0.735849,0.825397,0.857411,0.819048,0.571429,0.761494,0.775351,0.810687,0.820988,0.836220,0.811698,0.000000,0.000000,0.000000,0.000000,0.684211,0.812925,0.808824,0.817204,0.782847,0.782923,0.800582,0.812779
Qwen2.5-14B-Base,0.666667,0.701493,0.834395,0.861789,0.877907,0.785047,0.812207,0.846995,0.837563,0.842640,0.836538,0.753846,0.000000,0.756757,0.804124,0.884956,0.867133,0.941176,0.822581,0.751938,0.824242,0.865922,0.827225,0.853933,0.819444,0.000000,0.000000,0.000000,0.000000,0.666667,0.814815,0.854962,0.830918,0.802632,0.794393,0.806604,0.835000
Qwen2.5-32B-Base,0.647059,0.788043,0.842105,0.825553,0.881679,0.812698,0.825321,0.837500,0.832504,0.857388,0.846667,0.857143,0.500000,0.812500,0.838057,0.889908,0.873684,0.877880,0.760479,0.820728,0.817073,0.842884,0.833046,0.836522,0.835772,0.000000,0.000000,0.000000,0.000000,0.740741,0.807692,0.835025,0.847341,0.834061,0.808442,0.823151,0.837171
Qwen2.5-72B-Base,0.794118,0.804688,0.840909,0.846341,0.887473,0.839623,0.847458,0.872690,0.864865,0.868000,0.873294,0.923077,0.000000,0.714286,0.790698,0.844156,0.863445,0.868709,0.733333,0.838983,0.852878,0.862275,0.864919,0.864000,0.853432,0.000000,0.000000,0.000000,0.000000,0.782609,0.865079,0.877778,0.866019,0.842723,0.850000,0.850467,0.858238
Qwen2.5-0.5B,0.066667,0.433333,0.473684,0.565217,0.638462,0.408304,0.563981,0.759398,0.792593,0.831933,0.834532,0.227273,0.000000,0.277778,0.465116,0.600000,0.694444,0.542254,0.357143,0.413043,0.400000,0.642857,0.717557,0.798165,0.704403,0.000000,0.000000,0.000000,0.000000,0.300000,0.520000,0.578947,0.733813,0.392453,0.482301,0.679245,0.691275
