solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.500000,0.000000,0.000000,0.333333,0.166667,0.142857,0.200000,0.285714,0.176471,0.363636,0.357143,0.142857,0.000000,0.000000,0.000000,0.000000,0.000000,0.176471,0.000000,0.125000,0.058824,0.133333,0.117647,0.285714,0.238095,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.125000,0.142857,0.176471,0.263158,0.307692,0.190476
Qwen3-1.7B-Base,0.166667,0.333333,0.000000,0.000000,0.333333,0.083333,0.000000,0.000000,0.142857,0.000000,0.000000,0.000000,0.000000,0.000000,0.142857,0.000000,0.000000,0.000000,0.000000,0.166667,0.083333,0.076923,0.000000,0.166667,0.000000,0.000000,0.000000,0.000000,0.000000,0.333333,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen3-4B-Base,0.157895,0.266667,0.188406,0.159091,0.233333,0.239130,0.226667,0.241379,0.250000,0.333333,0.312500,0.285714,0.333333,0.125000,0.240000,0.216216,0.241935,0.230769,0.571429,0.219512,0.171429,0.204082,0.206897,0.247191,0.220000,0.000000,0.000000,0.000000,0.000000,0.333333,0.217391,0.241379,0.213333,0.237288,0.219512,0.316667,0.305085
Qwen3-8B-Base,0.000000,0.416667,0.229167,0.281250,0.333333,0.204545,0.216216,0.269231,0.275862,0.250000,0.250000,0.100000,0.200000,0.363636,0.222222,0.200000,0.258065,0.259259,0.272727,0.193548,0.234043,0.275000,0.184211,0.250000,0.227273,0.000000,0.000000,0.000000,0.000000,0.000000,0.272727,0.347826,0.239130,0.217391,0.216216,0.222222,0.230769
Qwen3-14B-Base,0.500000,0.260870,0.190909,0.215686,0.203390,0.213675,0.204301,0.276316,0.309859,0.301370,0.315068,0.312500,0.000000,0.210526,0.214286,0.185185,0.213592,0.218750,0.250000,0.123288,0.195489,0.206612,0.215517,0.238532,0.226891,0.000000,0.000000,0.000000,0.000000,0.444444,0.200000,0.275000,0.232323,0.159091,0.221053,0.268293,0.238636
Qwen3-0.6B,0.318182,1.000000,1.000000,0.333333,0.333333,0.274336,0.246377,0.283019,0.338028,0.305882,0.253012,0.235294,0.000000,0.333333,0.333333,0.600000,0.333333,0.300000,0.357143,0.269841,0.271028,0.340909,0.333333,0.306667,0.325301,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.250000,0.323232,0.307692,0.297619,0.293333,0.355556
Qwen3-1.7B,0.600000,1.000000,1.000000,0.333333,0.333333,0.527027,0.489796,0.534247,0.509434,0.540541,0.520000,0.625000,0.000000,0.500000,0.500000,0.666667,0.563636,0.521739,0.666667,0.560000,0.552239,0.533333,0.554054,0.546667,0.532468,0.000000,0.000000,0.000000,0.000000,0.250000,0.555556,0.551020,0.500000,0.540000,0.532258,0.533333,0.549296
Qwen3-4B,0.666667,1.000000,0.500000,0.555556,0.685714,0.692308,0.652174,0.700000,0.637681,0.689655,0.685393,0.600000,1.000000,0.600000,0.687500,0.666667,0.687500,0.722892,0.714286,0.811321,0.687500,0.700000,0.715909,0.701149,0.681319,0.000000,0.000000,0.000000,0.000000,1.000000,0.704225,0.742424,0.696629,0.689655,0.704225,0.686047,0.677778
Qwen3-8B,0.777778,0.750000,1.000000,0.833333,0.791667,0.800000,0.759259,0.797468,0.754717,0.791209,0.797872,0.846154,1.000000,0.769231,0.828571,0.750000,0.810127,0.813953,0.750000,0.872727,0.807229,0.829268,0.793478,0.804348,0.793478,0.000000,0.000000,0.000000,0.000000,1.000000,0.829268,0.821429,0.806452,0.771930,0.835616,0.813187,0.795699
Qwen3-14B,0.666667,0.800000,0.500000,0.800000,0.784314,0.743902,0.773585,0.765957,0.771429,0.796117,0.770642,0.785714,0.500000,0.642857,0.763158,0.700000,0.804348,0.770000,1.000000,0.784615,0.742574,0.773196,0.766990,0.761468,0.752294,0.000000,0.000000,0.000000,0.000000,1.000000,0.757895,0.764706,0.783019,0.734375,0.783133,0.780000,0.754545
Qwen3-32B,0.875000,0.833333,0.000000,0.916667,0.836066,0.802469,0.823529,0.795455,0.780488,0.798246,0.803419,0.800000,1.000000,0.785714,0.767442,0.785714,0.828571,0.807339,0.666667,0.845070,0.816327,0.786408,0.801802,0.800000,0.805310,0.000000,0.000000,0.000000,0.000000,0.888889,0.797872,0.820000,0.805310,0.809524,0.816327,0.801802,0.808696
Qwen2.5-0.5B-Base,1.000000,0.500000,0.333333,0.333333,0.500000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.250000,0.000000,0.000000,1.000000,0.000000,0.428571,0.600000,0.333333,0.000000,1.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.333333,0.666667,0.600000,1.000000,1.000000,0.666667
Qwen2.5-1.5B-Base,0.000000,0.000000,1.000000,0.000000,0.333333,0.166667,0.500000,0.500000,1.000000,0.666667,1.000000,0.500000,0.000000,0.000000,0.000000,0.500000,1.000000,1.000000,0.000000,0.200000,0.500000,0.000000,0.333333,0.500000,1.000000,0.000000,0.000000,0.000000,0.000000,0.250000,1.000000,0.250000,0.333333,0.333333,1.000000,0.500000,1.000000
Qwen2.5-3B-Base,0.000000,0.250000,0.088889,0.093750,0.147059,0.093023,0.125000,0.200000,0.266667,0.384615,0.250000,0.000000,0.000000,0.111111,0.200000,0.214286,0.250000,0.151515,0.166667,0.107143,0.131148,0.162162,0.096774,0.200000,0.233333,0.000000,0.000000,0.000000,0.000000,0.000000,0.153846,0.181818,0.228571,0.153846,0.090909,0.388889,0.142857
Qwen2.5-7B-Base,0.000000,0.200000,0.096774,0.041667,0.103448,0.038462,0.103448,0.250000,0.230769,0.187500,0.266667,0.142857,0.000000,0.000000,0.187500,0.142857,0.142857,0.125000,0.000000,0.000000,0.166667,0.096774,0.068966,0.090909,0.148148,0.000000,0.000000,0.000000,0.000000,0.000000,0.285714,0.076923,0.090909,0.130435,0.176471,0.100000,0.176471
Qwen2.5-14B-Base,0.454545,0.250000,0.246154,0.235294,0.279070,0.235294,0.217391,0.400000,0.358974,0.357143,0.375000,0.076923,1.000000,0.100000,0.169811,0.281250,0.343750,0.258065,0.206897,0.166667,0.168831,0.214286,0.250000,0.243902,0.300000,0.000000,0.000000,0.000000,0.000000,0.250000,0.100000,0.176471,0.204082,0.225000,0.285714,0.270270,0.341463
Qwen2.5-32B-Base,0.166667,0.166667,0.173913,0.150943,0.177419,0.220930,0.176471,0.217391,0.185185,0.304348,0.224138,0.181818,0.000000,0.071429,0.228070,0.057143,0.203704,0.172414,0.125000,0.153846,0.207921,0.202899,0.214286,0.173333,0.229730,0.000000,0.000000,0.000000,0.000000,0.444444,0.166667,0.173913,0.183099,0.220339,0.230769,0.314815,0.215385
Qwen2.5-72B-Base,0.375000,0.380952,0.225490,0.250000,0.257143,0.207207,0.262500,0.372549,0.327586,0.381818,0.354839,0.136364,0.000000,0.187500,0.178571,0.243902,0.280488,0.226891,0.266667,0.140845,0.182482,0.228814,0.203704,0.219048,0.203390,0.000000,0.000000,0.000000,0.000000,0.000000,0.266667,0.411765,0.257426,0.226190,0.283784,0.273973,0.295775
Qwen2.5-0.5B,0.285714,0.000000,0.045455,0.000000,0.142857,0.081081,0.125000,0.111111,0.125000,0.250000,0.111111,0.000000,0.000000,0.333333,0.227273,0.000000,0.500000,0.111111,0.222222,0.054054,0.121212,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133333,0.125000,0.071429,0.142857
Qwen2.5-1.5B,0.111111,0.176471,0.158730,0.153846,0.204545,0.150000,0.185185,0.366667,0.333333,0.421053,0.440000,0.153846,0.000000,0.100000,0.177778,0.000000,0.300000,0.232558,0.176471,0.157143,0.163462,0.181818,0.205128,0.241379,0.292683,0.000000,0.000000,0.000000,0.000000,0.000000,0.206897,0.214286,0.171429,0.192308,0.266667,0.360000,0.266667
Qwen2.5-3B,0.000000,0.130435,0.075000,0.161765,0.125000,0.125000,0.115942,0.176471,0.193548,0.291667,0.269231,0.100000,0.000000,0.076923,0.156863,0.064516,0.159091,0.135802,0.291667,0.119403,0.106061,0.109890,0.100000,0.095238,0.101695,0.000000,0.000000,0.000000,0.000000,0.285714,0.117647,0.153846,0.132530,0.126984,0.116667,0.150000,0.166667
Qwen2.5-7B,0.000000,0.142857,0.171171,0.207207,0.191304,0.186047,0.247059,0.258065,0.301587,0.354167,0.327273,0.125000,0.000000,0.066667,0.166667,0.139535,0.231579,0.170940,0.157895,0.172840,0.160584,0.186992,0.200000,0.223301,0.209524,0.000000,0.000000,0.000000,0.000000,0.111111,0.200000,0.325581,0.222222,0.217391,0.295775,0.232877,0.319444
Qwen2.5-14B,0.142857,0.571429,0.232759,0.245455,0.262295,0.280000,0.250000,0.304878,0.292135,0.328947,0.333333,0.350000,0.000000,0.400000,0.337662,0.237288,0.286957,0.244604,0.423077,0.205128,0.244755,0.229167,0.234483,0.246154,0.226277,0.000000,0.000000,0.000000,0.000000,0.272727,0.257143,0.183673,0.223022,0.227848,0.245098,0.277228,0.290000
Qwen2.5-32B,0.000000,0.269231,0.188976,0.205128,0.201613,0.167883,0.207207,0.228261,0.247059,0.223684,0.232558,0.250000,0.000000,0.125000,0.280000,0.208333,0.241071,0.195312,0.214286,0.100000,0.164286,0.201493,0.187970,0.198529,0.201493,0.000000,0.000000,0.000000,0.000000,0.000000,0.232877,0.250000,0.191489,0.216495,0.250000,0.221053,0.233645
Qwen2.5-72B,0.000000,0.360000,0.217391,0.206612,0.209302,0.203252,0.215517,0.250000,0.234694,0.228916,0.285714,0.000000,0.000000,0.200000,0.189655,0.132075,0.243243,0.192593,0.307692,0.172840,0.170213,0.198529,0.189781,0.205674,0.205674,0.000000,0.000000,0.000000,0.000000,0.250000,0.213333,0.280702,0.198413,0.178947,0.207207,0.194444,0.200000
Llama3-1B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Llama3-3B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Llama3-8B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Llama3-70B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.142857,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.166667,0.000000,0.000000
