solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.611111,0.683544,0.697368,0.764228,0.848000,0.754011,0.875000,0.930233,0.943662,0.954198,0.962963,0.487179,0.352941,0.750000,0.688073,0.745614,0.853659,0.829457,0.611940,0.573964,0.700535,0.797101,0.846154,0.864865,0.894737,0.000000,0.000000,0.000000,0.000000,0.772727,0.781250,0.837209,0.889706,0.764368,0.865672,0.919708,0.907895
Qwen3-1.7B-Base,0.837209,0.892361,0.851327,0.867961,0.915020,0.880000,0.915254,0.973896,0.980000,0.987854,0.987976,0.719298,0.714286,0.875000,0.847761,0.905544,0.920078,0.892857,0.887681,0.845850,0.844710,0.863958,0.922787,0.925714,0.940499,0.000000,0.000000,0.000000,0.000000,0.789474,0.850622,0.918495,0.952756,0.927593,0.949318,0.961165,0.962963
Qwen3-4B-Base,0.895221,0.938247,0.910432,0.929194,0.952790,0.926174,0.936008,0.964946,0.962025,0.968627,0.968780,0.854167,0.900000,0.937931,0.911304,0.946372,0.956167,0.933781,0.931579,0.925505,0.918033,0.916512,0.928638,0.941232,0.949304,0.000000,0.000000,0.000000,0.000000,0.937500,0.939394,0.938367,0.961078,0.937931,0.945350,0.947569,0.952199
Qwen3-8B-Base,0.913043,0.927875,0.913430,0.926220,0.937161,0.922680,0.940501,0.953733,0.952133,0.957113,0.958203,0.904762,0.809524,0.938998,0.942568,0.933714,0.947996,0.931677,0.935275,0.905704,0.915736,0.926305,0.935583,0.930754,0.944676,0.000000,0.000000,0.000000,0.000000,0.893617,0.934247,0.940850,0.937895,0.936695,0.937824,0.941418,0.948560
Qwen3-14B-Base,0.930000,0.962145,0.947781,0.944186,0.955224,0.948436,0.951858,0.966949,0.959664,0.968644,0.966273,0.966216,1.000000,0.958209,0.962868,0.953358,0.962576,0.950972,0.960080,0.944497,0.940932,0.945137,0.948247,0.949378,0.958719,0.000000,0.000000,0.000000,0.000000,0.944000,0.959459,0.952045,0.957008,0.946910,0.955387,0.959866,0.959064
Qwen3-0.6B,0.843750,0.839080,0.812500,0.893617,0.922902,0.822222,0.829268,0.830549,0.859454,0.850885,0.857624,0.789744,0.800000,0.931953,0.846975,0.909207,0.836921,0.818555,0.880165,0.822896,0.827755,0.825101,0.827031,0.834281,0.862416,0.000000,1.000000,0.000000,0.000000,0.918605,0.829163,0.834806,0.837993,0.851685,0.864469,0.863444,0.862679
Qwen3-1.7B,0.948454,0.939759,0.947368,0.971429,0.946903,0.933170,0.927866,0.917808,0.930426,0.931908,0.930631,0.926573,0.900000,0.971751,0.933661,0.976847,0.930599,0.922160,0.971963,0.936111,0.926714,0.925466,0.924266,0.925097,0.929348,0.000000,0.000000,0.000000,0.000000,0.980630,0.931707,0.937972,0.927795,0.937100,0.927823,0.930763,0.932917
Qwen3-4B,0.963636,0.975207,0.842105,0.979310,0.986275,0.961943,0.962151,0.949250,0.959432,0.957165,0.956956,0.957295,0.950000,0.975728,0.959476,0.983556,0.957430,0.954014,0.995475,0.960289,0.956352,0.956120,0.955521,0.956221,0.954789,0.000000,0.000000,0.000000,0.000000,0.985955,0.959003,0.963786,0.954789,0.961783,0.957955,0.955951,0.956221
Qwen3-8B,0.957895,0.965909,0.833333,0.988095,0.980851,0.966156,0.963710,0.960603,0.967809,0.964789,0.965971,0.979522,0.909091,0.982843,0.965557,0.989035,0.967264,0.963108,0.985507,0.965179,0.963865,0.965865,0.963679,0.962963,0.964506,0.000000,0.000000,0.000000,0.000000,0.997585,0.961789,0.969870,0.962279,0.962304,0.968785,0.963453,0.963707
Qwen3-14B,0.993333,0.971831,1.000000,0.985401,0.983755,0.968675,0.968239,0.968254,0.967294,0.968266,0.966309,0.969957,0.833333,0.980892,0.972190,0.983202,0.967290,0.965625,0.995918,0.966757,0.969626,0.966284,0.966258,0.965623,0.966258,0.000000,0.000000,0.000000,0.000000,0.987531,0.969380,0.968051,0.965649,0.973496,0.970244,0.966821,0.965596
Qwen3-32B,0.964072,0.978723,1.000000,0.989362,0.980668,0.969097,0.967402,0.965438,0.975100,0.968896,0.967841,0.975510,0.884615,0.980119,0.975309,0.980178,0.969720,0.968750,0.996000,0.966783,0.966511,0.967767,0.965675,0.967150,0.967125,0.000000,0.000000,0.000000,0.000000,0.981132,0.969364,0.970161,0.967890,0.970378,0.969565,0.969088,0.967841
