solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen3-1.7B-Base,0.005747,0.027778,0.036145,0.152174,0.048387,0.010689,0.029412,0.047847,0.217391,0.238095,0.032787,0.000000,0.004082,0.000000,0.008639,0.000000,0.073171,0.012302,0.000000,0.014925,0.019960,0.020790,0.021368,0.138889,0.033113,0.000000,0.000000,0.000000,0.000000,0.013661,0.025316,0.026667,0.024316,0.015228,0.031746,0.158730,0.055249
Qwen3-4B-Base,0.729730,0.822314,0.816555,0.808411,0.805677,0.835000,0.859122,0.871795,0.894737,0.890736,0.928218,0.785156,0.000000,0.633333,0.758454,0.772727,0.799451,0.813679,0.569231,0.792494,0.815730,0.839367,0.824561,0.829646,0.838926,0.000000,0.000000,0.000000,0.000000,0.819095,0.786477,0.829333,0.867133,0.860406,0.857471,0.843049,0.848416
Qwen3-8B-Base,0.136364,0.181818,0.020305,0.037209,0.012945,0.391176,0.369048,0.517857,0.379310,0.500000,0.204082,0.173913,0.065217,0.126050,0.019002,0.029032,0.016901,0.025000,0.036254,0.052525,0.344615,0.085714,0.077670,0.064865,0.079545,0.000000,0.000000,0.000000,0.000000,0.251553,0.207317,0.072816,0.080808,0.468880,0.416000,0.406250,0.511628
Qwen3-14B-Base,0.739130,0.586081,0.682540,0.683716,0.701538,0.697238,0.698257,0.715517,0.709402,0.705945,0.725983,0.675676,0.000000,0.776596,0.616883,0.615534,0.684098,0.672806,0.058824,0.750572,0.681960,0.683128,0.684156,0.684156,0.689834,0.000000,0.000000,0.000000,0.000000,0.671024,0.679032,0.729138,0.691988,0.705143,0.691501,0.694154,0.699684
Qwen3-0.6B,0.000000,0.000000,0.000000,0.006263,0.006380,0.004890,0.005190,0.006339,0.005051,0.004700,0.008032,0.002463,0.000000,0.004367,0.006623,0.001585,0.004630,0.004515,0.000000,0.004608,0.004138,0.004646,0.004474,0.004430,0.004739,0.000000,0.000000,0.000000,0.000000,0.003115,0.003623,0.004280,0.004515,0.009070,0.004354,0.005181,0.004773
Qwen3-1.7B,0.341067,0.357143,0.500000,0.308600,0.344864,0.341304,0.357262,0.342920,0.342642,0.342553,0.354322,0.323607,0.479167,0.320548,0.381490,0.343643,0.339104,0.338100,0.070588,0.333333,0.342728,0.339450,0.337033,0.336032,0.340839,0.000000,0.000000,0.000000,0.000000,0.386364,0.325658,0.334545,0.338759,0.363636,0.344828,0.336382,0.337386
Qwen3-4B,0.926941,0.987179,1.000000,0.942222,0.930470,0.927455,0.938053,0.928346,0.928498,0.932238,0.930792,0.914286,1.000000,0.906452,0.944559,0.922316,0.928427,0.929435,0.935484,0.930672,0.926696,0.929789,0.929000,0.929000,0.929000,0.000000,0.000000,0.000000,0.000000,0.937888,0.927292,0.928664,0.928858,0.932773,0.928644,0.928786,0.929000
Qwen3-8B,0.629032,0.680851,0.000000,0.660592,0.620305,0.629508,0.642702,0.641212,0.645008,0.635979,0.623624,0.617155,0.636364,0.646288,0.658824,0.608063,0.623742,0.622869,0.578313,0.619048,0.609424,0.623246,0.624000,0.624000,0.623624,0.000000,0.000000,0.000000,0.000000,0.707602,0.622174,0.622461,0.623624,0.626387,0.620476,0.624000,0.624000
Qwen3-14B,0.980732,0.964706,0.800000,0.974504,0.978495,0.975610,0.973109,0.977371,0.977174,0.980146,0.978958,0.972222,0.970588,0.974110,0.978365,0.982946,0.976861,0.976744,0.989744,0.976818,0.979258,0.976954,0.977000,0.977000,0.977956,0.000000,0.000000,0.000000,0.000000,0.977157,0.975866,0.975610,0.976954,0.977750,0.977202,0.976977,0.977000
Qwen3-32B,0.987500,0.985507,1.000000,0.985270,0.986444,0.988999,0.984218,0.987315,0.987275,0.988671,0.988978,0.989418,0.986667,0.982196,0.983425,0.984375,0.987891,0.986895,0.980282,0.986775,0.987571,0.987903,0.987000,0.987000,0.986961,0.000000,0.000000,0.000000,0.000000,0.981191,0.986458,0.985112,0.986974,0.987135,0.986680,0.986974,0.987000
Qwen2.5-0.5B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen2.5-1.5B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen2.5-3B-Base,0.000000,0.003623,0.009749,0.009511,0.012407,0.010753,0.012915,0.015945,0.016746,0.015982,0.019886,0.006601,0.000000,0.020000,0.006182,0.008683,0.011609,0.010772,0.005155,0.013986,0.009887,0.009459,0.008685,0.008750,0.012111,0.000000,0.000000,0.000000,0.000000,0.008130,0.010526,0.006623,0.009901,0.012774,0.012069,0.012704,0.013109
Qwen2.5-7B-Base,0.000000,0.022059,0.061856,0.019231,0.013699,0.357143,0.571429,0.666667,0.666667,0.727273,0.615385,0.007547,0.000000,0.000000,0.000000,0.004673,0.062016,0.023411,0.000000,0.024658,0.140625,0.153846,0.153846,0.228571,0.421053,0.000000,0.000000,0.000000,0.000000,0.024272,0.059603,0.133333,0.280000,0.400000,0.476190,0.533333,0.625000
Qwen2.5-14B-Base,0.431579,0.188679,0.498462,0.439024,0.512116,0.708333,0.810096,0.844444,0.834550,0.811321,0.866499,0.349470,0.142857,0.135135,0.315152,0.341732,0.485294,0.495413,0.303030,0.412500,0.520767,0.565766,0.534992,0.515742,0.514970,0.000000,0.000000,0.000000,0.000000,0.328976,0.600402,0.591195,0.685259,0.788462,0.827930,0.767857,0.767857
Qwen2.5-32B-Base,0.234483,0.309091,0.540470,0.587140,0.538251,0.707090,0.808743,0.820652,0.816697,0.811828,0.838590,0.521649,0.289474,0.380282,0.411765,0.478060,0.532857,0.517730,0.390411,0.437601,0.553299,0.589520,0.541417,0.515982,0.618852,0.000000,0.000000,0.000000,0.000000,0.430556,0.537651,0.642857,0.670165,0.804829,0.791150,0.811828,0.833641
Qwen2.5-72B-Base,0.763158,0.846154,0.832772,0.847208,0.868637,0.876960,0.900546,0.921634,0.934905,0.916667,0.943567,0.827051,0.000000,0.831933,0.801724,0.822380,0.843275,0.828255,0.776471,0.827329,0.855748,0.842265,0.844444,0.839357,0.864389,0.000000,0.000000,0.000000,0.000000,0.823529,0.841538,0.846154,0.884289,0.885452,0.906114,0.890309,0.900862
Qwen2.5-0.5B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen2.5-1.5B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen2.5-3B,0.100000,0.058394,0.075393,0.077778,0.075640,0.085470,0.085297,0.100775,0.107438,0.104000,0.135889,0.061404,0.333333,0.028037,0.075991,0.044898,0.052288,0.078788,0.034188,0.053375,0.077640,0.076613,0.078078,0.078471,0.081420,0.000000,0.000000,0.000000,0.000000,0.076803,0.057225,0.077009,0.080579,0.080882,0.084802,0.085433,0.093525
