solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.000000,0.333333,0.692308,0.900000,0.837838,0.571429,0.717391,0.866667,0.849057,0.882353,0.937500,0.400000,0.000000,0.600000,0.461538,0.857143,0.821429,0.844444,0.416667,0.277778,0.714286,0.694444,0.795918,0.844444,0.836364,0.000000,0.000000,0.000000,0.000000,0.500000,0.521739,0.727273,0.830189,0.541667,0.625000,0.800000,0.800000
Qwen3-1.7B-Base,0.250000,0.200000,0.416667,0.444444,0.500000,0.333333,0.545455,0.714286,0.500000,0.833333,0.625000,0.000000,0.000000,0.000000,0.571429,0.500000,0.750000,0.625000,0.500000,0.500000,0.454545,0.500000,0.625000,0.625000,0.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.428571,0.666667,0.461538,0.363636,0.625000,0.571429
Qwen3-4B-Base,0.766667,0.745098,0.752137,0.831579,0.807453,0.761538,0.777778,0.848684,0.842105,0.875000,0.877419,0.760000,0.500000,0.925926,0.787879,0.860000,0.837037,0.838462,0.696970,0.721311,0.761062,0.794702,0.826923,0.815789,0.835714,0.000000,0.000000,0.000000,0.000000,1.000000,0.825397,0.766990,0.832258,0.753731,0.797468,0.811321,0.806250
Qwen3-8B-Base,0.714286,0.777778,0.756098,0.762500,0.797980,0.721154,0.766990,0.766990,0.794118,0.833333,0.845361,0.772727,0.000000,0.736842,0.767123,0.813953,0.829545,0.812500,0.680000,0.804348,0.764706,0.777778,0.796117,0.842105,0.800000,0.000000,0.000000,0.000000,0.000000,0.500000,0.694444,0.819672,0.824742,0.706522,0.783019,0.800000,0.801980
Qwen3-14B-Base,0.833333,0.884615,0.853556,0.851528,0.862348,0.847107,0.853061,0.873469,0.876543,0.899563,0.905172,0.880000,0.000000,0.849057,0.859155,0.878788,0.875536,0.866972,0.865385,0.861386,0.865217,0.875000,0.881633,0.860558,0.862205,0.000000,0.000000,0.000000,0.000000,0.642857,0.839416,0.890244,0.852590,0.846154,0.863636,0.871901,0.872428
Qwen3-0.6B,0.527778,1.000000,0.571429,0.764706,0.647059,0.567227,0.559748,0.585714,0.651899,0.707921,0.697674,0.500000,0.200000,0.555556,0.614865,0.750000,0.739130,0.653659,0.576923,0.588235,0.595041,0.637168,0.662338,0.717703,0.725118,0.000000,0.000000,0.000000,0.000000,0.384615,0.618812,0.615764,0.663793,0.561798,0.608295,0.628205,0.666667
Qwen3-1.7B,0.769231,1.000000,0.833333,1.000000,0.834532,0.773504,0.776042,0.775956,0.789189,0.812977,0.783505,0.850000,0.000000,0.782609,0.816901,0.872727,0.811765,0.787004,0.814815,0.822581,0.789062,0.807692,0.786207,0.812721,0.805556,0.000000,0.000000,0.000000,0.000000,0.750000,0.793774,0.790076,0.791667,0.785714,0.802521,0.795620,0.802817
Qwen3-4B,0.857143,1.000000,1.000000,1.000000,0.901961,0.859574,0.912088,0.870968,0.861878,0.870229,0.871186,0.833333,0.000000,0.836364,0.887324,0.944444,0.891228,0.877698,0.892857,0.911392,0.873134,0.877256,0.868687,0.874576,0.879310,0.000000,0.000000,0.000000,0.000000,0.888889,0.899614,0.894737,0.872054,0.854545,0.888000,0.887324,0.868243
Qwen3-8B,0.928571,1.000000,0.928571,0.900000,0.924419,0.913420,0.896552,0.870270,0.923445,0.904762,0.903333,1.000000,0.000000,0.916667,0.923664,0.931034,0.907801,0.920578,0.872727,0.922535,0.907749,0.912727,0.914384,0.909396,0.908784,0.000000,0.000000,0.000000,0.000000,1.000000,0.913534,0.911439,0.903333,0.929032,0.907950,0.910959,0.903010
Qwen3-14B,0.947368,0.750000,0.923077,1.000000,0.914439,0.929752,0.946809,0.910000,0.901554,0.925781,0.912458,0.900000,0.000000,0.933333,0.909091,0.974026,0.912281,0.920290,0.978723,0.913333,0.923372,0.922481,0.906355,0.909699,0.918644,0.000000,0.000000,0.000000,0.000000,0.944444,0.927203,0.916364,0.909396,0.935829,0.923387,0.912892,0.911864
