solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.300000,0.428571,0.534884,0.478261,0.596491,0.454545,0.566667,0.653846,0.655738,0.689655,0.677966,0.333333,0.000000,0.500000,0.366667,0.521739,0.641026,0.655172,0.500000,0.232558,0.550000,0.438596,0.620690,0.633333,0.620690,0.000000,0.000000,0.000000,0.000000,0.333333,0.542857,0.485714,0.552239,0.517857,0.522388,0.627119,0.642857
Qwen3-1.7B-Base,0.000000,0.214286,0.214286,0.280000,0.280000,0.178571,0.269231,0.307692,0.291667,0.291667,0.333333,0.000000,0.000000,0.333333,0.190476,0.105263,0.208333,0.291667,0.000000,0.266667,0.161290,0.241379,0.300000,0.291667,0.320000,0.000000,0.000000,0.000000,0.000000,0.000000,0.285714,0.157895,0.230769,0.222222,0.275862,0.307692,0.333333
Qwen3-4B-Base,0.363636,0.568627,0.529915,0.518868,0.578652,0.510949,0.543478,0.593939,0.607362,0.622642,0.638037,0.689655,0.000000,0.555556,0.546218,0.500000,0.582278,0.590909,0.500000,0.507937,0.532710,0.552147,0.576471,0.576471,0.555556,0.000000,0.000000,0.000000,0.000000,0.550000,0.473684,0.586538,0.587571,0.517986,0.593939,0.596491,0.580460
Qwen3-8B-Base,0.166667,0.527778,0.364706,0.439394,0.476190,0.406250,0.494118,0.500000,0.487805,0.546667,0.558442,0.333333,0.000000,0.437500,0.459459,0.446809,0.513158,0.487805,0.480000,0.392157,0.400000,0.482353,0.444444,0.487500,0.482353,0.000000,0.000000,0.000000,0.000000,0.428571,0.342857,0.446154,0.452632,0.466667,0.465116,0.493976,0.500000
Qwen3-14B-Base,0.500000,0.670455,0.591837,0.591093,0.607692,0.595238,0.630952,0.645418,0.645418,0.657143,0.666667,0.621622,0.000000,0.579710,0.556886,0.500000,0.618677,0.607004,0.609756,0.514563,0.596708,0.613027,0.611940,0.623134,0.641509,0.000000,0.000000,0.000000,0.000000,0.454545,0.598485,0.563218,0.623134,0.577465,0.620000,0.625000,0.642023
Qwen3-0.6B,0.603774,0.333333,0.666667,0.562500,0.579710,0.573333,0.620915,0.648649,0.677083,0.720524,0.742081,0.655172,0.571429,0.557692,0.625850,0.687500,0.708543,0.655319,0.586667,0.600000,0.623482,0.627615,0.673469,0.735683,0.727273,0.000000,0.000000,0.000000,0.000000,0.750000,0.665049,0.648515,0.652510,0.631944,0.658163,0.677686,0.660000
Qwen3-1.7B,0.692308,0.571429,1.000000,0.833333,0.781250,0.800000,0.819876,0.815534,0.789744,0.827206,0.811847,0.766667,0.000000,0.675000,0.798611,0.835616,0.821818,0.823529,0.529412,0.817143,0.821293,0.817204,0.805556,0.811189,0.811847,0.000000,0.000000,0.000000,0.000000,0.833333,0.797571,0.800000,0.812500,0.767606,0.814655,0.827338,0.810526
Qwen3-4B,0.916667,1.000000,0.937500,0.956522,0.857143,0.867841,0.880952,0.863850,0.873786,0.878472,0.868421,0.866667,0.500000,0.891304,0.885350,0.940594,0.861592,0.866894,0.765957,0.898936,0.861818,0.880435,0.869565,0.866221,0.875421,0.000000,0.000000,0.000000,0.000000,0.925926,0.875472,0.879699,0.865574,0.849673,0.884774,0.876712,0.871287
Qwen3-8B,0.882353,0.800000,0.909091,0.782609,0.891473,0.923810,0.910714,0.905213,0.916256,0.910959,0.914191,0.920000,1.000000,0.913793,0.896104,0.947368,0.907534,0.910345,0.909091,0.935484,0.905594,0.912892,0.913043,0.907285,0.913621,0.000000,0.000000,0.000000,0.000000,0.958333,0.906015,0.909420,0.907895,0.905797,0.905579,0.911864,0.904605
Qwen3-14B,0.875000,0.750000,1.000000,0.894737,0.896296,0.892019,0.901235,0.902326,0.908654,0.891986,0.900990,0.695652,1.000000,0.879310,0.891566,0.870968,0.893471,0.907473,0.918919,0.909091,0.899281,0.891986,0.895623,0.897010,0.900332,0.000000,0.000000,0.000000,0.000000,0.857143,0.905109,0.906137,0.897351,0.868217,0.896266,0.902439,0.899666
