solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.238806,0.485714,0.380952,0.269841,0.326087,0.164706,0.324074,0.526316,0.553846,0.382022,0.407692,0.063158,0.076923,0.111111,0.237037,0.150000,0.082353,0.149425,0.123810,0.128571,0.208333,0.142857,0.218310,0.205357,0.209524,0.000000,0.000000,0.000000,0.000000,0.302469,0.202247,0.276596,0.230769,0.210526,0.194030,0.410714,0.376682
Qwen3-1.7B-Base,0.764706,0.627451,0.632653,0.630769,0.676471,0.808081,0.925373,0.838384,0.904762,0.888889,0.788136,0.558824,0.500000,0.583333,0.685950,0.782609,0.777778,0.716981,0.535211,0.604396,0.669355,0.802326,0.838384,0.818182,0.765306,0.000000,0.000000,0.000000,0.000000,0.594937,0.659091,0.595745,0.890244,0.000000,0.451613,0.847619,0.822222
Qwen3-4B-Base,0.517857,0.772358,0.790541,0.847358,0.866538,0.866667,0.934256,0.966783,0.982014,0.983425,0.943987,0.772727,0.428571,0.777778,0.827044,0.875410,0.910448,0.872093,0.752427,0.806324,0.825944,0.901493,0.897764,0.933105,0.878086,0.000000,0.000000,0.000000,0.000000,0.773779,0.839869,0.814433,0.893581,0.743590,0.535714,0.939966,0.924171
Qwen3-8B-Base,0.666667,0.859327,0.889803,0.896389,0.902588,0.913110,0.968278,0.983704,0.982090,0.977778,0.976290,0.862069,0.900000,0.839506,0.893189,0.904437,0.925837,0.904538,0.859060,0.853821,0.878702,0.900000,0.923288,0.933518,0.925373,0.000000,0.000000,0.000000,0.000000,0.852868,0.894855,0.880184,0.926194,0.857143,0.913793,0.945869,0.966079
Qwen3-14B-Base,0.866667,0.942857,0.946292,0.938995,0.967073,0.964427,0.980670,0.993857,0.994962,0.990025,0.989362,0.915888,0.666667,0.895833,0.928276,0.963035,0.976000,0.952267,0.945736,0.937143,0.948068,0.960265,0.965922,0.978774,0.969626,0.000000,0.000000,0.000000,0.000000,0.930275,0.953451,0.970297,0.975845,0.871795,0.791209,0.970624,0.974537
Qwen3-0.6B,0.685567,0.777778,0.833333,0.755396,0.840722,0.687500,0.727876,0.870048,0.906736,0.859375,0.863235,0.690184,0.600000,0.693694,0.731308,0.880208,0.821429,0.764706,0.655172,0.693130,0.689786,0.707257,0.778646,0.847701,0.760728,0.000000,0.000000,0.000000,0.000000,0.657509,0.657635,0.699837,0.791269,0.740385,0.686047,0.778700,0.824100
Qwen3-1.7B,0.975610,0.973333,1.000000,0.976431,0.977654,0.973875,0.973333,0.983931,0.985879,0.976077,0.972414,0.944853,0.500000,0.977477,0.968696,0.986957,0.975581,0.974448,0.886792,0.975039,0.963139,0.964733,0.960541,0.964932,0.960630,0.000000,0.000000,0.000000,0.000000,0.938272,0.973964,0.979339,0.951740,0.957198,0.927152,0.962044,0.967120
Qwen3-4B,0.992754,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998720,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998649,1.000000,0.997439,0.997442,0.997442,0.000000,0.000000,0.000000,0.000000,1.000000,0.998607,1.000000,0.997429,0.989071,0.994048,0.998660,0.997442
Qwen3-8B,1.000000,1.000000,1.000000,1.000000,0.990566,0.974359,0.979167,1.000000,1.000000,1.000000,0.988439,1.000000,0.666667,1.000000,1.000000,1.000000,1.000000,0.988166,1.000000,0.984848,0.981481,0.982659,0.982759,0.994186,0.988439,0.000000,0.000000,0.000000,0.000000,0.933333,0.982249,1.000000,0.988439,0.979592,0.985714,0.986111,0.988439
Qwen3-14B,0.996078,0.990741,1.000000,1.000000,0.991948,0.996324,0.991011,0.997041,0.996974,0.991724,0.986790,1.000000,0.750000,0.989744,0.992395,0.996466,0.998641,0.995879,0.986486,0.993538,0.987569,0.995962,0.988111,0.992011,0.981555,0.000000,0.000000,0.000000,0.000000,0.977860,0.988270,0.994690,0.994631,0.951807,0.955801,0.994366,0.990716
