solver,Qwen3-0.6B-Base,Qwen3-1.7B-Base,Qwen3-4B-Base,Qwen3-8B-Base,Qwen3-14B-Base,Qwen3-0.6B,Qwen3-1.7B,Qwen3-4B,Qwen3-8B,Qwen3-14B,Qwen3-32B,Qwen2.5-0.5B-Base,Qwen2.5-1.5B-Base,Qwen2.5-3B-Base,Qwen2.5-7B-Base,Qwen2.5-14B-Base,Qwen2.5-32B-Base,Qwen2.5-72B-Base,Qwen2.5-0.5B,Qwen2.5-1.5B,Qwen2.5-3B,Qwen2.5-7B,Qwen2.5-14B,Qwen2.5-32B,Qwen2.5-72B,Llama3-1B-Base,Llama3-3B-Base,Llama3-8B-Base,Llama3-70B-Base,Llama3-1B,Llama3-3B,Llama3-8B,Llama3-70B,DeepSeek-1.5B,DeepSeek-7B,DeepSeek-14B,DeepSeek-32B
Qwen3-0.6B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen3-1.7B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Qwen3-4B-Base,0.104167,0.158163,0.224719,0.228723,0.221698,0.136273,0.243506,0.279570,0.496815,0.601504,0.434783,0.117241,0.045455,0.041667,0.107570,0.171756,0.292398,0.192982,0.116022,0.120192,0.151300,0.135593,0.248996,0.351955,0.191710,0.000000,0.000000,0.000000,0.000000,0.076923,0.084507,0.154839,0.209677,0.126866,0.180952,0.432749,0.343478
Qwen3-8B-Base,0.200000,0.306604,0.297158,0.366477,0.373402,0.359494,0.913043,0.972376,0.967033,0.971910,0.931217,0.278261,0.000000,0.243902,0.338912,0.385965,0.457912,0.467662,0.281081,0.251282,0.288515,0.617021,0.414365,0.464912,0.474843,0.000000,0.000000,0.000000,0.000000,0.216346,0.253788,0.677966,0.432024,0.307692,0.555556,0.883721,0.934066
Qwen3-14B-Base,0.270833,0.333333,0.357009,0.382927,0.357466,0.359926,0.967347,0.972332,0.960784,0.960938,0.924242,0.303279,0.000000,0.309524,0.275385,0.390977,0.434988,0.370262,0.329502,0.256845,0.273494,0.500000,0.389706,0.420870,0.438000,0.000000,0.000000,0.000000,0.000000,0.197674,0.214286,0.655172,0.403883,0.287293,0.609756,0.916000,0.926923
Qwen3-0.6B,0.174603,0.250000,0.666667,0.253219,0.252199,0.243243,0.232044,0.244186,0.236842,0.243626,0.244253,0.279412,0.000000,0.275862,0.241573,0.250000,0.242902,0.245342,0.262500,0.228169,0.274419,0.217712,0.245014,0.244898,0.245014,0.000000,0.000000,0.000000,0.000000,0.242105,0.223958,0.259067,0.244776,0.241803,0.242718,0.249258,0.265176
Qwen3-1.7B,1.000000,1.000000,0.977273,0.994812,0.993664,0.993631,0.996546,0.993610,0.993671,0.993711,0.993684,0.995122,1.000000,0.984791,0.992410,0.990741,0.993717,0.993617,1.000000,0.993569,0.995290,0.992925,0.993730,0.993724,0.993730,0.000000,0.000000,0.000000,0.000000,0.995106,0.989858,0.992110,0.993534,0.997122,0.994407,0.993478,0.993590
Qwen3-4B,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
Qwen3-8B,1.000000,1.000000,1.000000,1.000000,0.996942,0.997519,0.996522,0.996914,0.997778,0.997955,0.996942,0.996764,1.000000,1.000000,0.998442,0.998246,0.996942,0.996894,1.000000,0.996936,0.995696,0.996681,0.996957,0.996954,0.996957,0.000000,0.000000,0.000000,0.000000,0.995536,0.994071,0.997257,0.996901,0.997101,0.996791,0.996802,0.996798
Qwen3-14B,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
Qwen3-32B,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
Qwen2.5-0.5B-Base,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
